datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,33.26,33.4,32.73,33.05,1014255,3592989152.0,0
2020-01-03,34.29,35.36,33.8,34.15,1790841,6617433856.0,0
2020-01-06,33.65,34.77,33.5,34.3,1138538,4180052112.0,0
2020-01-07,34.3,34.5,33.67,34.2,823032,3001279952.0,0
2020-01-08,33.93,34.48,33.26,33.31,820530,2970790432.0,0
2020-01-09,33.92,34.96,33.92,34.62,973297,3594667712.0,0
2020-01-10,34.85,35.98,34.62,34.96,1012875,3811908448.0,0
2020-01-13,35.28,35.56,34.78,35.56,805884,3032049776.0,0
2020-01-14,35.49,35.5,34.24,34.31,1115816,4143449040.0,0
2020-01-15,34.1,34.68,33.71,34.52,780883,2856797072.0,0
2020-01-16,34.93,36.01,34.89,35.01,1032444,3906202608.0,0
2020-01-17,35.33,36.95,35.33,36.44,1321882,5098834432.0,0
2020-01-20,36.3,37.7,36.01,37.66,1074075,4237941056.0,0
2020-01-21,37.1,37.66,36.17,36.21,942716,3692646976.0,0
2020-01-22,35.98,38.71,35.89,38.25,1090416,4318263040.0,0
2020-01-23,37.55,38.1,35.9,36.77,1115977,4404784384.0,0
2020-02-03,32.85,34.81,32.85,33.51,1802124,6430335744.0,0
2020-02-04,34.12,36.26,34.12,35.97,1348125,5100691968.0,0
2020-02-05,36.3,36.85,35.26,35.8,1254895,4823844352.0,0
2020-02-06,35.5,37.19,35.16,36.82,1076155,4186464224.0,0
2020-02-07,36.48,36.91,35.51,36.53,963202,3734321104.0,0
2020-02-10,36.15,38.34,35.91,37.72,1028561,4098782480.0,0
2020-02-11,37.89,38.5,37.2,37.61,728438,2918951696.0,0
2020-02-12,37.35,37.9,36.98,37.74,813833,3247679344.0,0
2020-02-13,37.31,38.15,36.69,37.31,921121,3663446784.0,0
2020-02-14,37.15,37.77,36.66,37.07,859953,3407317088.0,0
2020-02-17,37.8,41.01,37.28,40.72,1813868,7560935168.0,0
2020-02-18,40.45,41.13,39.71,41.13,1286441,5529175296.0,0
2020-02-19,41.09,43.65,40.93,41.28,1327127,5925188096.0,0
2020-02-20,41.72,42.7,41.32,42.19,1088150,4846551296.0,0
2020-02-21,42.6,44.15,41.95,43.15,1191126,5439103488.0,0
2020-02-24,44.8,47.71,44.8,47.71,1398446,6827689472.0,0
2020-02-25,48.3,52.71,46.67,52.71,2768553,14493485824.0,0
2020-02-26,51.1,51.53,48.1,48.55,2068191,10808449280.0,0
2020-02-27,48.75,50.24,46.78,49.08,1588426,8155705856.0,0
2020-02-28,46.0,48.6,46.0,47.6,1536741,7666233600.0,0
2020-03-02,49.6,52.6,48.1,52.2,2273848,12128049664.0,0
2020-03-03,54.3,54.3,50.1,50.54,2439031,13348431616.0,0
2020-03-04,49.58,50.58,46.7,48.96,1800910,9184633344.0,0
2020-03-05,51.1,51.26,48.98,49.51,1630876,8550149376.0,0
2020-03-06,48.12,48.9,47.62,48.46,965455,4895831040.0,0
2020-03-09,47.6,50.99,47.3,48.61,1563081,8079437824.0,0
2020-03-10,48.1,51.89,46.58,51.76,2171685,11255340288.0,0
2020-03-11,51.8,53.89,50.0,50.08,1739020,9425694976.0,0
2020-03-12,48.73,49.66,47.61,49.02,1250095,6368247552.0,0
2020-03-13,46.9,49.51,46.6,48.39,1297494,6530739456.0,0
2020-03-16,44.96,46.3,43.31,43.31,3087663,14317596672.0,0
2020-03-17,43.21,43.21,38.74,39.15,3072236,13032991232.0,0
2020-03-18,39.5,39.95,36.4,36.7,2542153,10389408768.0,0
2020-03-19,36.25,40.41,35.35,39.35,2752128,10982567424.0,0
2020-03-20,39.62,39.9,37.8,39.48,1739661,7219118080.0,0
2020-03-23,37.61,39.88,37.3,38.43,1246403,5122461184.0,0
2020-03-24,39.52,40.18,37.74,40.15,1576308,6571071488.0,0
