datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,39.59,41.35,39.52,41.12,838615,3421687320,0
2025-11-26 11:30:00,41.12,41.22,40.86,40.96,218128,894902158,0
2025-11-26 14:00:00,40.96,41.18,40.87,40.97,198397,813933553,0
2025-11-26 15:00:00,40.97,41.16,40.74,40.97,262447,1075029858,0
2025-11-27 10:30:00,42.38,42.8,41.51,42.16,1225750,5189238574,0
2025-11-27 11:30:00,42.2,42.35,41.74,41.95,249044,1046542103,0
2025-11-27 14:00:00,41.94,43.35,41.94,42.62,743103,3178988146,0
2025-11-27 15:00:00,42.63,42.63,42.05,42.3,397049,1679819078,0
2025-11-28 10:30:00,42.32,42.79,41.88,42.27,621178,2624466935,0
2025-11-28 11:30:00,42.3,42.33,41.6,42.03,372711,1560381774,0
2025-11-28 14:00:00,42.02,42.19,41.71,41.9,168885,706962905,0
2025-11-28 15:00:00,41.91,42.12,41.79,42.09,238194,1000458659,0
2025-12-01 10:30:00,42.45,45.8,42.03,45.65,2050063,9027129064,0
2025-12-01 11:30:00,45.64,46.3,45.56,46.3,1077289,4966446227,0
2025-12-01 14:00:00,46.3,46.3,46.3,46.3,88922,411708905,0
2025-12-01 15:00:00,46.3,46.3,46.3,46.3,56302,260677380,0
2025-12-02 10:30:00,47.77,47.77,45.69,45.78,2746572,12853310597,0
2025-12-02 11:30:00,45.77,46.3,45.28,45.66,692414,3156976859,0
2025-12-02 14:00:00,45.62,45.65,45.0,45.4,429284,1944903038,0
2025-12-02 15:00:00,45.41,45.5,45.12,45.5,511753,2316517864,0
2025-12-03 10:30:00,45.0,45.72,44.33,44.72,1161107,5218354081,0
2025-12-03 11:30:00,44.69,44.69,43.9,44.18,625873,2768663355,0
2025-12-03 14:00:00,44.18,44.25,43.3,43.66,707419,3092247793,0
2025-12-03 15:00:00,43.67,43.67,43.25,43.3,534485,2320832145,0
2025-12-04 10:30:00,42.82,43.48,42.42,42.75,785847,3364703876,0
2025-12-04 11:30:00,42.75,43.49,42.68,43.23,326368,1406896238,0
2025-12-04 14:00:00,43.21,43.29,42.72,42.85,187367,803940114,0
2025-12-04 15:00:00,42.85,43.17,42.85,42.92,244321,1050156029,0
2025-12-05 10:30:00,42.96,42.99,41.81,42.22,589626,2492268555,0
2025-12-05 11:30:00,42.24,42.62,42.22,42.31,206504,876001054,0
2025-12-05 14:00:00,42.31,42.44,41.67,42.12,481424,2020571915,0
2025-12-05 15:00:00,42.13,42.2,41.87,41.95,380474,1597680279,0
2025-12-08 10:30:00,41.51,42.5,41.5,42.14,752418,3169249226,0
2025-12-08 11:30:00,42.15,42.68,42.15,42.58,307640,1307006681,0
2025-12-08 14:00:00,42.58,42.66,42.29,42.3,223552,950174962,0
2025-12-08 15:00:00,42.3,42.45,42.21,42.23,237154,1002841342,0
2025-12-09 10:30:00,42.02,43.6,42.0,42.77,1072122,4614977727,0
2025-12-09 11:30:00,42.77,43.03,42.66,42.88,212433,910430243,0
2025-12-09 14:00:00,42.91,42.91,42.24,42.4,231035,981194295,0
2025-12-09 15:00:00,42.4,42.51,42.22,42.37,247537,1048910231,0
2025-12-10 10:30:00,42.01,42.36,41.55,41.77,509044,2129054474,0
2025-12-10 11:30:00,41.77,42.06,41.66,41.68,157941,660982564,0
2025-12-10 14:00:00,41.68,41.83,41.48,41.75,230934,961224061,0
2025-12-10 15:00:00,41.74,42.18,41.71,42.02,230565,968633566,0
2025-12-11 10:30:00,41.0,41.0,38.86,39.13,2097073,8273839179,0
