datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,33.26,35.36,32.73,34.15,2805096,10210423008.0,0
2020-01-10,33.65,35.98,33.26,34.96,4768272,17558698656.0,0
2020-01-17,35.28,36.95,33.71,36.44,5056909,19037332928.0,0
2020-01-24,36.3,38.71,35.89,36.77,4223184,16653635456.0,0
2020-02-07,32.85,37.19,32.85,36.53,6444501,24275657392.0,0
2020-02-14,36.15,38.5,35.91,37.07,4351906,17336177392.0,0
2020-02-21,37.8,44.15,37.28,43.15,6706712,29300953344.0,0
2020-02-28,44.8,52.71,44.8,47.6,9360357,47951564032.0,0
2020-03-06,49.6,54.3,46.7,48.46,9110120,48107095040.0,0
2020-03-13,47.6,53.89,46.58,48.39,8021375,41659460096.0,0
2020-03-20,44.96,46.3,35.35,39.48,13193841,55941682176.0,0
2020-03-27,37.61,42.75,37.3,40.99,6744662,28948428688.0,0
2020-04-03,40.06,42.0,38.45,38.57,6226757,26208425216.0,0
2020-04-10,39.4,39.69,36.63,36.89,4572328,18723438624.0,0
2020-04-17,36.4,38.49,35.66,37.6,4226982,16688516992.0,0
2020-04-24,37.76,39.01,36.05,36.45,3457942,13854572016.0,0
2020-05-01,37.1,39.18,35.1,38.69,3450379,13656695232.0,0
2020-05-08,38.1,42.28,37.95,40.09,3541521,15041674832.0,0
2020-05-15,40.35,40.9,38.0,38.77,3701990,15464487072.0,0
2020-05-22,38.7,38.96,35.72,35.98,3592425,14316087600.0,0
2020-05-29,35.6,35.65,33.0,33.65,3442956,12668041712.0,0
2020-06-05,34.32,37.17,34.2,35.77,3871474,14847966336.0,0
2020-06-12,36.14,37.21,34.63,35.8,3027088,11673627440.0,0
2020-06-19,35.55,41.79,35.11,40.47,7225467,29584181536.0,0
2020-06-26,39.3,40.2,37.17,37.31,4289935,17496670944.0,0
2020-07-03,37.11,40.49,36.13,40.01,5840263,23535944752.0,0
2020-07-10,40.45,45.48,40.16,42.54,8706786,39624176896.0,0
2020-07-17,42.31,43.77,37.11,37.93,6019307,26068241056.0,0
2020-07-24,38.18,39.74,35.25,35.52,5057389,20270696976.0,0
2020-07-31,35.54,37.34,35.28,36.77,3148634,12218705536.0,0
2020-08-07,36.8,37.3,35.83,36.5,4290772,16736015376.0,0
2020-08-14,36.01,36.45,34.79,36.17,2885705,11004678208.0,0
2020-08-21,36.8,38.17,35.8,36.68,3582751,14102583440.0,0
2020-08-28,36.67,36.84,35.73,36.63,2397368,9215397632.0,0
2020-09-04,37.14,37.65,34.72,35.28,3156175,12142407024.0,0
2020-09-11,35.28,35.44,30.0,31.5,3218277,11193935456.0,0
2020-09-18,31.58,31.75,30.8,31.58,1783421,5983408592.0,0
2020-09-25,31.72,33.0,30.82,30.91,1735513,5923386688.0,0
2020-10-02,30.9,31.02,30.38,30.9,698844,2301657856.0,0
2020-10-09,31.46,31.74,31.06,31.18,390657,1311277808.0,0
2020-10-16,31.8,34.1,31.69,32.27,2508852,8785522800.0,0
2020-10-23,32.8,33.2,31.16,31.23,1173063,4014752032.0,0
2020-10-30,31.05,32.43,29.8,30.07,2102659,6986695440.0,0
2020-11-06,29.93,34.68,27.96,33.6,4763829,16270300736.0,0
2020-11-13,34.75,36.73,32.8,33.62,5746955,21127872352.0,0
2020-11-20,33.64,34.79,32.13,34.02,3349106,11962995760.0,0
2020-11-27,34.1,34.59,32.46,32.79,3061422,10953997520.0,0
2020-12-04,32.56,33.73,32.18,32.61,2344488,8219981440.0,0
2020-12-11,32.45,32.66,29.8,29.97,2041997,6790085296.0,0
2020-12-18,29.99,31.15,29.8,30.61,1455845,4760391648.0,0
2020-12-25,30.3,30.58,28.52,28.84,2027660,6414583168.0,0
2021-01-01,28.84,31.86,28.31,31.45,4111387,13566293168.0,0
2021-01-08,30.8,32.93,30.01,31.7,5728217,19361539152.0,0
2021-01-15,31.99,35.04,31.48,32.9,7142211,25411705568.0,0
2021-01-22,33.1,34.89,31.6,31.68,4794394,17023038112.0,0
2021-01-29,32.76,33.9,29.6,29.99,4343823,14843189648.0,0
2021-02-05,29.78,30.59,28.37,28.69,2931523,9266633488.0,0
2021-02-12,28.98,30.24,28.27,30.01,1694142,5328395360.0,0
2021-02-19,30.69,30.97,29.75,30.75,1265831,4135694768.0,0
2021-02-26,30.81,31.14,29.19,29.56,2617168,8487844352.0,0
2021-03-05,29.56,30.46,28.8,29.51,2459116,7863217664.0,0
2021-03-12,29.52,30.16,28.28,28.74,2320492,7229321008.0,0
2021-03-19,28.19,28.5,25.6,27.33,4095681,12027344864.0,0
2021-03-26,27.28,28.08,26.58,27.28,1691574,4985759056.0,0
2021-04-02,27.28,27.76,26.93,27.4,1201182,3542738592.0,0
2021-04-09,27.41,27.42,25.98,26.11,1204110,3477974144.0,0
2021-04-16,26.14,26.26,25.48,26.16,1461538,4095202944.0,0
2021-04-23,26.0,28.05,25.96,26.99,2167651,6292051696.0,0
2021-04-30,27.0,27.77,26.57,26.75,1853971,5429511584.0,0
2021-05-07,26.65,26.78,25.91,25.94,547158,1560622192.0,0
2021-05-14,25.92,27.04,25.55,26.88,1517654,4320508240.0,0
2021-05-21,26.77,27.65,26.51,26.51,1815426,5307282176.0,0
2021-05-28,26.49,29.65,26.18,29.17,3647326,11034003072.0,0
2021-06-04,29.18,31.3,28.4,30.8,4271469,13760812912.0,0
2021-06-11,30.9,32.08,30.1,30.25,2836459,9425512624.0,0
2021-06-18,30.72,32.3,29.49,31.95,2697839,8910211456.0,0
2021-06-25,31.72,32.25,29.72,30.13,2684835,8866592912.0,0
2021-07-02,30.25,31.7,29.41,29.55,2889923,9493304208.0,0
2021-07-09,29.45,29.94,28.55,29.07,2246185,7032123760.0,0
2021-07-16,30.8,34.75,30.7,33.67,7025940,24991010336.0,0
2021-07-23,33.26,36.29,32.78,34.17,5632779,20846212928.0,0
2021-07-30,33.8,36.93,32.79,36.6,7300654,27389353744.0,0
2021-08-06,37.6,39.48,36.91,37.45,6080387,24497633104.0,0
2021-08-13,37.46,38.1,32.8,33.3,5847846,21995008000.0,0
2021-08-20,33.25,34.13,32.45,33.38,3277831,11645996944.0,0
2021-08-27,33.35,33.68,31.67,32.42,3246996,11223496400.0,0
