datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,4.76,4.95,4.73,4.88,720292,492951552.0,0
2020-01-03,4.91,4.93,4.82,4.85,315395,215972143.0,0
2020-01-06,4.8,4.87,4.58,4.66,603320,405914176.0,0
2020-01-07,4.66,4.74,4.65,4.69,342503,228639400.0,0
2020-01-08,4.67,4.67,4.53,4.56,355294,234233517.0,0
2020-01-09,4.62,4.68,4.59,4.66,344164,227990915.0,0
2020-01-10,4.67,4.7,4.59,4.68,349044,231729906.0,0
2020-01-13,4.7,4.72,4.57,4.66,397199,262548012.0,0
2020-01-14,4.67,4.72,4.63,4.66,278579,185544602.0,0
2020-01-15,4.65,4.65,4.53,4.59,315933,207292635.0,0
2020-01-16,4.6,4.73,4.59,4.67,597451,398229392.0,0
2020-01-17,4.69,4.88,4.67,4.88,590021,400960672.0,0
2020-01-20,4.88,4.9,4.78,4.87,391647,266626332.0,0
2020-01-21,4.87,4.88,4.56,4.56,543433,360871184.0,0
2020-01-22,4.53,4.7,4.29,4.67,542025,352479808.0,0
2020-01-23,4.54,4.6,4.24,4.31,462999,296313872.0,0
2020-02-03,3.68,3.68,3.68,3.68,163957,92963619.0,0
2020-02-04,3.37,3.9,3.37,3.85,805256,460780192.0,0
2020-02-05,3.82,4.05,3.82,3.85,479140,284024112.0,0
2020-02-06,3.87,4.06,3.76,3.99,450033,266774690.0,0
2020-02-07,3.96,4.03,3.92,3.98,366646,218613187.0,0
2020-02-10,3.97,4.29,3.92,4.23,470706,288511696.0,0
2020-02-11,4.21,4.37,4.19,4.26,354340,222494244.0,0
2020-02-12,4.21,4.3,4.18,4.22,314385,194994100.0,0
2020-02-13,4.19,4.41,4.17,4.29,503285,316097232.0,0
2020-02-14,4.24,4.32,4.22,4.29,251982,157880328.0,0
2020-02-17,4.31,4.43,4.28,4.41,315246,200915227.0,0
2020-02-18,4.41,4.43,4.32,4.38,254449,161957119.0,0
2020-02-19,4.35,4.45,4.34,4.36,251927,160422122.0,0
2020-02-20,4.36,4.46,4.32,4.44,385677,246391405.0,0
2020-02-21,4.44,4.57,4.41,4.51,333256,216012844.0,0
2020-02-24,4.5,4.57,4.38,4.42,368072,236936224.0,0
2020-02-25,4.21,4.41,4.15,4.28,454858,284901712.0,0
2020-02-26,4.22,4.45,4.21,4.33,486247,308849216.0,0
2020-02-27,4.38,4.64,4.38,4.59,711048,465020400.0,0
2020-02-28,4.52,4.59,4.27,4.29,692496,444056032.0,0
2020-03-02,4.35,4.86,4.32,4.76,999231,667097776.0,0
2020-03-03,4.9,4.96,4.53,4.66,908443,607240128.0,0
2020-03-04,4.61,4.72,4.51,4.69,670186,442262352.0,0
2020-03-05,4.71,4.75,4.61,4.7,503624,336117488.0,0
2020-03-06,4.64,4.64,4.5,4.54,524841,343249632.0,0
2020-03-09,4.43,4.44,4.19,4.19,712969,445362576.0,0
2020-03-10,4.09,4.31,4.06,4.25,555650,344673376.0,0
2020-03-11,4.27,4.29,4.14,4.14,384832,238220593.0,0
2020-03-12,4.08,4.08,3.91,3.96,459906,274570672.0,0
2020-03-13,3.53,3.98,3.53,3.81,525116,301222560.0,0
2020-03-16,3.86,3.89,3.43,3.45,692173,387333440.0,0
2020-03-17,3.43,3.6,3.41,3.56,522613,287715296.0,0
2020-03-18,3.59,3.74,3.46,3.46,517365,289579456.0,0
2020-03-19,3.44,3.66,3.29,3.45,819987,447673792.0,0
2020-03-20,3.53,3.63,3.44,3.6,550032,305183264.0,0
2020-03-23,3.51,3.68,3.44,3.64,516196,287817168.0,0
2020-03-24,3.68,3.78,3.57,3.69,614263,348503632.0,0
2020-03-25,3.82,3.87,3.68,3.75,544888,313321712.0,0
2020-03-26,3.74,3.83,3.68,3.81,434318,251096140.0,0
2020-03-27,3.86,4.02,3.81,3.97,586374,347938176.0,0
2020-03-30,3.89,4.0,3.87,3.97,379370,225041699.0,0
2020-03-31,3.86,3.89,3.67,3.7,757426,433993984.0,0
2020-04-01,3.61,3.73,3.59,3.6,484175,273452512.0,0
2020-04-02,3.56,3.69,3.53,3.67,364460,204143994.0,0
2020-04-03,3.68,3.8,3.67,3.76,408669,233992148.0,0
2020-04-07,3.91,4.09,3.86,4.05,719595,430869424.0,0
2020-04-08,4.05,4.13,4.01,4.11,459620,278731840.0,0
2020-04-09,4.12,4.15,4.07,4.11,304501,185667177.0,0
2020-04-10,4.17,4.43,4.16,4.24,779089,490188800.0,0
2020-04-13,4.34,4.61,4.34,4.51,924217,599925696.0,0
2020-04-14,4.57,4.65,4.48,4.55,729811,476215632.0,0
2020-04-15,4.56,4.58,4.34,4.41,615841,394989072.0,0
2020-04-16,4.31,4.41,4.31,4.38,347180,220660461.0,0
2020-04-17,4.4,4.58,4.4,4.44,581983,376768592.0,0
2020-04-20,4.5,4.57,4.44,4.47,397837,258270721.0,0
2020-04-21,4.44,4.47,4.27,4.35,491530,311184800.0,0
2020-04-22,4.36,4.37,4.26,4.33,287096,181008042.0,0
2020-04-23,4.37,4.4,4.19,4.19,579806,362224416.0,0
2020-04-24,4.23,4.35,4.16,4.2,437814,272192064.0,0
2020-04-27,4.21,4.26,4.07,4.17,417690,257368205.0,0
2020-04-28,4.2,4.26,4.07,4.2,379116,234413195.0,0
2020-04-29,4.2,4.27,4.11,4.23,312030,193565222.0,0
2020-04-30,4.33,4.45,4.31,4.41,521439,332084304.0,0
2020-05-06,4.36,4.6,4.36,4.58,807599,524898192.0,0
2020-05-07,4.59,4.73,4.52,4.7,848814,564621936.0,0
2020-05-08,4.69,4.96,4.68,4.91,975284,669974992.0,0
2020-05-11,4.94,5.06,4.92,4.96,935524,653204496.0,0
2020-05-12,5.01,5.15,4.92,4.98,803636,563777152.0,0
2020-05-13,4.95,5.04,4.87,5.02,539435,375628144.0,0
2020-05-14,4.96,5.0,4.87,4.88,549688,378957264.0,0
2020-05-15,4.93,4.98,4.81,4.85,423034,290681008.0,0
2020-05-18,4.92,4.96,4.81,4.88,385128,264725636.0,0
2020-05-19,4.93,5.06,4.9,4.96,509788,355228320.0,0
2020-05-20,4.98,4.99,4.82,4.84,394249,270988752.0,0
2020-05-21,4.88,4.9,4.62,4.65,469117,313702256.0,0
2020-05-22,4.65,4.67,4.38,4.45,528270,342806560.0,0
2020-05-25,4.47,4.56,4.41,4.5,353923,229336357.0,0
2020-05-26,4.51,4.57,4.46,4.51,480764,312624288.0,0
2020-05-27,4.52,4.55,4.36,4.43,398556,256120894.0,0
2020-05-28,4.44,4.57,4.34,4.41,403654,259379830.0,0
2020-05-29,4.4,4.45,4.31,4.38,508828,323649360.0,0
2020-06-01,4.45,4.59,4.44,4.56,585700,381659264.0,0
2020-06-02,4.57,4.61,4.46,4.52,412501,267758563.0,0
2020-06-03,4.54,4.65,4.45,4.48,493048,322906560.0,0
2020-06-04,4.46,4.5,4.4,4.42,315791,202797681.0,0
2020-06-05,4.43,4.46,4.32,4.36,259793,165224089.0,0
2020-06-08,4.44,4.46,4.32,4.35,409384,261076156.0,0
2020-06-09,4.38,4.47,4.36,4.43,498452,319604736.0,0
2020-06-10,4.42,4.45,4.33,4.4,450892,287667680.0,0
2020-06-11,4.4,4.52,4.34,4.41,610446,392605600.0,0
2020-06-12,4.29,4.3,4.19,4.26,699556,435278512.0,0
2020-06-15,4.25,4.27,4.14,4.15,407671,252968698.0,0
2020-06-16,4.21,4.45,4.18,4.43,700925,442403008.0,0
2020-06-17,4.41,4.46,4.33,4.41,332912,212314626.0,0
2020-06-18,4.42,4.44,4.36,4.42,270674,172951100.0,0
2020-06-19,4.43,4.48,4.38,4.44,390358,250849759.0,0
2020-06-22,4.44,4.45,4.31,4.33,387679,246485593.0,0
2020-06-23,4.31,4.39,4.24,4.28,597000,374922624.0,0
2020-06-24,4.28,4.34,4.23,4.26,350184,219392180.0,0
2020-06-29,4.21,4.26,4.19,4.22,319309,198262817.0,0
2020-06-30,4.26,4.47,4.26,4.44,516545,329503200.0,0
2020-07-01,4.51,4.99,4.49,4.91,1331981,904647056.0,0
2020-07-02,5.0,5.24,4.91,5.18,1450317,1027067040.0,0
2020-07-03,5.19,5.48,5.15,5.23,1346682,977130608.0,0
2020-07-06,5.51,5.53,5.23,5.38,1640774,1204939552.0,0
2020-07-07,5.52,5.81,5.52,5.69,1796840,1379399280.0,0
2020-07-08,5.57,5.66,5.42,5.64,1074190,810234368.0,0
2020-07-09,5.64,5.77,5.6,5.71,826962,633879424.0,0
2020-07-10,5.69,5.94,5.61,5.73,871431,679535056.0,0
2020-07-13,5.71,6.11,5.71,6.03,1028454,819707232.0,0
2020-07-14,5.99,5.99,5.71,5.83,902838,706959264.0,0
2020-07-15,6.21,6.54,6.11,6.26,1673590,1394355232.0,0
2020-07-16,6.41,6.57,5.99,6.04,1238597,1023845936.0,0
2020-07-17,6.11,6.32,5.93,6.16,1038729,842780224.0,0
2020-07-20,6.31,6.98,6.31,6.92,1774119,1547424992.0,0
2020-07-21,6.97,6.97,6.69,6.93,1073403,948504192.0,0
2020-07-22,6.91,6.93,6.73,6.79,771256,680363552.0,0
2020-07-23,6.71,6.81,6.39,6.7,1008740,868994144.0,0
2020-07-24,6.62,6.75,6.19,6.25,1068481,898464640.0,0
2020-07-27,6.31,6.5,6.16,6.23,657522,544202784.0,0
2020-07-28,6.35,6.48,6.19,6.33,721157,599290016.0,0
2020-07-29,6.21,6.45,6.11,6.41,844270,702181152.0,0
2020-07-30,6.44,6.54,6.23,6.25,733308,610068832.0,0
2020-07-31,6.29,6.47,6.11,6.27,730993,604070496.0,0
2020-08-03,6.3,6.56,6.29,6.48,752876,637197872.0,0
2020-08-04,6.54,6.55,6.33,6.45,695333,584309472.0,0
2020-08-05,6.38,6.4,6.22,6.31,500103,414445008.0,0
2020-08-06,6.35,6.35,6.12,6.2,497533,407503952.0,0
2020-08-07,6.13,6.31,6.04,6.21,498963,407664464.0,0
2020-08-10,6.17,6.35,6.13,6.33,525680,433133008.0,0
2020-08-11,6.31,6.39,6.18,6.2,523367,432578480.0,0
2020-08-12,6.14,6.21,5.82,6.02,713077,569649072.0,0
2020-08-13,6.05,6.16,5.99,6.05,351167,282839264.0,0
2020-08-14,6.06,6.11,5.9,6.1,315594,252868686.0,0
2020-08-17,6.1,6.43,6.1,6.38,753490,627029968.0,0
2020-08-18,6.42,6.57,6.35,6.53,633540,537317008.0,0
2020-08-19,6.47,6.55,6.37,6.49,526417,445552112.0,0
2020-08-20,6.45,6.56,6.31,6.35,417748,351076208.0,0
2020-08-21,6.5,6.51,6.23,6.35,450845,374825120.0,0
2020-08-24,6.49,6.91,6.45,6.6,1132264,982668688.0,0
2020-08-25,6.65,6.94,6.58,6.78,977870,859259600.0,0
2020-08-26,6.79,6.85,6.49,6.54,673733,582145344.0,0
2020-08-27,6.54,6.6,6.44,6.55,372084,316903824.0,0
2020-08-28,6.51,6.71,6.38,6.68,521075,446263248.0,0
2020-08-31,6.78,6.97,6.53,6.53,692442,605325504.0,0
2020-09-01,6.53,6.68,6.52,6.62,461873,397133984.0,0
2020-09-02,6.62,6.65,6.36,6.53,553214,469424208.0,0
2020-09-03,6.54,6.91,6.49,6.61,813333,707046864.0,0
2020-09-04,6.43,6.56,6.35,6.49,463773,392263120.0,0
2020-09-07,6.47,6.54,6.17,6.21,468851,390662400.0,0
2020-09-08,6.21,6.35,6.14,6.32,377104,310099184.0,0
2020-09-09,6.21,6.23,5.98,6.02,549548,442591360.0,0
2020-09-10,6.1,6.15,5.99,6.0,408413,328872592.0,0
2020-09-11,5.99,6.09,5.95,6.01,339284,271248768.0,0
2020-09-14,6.06,6.1,5.97,6.08,372609,298694576.0,0
2020-09-15,6.05,6.33,5.98,6.31,593701,488232528.0,0
2020-09-16,6.26,6.38,6.18,6.3,365968,302816880.0,0
2020-09-17,6.31,6.59,6.26,6.52,755693,639990112.0,0
2020-09-18,6.5,6.61,6.43,6.59,588588,502766576.0,0
2020-09-21,6.61,6.75,6.51,6.59,510227,439658320.0,0
2020-09-22,6.49,6.57,6.37,6.39,440979,372774016.0,0
2020-09-23,6.45,6.52,6.3,6.33,328445,275123664.0,0
2020-09-24,6.3,6.33,6.08,6.11,390489,318542480.0,0
2020-09-25,6.15,6.17,6.05,6.13,275334,223108925.0,0
2020-09-28,6.15,6.21,6.03,6.06,284685,230471520.0,0
