datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,7.76,7.94,7.75,7.84,253254,204223509,0
2025-11-26 11:30:00,7.84,7.92,7.83,7.91,97519,78832957,0
2025-11-26 14:00:00,7.91,7.94,7.9,7.92,131079,106419031,0
2025-11-26 15:00:00,7.93,7.97,7.9,7.95,234170,190649973,0
2025-11-27 10:30:00,7.92,7.93,7.85,7.87,180938,146239825,0
2025-11-27 11:30:00,7.88,7.89,7.82,7.82,111307,89590851,0
2025-11-27 14:00:00,7.83,7.84,7.78,7.81,119851,96011042,0
2025-11-27 15:00:00,7.81,7.83,7.8,7.81,110760,88836354,0
2025-11-28 10:30:00,7.8,7.86,7.8,7.84,103034,82815995,0
2025-11-28 11:30:00,7.84,7.87,7.81,7.85,52951,42590635,0
2025-11-28 14:00:00,7.85,7.88,7.83,7.88,66995,53973326,0
2025-11-28 15:00:00,7.87,7.91,7.87,7.88,112237,90744205,0
2025-12-01 10:30:00,7.9,7.92,7.81,7.83,170477,137129932,0
2025-12-01 11:30:00,7.82,7.87,7.82,7.85,63406,51012780,0
2025-12-01 14:00:00,7.85,7.87,7.83,7.86,52904,42586741,0
2025-12-01 15:00:00,7.86,7.89,7.85,7.88,75919,61283242,0
2025-12-02 10:30:00,7.87,7.95,7.84,7.94,144613,117141744,0
2025-12-02 11:30:00,7.94,7.96,7.92,7.92,71308,58063885,0
2025-12-02 14:00:00,7.92,7.99,7.9,7.98,117694,95948567,0
2025-12-02 15:00:00,7.98,7.99,7.95,7.98,110860,90640141,0
2025-12-03 10:30:00,7.99,8.13,7.98,8.08,243598,201377834,0
2025-12-03 11:30:00,8.08,8.14,8.06,8.12,91771,76183507,0
2025-12-03 14:00:00,8.12,8.13,8.05,8.05,66140,54843854,0
2025-12-03 15:00:00,8.06,8.06,8.02,8.05,85204,70223709,0
2025-12-04 10:30:00,8.04,8.08,8.02,8.07,122141,100720011,0
2025-12-04 11:30:00,8.08,8.14,8.07,8.12,102846,85497045,0
2025-12-04 14:00:00,8.14,8.22,8.14,8.19,261515,219287851,0
2025-12-04 15:00:00,8.19,8.23,8.18,8.21,176088,148054827,0
2025-12-05 10:30:00,8.2,8.4,8.18,8.36,399142,340908337,0
2025-12-05 11:30:00,8.36,8.38,8.34,8.35,110917,94990958,0
2025-12-05 14:00:00,8.35,8.44,8.35,8.44,224474,193120176,0
2025-12-05 15:00:00,8.44,8.47,8.42,8.44,255064,220559226,0
2025-12-08 10:30:00,8.45,8.46,8.29,8.3,339000,288964792,0
2025-12-08 11:30:00,8.31,8.38,8.29,8.34,142440,121624924,0
2025-12-08 14:00:00,8.34,8.43,8.34,8.4,112266,96466681,0
2025-12-08 15:00:00,8.41,8.42,8.38,8.38,110805,95289152,0
2025-12-09 10:30:00,8.35,8.44,8.33,8.36,200635,172355800,0
2025-12-09 11:30:00,8.37,8.38,8.32,8.36,119907,102478635,0
2025-12-09 14:00:00,8.36,8.38,8.27,8.27,135964,115703329,0
2025-12-09 15:00:00,8.28,8.3,8.24,8.29,269910,228639010,0
2025-12-10 10:30:00,8.28,8.45,8.25,8.38,223622,191787186,0
2025-12-10 11:30:00,8.38,8.39,8.34,8.35,62075,53163854,0
2025-12-10 14:00:00,8.35,8.47,8.33,8.43,192855,166094010,0
2025-12-10 15:00:00,8.43,8.47,8.41,8.46,187906,162645820,0
2025-12-11 10:30:00,8.47,8.53,8.42,8.45,189627,164364484,0
2025-12-11 11:30:00,8.45,8.47,8.38,8.41,91102,78651572,0
2025-12-11 14:00:00,8.4,8.43,8.38,8.38,77585,66722747,0
2025-12-11 15:00:00,8.38,8.4,8.33,8.35,129856,111207142,0
2025-12-12 10:30:00,8.33,8.44,8.32,8.36,181417,155736923,0
2025-12-12 11:30:00,8.38,8.45,8.36,8.44,123546,106573395,0
2025-12-12 14:00:00,8.44,8.5,8.43,8.49,213094,184796363,0
2025-12-12 15:00:00,8.48,8.5,8.44,8.47,189952,164742582,0
2025-12-15 10:30:00,8.44,8.45,8.33,8.39,184302,158155036,0
2025-12-15 11:30:00,8.39,8.44,8.38,8.41,96636,83174255,0
2025-12-15 14:00:00,8.42,8.43,8.37,8.39,61878,53201215,0
2025-12-15 15:00:00,8.39,8.41,8.36,8.37,115315,99057259,0
2025-12-16 10:30:00,8.35,8.35,8.1,8.15,310186,260157719,0
2025-12-16 11:30:00,8.15,8.16,8.11,8.14,112072,93407359,0
2025-12-16 14:00:00,8.14,8.2,8.12,8.17,116873,97631315,0
2025-12-16 15:00:00,8.17,8.2,8.15,8.17,109969,92050774,0
2025-12-17 10:30:00,8.18,8.2,8.12,8.16,113137,94512852,0
2025-12-17 11:30:00,8.16,8.19,8.13,8.17,50765,42434558,0
2025-12-17 14:00:00,8.17,8.28,8.12,8.27,130030,109232776,0
2025-12-17 15:00:00,8.27,8.29,8.22,8.25,136962,115919280,0
2025-12-18 10:30:00,8.22,8.25,8.15,8.24,121574,102156903,0
2025-12-18 11:30:00,8.24,8.28,8.22,8.27,51403,43397812,0
2025-12-18 14:00:00,8.26,8.28,8.21,8.22,61797,52122404,0
2025-12-18 15:00:00,8.21,8.23,8.17,8.19,85446,71786106,0
2025-12-19 10:30:00,8.2,8.3,8.2,8.3,137050,115806743,0
2025-12-19 11:30:00,8.3,8.3,8.26,8.28,57308,48580978,0
2025-12-19 14:00:00,8.28,8.28,8.19,8.19,77645,65396051,0
2025-12-19 15:00:00,8.19,8.23,8.19,8.21,90775,76379519,0
2025-12-22 10:30:00,8.25,8.27,8.11,8.15,176319,147418830,0
2025-12-22 11:30:00,8.14,8.18,8.1,8.14,115023,95877426,0
2025-12-22 14:00:00,8.15,8.23,8.14,8.19,82242,69009220,0
2025-12-22 15:00:00,8.21,8.22,8.18,8.19,97661,82108727,0
2025-12-23 10:30:00,8.2,8.23,8.09,8.22,180475,150713842,0
2025-12-23 11:30:00,8.22,8.27,8.2,8.25,107746,90920205,0
2025-12-23 14:00:00,8.25,8.28,8.22,8.24,129762,109711966,0
2025-12-23 15:00:00,8.24,8.26,8.23,8.24,93643,79049651,0
2025-12-24 10:30:00,8.23,8.33,8.19,8.28,152599,129025041,0
2025-12-24 11:30:00,8.28,8.29,8.23,8.25,57299,48462947,0
2025-12-24 14:00:00,8.25,8.27,8.23,8.25,68927,58243216,0
2025-12-24 15:00:00,8.24,8.26,8.24,8.25,91859,77611218,0
2025-12-25 10:30:00,8.25,8.31,8.22,8.26,121181,102642252,0
2025-12-25 11:30:00,8.26,8.27,8.24,8.25,45384,38372868,0
2025-12-25 14:00:00,8.25,8.28,8.23,8.25,52571,44435709,0
2025-12-25 15:00:00,8.25,8.26,8.22,8.23,87661,74008432,0
