datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,4.76,4.95,4.24,4.31,7149299,4768298118.0,0
2020-02-29,3.68,4.64,3.37,4.29,8413006,5228595701.0,0
2020-03-31,4.35,4.96,3.29,3.7,13179803,7925214912.0,0
2020-04-30,3.61,4.65,3.53,4.41,10543499,6567916317.0,0
2020-05-31,4.36,5.15,4.31,4.38,10315291,6950305437.0,0
2020-06-30,4.45,4.65,4.14,4.44,9008820,5736632446.0,0
2020-07-31,4.51,6.98,4.49,6.27,25604634,20408045072.0,0
2020-08-31,6.3,6.97,5.82,6.53,12525201,10550555902.0,0
2020-09-30,6.53,6.91,5.95,6.12,10240012,8528131101.0,0
2020-10-31,6.33,6.93,5.51,5.62,9990389,8282071104.0,0
2020-11-30,5.67,7.06,5.41,6.78,15146233,11785684464.0,0
2020-12-31,6.83,9.31,6.83,8.12,40121494,39425474944.0,0
2021-01-31,8.22,11.22,8.17,10.66,38930580,45318491456.0,0
2021-02-28,10.68,13.81,10.48,12.6,30354980,42313161584.0,0
2021-03-31,12.73,14.07,9.75,10.93,28761710,38140307152.0,0
2021-04-30,10.9,11.61,9.73,10.03,15392833,19157088400.0,0
2021-05-31,10.0,10.08,8.53,8.97,12583218,13790998880.0,0
2021-06-30,8.97,9.34,7.19,7.46,16580740,15935194464.0,0
2021-07-31,7.47,7.5,5.77,6.15,19777024,16192576432.0,0
2021-08-31,6.15,7.94,5.97,6.42,32394118,27322673984.0,0
2021-09-30,6.47,7.84,6.35,6.79,33956683,29674569664.0,0
2021-10-31,6.83,6.93,5.59,5.83,9890113,7780617984.0,0
2021-11-30,5.83,5.9,5.34,5.52,12575004,8814369087.0,0
2021-12-31,5.56,6.25,5.53,5.71,15333423,11311703004.0,0
2022-01-31,5.71,6.36,5.52,5.59,13317630,9968037258.0,0
2022-02-28,5.68,6.18,5.54,5.58,7241899,5338290230.0,0
2022-03-31,5.59,5.72,4.78,5.18,7866483,5313394166.0,0
2022-04-30,5.14,5.77,4.0,4.34,9566138,6243196924.0,0
2022-05-31,4.34,4.56,4.15,4.47,6820194,3984992123.0,0
2022-06-30,4.48,4.79,4.43,4.7,9329886,5655186432.0,0
2022-07-31,4.73,5.31,4.52,5.0,11852252,7345068317.29,0
2022-08-31,5.0,5.07,4.6,4.63,5295961,3183414250.89,0
2022-09-30,4.63,4.93,4.36,4.4,3777040,2204486618.91,0
2022-10-31,4.4,4.79,4.17,4.21,3081192,1744045340.21,0
2022-11-30,4.22,4.77,4.2,4.7,5951356,3387043245.17,0
2022-12-31,4.75,4.88,4.26,4.3,4753872,2740738514.34,0
2023-01-31,4.3,4.79,4.26,4.68,3206059,1826888758.2,0
2023-02-28,4.71,5.86,4.56,5.57,13182267,8485371659.83,0
2023-03-31,5.57,5.74,4.94,5.07,8284686,5378599974.8,0
2023-04-30,5.1,5.4,4.87,5.34,5793294,3667727794.86,0
2023-05-31,5.33,5.57,4.93,5.19,5770760,3694893576.88,0
2023-06-30,5.21,5.65,5.14,5.61,6451607,4227145597.26,0
2023-07-31,5.61,6.16,5.47,6.07,7543165,5146543614.33,0
2023-08-31,6.08,6.23,5.27,5.64,6822106,4478870516.89,0
2023-09-30,5.64,6.28,5.62,6.03,8148333,5619983972.22,0
2023-10-31,5.99,6.14,5.37,5.6,5137851,3368143543.76,0
2023-11-30,5.63,5.78,5.43,5.63,5200792,3342762436.12,0
2023-12-31,5.63,5.78,5.28,5.71,4927331,3151279466.85,0
2024-01-31,5.73,6.66,5.67,6.38,10830435,7600271782.26,0
2024-02-29,6.34,7.43,6.29,7.18,10534709,8187649242.97,0
2024-03-31,7.2,7.57,6.81,7.39,11006756,8767293574.24,0
2024-04-30,7.43,8.71,7.43,7.69,12947970,11409492821.18,0
2024-05-31,7.7,8.38,7.03,7.21,10424139,8870555452.24,0
2024-06-30,7.18,7.42,6.7,6.86,8152458,6433881437.2,0
2024-07-31,6.89,7.06,5.92,6.23,9211324,6635479767.42,0
2024-08-31,6.25,6.32,5.58,5.82,7876097,5105891236.86,0
2024-09-30,5.81,7.14,5.22,7.08,11723717,7543959148.43,0
2024-10-31,7.83,7.83,6.21,6.45,16096818,11369303289.2,0
2024-11-30,6.46,7.12,6.34,6.48,13745136,9891469524.82,0
2024-12-31,6.46,6.88,6.35,6.73,12982390,9213069678.59,0
2025-01-31,6.71,6.98,6.08,6.82,10163268,7213714753.04,0
2025-02-28,6.75,7.85,6.34,7.5,16253142,12095365244.3,0
2025-03-31,7.5,8.1,6.97,7.02,16230366,13102866933.79,0
2025-04-30,7.05,7.23,6.25,6.83,8717394,6372453675.01,0
2025-05-31,6.91,7.28,6.57,6.63,7267458,5391180370.68,0
2025-06-30,6.61,6.79,6.5,6.73,6948516,4947891297.51,0
2025-07-31,6.73,8.02,6.68,7.15,17959838,13793191419.13,0
2025-08-31,7.17,7.48,7.02,7.15,14211838,10625566090.25,0
2025-09-30,7.28,7.88,6.97,7.81,27223091,20617452778.67,0
2025-10-31,7.85,8.24,7.52,7.97,16500537,13388517374.0,0
2025-11-30,8.02,8.5,7.57,7.88,13469479,11108148765.9,0
2025-12-31,7.9,8.53,7.81,8.43,12238942,10367298411.46,0
2026-01-31,8.44,8.76,8.25,8.57,4798031,4147331172.76,0
