datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,4.66,5.07,4.65,4.91,1796811,1039073216.0,0
2020-01-03,4.93,4.96,4.82,4.89,994205,574220640.0,0
2020-01-06,4.85,5.03,4.54,4.68,2487808,1411194176.0,0
2020-01-07,4.69,4.85,4.68,4.74,1165836,657402528.0,0
2020-01-08,4.71,4.78,4.62,4.66,1000139,558259776.0,0
2020-01-09,4.74,4.78,4.67,4.72,838436,469204080.0,0
2020-01-10,4.74,4.89,4.68,4.84,1110041,631476144.0,0
2020-01-13,4.86,4.92,4.8,4.88,805381,461875984.0,0
2020-01-14,4.84,4.89,4.73,4.74,837138,475717856.0,0
2020-01-15,4.75,4.76,4.58,4.69,713950,395524688.0,0
2020-01-16,4.7,4.73,4.61,4.62,564218,312296160.0,0
2020-01-17,4.64,4.7,4.61,4.68,652103,361934016.0,0
2020-01-20,4.71,4.85,4.71,4.81,820937,466373200.0,0
2020-01-21,4.8,4.8,4.36,4.46,1863124,1010119392.0,0
2020-01-22,4.43,4.57,4.35,4.54,1004665,538911808.0,0
2020-01-23,4.46,4.56,4.26,4.3,1143852,603659280.0,0
2020-02-03,3.78,3.78,3.78,3.78,335561,156706987.0,0
2020-02-04,3.51,3.85,3.51,3.81,1853242,859228160.0,0
2020-02-05,3.84,3.98,3.76,3.83,1463786,697017456.0,0
2020-02-06,3.83,3.93,3.74,3.89,1080778,512782032.0,0
2020-02-07,3.86,3.91,3.79,3.86,916526,433545296.0,0
2020-02-10,3.83,4.09,3.79,4.05,1322133,644519216.0,0
2020-02-11,4.02,4.12,3.98,4.01,1273246,628265312.0,0
2020-02-12,3.99,4.08,3.93,4.06,1069461,523252576.0,0
2020-02-13,4.06,4.17,4.0,4.02,1088398,540166800.0,0
2020-02-14,3.99,4.07,3.96,4.05,939168,461515312.0,0
2020-02-17,4.05,4.2,4.04,4.2,1129391,568662192.0,0
2020-02-18,4.21,4.28,4.16,4.22,1104560,563328960.0,0
2020-02-19,4.21,4.29,4.16,4.17,1120749,572266992.0,0
2020-02-20,4.18,4.34,4.16,4.33,1377116,707221488.0,0
2020-02-21,4.33,4.46,4.29,4.42,1323326,696812144.0,0
2020-02-24,4.39,4.5,4.33,4.46,1167012,617600656.0,0
2020-02-25,4.32,4.37,4.14,4.29,1448208,748415040.0,0
2020-02-26,4.21,4.56,4.16,4.4,2009401,1063716336.0,0
2020-02-27,4.51,4.77,4.43,4.56,2385370,1308712608.0,0
2020-02-28,4.4,4.64,4.32,4.38,1898571,1015000320.0,0
2020-03-02,4.44,4.86,4.44,4.82,2594475,1452261248.0,0
2020-03-03,5.0,5.03,4.67,4.76,2440147,1382549024.0,0
2020-03-04,4.69,4.92,4.65,4.91,1890336,1076220944.0,0
2020-03-05,4.95,5.0,4.84,4.91,1591484,924326848.0,0
2020-03-06,4.85,4.85,4.68,4.74,1260768,711403744.0,0
2020-03-09,4.61,4.63,4.46,4.48,1347403,731284240.0,0
2020-03-10,4.42,4.59,4.32,4.56,1163723,625768800.0,0
2020-03-11,4.6,4.6,4.36,4.38,973027,522765232.0,0
2020-03-12,4.32,4.37,4.18,4.3,1066261,549180528.0,0
2020-03-13,3.98,4.33,3.91,4.23,1128929,567538656.0,0
2020-03-16,4.31,4.32,3.99,4.0,1036089,519491728.0,0
2020-03-17,4.01,4.26,3.89,4.26,1455651,729243408.0,0
2020-03-18,4.29,4.4,4.11,4.11,987389,507871408.0,0
2020-03-19,4.09,4.21,3.99,4.12,986709,493392144.0,0
2020-03-20,4.19,4.31,4.12,4.28,909938,464694544.0,0
2020-03-23,4.16,4.24,4.1,4.13,742348,374588832.0,0
2020-03-24,4.24,4.28,4.15,4.26,731402,374679392.0,0
2020-03-25,4.36,4.39,4.25,4.3,757923,393631120.0,0
2020-03-26,4.26,4.33,4.17,4.18,572034,293429504.0,0
2020-03-27,4.24,4.38,4.21,4.28,1044829,542623936.0,0
2020-03-30,4.21,4.28,4.18,4.25,688465,352586320.0,0
2020-03-31,4.29,4.31,4.14,4.16,599029,304820304.0,0
2020-04-01,4.15,4.23,4.12,4.13,503005,254481424.0,0
2020-04-02,4.11,4.17,4.04,4.17,592036,295198336.0,0
2020-04-03,4.16,4.21,4.11,4.14,506019,255640968.0,0
2020-04-07,4.31,4.64,4.3,4.64,2429299,1314754432.0,0
2020-04-08,4.64,4.83,4.61,4.8,2207259,1240842672.0,0
2020-04-09,4.81,4.86,4.71,4.76,1290430,729922944.0,0
2020-04-10,4.81,4.88,4.69,4.76,1102961,626763184.0,0
2020-04-13,4.88,5.11,4.8,4.93,1875537,1097272048.0,0
2020-04-14,4.95,5.02,4.87,5.0,1315494,768963776.0,0
2020-04-15,5.01,5.04,4.8,4.81,1334311,769038032.0,0
2020-04-16,4.77,4.9,4.76,4.82,939205,536501152.0,0
2020-04-17,4.86,4.98,4.8,4.95,1507257,874363760.0,0
2020-04-20,5.05,5.12,4.89,4.95,1360227,798016000.0,0
2020-04-21,4.9,4.91,4.76,4.85,1023153,583867136.0,0
2020-04-22,4.81,4.93,4.74,4.89,659810,378438160.0,0
2020-04-23,4.92,4.93,4.71,4.74,983899,557743504.0,0
2020-04-24,4.76,4.83,4.72,4.72,720862,407041200.0,0
2020-04-27,4.73,4.77,4.68,4.74,553417,311269600.0,0
2020-04-28,4.71,4.75,4.58,4.69,927035,516102496.0,0
2020-04-29,4.67,4.68,4.55,4.58,726216,399281488.0,0
2020-04-30,4.54,4.7,4.51,4.66,812703,447774048.0,0
2020-05-06,4.61,4.84,4.61,4.84,1093500,617802144.0,0
2020-05-07,4.86,4.9,4.78,4.86,914865,524080352.0,0
2020-05-08,4.87,5.03,4.87,5.02,1304924,764576992.0,0
2020-05-11,5.07,5.61,5.03,5.49,2888568,1815214256.0,0
2020-05-12,5.55,5.86,5.48,5.61,2368351,1538130304.0,0
2020-05-13,5.51,5.73,5.49,5.61,1523055,988398384.0,0
2020-05-14,5.59,5.61,5.44,5.48,1151582,736102928.0,0
2020-05-15,5.5,5.54,5.31,5.38,1429055,899509936.0,0
2020-05-18,5.48,5.53,5.34,5.36,979878,619125088.0,0
2020-05-19,5.48,5.49,5.37,5.41,828848,523645936.0,0
2020-05-20,5.41,5.46,5.23,5.27,983706,608357584.0,0
2020-05-21,5.3,5.31,5.09,5.15,1103417,668474208.0,0
2020-05-22,5.17,5.28,5.02,5.12,1181481,713310000.0,0
2020-05-25,5.12,5.28,4.99,5.26,1229350,741535408.0,0
2020-05-26,5.26,5.32,5.15,5.21,1097744,669448320.0,0
2020-05-27,5.21,5.21,4.91,4.98,1537112,909695472.0,0
2020-05-28,4.95,5.02,4.86,4.95,602991,352195824.0,0
2020-05-29,4.95,5.02,4.91,4.98,702227,410709056.0,0
2020-06-01,5.01,5.16,5.0,5.13,1201188,718530800.0,0
2020-06-02,5.16,5.24,5.1,5.2,1062688,643735280.0,0
2020-06-03,5.22,5.36,5.13,5.15,1388494,852816496.0,0
2020-06-04,5.16,5.17,5.01,5.04,882593,524494432.0,0
2020-06-05,5.02,5.04,4.94,5.03,663038,389857984.0,0
2020-06-08,5.06,5.13,4.98,5.02,660940,392727808.0,0
2020-06-09,5.06,5.15,5.02,5.08,722876,431567936.0,0
2020-06-10,5.08,5.31,5.03,5.29,1385667,845280800.0,0
2020-06-11,5.31,5.4,5.18,5.22,1276588,789061344.0,0
2020-06-12,5.08,5.15,5.05,5.15,900459,539811664.0,0
2020-06-15,5.1,5.13,5.03,5.05,729645,435548688.0,0
2020-06-16,5.07,5.25,5.07,5.24,972360,591196544.0,0
2020-06-17,5.24,5.25,5.12,5.17,731245,442108112.0,0
2020-06-18,5.17,5.2,5.11,5.17,493630,298605712.0,0
2020-06-19,5.15,5.2,5.11,5.17,703788,424676928.0,0
2020-06-22,5.16,5.16,5.0,5.01,1223434,727476080.0,0
2020-06-23,5.01,5.01,4.92,4.94,837452,489084512.0,0
2020-06-24,4.95,5.01,4.92,4.99,565623,331684656.0,0
2020-06-29,5.11,5.14,4.96,4.97,672136,396439520.0,0
2020-06-30,4.99,5.05,4.98,5.02,512823,303108384.0,0
2020-07-01,5.04,5.29,5.03,5.27,1581574,963817872.0,0
2020-07-02,5.22,5.45,5.21,5.41,1534898,961182016.0,0
2020-07-03,5.43,5.51,5.33,5.4,1429078,892243936.0,0
2020-07-06,5.5,5.65,5.44,5.62,1746788,1116345504.0,0
2020-07-07,5.66,5.86,5.56,5.58,2004006,1298555056.0,0
2020-07-08,5.51,5.64,5.45,5.62,1495029,954689088.0,0
2020-07-09,5.62,5.75,5.52,5.75,1908739,1229698880.0,0
2020-07-10,5.71,5.75,5.46,5.5,1691123,1084747168.0,0
2020-07-13,5.51,6.07,5.5,6.04,2967536,1990119552.0,0
2020-07-14,6.04,6.15,5.77,5.92,2138881,1448367712.0,0
