datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,10.3,10.68,10.28,10.58,480819,507746803,0
2025-11-26 11:30:00,10.58,10.7,10.57,10.66,211718,225354124,0
2025-11-26 14:00:00,10.66,10.67,10.54,10.55,166582,176578241,0
2025-11-26 15:00:00,10.55,10.59,10.52,10.53,159851,168853562,0
2025-11-27 10:30:00,10.55,10.66,10.42,10.51,263446,277402728,0
2025-11-27 11:30:00,10.51,10.51,10.32,10.41,170775,177361236,0
2025-11-27 14:00:00,10.42,10.44,10.3,10.32,150748,156375122,0
2025-11-27 15:00:00,10.31,10.32,10.24,10.26,257883,265285804,0
2025-11-28 10:30:00,10.27,10.38,10.18,10.19,156214,160345791,0
2025-11-28 11:30:00,10.18,10.27,10.17,10.24,75827,77548208,0
2025-11-28 14:00:00,10.24,10.26,10.18,10.21,97908,99995553,0
2025-11-28 15:00:00,10.22,10.32,10.22,10.32,154604,158805818,0
2025-12-01 10:30:00,10.3,10.35,9.92,9.99,493133,494901178,0
2025-12-01 11:30:00,9.99,10.07,9.98,10.01,209140,209664259,0
2025-12-01 14:00:00,10.01,10.07,9.95,10.06,255269,255137779,0
2025-12-01 15:00:00,10.06,10.19,10.06,10.17,248368,251791966,0
2025-12-02 10:30:00,10.15,10.45,10.1,10.44,359868,369280160,0
2025-12-02 11:30:00,10.45,10.48,10.4,10.4,277136,289432877,0
2025-12-02 14:00:00,10.4,10.5,10.38,10.49,183955,191970602,0
2025-12-02 15:00:00,10.49,10.55,10.46,10.52,275974,289968824,0
2025-12-03 10:30:00,10.57,10.7,10.46,10.61,215135,227267332,0
2025-12-03 11:30:00,10.61,10.68,10.55,10.67,135692,144288552,0
2025-12-03 14:00:00,10.67,10.68,10.53,10.54,137588,146028612,0
2025-12-03 15:00:00,10.54,10.55,10.46,10.5,173143,182012534,0
2025-12-04 10:30:00,10.54,10.69,10.47,10.64,151328,160220896,0
2025-12-04 11:30:00,10.64,10.75,10.62,10.68,161481,172732391,0
2025-12-04 14:00:00,10.69,10.77,10.66,10.68,125295,134273443,0
2025-12-04 15:00:00,10.69,10.78,10.68,10.73,181354,194573841,0
2025-12-05 10:30:00,10.69,11.14,10.68,11.05,494188,543884094,0
2025-12-05 11:30:00,11.04,11.07,10.94,11.0,143624,157949975,0
2025-12-05 14:00:00,11.0,11.12,10.97,11.1,147781,163376547,0
2025-12-05 15:00:00,11.09,11.12,11.06,11.08,177525,196903059,0
2025-12-08 10:30:00,11.08,11.12,10.9,11.0,288279,315984336,0
2025-12-08 11:30:00,11.0,11.03,10.97,10.99,76110,83696761,0
2025-12-08 14:00:00,10.99,11.03,10.91,10.92,144322,158447698,0
2025-12-08 15:00:00,10.92,11.01,10.91,10.99,152937,167662050,0
2025-12-09 10:30:00,10.94,11.12,10.92,10.97,212774,234708477,0
2025-12-09 11:30:00,10.97,11.0,10.92,10.99,65044,71271348,0
2025-12-09 14:00:00,10.97,10.98,10.85,10.89,85688,93484464,0
2025-12-09 15:00:00,10.88,10.93,10.86,10.89,80390,87535700,0
2025-12-10 10:30:00,10.88,11.29,10.86,11.17,339531,378708963,0
2025-12-10 11:30:00,11.17,11.18,11.07,11.1,124975,138876420,0
2025-12-10 14:00:00,11.09,11.23,11.09,11.18,181000,202559535,0
2025-12-10 15:00:00,11.18,11.25,11.17,11.24,136522,153229553,0
2025-12-11 10:30:00,11.24,11.44,11.22,11.31,268979,305347425,0
2025-12-11 11:30:00,11.31,11.34,11.23,11.24,95703,107979144,0
2025-12-11 14:00:00,11.25,11.28,11.22,11.25,85601,96318801,0
2025-12-11 15:00:00,11.26,11.27,11.15,11.15,143264,160519437,0
2025-12-12 10:30:00,11.14,11.38,11.12,11.29,356173,401203339,0
2025-12-12 11:30:00,11.28,11.4,11.26,11.38,180942,205143514,0
2025-12-12 14:00:00,11.36,11.4,11.29,11.32,225386,255729437,0
2025-12-12 15:00:00,11.32,11.38,11.29,11.31,294241,333369266,0
2025-12-15 10:30:00,11.25,11.38,11.2,11.33,153883,174077513,0
2025-12-15 11:30:00,11.33,11.36,11.2,11.22,116177,131073508,0
