datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,4.66,5.07,4.65,4.89,2791016,1613293856.0,0
2020-01-10,4.85,5.03,4.54,4.84,6602260,3727536704.0,0
2020-01-17,4.86,4.92,4.58,4.68,3572790,2007348704.0,0
2020-01-24,4.71,4.85,4.26,4.3,4832578,2619063680.0,0
2020-02-07,3.78,3.98,3.51,3.86,5649893,2659279931.0,0
2020-02-14,3.83,4.17,3.79,4.05,5692406,2797719216.0,0
2020-02-21,4.05,4.46,4.04,4.42,6055142,3108291776.0,0
2020-02-28,4.39,4.77,4.14,4.38,8908562,4753444960.0,0
2020-03-06,4.44,5.03,4.44,4.74,9777210,5546761808.0,0
2020-03-13,4.61,4.63,3.91,4.23,5679343,2996537456.0,0
2020-03-20,4.31,4.4,3.89,4.28,5375776,2714693232.0,0
2020-03-27,4.16,4.39,4.1,4.28,3848536,1978952784.0,0
2020-04-03,4.21,4.31,4.04,4.14,2888554,1462727352.0,0
2020-04-10,4.31,4.88,4.3,4.76,7029949,3912283232.0,0
2020-04-17,4.88,5.11,4.76,4.95,6971804,4046138768.0,0
2020-04-24,5.05,5.12,4.71,4.72,4747951,2725106000.0,0
2020-05-01,4.73,4.77,4.51,4.66,3019371,1674427632.0,0
2020-05-08,4.61,5.03,4.61,5.02,3313289,1906459488.0,0
2020-05-15,5.07,5.86,5.03,5.38,9360611,5977355808.0,0
2020-05-22,5.48,5.53,5.02,5.12,5077330,3132912816.0,0
2020-05-29,5.12,5.32,4.86,4.98,5169424,3083584080.0,0
2020-06-05,5.01,5.36,4.94,5.03,5198001,3129434992.0,0
2020-06-12,5.06,5.4,4.98,5.15,4946530,2998449552.0,0
2020-06-19,5.1,5.25,5.03,5.17,3630668,2192135984.0,0
2020-06-26,5.16,5.16,4.92,4.99,2626509,1548245248.0,0
2020-07-03,5.11,5.51,4.96,5.4,5730509,3516791728.0,0
2020-07-10,5.5,5.86,5.44,5.5,8845685,5684035696.0,0
2020-07-17,5.51,6.32,5.49,5.65,11517903,7770237920.0,0
2020-07-24,5.72,6.25,5.41,5.49,9313383,6292882112.0,0
2020-07-31,5.5,5.71,5.35,5.52,4359626,2771306608.0,0
2020-08-07,5.56,5.77,5.47,5.58,4693427,3024761904.0,0
2020-08-14,5.59,5.78,5.4,5.52,4261035,2730441840.0,0
2020-08-21,5.54,5.89,5.52,5.58,4716407,3078687824.0,0
2020-08-28,5.59,5.83,5.51,5.66,3533655,2296040912.0,0
2020-09-04,5.57,5.61,5.14,5.27,5753640,3550782656.0,0
2020-09-11,5.27,5.34,4.79,4.93,3292926,1955968496.0,0
2020-09-18,4.98,5.34,4.93,5.34,3166435,1896299888.0,0
2020-09-25,5.36,5.52,4.83,4.9,4557769,2741024384.0,0
2020-10-02,4.9,4.93,4.68,4.72,1651766,929347147.0,0
2020-10-09,4.81,5.0,4.78,4.98,902678,517915584.0,0
2020-10-16,4.98,5.11,4.87,4.94,2748538,1609127741.0,0
2020-10-23,5.0,5.08,4.74,4.77,1928577,1103042782.0,0
2020-10-30,4.77,4.79,4.52,4.53,2139900,1173217634.0,0
2020-11-06,4.26,4.4,3.99,4.34,4733401,2354917010.0,0
2020-11-13,4.39,4.55,4.28,4.32,3182491,1661270550.0,0
2020-11-20,4.32,4.44,4.23,4.32,2405956,1239587921.0,0
2020-11-27,4.33,4.57,4.31,4.48,3288954,1739266320.0,0
2020-12-04,4.5,5.33,4.46,4.91,8856005,5099982416.0,0
2020-12-11,4.9,5.07,4.57,4.72,3762883,2120136404.0,0
2020-12-18,4.71,4.92,4.37,4.75,4224340,2315782784.0,0
2020-12-25,4.74,4.82,4.47,4.57,3101957,1701986272.0,0
2021-01-01,4.55,4.62,4.36,4.54,2581525,1373291776.0,0
