datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,14.45,15.24,14.27,14.9,760017,1172839648.0,0
2020-01-03,15.92,16.45,15.7,16.45,567196,952379488.0,0
2020-01-06,16.92,17.6,16.43,16.7,1297821,2272355120.0,0
2020-01-07,17.36,17.9,16.22,16.6,1106533,1949437696.0,0
2020-01-08,16.46,17.81,16.46,17.57,1352388,2414071248.0,0
2020-01-09,17.25,17.41,16.83,17.17,864862,1530974704.0,0
2020-01-10,16.97,17.26,16.5,16.78,582081,1015382752.0,0
2020-01-13,16.52,17.46,16.52,17.23,616133,1086143760.0,0
2020-01-14,17.41,17.67,16.93,17.53,652688,1168150672.0,0
2020-01-15,17.83,18.17,17.3,17.45,682114,1250261344.0,0
2020-01-16,17.32,17.68,16.84,16.99,573280,1016541792.0,0
2020-01-17,17.07,17.21,16.5,16.56,465702,808929376.0,0
2020-01-20,16.57,16.95,16.12,16.88,510027,878835968.0,0
2020-01-21,16.77,17.39,16.64,17.07,534178,945945856.0,0
2020-01-22,16.82,17.77,16.51,17.57,594765,1060959856.0,0
2020-01-23,17.03,17.07,15.76,15.76,873173,1479464048.0,0
2020-02-03,14.13,14.13,14.13,14.13,27628,40640788.0,0
2020-02-04,12.72,13.85,12.72,13.46,767111,1076183632.0,0
2020-02-05,13.6,14.49,13.53,13.92,586862,856389136.0,0
2020-02-06,13.91,14.4,13.64,14.12,546495,803107328.0,0
2020-02-07,14.05,15.59,13.88,15.59,903628,1388663376.0,0
2020-02-10,15.6,16.58,15.47,16.09,854865,1417277312.0,0
2020-02-11,17.17,17.62,16.36,16.92,865643,1507265024.0,0
2020-02-12,17.28,18.67,17.04,18.67,1322937,2443088608.0,0
2020-02-13,18.82,18.82,17.7,18.11,1001070,1885958544.0,0
2020-02-14,18.61,19.19,17.95,18.28,939740,1798254128.0,0
2020-02-17,18.43,19.77,18.43,19.37,901619,1776415472.0,0
2020-02-18,19.37,20.21,18.92,20.02,941872,1898588464.0,0
2020-02-19,19.66,19.8,19.08,19.1,764080,1527981408.0,0
2020-02-20,20.06,21.07,19.63,20.75,1245340,2613975344.0,0
2020-02-21,21.12,22.82,21.12,21.82,1176375,2641024416.0,0
2020-02-24,22.84,24.06,22.02,24.06,1236697,2940717408.0,0
2020-02-25,23.42,26.52,22.98,26.52,1684318,4324308736.0,0
2020-02-26,25.97,27.3,24.1,24.77,1486160,3903911424.0,0
2020-02-27,25.32,27.31,23.43,26.22,1679758,4437297152.0,0
2020-02-28,24.1,25.25,23.54,23.54,1403517,3436079040.0,0
2020-03-02,24.14,24.49,22.22,23.51,1245232,2995690368.0,0
2020-03-03,23.93,24.87,22.76,22.93,1194860,2926519376.0,0
2020-03-04,22.49,22.73,20.8,21.72,1159405,2584901888.0,0
2020-03-05,22.37,22.67,21.58,22.39,923646,2103829728.0,0
2020-03-06,21.82,23.62,21.58,23.26,1054006,2443042816.0,0
2020-03-09,22.52,22.97,20.88,20.88,973333,2190205024.0,0
2020-03-10,20.93,22.72,20.57,22.49,919763,2054666432.0,0
2020-03-11,22.43,22.76,20.93,21.12,792355,1777930112.0,0
2020-03-12,20.44,21.74,20.33,21.27,621302,1344597712.0,0
2020-03-13,20.92,23.37,20.8,22.89,1257507,2887650368.0,0
2020-03-16,22.54,22.74,20.54,20.54,1175581,2580234224.0,0
2020-03-17,20.62,21.02,18.54,20.04,884043,1783162720.0,0
2020-03-18,20.26,20.78,19.34,19.41,803679,1659741520.0,0
2020-03-19,19.26,20.29,19.03,20.03,703833,1423501616.0,0
2020-03-20,20.49,20.59,19.23,19.67,659982,1349094416.0,0
2020-03-23,18.63,18.91,17.65,17.65,815534,1524562544.0,0
2020-03-24,18.02,18.11,16.48,17.5,853452,1523932160.0,0
2020-03-25,17.97,18.31,17.6,17.69,732409,1353200144.0,0
2020-03-26,17.47,18.01,17.06,17.08,533683,968004848.0,0
2020-03-27,17.39,17.57,16.52,16.58,470104,826511920.0,0
2020-03-30,16.16,16.37,15.34,15.81,634742,1036480896.0,0
2020-03-31,16.12,16.32,15.68,15.72,381699,632946688.0,0
2020-04-01,15.9,17.2,15.87,16.37,777748,1338226960.0,0
2020-04-02,16.41,17.77,16.29,17.73,897533,1587124368.0,0
2020-04-03,17.4,17.5,17.03,17.15,584369,1040334864.0,0
2020-04-07,18.75,18.8,17.99,18.27,957478,1816357456.0,0
2020-04-08,18.16,19.56,18.01,18.59,1047220,2031171440.0,0
2020-04-09,18.72,18.87,18.06,18.4,653183,1238326064.0,0
2020-04-10,18.29,18.63,17.21,17.32,702496,1287376560.0,0
