datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,16.15,16.22,15.95,15.99,97977,157144432,0
2025-11-26 11:30:00,15.99,16.16,15.93,16.1,50831,81441896,0
2025-11-26 14:00:00,16.1,16.13,15.84,15.88,47135,75253710,0
2025-11-26 15:00:00,15.88,15.89,15.78,15.82,53802,85179396,0
2025-11-27 10:30:00,15.82,16.25,15.78,16.07,103366,166631673,0
2025-11-27 11:30:00,16.07,16.11,15.86,15.86,39502,63049249,0
2025-11-27 14:00:00,15.86,15.92,15.77,15.81,42067,66634667,0
2025-11-27 15:00:00,15.81,15.82,15.61,15.65,65170,102255769,0
2025-11-28 10:30:00,15.64,16.55,15.64,16.48,224061,361287133,0
2025-11-28 11:30:00,16.48,16.67,16.33,16.39,108468,178895053,0
2025-11-28 14:00:00,16.38,16.57,16.28,16.54,72614,119353582,0
2025-11-28 15:00:00,16.55,16.55,16.41,16.44,62412,102741453,0
2025-12-01 10:30:00,16.39,16.4,16.15,16.26,133716,217603936,0
2025-12-01 11:30:00,16.26,16.31,16.17,16.29,57453,93250624,0
2025-12-01 14:00:00,16.3,16.36,16.24,16.3,45866,74664603,0
2025-12-01 15:00:00,16.31,16.33,16.26,16.32,58270,94919159,0
2025-12-02 10:30:00,16.21,16.3,15.99,16.25,102410,164870544,0
2025-12-02 11:30:00,16.22,16.27,16.14,16.15,31589,51199165,0
2025-12-02 14:00:00,16.14,16.26,16.12,16.23,25983,42073362,0
2025-12-02 15:00:00,16.23,16.32,16.16,16.18,40830,66191531,0
2025-12-03 10:30:00,16.2,16.33,16.13,16.15,98981,160410911,0
2025-12-03 11:30:00,16.16,16.27,16.08,16.22,39348,63564772,0
2025-12-03 14:00:00,16.21,16.21,16.05,16.06,33481,53980114,0
2025-12-03 15:00:00,16.06,16.1,16.0,16.07,44858,72001025,0
2025-12-04 10:30:00,16.01,16.25,15.81,15.89,98238,157185463,0
2025-12-04 11:30:00,15.89,16.02,15.87,15.94,29427,46930184,0
2025-12-04 14:00:00,15.93,15.94,15.85,15.88,20404,32408798,0
2025-12-04 15:00:00,15.88,15.94,15.83,15.86,47678,75607141,0
2025-12-05 10:30:00,15.89,15.98,15.75,15.88,49129,77818049,0
2025-12-05 11:30:00,15.87,16.03,15.86,16.02,30011,47844453,0
2025-12-05 14:00:00,16.02,16.06,15.94,16.06,30464,48747533,0
2025-12-05 15:00:00,16.06,16.1,16.05,16.07,47290,76020403,0
2025-12-08 10:30:00,16.03,16.46,16.03,16.39,140709,229363908,0
2025-12-08 11:30:00,16.38,16.47,16.35,16.43,59314,97400487,0
2025-12-08 14:00:00,16.44,16.45,16.3,16.3,34300,56160519,0
2025-12-08 15:00:00,16.31,16.33,16.24,16.29,47370,77127187,0
2025-12-09 10:30:00,16.25,16.55,16.23,16.38,85375,140293554,0
2025-12-09 11:30:00,16.38,16.55,16.35,16.47,41866,68917261,0
2025-12-09 14:00:00,16.5,16.63,16.39,16.41,52559,86685814,0
2025-12-09 15:00:00,16.41,16.45,16.38,16.41,41028,67325711,0
2025-12-10 10:30:00,16.46,16.81,16.34,16.44,114549,189340648,0
2025-12-10 11:30:00,16.44,16.86,16.43,16.64,111004,185356230,0
2025-12-10 14:00:00,16.65,16.69,16.55,16.65,50841,84535626,0
2025-12-10 15:00:00,16.66,16.79,16.62,16.71,76464,127792402,0
2025-12-11 10:30:00,16.69,16.75,16.5,16.7,93152,154582441,0
2025-12-11 11:30:00,16.7,16.74,16.6,16.61,37800,63070768,0
2025-12-11 14:00:00,16.61,16.62,16.49,16.56,40532,67069867,0
2025-12-11 15:00:00,16.57,16.61,16.42,16.44,46449,76636132,0
2025-12-12 10:30:00,16.43,16.75,16.41,16.75,116843,194040907,0
2025-12-12 11:30:00,16.74,16.88,16.67,16.84,88694,148959367,0
2025-12-12 14:00:00,16.84,16.85,16.71,16.84,84266,141428038,0
2025-12-12 15:00:00,16.85,16.88,16.65,16.65,164645,275874048,0
2025-12-15 10:30:00,16.36,16.65,16.31,16.61,105297,173582868,0
