datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,14.45,18.17,14.27,15.76,12032958,21002673328.0,0
2020-02-29,14.13,27.31,12.72,23.54,20335715,42717126740.0,0
2020-03-31,24.14,24.87,15.34,15.72,18790150,39970407520.0,0
2020-04-30,15.9,20.07,15.87,19.67,12844043,23817466560.0,0
2020-05-31,19.66,26.0,19.42,23.83,13122823,30727643072.0,0
2020-06-30,24.22,30.57,24.08,28.61,10464962,28760948912.0,0
2020-07-31,28.33,36.77,27.32,35.62,11249361,35854700224.0,0
2020-08-31,35.37,39.11,28.71,31.83,7660714,26873568128.0,0
2020-09-30,31.61,33.07,25.81,26.32,5810081,17091678208.0,0
2020-10-31,26.84,30.17,25.0,26.53,4379474,12386777056.0,0
2020-11-30,26.85,34.6,26.83,32.32,6276450,19805801936.0,0
2020-12-31,32.02,36.3,29.95,33.12,5405715,18519648816.0,0
2021-01-31,33.18,36.89,29.42,31.42,7007322,23856738080.0,0
2021-02-28,31.02,32.64,27.54,30.24,3298101,10132809744.0,0
2021-03-31,30.3,33.27,26.13,30.58,4011507,12150707067.0,0
2021-04-30,30.38,32.54,25.5,27.68,4136966,12090978832.0,0
2021-05-31,27.77,27.77,23.87,25.01,4540458,11772062096.0,0
2021-06-30,25.12,30.26,24.47,29.69,7965486,21822094944.0,0
2021-07-31,29.69,38.61,28.67,35.65,9775001,33923727776.0,0
2021-08-31,35.64,36.62,27.87,28.63,6437082,20652732976.0,0
2021-09-30,29.11,29.47,25.65,27.36,6012001,16960491728.0,0
2021-10-31,27.71,29.93,26.27,28.3,4773341,13958411632.0,0
2021-11-30,28.16,31.74,26.86,28.96,6960732,21019109776.0,0
2021-12-31,28.93,30.25,27.31,29.27,4231771,12423682586.0,0
2022-01-31,29.06,29.22,22.07,22.15,3124616,8436800688.0,0
2022-02-28,22.48,23.47,21.59,22.74,1846743,4282070705.0,0
2022-03-31,22.79,22.87,17.98,20.17,3355237,6961625728.0,0
2022-04-30,20.02,20.25,14.35,15.97,2719859,4923445459.0,0
2022-05-31,16.12,17.0,15.11,16.57,2706291,4486276279.0,0
2022-06-30,16.52,18.82,16.02,18.26,4730570,8463185047.0,0
2022-07-31,18.13,18.28,15.98,17.04,2933500,5209509984.8,0
2022-08-31,17.09,18.73,16.34,16.58,5019857,9101553837.04,0
2022-09-30,16.58,16.76,13.65,13.66,1545051,2443533458.16,0
2022-10-31,13.59,14.49,12.29,13.32,1613897,2271657929.59,0
2022-11-30,13.36,16.59,13.24,15.27,3483871,5472360354.6,0
2022-12-31,15.48,16.65,14.2,14.53,2725635,4288569003.25,0
2023-01-31,14.53,17.94,14.36,16.94,2599810,4326659320.13,0
2023-02-28,17.0,17.88,16.2,16.45,2462315,4276664488.6,0
2023-03-31,16.59,18.2,15.55,17.79,3321253,5718101659.030001,0
2023-04-30,19.0,19.58,15.1,15.49,3769935,6806288942.690001,0
2023-05-31,15.4,15.8,14.68,15.4,1680045,2610832807.77,0
2023-06-30,15.36,16.05,14.48,15.14,1667526,2592039027.42,0
2023-07-31,15.14,16.45,15.04,15.79,2476198,3958237421.92,0
2023-08-31,15.79,15.98,13.56,14.34,1511443,2257514361.59,0
2023-09-30,14.31,14.88,13.81,14.49,1060586,1552700512.88,0
2023-10-31,14.43,15.29,13.59,15.04,1342742,1991724788.51,0
2023-11-30,15.04,15.89,14.23,14.4,1740242,2665606030.59,0
2023-12-31,14.38,14.65,12.8,13.46,1282498,1787247547.57,0
2024-01-31,13.59,13.8,10.09,10.13,1742015,2091653522.5,0
2024-02-29,10.08,12.27,8.52,11.8,2904981,3240816370.76,0
2024-03-31,11.8,12.77,11.12,11.54,3150178,3889391365.2,0
2024-04-30,11.58,12.9,10.83,12.25,2726602,3236972740.41,0
2024-05-31,12.44,12.65,11.47,12.37,1978417,2445698283.1,0
2024-06-30,12.36,13.18,12.12,12.86,4551318,5886575566.72,0
2024-07-31,12.95,15.59,11.9,14.42,6114075,8650463530.15,0
2024-08-31,14.5,14.56,12.95,13.84,2652328,3642134648.65,0
2024-09-30,13.8,15.73,12.44,15.65,2338708,3242691857.3,0
2024-10-31,17.23,17.23,14.5,16.01,5082854,8157935427.349999,0
2024-11-30,15.9,17.54,14.31,15.2,5520325,9006617196.84,0
2024-12-31,15.19,15.59,14.15,14.2,3294281,5008747752.15,0
2025-01-31,14.15,15.28,13.35,14.27,4000583,5721633086.85,0
2025-02-28,14.45,15.73,14.17,14.3,4168291,6329840609.06,0
2025-03-31,14.31,15.36,14.07,14.23,3349714,5014536334.940001,0
2025-04-30,14.29,14.44,11.58,12.96,2405132,3179183298.48,0
2025-05-31,13.89,14.23,12.94,13.21,1612071,2184812213.21,0
2025-06-30,13.15,13.61,12.76,13.59,1500711,2010090720.32,0
2025-07-31,13.56,14.3,13.42,13.92,2267253,3157461006.51,0
2025-08-31,13.91,15.85,13.79,15.32,4466279,6644316016.26,0
2025-09-30,15.32,16.28,13.98,15.65,7411479,11374326079.37,0
2025-10-31,15.8,18.0,14.83,16.93,8560078,14106974655.06,0
2025-11-30,16.74,18.58,15.25,16.44,10153487,17282938052.32,0
2025-12-31,16.39,16.96,15.42,16.28,6099646,9902510131.98,0
2026-01-31,16.35,17.75,16.33,17.43,1788073,3050824930.91,0
