datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,14.45,16.45,14.27,16.45,1327213,2125219136.0,0
2020-01-10,16.92,17.9,16.22,16.78,5203685,9182221520.0,0
2020-01-17,16.52,18.17,16.5,16.56,2989917,5330026944.0,0
2020-01-24,16.57,17.77,15.76,15.76,2512143,4365205728.0,0
2020-02-07,14.13,15.59,12.72,15.59,2831724,4164984260.0,0
2020-02-14,15.6,19.19,15.47,18.28,4984255,9051843616.0,0
2020-02-21,18.43,22.82,18.43,21.82,5029286,10457985104.0,0
2020-02-28,22.84,27.31,22.02,23.54,7490450,19042313760.0,0
2020-03-06,24.14,24.87,20.8,23.26,5577149,13053984176.0,0
2020-03-13,22.52,23.37,20.33,22.89,4564260,10255049648.0,0
2020-03-20,22.54,22.74,18.54,19.67,4227118,8795734496.0,0
2020-03-27,18.63,18.91,16.48,16.58,3405182,6196211616.0,0
2020-04-03,16.16,17.77,15.34,17.15,3276091,5635113776.0,0
2020-04-10,18.75,19.56,17.21,17.32,3360377,6373231520.0,0
2020-04-17,16.84,18.87,16.33,18.02,2828152,5173840816.0,0
2020-04-24,17.98,18.48,17.42,18.14,2056348,3794522496.0,0
2020-05-01,17.92,20.07,17.42,19.67,2339516,4510185536.0,0
2020-05-08,19.66,22.32,19.42,21.68,2511407,5411826656.0,0
2020-05-15,21.88,26.0,21.88,25.17,4001474,9697689872.0,0
2020-05-22,24.72,24.92,21.68,22.06,3641654,8710897232.0,0
2020-05-29,22.26,24.17,21.01,23.83,2968288,6907229312.0,0
2020-06-05,24.22,28.27,24.08,26.8,3444315,9316021200.0,0
2020-06-12,27.41,27.69,24.08,24.99,2480531,6530193360.0,0
2020-06-19,24.66,29.48,24.26,28.6,2462791,6802237648.0,0
2020-06-26,29.03,30.57,27.74,28.82,1370004,4049115184.0,0
2020-07-03,28.78,29.63,27.32,29.12,2448329,7168394048.0,0
2020-07-10,28.65,34.22,28.3,33.18,2867785,9281463520.0,0
2020-07-17,31.53,33.77,27.75,29.47,2794099,8673201200.0,0
2020-07-24,29.84,32.96,28.52,30.92,1769033,5564670448.0,0
2020-07-31,30.92,36.77,30.03,35.62,2077436,7230352528.0,0
2020-08-07,35.37,38.22,33.43,34.42,1723834,6298432560.0,0
2020-08-14,34.23,37.32,33.29,36.24,1312435,4712230080.0,0
2020-08-21,36.42,39.11,32.62,33.92,2116274,7701573424.0,0
2020-08-28,33.82,35.16,28.71,32.2,2209967,7191304208.0,0
2020-09-04,32.21,33.07,30.72,32.53,1268076,4144798208.0,0
2020-09-11,32.31,32.73,27.61,28.92,1269577,3891827952.0,0
2020-09-18,29.38,30.07,25.81,27.52,2090804,5953689104.0,0
2020-09-25,27.86,28.19,26.17,26.28,943807,2626165296.0,0
2020-10-02,26.47,27.08,25.82,26.32,536021,1445225504.0,0
2020-10-09,26.84,27.98,26.67,27.72,311037,875185440.0,0
2020-10-16,28.22,30.17,27.52,28.11,1731239,5117625568.0,0
2020-10-23,28.18,28.4,25.92,26.15,1091565,3026709568.0,0
2020-10-30,26.06,27.92,25.0,26.53,1245633,3367256480.0,0
2020-11-06,26.85,29.62,26.83,29.1,1819097,5285610688.0,0
2020-11-13,29.27,32.5,29.27,30.94,1679689,5294244400.0,0
2020-11-20,31.22,33.67,30.43,32.82,1286696,4218435296.0,0
2020-11-27,32.48,34.6,31.75,32.53,1311160,4410521040.0,0
2020-12-04,32.62,36.12,31.92,35.72,1307128,4571961264.0,0
2020-12-11,35.83,36.3,33.62,34.08,992594,3515505984.0,0
2020-12-18,34.18,34.42,31.78,32.09,950746,3209893264.0,0
2020-12-25,31.89,34.76,31.73,33.52,1007922,3416261824.0,0
2021-01-01,34.53,35.57,29.95,33.12,1327133,4403016992.0,0
2021-01-08,33.18,34.35,29.42,29.83,1596800,5207949024.0,0
2021-01-15,30.29,35.41,30.12,34.7,1851614,6257740784.0,0
2021-01-22,35.02,36.89,33.3,33.77,1604212,5661830736.0,0
2021-01-29,33.42,35.72,31.22,31.42,1954696,6729217536.0,0
2021-02-05,31.02,32.64,28.28,28.28,1193677,3714074608.0,0
2021-02-12,28.28,29.19,27.54,28.71,654261,1894849664.0,0
2021-02-19,29.42,30.2,28.47,30.05,408423,1223147968.0,0
