datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,50.46,52.56,50.37,52.37,463614,3119667664.0,0
2020-01-03,52.85,53.17,51.37,51.57,368704,2494833312.0,0
2020-01-06,51.27,51.54,49.47,50.35,467803,3092810592.0,0
2020-01-07,50.64,52.02,50.47,51.79,410766,2759986208.0,0
2020-01-08,51.07,54.14,51.07,53.27,487809,3335825904.0,0
2020-01-09,54.13,55.03,53.53,54.35,348538,2440521152.0,0
2020-01-10,54.48,55.02,53.89,54.22,200325,1400528272.0,0
2020-01-13,54.39,54.67,53.63,54.23,271152,1887571536.0,0
2020-01-14,54.52,54.91,53.87,54.28,213077,1487443408.0,0
2020-01-15,54.6,54.63,52.94,53.37,278534,1920151792.0,0
2020-01-16,53.81,53.81,51.41,51.79,459585,3099750016.0,0
2020-01-17,52.46,53.03,51.92,52.38,300553,2040298064.0,0
2020-01-20,52.77,52.86,51.5,52.82,259467,1762760736.0,0
2020-01-21,52.27,52.27,50.77,50.97,370209,2472027904.0,0
2020-01-22,50.62,51.57,49.27,51.11,392412,2582805712.0,0
2020-01-23,50.4,50.47,47.99,48.41,531577,3427455376.0,0
2020-02-03,42.47,46.47,42.02,43.24,1097909,6500814848.0,0
2020-02-04,44.44,46.67,44.11,46.04,659832,4043015744.0,0
2020-02-05,46.47,47.97,46.07,47.32,562789,3529336928.0,0
2020-02-06,47.97,48.18,46.17,47.71,494925,3103407424.0,0
2020-02-07,46.87,47.27,46.25,46.85,475444,2956033584.0,0
2020-02-10,46.47,46.77,45.74,46.57,338489,2094108336.0,0
2020-02-11,47.23,48.92,46.98,48.39,447176,2846021216.0,0
2020-02-12,48.36,48.86,47.25,48.29,349949,2226659360.0,0
2020-02-13,48.2,48.85,47.03,47.37,386067,2438184144.0,0
2020-02-14,47.07,47.89,46.78,47.2,300185,1882517392.0,0
2020-02-17,45.97,47.7,45.88,47.59,514074,3216065680.0,0
2020-02-18,47.47,47.49,46.37,46.63,499015,3103673024.0,0
2020-02-19,46.47,46.77,45.58,46.14,399452,2468375712.0,0
2020-02-20,46.37,47.97,46.2,47.97,586762,3682160208.0,0
2020-02-21,47.8,47.8,46.67,47.11,543470,3402734448.0,0
2020-02-24,46.59,46.77,45.79,46.04,662048,4078317984.0,0
2020-02-25,45.32,45.32,44.07,44.72,733078,4406831104.0,0
2020-02-26,43.67,45.75,43.47,44.76,566464,3408276672.0,0
2020-02-27,44.5,45.57,44.5,45.18,356348,2164825440.0,0
2020-02-28,43.91,44.47,42.87,43.67,513706,3039712688.0,0
2020-03-02,43.57,44.84,43.17,44.5,502839,3007688512.0,0
2020-03-03,45.46,45.47,43.84,44.46,474563,2845026400.0,0
2020-03-04,44.02,44.37,43.49,44.29,423394,2517114496.0,0
2020-03-05,44.98,47.47,44.32,47.46,1018445,6302224128.0,0
2020-03-06,46.62,47.07,45.78,45.95,503533,3112954400.0,0
2020-03-09,44.47,44.47,43.47,43.7,587232,3491790272.0,0
2020-03-10,43.46,45.65,43.42,45.24,541438,3253817264.0,0
2020-03-11,45.25,45.35,44.03,44.1,361947,2170270208.0,0
2020-03-12,43.35,43.52,42.45,42.69,496562,2899265456.0,0
2020-03-13,39.89,42.07,39.47,41.38,543464,3057574400.0,0
2020-03-16,41.84,41.85,38.83,38.87,562406,3123352272.0,0
2020-03-17,38.17,40.08,36.42,37.42,605902,3224683440.0,0
2020-03-18,37.47,39.64,36.39,36.91,703231,3761082464.0,0
2020-03-19,36.07,36.42,32.87,34.77,1098838,5488904448.0,0
2020-03-20,35.15,36.27,34.71,36.04,632670,3229182480.0,0
2020-03-23,34.47,34.78,33.55,33.69,484671,2404677408.0,0
