datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,50.46,55.03,47.99,48.41,5824125,39324437648.0,0
2020-02-29,42.47,48.92,42.02,43.67,10487182,64591071936.0,0
2020-03-31,43.57,47.47,32.87,36.67,12407642,68924279328.0,0
2020-04-30,36.02,42.07,35.35,39.24,9976934,54046211568.0,0
2020-05-31,38.29,43.83,38.29,41.41,8774844,49996299808.0,0
2020-06-30,41.98,47.47,41.66,42.24,10095396,59121425728.0,0
2020-07-31,42.27,48.67,41.15,42.58,23687696,139080737872.0,0
2020-08-31,42.83,43.3,38.04,40.17,12244377,67997027488.0,0
2020-09-30,39.97,42.62,38.67,38.97,8044966,44187745344.0,0
2020-10-31,40.14,45.23,39.78,44.1,7532938,43384249872.0,0
2020-11-30,43.77,56.17,43.77,53.31,11798768,77278178256.0,0
2020-12-31,52.87,56.46,45.36,48.61,10593517,66908843712.0,0
2021-01-31,48.47,53.45,42.55,42.97,10129496,62907340464.0,0
2021-02-28,43.18,48.47,42.42,45.67,7366780,43476160832.0,0
2021-03-31,45.72,50.15,42.78,49.37,9669860,58272023808.0,0
2021-04-30,49.36,50.17,44.06,46.58,6590730,39695034976.0,0
2021-05-31,46.32,47.8,41.37,42.97,7984369,45909968048.0,0
2021-06-30,42.97,43.2,36.17,38.77,10054900,53458596800.0,0
2021-07-31,38.79,39.17,32.83,34.17,10264727,50665899824.0,0
2021-08-31,33.8,36.57,29.97,30.77,11303347,51931632672.0,0
2021-09-30,31.17,31.55,27.11,28.42,14203905,56616021840.0,0
2021-10-31,28.55,30.73,25.58,26.32,10359873,40144313136.0,0
2021-11-30,25.99,26.96,23.77,24.23,12134434,43408331968.0,0
2021-12-31,24.08,27.81,23.9,26.7,13637420,49601126912.0,0
2022-01-31,26.7,30.78,26.51,27.5,14288266,55939965392.0,0
2022-02-28,27.94,30.05,25.86,26.44,7416419,28517832896.0,0
2022-03-31,26.37,26.74,20.32,21.97,9780881,32446562288.0,0
2022-04-30,21.77,23.47,20.32,21.88,6712202,21292010224.0,0
2022-05-31,23.17,24.9,22.02,22.84,8087857,26592945536.0,0
2022-06-30,22.85,25.87,21.68,24.39,15787517,51621209792.0,0
2022-07-31,24.35,26.5,23.32,23.93,11572092,39325579864.23,0
2022-08-31,23.87,24.82,22.35,24.6,7867240,24469394013.84,0
2022-09-30,24.57,28.39,24.5,25.1,11228784,37887294135.11,0
2022-10-31,25.27,25.49,21.16,21.34,6444702,19815083011.7,0
2022-11-30,21.42,25.3,21.27,24.84,7987525,24684249637.85,0
2022-12-31,25.17,26.77,24.68,24.99,6551198,21576959477.82,0
2023-01-31,25.19,28.67,24.83,27.3,5005608,17251886817.98,0
2023-02-28,27.47,29.98,26.49,29.19,6624273,23366723832.61,0
2023-03-31,29.19,31.63,29.08,30.42,8831109,32539216255.09,0
2023-04-30,30.52,36.29,30.17,33.01,9095382,36126584187.48,0
2023-05-31,29.67,30.17,26.39,26.65,11576473,40109680299.49,0
2023-06-30,26.57,31.35,26.18,30.18,9167535,32762655817.31,0
2023-07-31,30.19,33.17,29.97,32.43,5933913,22292199999.28,0
2023-08-31,32.33,32.75,28.82,30.46,6263738,22537777609.86,0
2023-09-30,30.57,32.0,30.28,30.97,4051469,14776175372.81,0
2023-10-31,30.87,31.52,27.78,28.6,4397925,15135660665.2,0
2023-11-30,28.52,29.09,26.87,27.62,5656106,18752421708.63,0
2023-12-31,27.65,28.07,25.45,26.84,7531211,24254169925.53,0
2024-01-31,26.84,30.34,26.12,29.92,8668621,29158038268.17,0
2024-02-29,29.85,34.01,29.3,33.72,7433124,27538321907.31,0
2024-03-31,33.75,35.92,32.42,33.98,8520048,33463367284.72,0
2024-04-30,34.17,37.42,32.12,36.79,7739736,30674379906.39,0
2024-05-31,37.27,38.5,35.37,35.37,6838578,28869756665.83,0
2024-06-30,35.4,36.56,33.58,33.89,5470501,22115360345.48,0
2024-07-31,33.69,35.02,31.41,34.69,7901696,30509024383.38,0
2024-08-31,34.49,37.39,34.4,36.71,6647286,27023159479.41,0
2024-09-30,36.81,45.13,35.29,44.95,7982086,33751764420.32,0
2024-10-31,49.74,49.74,40.09,40.51,9467121,45421935753.49,0
2024-11-30,40.51,42.13,37.52,39.09,10390135,44749635684.65,0
2024-12-31,39.09,43.12,38.41,42.46,9203141,40294098490.98,0
2025-01-31,43.49,44.77,40.56,41.9,7985138,36613969526.96,0
2025-02-28,41.55,41.81,37.41,37.86,8817780,37245636760.48,0
2025-03-31,37.85,43.24,37.46,42.47,9904967,42858132975.92,0
2025-04-30,42.34,44.31,39.21,42.57,8619598,38737771124.49,0
2025-05-31,42.9,45.44,42.32,44.43,5694562,26431551809.35,0
2025-06-30,44.24,44.35,42.04,42.93,6167140,27693481057.42,0
2025-07-31,43.06,46.48,42.86,43.63,7214191,33818895064.09,0
2025-08-31,43.73,46.36,42.11,42.6,11405661,52751879965.43,0
2025-09-30,42.59,42.59,39.3,39.72,13268281,54236756343.48,0
2025-10-31,39.73,41.15,39.4,39.75,7942726,32120155023.13,0
2025-11-30,39.65,41.35,39.2,40.36,7690210,30995014674.5,0
2025-12-31,40.42,41.2,40.15,40.22,7819777,31896325924.24,0
2026-01-31,40.34,40.86,40.22,40.48,1879647,7621555136.599999,0
