datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,7.1,7.38,7.1,7.27,8138,11530922.0,0
2020-01-03,7.27,7.34,7.14,7.3,12629,17977834.0,0
2020-01-06,7.3,7.35,7.22,7.25,8545,12187348.0,0
2020-01-07,7.25,7.35,7.24,7.35,5699,8164968.0,0
2020-01-08,7.34,7.55,7.3,7.4,10392,15081048.0,0
2020-01-09,7.4,7.48,7.31,7.36,9626,13942422.0,0
2020-01-10,7.35,7.4,7.21,7.21,8292,11856276.0,0
2020-01-20,7.21,7.4,7.1,7.1,6402,9056317.0,0
2020-01-21,6.71,7.04,6.47,6.73,9538,12678757.0,0
2020-01-22,6.73,6.89,6.58,6.83,5496,7310299.0,0
2020-01-23,6.8,6.99,6.63,6.73,4878,6521293.0,0
2020-02-03,6.06,6.29,6.06,6.06,5541,6588876.0,0
2020-02-04,5.45,6.01,5.45,5.96,8383,9580406.0,0
2020-02-05,5.96,6.3,5.96,6.12,5656,6801003.0,0
2020-02-06,6.12,6.22,6.02,6.12,5144,6156837.0,0
2020-02-07,6.1,6.17,6.03,6.12,6111,7296919.0,0
2020-02-10,6.22,6.25,6.07,6.08,9493,11404170.0,0
2020-02-11,6.11,6.21,6.01,6.09,12091,14480324.0,0
2020-02-12,6.09,6.24,6.06,6.21,7529,9034733.0,0
2020-02-13,6.18,6.18,5.88,5.96,8904,10547065.0,0
2020-02-14,6.56,6.56,6.53,6.56,12273,15783326.0,0
2020-02-17,7.22,7.22,7.22,7.22,980,1386459.0,0
2020-02-18,7.94,7.94,7.42,7.74,66713,102209442.0,0
2020-02-19,7.24,7.44,6.96,6.96,51208,71433239.0,0
2020-02-20,6.73,7.01,6.62,6.96,24579,32949505.0,0
2020-02-21,7.4,7.54,7.12,7.12,35603,51113187.0,0
2020-02-24,7.17,7.83,7.17,7.63,40015,59431390.0,0
2020-02-25,7.45,7.62,7.15,7.48,25835,37513402.0,0
2020-02-26,7.47,7.47,7.09,7.1,16638,23472324.0,0
2020-02-27,6.95,7.14,6.95,6.97,10160,13984654.0,0
2020-02-28,6.74,6.97,6.68,6.78,11874,15802872.0,0
2020-03-02,6.64,6.94,6.64,6.93,8175,10995341.0,0
2020-03-03,7.03,7.08,6.81,6.92,7835,10679931.0,0
2020-03-04,6.81,7.04,6.81,6.96,7299,9953961.0,0
2020-03-05,6.93,7.06,6.9,7.03,9766,13345611.0,0
2020-03-06,6.97,7.06,6.97,7.05,7833,10772909.0,0
2020-03-09,6.87,7.05,6.8,6.81,6420,8692037.0,0
2020-03-10,6.58,6.88,6.57,6.8,8350,10959593.0,0
2020-03-11,6.93,6.94,6.79,6.8,4970,6684941.0,0
2020-03-12,6.69,6.78,6.63,6.68,4144,5428724.0,0
2020-03-13,6.53,6.91,6.38,6.91,11370,14841637.0,0
2020-03-16,6.89,7.04,6.65,6.65,7185,9673123.0,0
2020-03-17,6.54,7.32,6.54,7.32,21685,30325738.0,0
2020-03-18,7.45,8.05,7.4,7.88,50945,76281070.0,0
2020-03-19,7.55,7.76,7.09,7.3,35066,49798764.0,0
2020-03-20,7.24,7.36,6.95,7.27,20748,29131868.0,0
2020-03-23,6.99,7.22,6.87,6.99,15107,20861133.0,0
2020-03-24,7.09,7.2,6.7,6.75,14114,18972405.0,0
2020-03-25,6.85,6.85,6.63,6.73,10954,14441168.0,0
2020-03-26,6.71,6.74,6.64,6.65,8927,11685826.0,0
2020-03-27,6.66,6.76,6.57,6.7,8543,11146272.0,0
2020-03-30,6.68,6.68,6.42,6.44,7460,9501727.0,0
2020-03-31,6.44,6.51,6.34,6.35,5352,6695797.0,0
2020-04-01,6.33,6.51,6.29,6.4,4204,5300419.0,0
2020-04-02,6.47,6.52,6.32,6.47,3865,4857781.0,0
2020-04-03,6.41,6.6,6.41,6.55,3505,4484095.0,0
2020-04-07,6.6,6.68,6.58,6.64,4131,5379491.0,0
2020-04-08,6.57,6.79,6.57,6.71,3917,5107657.0,0
