datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,6.96,7.0,6.92,6.93,40674,28287828,0
2025-11-26 11:30:00,6.93,6.96,6.89,6.93,24282,16792216,0
2025-11-26 14:00:00,6.93,6.93,6.85,6.85,26414,18181176,0
2025-11-26 15:00:00,6.86,6.87,6.79,6.81,46288,31547269,0
2025-11-27 10:30:00,6.77,6.86,6.77,6.82,32942,22460920,0
2025-11-27 11:30:00,6.83,6.85,6.79,6.79,15062,10263915,0
2025-11-27 14:00:00,6.79,6.83,6.78,6.83,14276,9717546,0
2025-11-27 15:00:00,6.83,6.84,6.8,6.8,26117,17802680,0
2025-11-28 10:30:00,6.85,6.85,6.73,6.82,28039,19019271,0
2025-11-28 11:30:00,6.82,6.83,6.8,6.82,12674,8639543,0
2025-11-28 14:00:00,6.82,6.84,6.8,6.82,14186,9678521,0
2025-11-28 15:00:00,6.82,6.88,6.81,6.88,28403,19483454,0
2025-12-01 10:30:00,6.89,6.96,6.85,6.88,43174,29841964,0
2025-12-01 11:30:00,6.88,6.89,6.85,6.87,15254,10481939,0
2025-12-01 14:00:00,6.87,6.89,6.83,6.84,20150,13829090,0
2025-12-01 15:00:00,6.83,6.85,6.82,6.83,21673,14806868,0
2025-12-02 10:30:00,6.83,6.85,6.68,6.74,48881,32907270,0
2025-12-02 11:30:00,6.75,6.81,6.75,6.77,12522,8482397,0
2025-12-02 14:00:00,6.77,6.81,6.76,6.79,17298,11734463,0
2025-12-02 15:00:00,6.79,6.79,6.75,6.76,19426,13142769,0
2025-12-03 10:30:00,6.77,6.8,6.69,6.7,36211,24409893,0
2025-12-03 11:30:00,6.7,6.73,6.67,6.71,16337,10947900,0
2025-12-03 14:00:00,6.72,6.72,6.66,6.67,18960,12685757,0
2025-12-03 15:00:00,6.67,6.7,6.66,6.67,27210,18170539,0
2025-12-04 10:30:00,6.66,6.7,6.57,6.62,40083,26516991,0
2025-12-04 11:30:00,6.62,6.67,6.61,6.63,12804,8503296,0
2025-12-04 14:00:00,6.63,6.65,6.59,6.59,11291,7465757,0
2025-12-04 15:00:00,6.6,6.62,6.55,6.58,20411,13448127,0
2025-12-05 10:30:00,6.58,6.6,6.5,6.59,30607,20063435,0
2025-12-05 11:30:00,6.59,6.63,6.58,6.62,15091,9964601,0
2025-12-05 14:00:00,6.62,6.63,6.59,6.63,18615,12298482,0
2025-12-05 15:00:00,6.64,6.68,6.64,6.66,29272,19491920,0
2025-12-08 10:30:00,6.68,6.75,6.67,6.7,39409,26427569,0
2025-12-08 11:30:00,6.7,6.71,6.66,6.66,13197,8821051,0
2025-12-08 14:00:00,6.66,6.72,6.64,6.7,16540,11039657,0
2025-12-08 15:00:00,6.71,6.71,6.66,6.67,22346,14918454,0
2025-12-09 10:30:00,6.67,6.7,6.6,6.67,29691,19755320,0
2025-12-09 11:30:00,6.67,6.68,6.65,6.67,15335,10230666,0
2025-12-09 14:00:00,6.67,6.75,6.67,6.73,34465,23121288,0
2025-12-09 15:00:00,6.72,6.73,6.66,6.67,26995,18059782,0
2025-12-10 10:30:00,6.67,6.69,6.58,6.67,32365,21475355,0
2025-12-10 11:30:00,6.67,6.71,6.65,6.67,21183,14147851,0
2025-12-10 14:00:00,6.67,6.68,6.6,6.66,17587,11676357,0
2025-12-10 15:00:00,6.65,6.7,6.65,6.69,18013,12039721,0
2025-12-11 10:30:00,6.7,6.8,6.56,6.75,78451,52288353,0
2025-12-11 11:30:00,6.74,6.81,6.71,6.79,37130,25144944,0
2025-12-11 14:00:00,6.78,6.83,6.77,6.81,32378,22012429,0
2025-12-11 15:00:00,6.82,6.98,6.81,6.9,99085,68411419,0
2025-12-12 10:30:00,6.9,7.27,6.85,7.17,183123,129795561,0
2025-12-12 11:30:00,7.17,7.19,6.98,7.0,54853,38753181,0
2025-12-12 14:00:00,7.01,7.06,6.99,7.05,24520,17251996,0
2025-12-12 15:00:00,7.04,7.05,6.92,6.95,49763,34635720,0
2025-12-15 10:30:00,7.0,7.49,6.87,7.3,214470,155121985,0
2025-12-15 11:30:00,7.3,7.34,7.25,7.28,34735,25341867,0
2025-12-15 14:00:00,7.28,7.31,7.25,7.27,24290,17669123,0
2025-12-15 15:00:00,7.27,7.39,7.24,7.37,72381,52932263,0
2025-12-16 10:30:00,7.23,7.36,7.11,7.17,126238,91107240,0
2025-12-16 11:30:00,7.16,7.17,7.05,7.06,42180,29889330,0
2025-12-16 14:00:00,7.06,7.1,7.0,7.04,28190,19843058,0
2025-12-16 15:00:00,7.04,7.06,7.01,7.03,31441,22100011,0
2025-12-17 10:30:00,7.03,7.03,6.69,6.75,106958,72987161,0
2025-12-17 11:30:00,6.75,6.8,6.71,6.77,16693,11262675,0
2025-12-17 14:00:00,6.77,6.8,6.72,6.79,17697,11949872,0
2025-12-17 15:00:00,6.79,6.94,6.79,6.87,39357,27055485,0
2025-12-18 10:30:00,6.88,7.35,6.78,7.27,129026,92375762,0
2025-12-18 11:30:00,7.27,7.28,7.15,7.17,33679,24249108,0
2025-12-18 14:00:00,7.17,7.24,7.12,7.13,29639,21256617,0
2025-12-18 15:00:00,7.13,7.15,7.09,7.11,37697,26811143,0
2025-12-19 10:30:00,7.11,7.16,7.04,7.11,44306,31401706,0
2025-12-19 11:30:00,7.11,7.14,7.08,7.09,21839,15522353,0
2025-12-19 14:00:00,7.1,7.13,7.09,7.11,12248,8709431,0
2025-12-19 15:00:00,7.11,7.13,7.09,7.13,31555,22433832,0
2025-12-22 10:30:00,7.11,7.15,6.98,7.07,60046,42310656,0
2025-12-22 11:30:00,7.06,7.07,7.03,7.04,16742,11804208,0
2025-12-22 14:00:00,7.05,7.05,6.99,7.01,23855,16719946,0
2025-12-22 15:00:00,7.0,7.01,6.99,7.01,28056,19646500,0
2025-12-23 10:30:00,7.01,7.14,6.95,7.03,59785,42208363,0
2025-12-23 11:30:00,7.03,7.1,7.03,7.04,17419,12306867,0
2025-12-23 14:00:00,7.04,7.08,7.01,7.02,11718,8237571,0
2025-12-23 15:00:00,7.01,7.02,6.98,7.01,19699,13786349,0
2025-12-24 10:30:00,6.97,7.07,6.93,7.01,26990,18946970,0
2025-12-24 11:30:00,7.02,7.15,7.0,7.11,36197,25598208,0
2025-12-24 14:00:00,7.12,7.12,7.03,7.03,18389,12981287,0
2025-12-24 15:00:00,7.03,7.06,7.03,7.05,16048,11313138,0
2025-12-25 10:30:00,7.06,7.2,7.03,7.14,58770,41906437,0
2025-12-25 11:30:00,7.14,7.3,7.13,7.23,43485,31391904,0
2025-12-25 14:00:00,7.24,7.26,7.21,7.23,19330,13993576,0
2025-12-25 15:00:00,7.24,7.25,7.23,7.25,26131,18912171,0
2025-12-26 10:30:00,7.29,7.29,7.1,7.15,55452,39675790,0
2025-12-26 11:30:00,7.15,7.19,7.07,7.1,27733,19776534,0
2025-12-26 14:00:00,7.1,7.15,7.09,7.14,11785,8387436,0
2025-12-26 15:00:00,7.14,7.15,7.09,7.13,25212,17928529,0
2025-12-29 10:30:00,7.11,7.18,7.03,7.14,43743,31082541,0
2025-12-29 11:30:00,7.15,7.15,7.11,7.12,8454,6024865,0
2025-12-29 14:00:00,7.11,7.13,7.09,7.13,9561,6793361,0
2025-12-29 15:00:00,7.12,7.16,7.1,7.16,25711,18355281,0
2025-12-30 10:30:00,7.15,7.19,7.05,7.16,44214,31505066,0
2025-12-30 11:30:00,7.16,7.17,7.13,7.14,15101,10797278,0
2025-12-30 14:00:00,7.14,7.15,7.08,7.12,17430,12385458,0
2025-12-30 15:00:00,7.1,7.13,7.07,7.08,19636,13929892,0
2025-12-31 10:30:00,7.06,7.29,7.06,7.16,62704,44948753,0
2025-12-31 11:30:00,7.15,7.23,7.15,7.17,22581,16250348,0
2025-12-31 14:00:00,7.17,7.26,7.16,7.19,32411,23389556,0
2025-12-31 15:00:00,7.19,7.2,7.13,7.15,33920,24264982,0
2026-01-05 10:30:00,7.27,7.74,7.27,7.53,208177,157299039,0
2026-01-05 11:30:00,7.54,7.58,7.49,7.51,23393,17610859,0
2026-01-05 14:00:00,7.52,7.52,7.43,7.44,31528,23545020,0
2026-01-05 15:00:00,7.43,7.52,7.39,7.52,58434,43592099,0
2026-01-06 10:30:00,7.96,8.2,7.85,7.94,259426,207589972,0
2026-01-06 11:30:00,7.94,8.0,7.79,7.8,40343,31851886,0
2026-01-06 14:00:00,7.8,7.82,7.74,7.8,30195,23479104,0
2026-01-06 15:00:00,7.8,7.86,7.73,7.83,56116,43742944,0
2026-01-07 10:30:00,7.81,7.89,7.66,7.71,105415,81868200,0
2026-01-07 11:30:00,7.71,7.73,7.67,7.72,29349,22596959,0
2026-01-07 14:00:00,7.71,7.86,7.71,7.78,36447,28352649,0
2026-01-07 15:00:00,7.78,7.82,7.76,7.8,36767,28636088,0
2026-01-08 10:30:00,7.72,8.0,7.71,7.87,77485,60999075,0
2026-01-08 11:30:00,7.86,7.91,7.84,7.84,18377,14463921,0
2026-01-08 14:00:00,7.85,7.89,7.81,7.86,23302,18315268,0
2026-01-08 15:00:00,7.87,7.89,7.81,7.83,46599,36545934,0
2026-01-09 10:30:00,8.08,8.61,8.08,8.38,285666,242581875,0
2026-01-09 11:30:00,8.39,8.41,8.12,8.16,108427,89725926,0
2026-01-09 14:00:00,8.15,8.2,8.02,8.19,68845,55828820,0
2026-01-09 15:00:00,8.2,8.22,8.13,8.19,69891,57182020,0
