datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,7.1,7.55,6.47,6.73,89635,126307484.0,0
2020-02-29,6.06,7.94,5.45,6.78,364730,506970133.0,0
2020-03-31,6.64,8.05,6.34,6.35,282248,390869576.0,0
2020-04-30,6.33,6.81,5.64,5.95,79785,100444988.0,0
2020-05-31,5.65,6.94,5.42,6.35,99439,118598410.0,0
2020-06-30,6.35,6.51,5.97,6.28,56129,67977835.0,0
2020-07-31,6.25,7.02,5.89,7.01,166914,209034066.0,0
2020-08-31,7.01,7.97,6.9,7.27,103996,152893321.0,0
2020-09-30,7.37,8.28,7.3,7.58,65944,99861712.0,0
2020-10-31,7.59,7.96,7.33,7.43,23231,35009731.0,0
2020-11-30,7.53,7.65,6.97,7.15,61578,88430483.0,0
2020-12-31,7.09,7.44,6.6,6.83,25630,34896807.0,0
2021-01-31,6.88,7.62,6.88,7.36,47381,68318054.0,0
2021-02-28,7.49,7.58,6.43,6.83,110633,148949694.0,0
2021-03-31,7.14,8.27,5.93,6.46,1550649,2123990459.0,0
2021-04-30,6.48,6.88,5.8,5.95,395530,483033753.0,0
2021-05-31,5.92,6.21,5.78,5.95,184897,217620033.0,0
2021-06-30,5.99,8.32,5.9,7.48,1394340,1978911085.0,0
2021-07-31,7.49,9.8,7.27,7.59,1223405,1976969589.0,0
2021-08-31,7.52,9.01,7.31,8.7,732916,1157009646.0,0
2021-09-30,8.67,9.43,7.39,8.27,888120,1486627446.0,0
2021-10-31,8.2,10.34,7.63,9.84,778700,1379987134.0,0
2021-11-30,9.9,11.27,9.43,10.87,814462,1638880193.0,0
2021-12-31,11.06,12.66,10.36,11.72,890135,2026640394.0,0
2022-01-31,11.73,12.29,10.07,10.44,679896,1478126550.0,0
2022-02-28,10.7,12.8,9.47,12.65,1131549,2479675494.0,0
2022-03-31,13.11,13.16,10.51,10.67,1439308,3273069581.0,0
2022-04-30,10.57,11.46,7.74,8.24,984691,1480064613.0,0
2022-05-31,8.24,10.66,8.16,10.43,879927,1200695954.0,0
2022-06-30,10.37,12.38,10.21,11.17,1290265,2053567892.0,0
2022-07-31,11.31,11.73,10.13,11.19,1229224,1903574475.61,0
2022-08-31,11.22,12.35,10.09,10.09,1843584,2847186210.5,0
2022-09-30,9.89,10.94,8.71,8.71,1103572,1534732769.5,0
2022-10-31,8.71,9.39,7.76,8.11,917179,1098895358.29,0
2022-11-30,8.14,9.07,7.94,8.17,880270,1045645358.61,0
2022-12-31,8.29,9.6,7.99,8.12,1802925,2187457146.84,0
2023-01-31,8.13,9.68,8.12,9.1,1407657,1769471747.07,0
2023-02-28,9.05,10.28,9.01,9.66,1358051,1834353877.52,0
2023-03-31,9.65,9.65,8.18,8.6,990085,1238352063.98,0
2023-04-30,8.57,8.63,7.36,7.71,715347,807190079.8000001,0
2023-05-31,7.66,8.22,7.39,7.92,592653,653125581.85,0
2023-06-30,7.91,8.13,7.21,7.38,512939,544244885.62,0
2023-07-31,7.38,7.6,6.27,6.82,1314824,972109289.56,0
2023-08-31,6.81,6.85,5.85,5.9,1617957,1026492247.03,0
2023-09-30,5.86,6.18,5.68,6.06,1075465,640848067.96,0
2023-10-31,6.03,6.06,5.43,5.94,691664,402113420.74,0
2023-11-30,5.94,6.36,5.93,6.05,889082,547599946.41,0
2023-12-31,6.07,6.27,5.52,5.81,1178032,693912030.07,0
2024-01-31,5.81,6.12,4.81,4.82,1046609,588169003.55,0
2024-02-29,4.8,4.91,3.12,4.25,1603249,640232785.24,0
2024-03-31,4.27,4.8,4.02,4.58,1205566,533607280.34,0
2024-04-30,4.58,6.17,3.72,4.14,4386025,2093521239.2,0
2024-05-31,4.2,4.53,4.03,4.06,1261097,542033176.28,0
2024-06-30,4.05,4.06,3.38,3.49,957110,347256449.06,0
2024-07-31,3.5,3.67,3.08,3.4,878267,293049364.2,0
2024-08-31,3.4,3.45,3.1,3.28,877920,290635420.58,0
2024-09-30,3.3,4.05,3.05,4.0,1596464,554899240.44,0
2024-10-31,4.4,4.4,3.69,4.28,3456593,1396359453.79,0
2024-11-30,4.25,6.69,4.25,5.96,9793902,5271439860.53,0
2024-12-31,5.97,6.55,4.87,5.13,5834153,3357154734.04,0
2025-01-31,5.13,5.32,4.37,4.87,1824934,905471758.88,0
2025-02-28,4.91,5.33,4.87,4.98,1684554,863452165.4200001,0
2025-03-31,4.98,6.22,4.96,5.4,3503567,1953464462.98,0
2025-04-30,5.4,5.88,4.32,5.42,2630072,1398310300.52,0
2025-05-31,5.4,6.02,5.39,5.7,1952654,1103769349.11,0
2025-06-30,5.71,6.46,5.58,6.16,3320784,1992485062.15,0
2025-07-31,6.16,7.42,6.08,6.35,5086188,3344388717.7,0
2025-08-31,6.5,7.94,6.43,6.99,4452901,3191116968.04,0
2025-09-30,7.0,8.28,6.6,7.11,4063128,2989158205.13,0
2025-10-31,7.11,7.13,6.46,6.77,1875302,1263659893.73,0
2025-11-30,6.78,9.59,6.57,6.88,6837788,5355662454.38,0
2025-12-31,6.89,7.49,6.5,7.15,3354628,2346780059.86,0
2026-01-31,7.27,8.61,7.27,8.19,1614183,1285807695.98,0
