datetime,open,high,low,close,volume,turnover,open_interest
2022-10-31,13.67,15.67,13.25,13.66,117637,517876140.73,0
2022-11-01,13.64,15.05,13.54,15.05,63793,287301910.74,0
2022-11-02,16.0,16.58,15.19,16.58,71330,355807002.87,0
2022-11-03,16.17,18.13,15.19,15.68,148533,754027771.6,0
2022-11-04,14.2,15.34,14.2,14.86,105288,478032899.31,0
2022-11-07,14.69,15.18,14.3,14.91,78124,355937717.21,0
2022-11-08,14.69,14.81,14.46,14.66,51172,231675911.75,0
2022-11-09,14.5,14.81,14.5,14.74,51590,234022405.59,0
2022-11-10,14.59,15.36,14.53,14.64,60017,277395640.1,0
2022-11-11,14.72,16.13,14.53,15.58,106843,504030419.44,0
2022-11-14,15.13,15.47,14.93,15.28,70174,329951267.36,0
2022-11-15,15.05,15.96,15.05,15.29,73841,354402627.85,0
2022-11-16,15.18,15.18,14.68,14.81,51897,239051611.91,0
2022-11-17,14.81,14.81,14.33,14.66,37224,167204968.93,0
2022-11-18,14.53,14.84,14.09,14.09,35087,157170116.76,0
2022-11-21,13.94,14.2,13.81,14.11,21804,95105362.86,0
2022-11-22,14.06,15.54,14.04,14.5,79565,367160103.43,0
2022-11-23,14.14,14.2,13.41,13.89,58060,247676017.45,0
2022-11-24,13.83,14.13,13.63,13.67,37462,161138433.44,0
2022-11-25,13.45,13.79,13.34,13.63,34573,145185630.87,0
2022-11-28,13.41,13.45,13.25,13.32,23037,95279707.22,0
2022-11-29,13.25,13.53,13.25,13.46,24290,100988303.0,0
2022-11-30,13.49,13.51,13.34,13.37,20916,87034535.65,0
2022-12-01,13.44,13.66,13.41,13.52,25410,106664431.81,0
2022-12-02,13.59,13.7,13.51,13.69,24952,105386644.19,0
2022-12-05,13.75,13.93,13.58,13.7,22985,97561629.3,0
2022-12-06,13.6,14.35,13.57,13.9,41166,178253484.84,0
2022-12-07,13.75,13.75,13.3,13.38,34072,142257933.6,0
2022-12-08,13.3,14.15,13.26,13.64,39528,167821669.56,0
2022-12-09,13.76,13.94,13.51,13.52,28583,121301947.3,0
2022-12-12,13.38,13.8,13.27,13.62,28630,120429719.73,0
2022-12-13,13.51,13.62,13.35,13.37,20147,83893324.42,0
2022-12-14,13.88,14.12,13.47,13.5,32975,140226191.39,0
2022-12-15,13.21,13.58,13.04,13.27,29057,120018955.53,0
2022-12-16,13.05,13.14,12.57,12.59,35053,139112725.17,0
2022-12-19,12.49,12.52,11.97,12.05,24511,92946264.67,0
2022-12-20,11.99,12.19,11.91,12.08,12195,45758039.69,0
2022-12-21,12.03,12.13,11.55,11.62,20757,75955114.29,0
2022-12-22,11.85,11.85,11.42,11.47,14751,53090713.44,0
2022-12-23,11.37,11.46,11.17,11.29,16590,58363426.27,0
2022-12-26,11.23,11.53,11.2,11.51,13072,46571099.75,0
