datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,30.65,30.94,30.36,30.78,31540,96810907,0
2025-11-26 11:30:00,30.78,31.0,30.6,30.78,19689,60571485,0
2025-11-26 14:00:00,30.78,30.85,30.51,30.53,15694,48136162,0
2025-11-26 15:00:00,30.53,30.56,30.38,30.4,26824,81704913,0
2025-11-27 10:30:00,30.46,31.15,30.43,30.92,43909,135521161,0
2025-11-27 11:30:00,30.91,31.25,30.91,30.98,24813,77133000,0
2025-11-27 14:00:00,30.98,31.0,30.81,30.89,11754,36340956,0
2025-11-27 15:00:00,30.89,30.9,30.63,30.71,23349,71745921,0
2025-11-28 10:30:00,30.71,30.71,30.1,30.47,39617,120391498,0
2025-11-28 11:30:00,30.47,30.65,30.47,30.64,9761,29826107,0
2025-11-28 14:00:00,30.64,30.84,30.48,30.55,14954,45779182,0
2025-11-28 15:00:00,30.55,30.8,30.52,30.8,20593,63233033,0
2025-12-01 10:30:00,31.0,31.3,30.93,31.17,39732,123770923,0
2025-12-01 11:30:00,31.18,31.82,31.17,31.76,40556,127729043,0
2025-12-01 14:00:00,31.76,31.81,31.52,31.67,17597,55754611,0
2025-12-01 15:00:00,31.67,31.75,31.6,31.71,28043,88838997,0
2025-12-02 10:30:00,31.52,31.6,31.0,31.09,40843,127302639,0
2025-12-02 11:30:00,31.1,31.22,31.02,31.11,11840,36808519,0
2025-12-02 14:00:00,31.1,31.11,31.0,31.02,12031,37340928,0
2025-12-02 15:00:00,31.02,31.12,31.0,31.11,15719,48789670,0
2025-12-03 10:30:00,30.92,31.08,30.57,30.57,29310,90236999,0
2025-12-03 11:30:00,30.53,30.68,30.5,30.59,11106,33939825,0
2025-12-03 14:00:00,30.59,30.65,30.33,30.37,12206,37223846,0
2025-12-03 15:00:00,30.37,30.68,30.35,30.67,14572,44498330,0
2025-12-04 10:30:00,31.0,31.72,31.0,31.44,62499,196072833,0
2025-12-04 11:30:00,31.44,31.99,31.38,31.75,49161,155995380,0
2025-12-04 14:00:00,31.8,32.26,31.75,31.83,34290,109533332,0
2025-12-04 15:00:00,31.82,32.09,31.8,31.94,48274,154206786,0
2025-12-05 10:30:00,31.42,31.5,30.57,30.76,77411,239196387,0
2025-12-05 11:30:00,30.75,31.23,30.75,31.03,19313,59867988,0
2025-12-05 14:00:00,31.05,31.12,30.85,31.12,18760,58073319,0
2025-12-05 15:00:00,31.15,31.21,31.04,31.19,32615,101553369,0
2025-12-08 10:30:00,31.1,31.35,30.98,31.24,41005,127956781,0
2025-12-08 11:30:00,31.24,31.51,31.22,31.45,22690,71176362,0
2025-12-08 14:00:00,31.45,31.8,31.45,31.53,29704,94030874,0
2025-12-08 15:00:00,31.52,31.59,31.45,31.5,27893,87843281,0
2025-12-09 10:30:00,31.31,31.75,31.25,31.41,37219,117353652,0
2025-12-09 11:30:00,31.41,31.57,31.38,31.49,10372,32625050,0
2025-12-09 14:00:00,31.49,31.49,31.18,31.21,21865,68406675,0
2025-12-09 15:00:00,31.2,31.29,31.17,31.24,15775,49239440,0
2025-12-10 10:30:00,30.99,31.15,30.58,30.78,43228,132908366,0
2025-12-10 11:30:00,30.78,30.99,30.74,30.78,8785,27079299,0
2025-12-10 14:00:00,30.78,30.82,30.66,30.8,7912,24316019,0
2025-12-10 15:00:00,30.8,31.03,30.78,31.03,15764,48796834,0
2025-12-11 10:30:00,31.3,31.3,30.56,30.72,29401,90402751,0
2025-12-11 11:30:00,30.73,30.74,30.58,30.58,10235,31338369,0
2025-12-11 14:00:00,30.58,30.58,30.33,30.52,18191,55361149,0
2025-12-11 15:00:00,30.51,30.56,30.3,30.3,17634,53544632,0
2025-12-12 10:30:00,30.01,30.57,30.01,30.31,15868,48105524,0
2025-12-12 11:30:00,30.31,30.55,30.25,30.46,8452,25692937,0
2025-12-12 14:00:00,30.45,30.46,30.36,30.42,5886,17899021,0
2025-12-12 15:00:00,30.42,30.46,30.21,30.35,14975,45439162,0
2025-12-15 10:30:00,30.23,30.23,29.62,29.79,35239,104834899,0
2025-12-15 11:30:00,29.8,29.93,29.65,29.7,9216,27439937,0
2025-12-15 14:00:00,29.67,29.72,29.62,29.65,9374,27803140,0
2025-12-15 15:00:00,29.65,29.66,29.41,29.42,19220,56763911,0
2025-12-16 10:30:00,29.42,29.57,28.62,28.85,34522,100032930,0
2025-12-16 11:30:00,28.86,28.86,28.51,28.62,10045,28780491,0
2025-12-16 14:00:00,28.63,28.82,28.52,28.76,8793,25221238,0
2025-12-16 15:00:00,28.75,28.84,28.57,28.59,12295,35255798,0
2025-12-17 10:30:00,28.68,29.1,28.58,28.72,23868,68745751,0
2025-12-17 11:30:00,28.72,28.8,28.65,28.78,4659,13388936,0
2025-12-17 14:00:00,28.77,29.0,28.65,28.99,9714,27980586,0
2025-12-17 15:00:00,28.98,29.19,28.95,29.14,21008,61083766,0
2025-12-18 10:30:00,28.91,29.65,28.81,29.5,28618,84088725,0
2025-12-18 11:30:00,29.49,29.5,29.29,29.36,6229,18296843,0
2025-12-18 14:00:00,29.34,29.68,29.26,29.31,14102,41572387,0
2025-12-18 15:00:00,29.31,29.32,29.19,29.19,11893,34773102,0
2025-12-19 10:30:00,29.57,29.59,29.11,29.31,18254,53441092,0
2025-12-19 11:30:00,29.32,29.36,29.21,29.35,5283,15469703,0
2025-12-19 14:00:00,29.35,29.44,29.28,29.29,6445,18910820,0
2025-12-19 15:00:00,29.29,29.33,29.24,29.29,10311,30188708,0
2025-12-22 10:30:00,29.3,29.7,29.29,29.65,21069,62316275,0
2025-12-22 11:30:00,29.65,29.66,29.55,29.61,6619,19600185,0
2025-12-22 14:00:00,29.62,29.63,29.52,29.57,7343,21715683,0
2025-12-22 15:00:00,29.57,29.6,29.46,29.51,12274,36234980,0
2025-12-23 10:30:00,29.51,29.51,29.2,29.26,21225,62247446,0
2025-12-23 11:30:00,29.26,29.29,29.1,29.19,13812,40300883,0
2025-12-23 14:00:00,29.18,29.19,29.01,29.07,10748,31271042,0
2025-12-23 15:00:00,29.07,29.09,29.01,29.05,11081,32182860,0
2025-12-24 10:30:00,29.05,29.68,29.0,29.62,30461,89738243,0
2025-12-24 11:30:00,29.63,30.0,29.55,29.78,28053,83473373,0
2025-12-24 14:00:00,29.78,29.78,29.67,29.68,8038,23887204,0
2025-12-24 15:00:00,29.67,29.7,29.61,29.65,13419,39800317,0
2025-12-25 10:30:00,29.66,30.04,29.65,29.7,29500,88101812,0
2025-12-25 11:30:00,29.7,29.85,29.69,29.79,8104,24107459,0
2025-12-25 14:00:00,29.79,29.94,29.78,29.88,9782,29219534,0
2025-12-25 15:00:00,29.89,29.98,29.88,29.97,20011,59931140,0
2025-12-26 10:30:00,29.94,30.11,29.75,29.93,23508,70381537,0
2025-12-26 11:30:00,29.93,29.99,29.61,29.73,16646,49629222,0
2025-12-26 14:00:00,29.73,29.84,29.65,29.8,8543,25415757,0
2025-12-26 15:00:00,29.8,29.82,29.63,29.7,12669,37624734,0
2025-12-29 10:30:00,29.72,29.93,29.61,29.68,17133,50939623,0
2025-12-29 11:30:00,29.68,29.86,29.63,29.81,9048,26947437,0
2025-12-29 14:00:00,29.8,29.81,29.68,29.74,6197,18437534,0
2025-12-29 15:00:00,29.74,29.75,29.61,29.7,10252,30431399,0
2025-12-30 10:30:00,29.51,29.8,29.4,29.64,15255,45182422,0
2025-12-30 11:30:00,29.64,29.72,29.58,29.6,5837,17310597,0
2025-12-30 14:00:00,29.6,29.78,29.46,29.69,13121,38878568,0
2025-12-30 15:00:00,29.69,29.75,29.63,29.67,9847,29242891,0
2025-12-31 10:30:00,30.0,30.34,29.33,29.61,29468,87340579,0
2025-12-31 11:30:00,29.6,29.63,29.51,29.52,5186,15323123,0
2025-12-31 14:00:00,29.52,29.68,29.44,29.67,5932,17536271,0
2025-12-31 15:00:00,29.67,29.74,29.51,29.59,10672,31589601,0
2026-01-05 10:30:00,29.71,30.29,29.66,30.18,43414,130424630,0
2026-01-05 11:30:00,30.19,30.21,30.12,30.18,13680,41292359,0
2026-01-05 14:00:00,30.18,30.41,30.18,30.29,19811,59997385,0
2026-01-05 15:00:00,30.29,30.32,30.27,30.31,22315,67599886,0
2026-01-06 10:30:00,30.34,30.87,30.34,30.41,49277,150968396,0
2026-01-06 11:30:00,30.41,30.58,30.23,30.57,17100,51980798,0
2026-01-06 14:00:00,30.59,30.86,30.49,30.62,27452,84252958,0
2026-01-06 15:00:00,30.62,30.71,30.59,30.71,25234,77419293,0
2026-01-07 10:30:00,31.58,31.76,30.7,30.93,81891,255599525,0
2026-01-07 11:30:00,30.9,31.09,30.78,30.93,15575,48172227,0
2026-01-07 14:00:00,30.92,30.94,30.47,30.67,23416,71824330,0
2026-01-07 15:00:00,30.66,30.8,30.59,30.63,20295,62228311,0
2026-01-08 10:30:00,30.39,30.86,30.36,30.64,35289,108214286,0
2026-01-08 11:30:00,30.64,30.95,30.62,30.83,18690,57460975,0
2026-01-08 14:00:00,30.83,30.83,30.7,30.76,11950,36749340,0
2026-01-08 15:00:00,30.76,30.76,30.53,30.74,17566,53871496,0
2026-01-09 10:30:00,30.51,30.68,30.37,30.58,35851,109487924,0
2026-01-09 11:30:00,30.57,30.68,30.33,30.38,26903,82073666,0
2026-01-09 14:00:00,30.38,30.64,30.36,30.63,12403,37818904,0
2026-01-09 15:00:00,30.63,30.72,30.61,30.72,20433,62695792,0
