datetime,open,high,low,close,volume,turnover,open_interest
2022-10-31,13.67,15.67,13.25,13.66,117637,517876140.73,0
2022-11-30,13.64,18.13,13.25,13.37,1304620,6025580365.34,0
2022-12-31,13.44,14.35,11.17,11.47,531147,2135697129.27,0
2023-01-31,11.45,16.06,11.4,13.61,1077653,4737304965.99,0
2023-02-28,13.76,14.39,12.24,12.4,560878,2326753526.75,0
2023-03-31,12.41,14.68,12.1,12.8,780019,3241136418.77,0
2023-04-30,13.18,13.63,10.4,10.88,336682,1305598704.7,0
2023-05-31,10.97,11.99,10.16,11.47,359717,1011286670.26,0
2023-06-30,11.51,12.98,10.87,11.64,681816,1755467388.85,0
2023-07-31,11.62,12.8,10.72,11.09,450055,1127496637.85,0
2023-08-31,11.14,11.23,9.56,10.98,382879,871617929.75,0
2023-09-30,10.93,13.67,10.09,13.67,820673,2045829961.38,0
2023-10-31,14.73,22.12,13.88,14.77,2704570,9516214091.65,0
2023-11-30,14.42,17.13,13.24,13.88,2024768,6509917121.74,0
2023-12-31,13.94,14.46,12.92,14.05,809397,2354893090.63,0
2024-01-31,13.94,15.79,9.52,9.55,1158377,3232913780.66,0
2024-02-29,9.42,10.96,6.76,10.2,1042767,2070618336.12,0
2024-03-31,10.33,15.46,10.19,12.41,2527636,6992212769.26,0
2024-04-30,12.39,13.02,9.92,11.51,817134,2007976748.12,0
2024-05-31,11.65,12.82,10.65,12.01,856191,1783695199.57,0
2024-06-30,11.96,16.9,11.34,14.64,4762218,9930539078.3,0
2024-07-31,14.37,15.83,12.41,15.19,3587235,7280886205.84,0
2024-08-31,14.99,20.65,12.98,17.51,4814891,11828746811.29,0
2024-09-30,17.48,22.91,15.87,21.11,4891911,13051552659.02,0
2024-10-31,23.2,23.23,18.96,20.96,3444456,10666392536.74,0
2024-11-30,20.68,21.68,17.15,18.81,1563590,4471420832.82,0
2024-12-31,18.82,20.7,17.2,17.23,1163952,3185111045.7,0
2025-01-31,17.2,18.57,15.37,16.12,751166,1842859118.4,0
2025-02-28,16.41,19.96,16.12,17.98,1725315,4606113334.68,0
2025-03-31,18.09,23.64,17.2,17.81,2985326,8819696024.75,0
2025-04-30,17.69,19.68,13.13,19.26,1955708,4923747778.89,0
2025-05-31,18.99,20.99,18.23,19.2,2982246,7893710452.0,0
2025-06-30,19.0,32.44,18.79,32.44,6448921,15000090737.15,0
2025-07-31,34.0,38.68,28.25,28.28,7582024,25021486798.68,0
2025-08-31,28.28,42.61,28.05,35.01,7671043,26616691486.31,0
2025-09-30,35.54,39.67,30.95,35.75,4819754,16971501963.84,0
2025-10-31,36.0,36.1,31.0,32.31,1891021,6283580379.2,0
2025-11-30,32.0,37.98,29.31,30.8,4369442,15086358158.11,0
2025-12-31,31.0,32.26,28.51,29.59,1768677,5386662619.26,0
2026-01-31,29.71,31.76,29.66,30.72,538545,1650132532.41,0
