datetime,open,high,low,close,volume,turnover,open_interest
2022-11-04,13.67,18.13,13.25,14.86,506581,2393045725.25,0
2022-11-11,14.69,16.13,14.3,15.58,347746,1603062094.09,0
2022-11-18,15.13,15.96,14.09,14.09,268223,1247780592.81,0
2022-11-25,13.94,15.54,13.34,13.63,231464,1016265548.05,0
2022-12-02,13.41,13.7,13.25,13.69,118605,495353621.87,0
2022-12-09,13.75,14.35,13.26,13.52,166334,707196664.6,0
2022-12-16,13.38,14.12,12.57,12.59,145862,603680916.24,0
2022-12-23,12.49,12.52,11.17,11.29,88804,326113558.36,0
2022-12-30,11.23,11.95,11.2,11.47,79785,286654914.07,0
2023-01-06,11.45,12.03,11.4,11.79,79437,289754940.59,0
2023-01-13,11.74,16.06,11.71,15.17,577861,2623896402.82,0
2023-01-20,14.85,15.14,13.04,13.43,328301,1435802952.07,0
2023-02-03,13.54,14.39,13.34,13.86,288593,1235406310.22,0
2023-02-10,13.65,13.74,13.05,13.39,166124,688502735.97,0
2023-02-17,13.39,13.65,12.34,12.37,113349,461139155.12,0
2023-02-24,12.28,12.87,12.24,12.67,63705,248199476.29,0
2023-03-03,12.57,12.77,12.25,12.75,69092,268115183.7,0
2023-03-10,12.63,12.75,12.1,12.39,67990,262992648.15,0
2023-03-17,12.36,14.36,12.1,13.76,295678,1244226242.09,0
2023-03-24,13.59,14.68,13.15,13.91,230098,982159432.04,0
2023-03-31,13.77,13.83,12.68,12.8,138322,564999432.45,0
2023-04-07,13.18,13.63,12.82,13.33,112040,462350828.53,0
2023-04-14,13.47,13.53,12.36,12.73,90534,359597264.98,0
2023-04-21,12.69,12.69,11.37,11.41,75236,284588401.04,0
2023-04-28,11.4,11.46,10.4,10.88,58872,199062210.15,0
2023-05-05,10.97,10.97,10.62,10.62,17865,59891772.57,0
2023-05-12,10.66,10.77,10.28,10.3,50264,164857132.26,0
2023-05-19,10.3,11.15,10.16,11.12,68345,229102558.31,0
2023-05-26,11.12,11.99,10.82,11.37,139214,350444026.71,0
2023-06-02,11.35,11.91,11.26,11.68,129088,317577794.96,0
2023-06-09,11.65,12.98,11.61,12.31,290966,770366365.16,0
2023-06-16,12.31,12.84,11.57,11.83,183953,474449629.37,0
2023-06-23,11.76,12.32,11.54,11.54,83732,211334741.98,0
2023-06-30,11.4,11.71,10.87,11.64,78106,188730037.79,0
2023-07-07,11.62,12.13,11.36,11.44,91263,226834896.78,0
2023-07-14,11.59,12.02,11.18,11.96,89708,222060558.61,0
2023-07-21,11.87,12.8,11.54,11.57,194101,499626507.15,0
2023-07-28,11.48,11.64,10.72,11.02,66533,159057254.24,0
2023-08-04,11.03,11.14,10.7,10.84,45876,106308321.99,0
2023-08-11,10.81,11.23,10.64,10.66,63692,147920475.18,0
2023-08-18,10.68,11.23,10.52,11.07,87135,203583150.83,0
2023-08-25,11.11,11.11,9.57,9.63,90425,199173075.31,0
2023-09-01,10.1,11.28,9.56,11.06,128708,292445730.15,0
2023-09-08,11.06,11.55,10.76,11.27,99113,235471006.35,0
2023-09-15,11.14,12.41,10.55,10.57,262536,642212237.76,0
2023-09-22,10.49,10.76,10.18,10.45,68212,151663585.75,0
2023-09-29,10.48,13.67,10.09,13.67,366305,958587728.88,0
2023-10-13,14.73,18.55,14.37,18.55,915378,3252080940.62,0
2023-10-20,18.41,22.12,15.0,16.35,776208,3042270916.95,0
2023-10-27,14.99,16.98,14.16,14.42,771908,2485529318.13,0
2023-11-03,14.03,14.87,13.24,13.8,536850,1600189856.06,0
2023-11-10,13.87,15.99,13.87,15.99,526419,1659274162.77,0
2023-11-17,16.96,17.13,15.28,15.94,699152,2405194274.24,0
2023-11-24,15.8,16.06,14.28,14.35,318962,1026825252.56,0
2023-12-01,14.35,14.53,13.68,14.14,217345,652625665.69,0
2023-12-08,14.18,14.46,13.35,13.56,184382,541035856.25,0
2023-12-15,13.5,14.01,13.28,13.54,122176,356157696.0,0
2023-12-22,13.51,13.62,12.98,13.12,101018,286320404.89,0
2023-12-29,13.06,14.27,12.92,14.05,368937,1073519959.86,0
2024-01-05,13.94,15.79,13.56,14.8,484730,1513616339.07,0
2024-01-12,14.47,14.47,11.59,12.16,346648,942301550.52,0
2024-01-19,12.09,12.37,11.37,11.46,127136,320534856.5,0
2024-01-26,11.53,11.54,10.33,11.05,135497,314915958.69,0
2024-02-02,11.1,11.16,8.57,9.0,112460,237093446.59,0
2024-02-09,8.9,8.95,6.76,7.71,204143,324670608.89,0
2024-02-23,7.87,10.31,7.87,10.04,430742,858153799.4100001,0
2024-03-01,9.89,10.96,9.14,10.54,439244,969106216.3199999,0
2024-03-08,10.8,15.46,10.5,13.69,849818,2411806025.74,0
2024-03-15,13.0,13.22,11.96,12.32,551665,1479009658.99,0
2024-03-22,12.46,14.03,12.34,13.88,609105,1710793536.47,0
2024-03-29,13.66,14.37,11.33,12.41,437592,1213742888.85,0
2024-04-05,12.39,12.65,11.7,12.32,145820,381520068.15,0
2024-04-12,12.13,13.02,11.71,11.76,248017,644020446.21,0
2024-04-19,11.59,11.78,9.92,10.58,184890,421043858.41,0
2024-04-26,10.41,11.5,10.09,11.39,155289,358518736.14,0
2024-05-03,11.34,11.69,11.18,11.51,83118,202873639.21,0
2024-05-10,11.65,12.11,11.21,11.29,161245,394815063.19,0
2024-05-17,11.18,11.25,10.78,11.2,101147,237213906.15,0
