datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,7.34,7.7,7.2,7.53,2741429,2095330640.0,0
2020-01-03,7.44,7.59,7.26,7.4,2384795,1811913936.0,0
2020-01-06,7.31,7.96,7.27,7.7,2768034,2175140608.0,0
2020-01-07,7.7,7.75,7.51,7.64,1724506,1342972560.0,0
2020-01-08,7.51,7.53,7.17,7.18,2492283,1867653536.0,0
2020-01-09,7.31,7.36,7.21,7.33,1301351,972936336.0,0
2020-01-10,7.35,7.82,7.35,7.66,2724337,2132581216.0,0
2020-01-13,7.7,8.31,7.56,8.19,3091480,2526150416.0,0
2020-01-14,8.14,8.63,8.06,8.2,3028221,2574310272.0,0
2020-01-15,8.31,9.04,8.11,9.04,3060899,2650532528.0,0
2020-01-16,9.04,9.18,8.71,8.75,2975494,2702453712.0,0
2020-01-17,8.81,8.98,8.58,8.74,1931315,1732753568.0,0
2020-01-20,8.81,9.16,8.74,9.14,2229441,2049485472.0,0
2020-01-21,9.04,9.28,8.89,8.94,1911615,1768878736.0,0
2020-01-22,8.74,9.56,8.63,9.34,2509585,2327301504.0,0
2020-01-23,9.11,9.91,8.84,9.22,2888640,2768612608.0,0
2020-02-03,8.28,8.28,8.28,8.28,216698,183543206.0,0
2020-02-04,7.54,8.68,7.54,8.58,2809078,2398625696.0,0
2020-02-05,8.51,8.95,8.43,8.59,2368323,2104867824.0,0
2020-02-06,8.55,9.19,8.41,9.19,2569875,2310530848.0,0
2020-02-07,9.06,9.46,8.98,9.36,2619533,2472700848.0,0
2020-02-10,9.21,9.6,9.07,9.37,2097826,2001471344.0,0
2020-02-11,9.37,9.58,9.22,9.46,2016878,1940681728.0,0
2020-02-12,9.39,10.36,9.26,10.05,3092608,3043931600.0,0
2020-02-13,10.02,10.45,9.81,10.05,2837021,2936664608.0,0
2020-02-14,10.1,11.01,10.07,10.47,3129304,3336767264.0,0
2020-02-17,10.6,10.78,10.33,10.71,2038860,2193740000.0,0
2020-02-18,10.69,11.28,10.57,11.26,2787062,3124680864.0,0
2020-02-19,11.16,12.36,11.07,11.69,3475205,4155510272.0,0
2020-02-20,11.77,12.8,11.42,12.71,3384955,4124936576.0,0
2020-02-21,12.76,14.0,12.56,13.96,3693256,5068380416.0,0
2020-02-24,13.97,15.38,13.74,15.38,3848228,5661820928.0,0
2020-02-25,14.84,16.94,14.51,16.94,5262770,8413452800.0,0
2020-02-26,16.96,17.31,15.23,15.36,5218275,8462486272.0,0
2020-02-27,15.08,15.49,13.86,14.52,4870866,7242963968.0,0
2020-02-28,13.86,14.11,13.05,13.27,4904253,6688859904.0,0
2020-03-02,13.67,13.76,12.83,13.21,4043066,5483631872.0,0
2020-03-03,13.41,14.04,12.96,13.22,4018610,5507832064.0,0
2020-03-04,12.86,13.29,12.19,13.1,3679622,4779689728.0,0
2020-03-05,13.22,13.56,12.59,13.55,4406060,5852967168.0,0
2020-03-06,13.04,13.44,12.96,12.97,2650567,3541298400.0,0
2020-03-09,12.51,12.75,11.65,11.71,3070604,3786865648.0,0
2020-03-10,11.81,12.9,11.81,12.9,4247827,5353404416.0,0
2020-03-11,13.21,13.26,12.31,12.31,3998804,5218169600.0,0
2020-03-12,11.97,12.77,11.84,12.55,2594312,3273955392.0,0
2020-03-13,12.01,13.22,12.01,13.15,3633582,4710479104.0,0
2020-03-16,13.19,13.37,12.09,12.19,3141546,4081525936.0,0
2020-03-17,12.61,12.76,11.18,12.09,2628878,3193773728.0,0
2020-03-18,12.18,12.41,11.36,11.39,2795801,3384217792.0,0
2020-03-19,11.42,11.9,11.16,11.81,2375401,2787491568.0,0
2020-03-20,11.97,12.04,11.29,11.43,1969006,2315311504.0,0
2020-03-23,11.01,11.26,10.27,10.34,2206670,2403137312.0,0
2020-03-24,10.6,10.64,9.85,10.48,2120899,2231340032.0,0
2020-03-25,10.81,11.09,10.62,10.72,1953991,2149908848.0,0
2020-03-26,10.52,10.9,10.31,10.36,1574733,1694589808.0,0
2020-03-27,10.6,10.64,10.16,10.16,1352098,1427439520.0,0
2020-03-30,9.96,10.08,9.49,9.9,1958919,1958551600.0,0
2020-03-31,10.08,10.28,9.66,9.67,1642275,1664005728.0,0
2020-04-01,9.68,10.66,9.6,10.55,3788888,4030309280.0,0
2020-04-02,10.4,11.35,10.34,11.12,4040843,4420828672.0,0
2020-04-03,10.82,10.98,10.52,10.58,2621341,2865285600.0,0
2020-04-07,10.89,11.0,10.71,11.0,2048777,2268063280.0,0
2020-04-08,10.84,11.76,10.8,11.39,2723407,3113011184.0,0
2020-04-09,11.4,11.56,11.11,11.19,1698317,1950994976.0,0
2020-04-10,11.16,11.19,10.26,10.39,2000022,2167169536.0,0
2020-04-13,10.12,10.19,9.85,9.97,1181920,1201692160.0,0
2020-04-14,10.34,10.99,10.29,10.99,2093406,2253468464.0,0
2020-04-15,11.11,12.11,10.99,11.62,4579169,5413024512.0,0
2020-04-16,11.51,12.66,11.43,12.26,4192722,5132970496.0,0
2020-04-17,12.42,12.9,11.9,12.16,4222068,5325671168.0,0
2020-04-20,12.3,12.46,12.01,12.41,2863334,3576077968.0,0
2020-04-21,12.24,12.3,11.61,11.99,2723602,3300944480.0,0
2020-04-22,11.71,12.26,11.67,12.26,2251861,2752048480.0,0
2020-04-23,12.24,12.24,11.83,11.85,1869267,2275540176.0,0
2020-04-24,11.84,12.15,11.75,11.88,1686391,2045322752.0,0
2020-04-27,11.82,11.86,11.11,11.38,1592012,1856955504.0,0
2020-04-28,11.49,12.34,10.92,12.07,2966422,3573831632.0,0
2020-04-29,11.9,12.25,11.9,11.91,1852129,2263360256.0,0
2020-04-30,12.13,13.06,12.07,12.78,3442505,4416566272.0,0
2020-05-06,12.58,13.68,12.51,13.53,3390726,4546604032.0,0
2020-05-07,13.73,13.8,13.21,13.22,2916730,3971678576.0,0
2020-05-08,13.44,13.67,13.17,13.27,2330260,3167444064.0,0
