datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,10.8,10.9,10.74,10.84,143275,155097128,0
2025-11-26 11:30:00,10.84,10.88,10.81,10.85,82249,89210081,0
2025-11-26 14:00:00,10.86,10.87,10.8,10.81,72053,78062856,0
2025-11-26 15:00:00,10.8,10.81,10.74,10.75,106151,114340032,0
2025-11-27 10:30:00,10.88,11.09,10.88,10.98,388450,427235718,0
2025-11-27 11:30:00,10.98,11.05,10.94,10.95,93610,102869602,0
2025-11-27 14:00:00,10.95,10.96,10.91,10.91,71464,78149396,0
2025-11-27 15:00:00,10.92,10.93,10.83,10.87,129567,140937127,0
2025-11-28 10:30:00,10.82,10.92,10.77,10.88,188102,203836527,0
2025-11-28 11:30:00,10.88,10.91,10.87,10.9,64104,69814443,0
2025-11-28 14:00:00,10.9,10.92,10.87,10.9,71405,77748627,0
2025-11-28 15:00:00,10.89,10.92,10.88,10.91,81614,88982507,0
2025-12-01 10:30:00,11.02,11.08,10.96,11.05,219090,241649826,0
2025-12-01 11:30:00,11.04,11.2,11.04,11.18,191507,213283344,0
2025-12-01 14:00:00,11.18,11.18,11.13,11.17,110029,122797530,0
2025-12-01 15:00:00,11.18,11.27,11.18,11.26,216652,243319058,0
2025-12-02 10:30:00,11.2,11.22,11.11,11.18,220740,246392256,0
2025-12-02 11:30:00,11.17,11.2,11.15,11.17,65399,73034015,0
2025-12-02 14:00:00,11.16,11.17,11.13,11.15,64992,72453873,0
2025-12-02 15:00:00,11.15,11.17,11.14,11.17,81994,91452417,0
2025-12-03 10:30:00,11.16,11.24,11.06,11.06,167712,186734980,0
2025-12-03 11:30:00,11.06,11.12,11.04,11.1,62838,69619787,0
2025-12-03 14:00:00,11.09,11.09,11.0,11.02,80274,88711078,0
2025-12-03 15:00:00,11.01,11.05,10.99,11.04,102518,112967033,0
2025-12-04 10:30:00,11.05,11.08,10.89,10.95,155500,170209181,0
2025-12-04 11:30:00,10.95,11.06,10.95,11.03,79570,87663634,0
2025-12-04 14:00:00,11.04,11.13,11.03,11.06,83607,92682363,0
2025-12-04 15:00:00,11.06,11.12,11.06,11.12,96616,107193195,0
2025-12-05 10:30:00,11.07,11.07,10.94,10.98,128993,141725519,0
2025-12-05 11:30:00,10.98,11.09,10.98,11.06,65289,72093448,0
2025-12-05 14:00:00,11.07,11.11,11.01,11.11,82583,91298227,0
2025-12-05 15:00:00,11.11,11.13,11.1,11.11,129007,143374832,0
2025-12-08 10:30:00,11.13,11.19,11.11,11.15,184649,205894790,0
2025-12-08 11:30:00,11.15,11.2,11.14,11.17,94815,105956435,0
2025-12-08 14:00:00,11.19,11.26,11.17,11.2,131401,147439670,0
2025-12-08 15:00:00,11.2,11.21,11.18,11.2,107055,119805717,0
2025-12-09 10:30:00,11.12,11.23,11.09,11.13,163330,182339879,0
2025-12-09 11:30:00,11.13,11.16,11.09,11.12,83100,92414689,0
2025-12-09 14:00:00,11.12,11.12,11.06,11.07,99873,110709526,0
2025-12-09 15:00:00,11.07,11.1,11.05,11.05,122543,135661152,0
2025-12-10 10:30:00,11.0,11.08,10.92,10.98,152559,167393092,0
2025-12-10 11:30:00,10.97,11.03,10.95,10.96,85263,93621803,0
2025-12-10 14:00:00,10.96,10.99,10.93,10.96,89055,97559458,0
2025-12-10 15:00:00,10.96,11.08,10.96,11.04,127430,140702092,0
2025-12-11 10:30:00,11.08,11.09,10.96,11.04,120020,132204588,0
2025-12-11 11:30:00,11.04,11.06,10.97,10.98,55180,60761953,0
2025-12-11 14:00:00,10.98,10.98,10.92,10.94,85240,93287925,0
2025-12-11 15:00:00,10.94,10.96,10.85,10.86,124182,135342683,0
2025-12-12 10:30:00,10.84,10.96,10.83,10.92,146478,159748405,0
2025-12-12 11:30:00,10.92,11.0,10.9,10.95,128366,140631740,0
2025-12-12 14:00:00,10.95,11.02,10.93,10.98,138542,152174586,0
2025-12-12 15:00:00,10.99,11.01,10.92,11.01,244863,268473579,0
2025-12-15 10:30:00,10.87,10.91,10.8,10.91,165870,180035670,0
2025-12-15 11:30:00,10.9,10.92,10.82,10.83,65456,71137517,0
2025-12-15 14:00:00,10.82,10.86,10.8,10.82,67666,73246806,0
2025-12-15 15:00:00,10.82,10.83,10.77,10.79,98520,106327515,0
2025-12-16 10:30:00,10.77,10.8,10.5,10.58,238416,252386568,0
2025-12-16 11:30:00,10.57,10.58,10.47,10.48,89982,94484365,0
2025-12-16 14:00:00,10.48,10.6,10.46,10.57,82686,87013529,0
2025-12-16 15:00:00,10.57,10.62,10.53,10.54,84484,89234303,0
2025-12-17 10:30:00,10.53,10.63,10.47,10.51,120753,127394730,0
2025-12-17 11:30:00,10.5,10.55,10.48,10.54,41357,43487325,0
2025-12-17 14:00:00,10.54,10.7,10.49,10.7,106430,112870813,0
2025-12-17 15:00:00,10.7,10.77,10.69,10.73,143218,153672891,0
2025-12-18 10:30:00,10.64,10.83,10.61,10.77,123596,132950019,0
2025-12-18 11:30:00,10.78,10.8,10.72,10.73,41182,44288325,0
2025-12-18 14:00:00,10.74,10.79,10.71,10.72,66231,71176923,0
2025-12-18 15:00:00,10.71,10.75,10.68,10.69,74607,79888582,0
2025-12-19 10:30:00,10.75,10.81,10.69,10.78,139835,150481468,0
2025-12-19 11:30:00,10.77,10.78,10.72,10.75,65973,70922852,0
2025-12-19 14:00:00,10.76,10.78,10.7,10.71,69062,74143598,0
2025-12-19 15:00:00,10.7,10.73,10.69,10.7,108572,116233988,0
2025-12-22 10:30:00,10.72,10.93,10.72,10.9,235996,256413372,0
2025-12-22 11:30:00,10.91,10.97,10.9,10.94,99675,108994588,0
2025-12-22 14:00:00,10.95,10.95,10.89,10.92,64079,69963883,0
2025-12-22 15:00:00,10.91,10.94,10.9,10.91,103064,112454110,0
2025-12-23 10:30:00,10.9,11.05,10.85,11.04,241092,264536085,0
2025-12-23 11:30:00,11.05,11.05,10.98,11.02,98800,108829969,0
2025-12-23 14:00:00,11.01,11.02,10.96,10.97,65554,72009459,0
2025-12-23 15:00:00,10.96,10.97,10.9,10.94,97850,106948751,0
2025-12-24 10:30:00,10.91,11.08,10.89,11.05,173217,190971359,0
2025-12-24 11:30:00,11.06,11.14,11.03,11.1,139390,154542402,0
2025-12-24 14:00:00,11.11,11.15,11.08,11.11,111166,123655795,0
2025-12-24 15:00:00,11.12,11.14,11.11,11.12,114170,127008375,0
2025-12-25 10:30:00,11.13,11.18,11.05,11.08,170754,189697062,0
2025-12-25 11:30:00,11.07,11.11,11.07,11.1,55598,61652095,0
2025-12-25 14:00:00,11.1,11.15,11.08,11.14,77580,86279743,0
2025-12-25 15:00:00,11.13,11.15,11.1,11.12,106414,118367440,0
2025-12-26 10:30:00,11.07,11.16,11.05,11.12,142836,158784040,0
2025-12-26 11:30:00,11.13,11.15,11.02,11.06,127250,141172977,0
2025-12-26 14:00:00,11.06,11.11,11.05,11.1,60621,67196675,0
2025-12-26 15:00:00,11.1,11.11,11.06,11.09,85675,94945144,0
2025-12-29 10:30:00,11.09,11.17,11.04,11.08,158409,175996906,0
2025-12-29 11:30:00,11.09,11.12,11.07,11.08,58786,65236667,0
2025-12-29 14:00:00,11.08,11.08,11.03,11.03,73985,81761315,0
2025-12-29 15:00:00,11.03,11.04,10.97,11.03,131882,145169283,0
2025-12-30 10:30:00,11.0,11.11,10.96,11.08,149190,165249410,0
2025-12-30 11:30:00,11.07,11.1,11.04,11.05,53868,59634832,0
2025-12-30 14:00:00,11.06,11.09,11.02,11.05,69304,76663855,0
2025-12-30 15:00:00,11.05,11.08,11.04,11.05,74508,82366428,0
2025-12-31 10:30:00,11.04,11.14,10.97,11.08,168670,186220019,0
2025-12-31 11:30:00,11.07,11.08,11.0,11.01,52725,58178628,0
2025-12-31 14:00:00,11.01,11.05,11.0,11.01,52161,57463250,0
2025-12-31 15:00:00,11.01,11.04,10.97,10.97,120592,132538951,0
2026-01-05 10:30:00,11.05,11.19,11.05,11.14,324239,361447150,0
2026-01-05 11:30:00,11.15,11.18,11.14,11.18,142568,159218235,0
2026-01-05 14:00:00,11.17,11.25,11.17,11.22,189663,212568033,0
2026-01-05 15:00:00,11.23,11.24,11.22,11.24,170919,192010584,0
2026-01-06 10:30:00,11.26,11.42,11.19,11.32,328947,373093706,0
2026-01-06 11:30:00,11.32,11.37,11.25,11.37,159785,180668427,0
2026-01-06 14:00:00,11.37,11.38,11.3,11.34,128465,145847103,0
2026-01-06 15:00:00,11.34,11.37,11.33,11.37,143296,162761984,0
2026-01-07 10:30:00,11.51,11.56,11.39,11.43,376296,430857951,0
2026-01-07 11:30:00,11.44,11.63,11.43,11.55,333268,384783331,0
2026-01-07 14:00:00,11.56,11.56,11.37,11.43,192125,219860533,0
2026-01-07 15:00:00,11.43,11.48,11.41,11.45,121821,139413932,0
2026-01-08 10:30:00,11.35,11.62,11.3,11.56,353581,407619712,0
2026-01-08 11:30:00,11.55,11.59,11.53,11.57,134565,155559344,0
2026-01-08 14:00:00,11.58,11.58,11.5,11.52,119591,137970980,0
2026-01-08 15:00:00,11.52,11.53,11.45,11.51,181618,208780651,0
2026-01-09 10:30:00,11.47,11.79,11.46,11.71,482044,564677822,0
2026-01-09 11:30:00,11.71,11.74,11.59,11.61,197496,230369674,0
2026-01-09 14:00:00,11.6,11.68,11.59,11.67,134431,156445692,0
2026-01-09 15:00:00,11.67,11.72,11.64,11.71,200980,234947820,0
