datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,7.34,7.7,7.2,7.4,5126224,3907244576.0,0
2020-01-10,7.31,7.96,7.17,7.66,11010511,8491284256.0,0
2020-01-17,7.7,9.18,7.56,8.74,14087409,12186200496.0,0
2020-01-24,8.81,9.91,8.63,9.22,9539281,8914278320.0,0
2020-02-07,8.28,9.46,7.54,9.36,10583507,9470268422.0,0
2020-02-14,9.21,11.01,9.07,10.47,13173637,13259516544.0,0
2020-02-21,10.6,14.0,10.33,13.96,15379338,18667248128.0,0
2020-02-28,13.97,17.31,13.05,13.27,24104392,36469583872.0,0
2020-03-06,13.67,14.04,12.19,12.97,18797925,25165419232.0,0
2020-03-13,12.51,13.26,11.65,13.15,17545129,22342874160.0,0
2020-03-20,13.19,13.37,11.16,11.43,12910632,15762320528.0,0
2020-03-27,11.01,11.26,9.85,10.16,9208391,9906415520.0,0
2020-04-03,9.96,11.35,9.49,10.58,14052266,14938980880.0,0
2020-04-10,10.89,11.76,10.26,10.39,8470523,9499238976.0,0
2020-04-17,10.12,12.9,9.85,12.16,16269285,19326826800.0,0
2020-04-24,12.3,12.46,11.61,11.88,11394455,13949933856.0,0
2020-05-01,11.82,13.06,10.92,12.78,9853068,12110713664.0,0
2020-05-08,12.58,13.8,12.51,13.27,8637716,11685726672.0,0
2020-05-15,13.33,14.89,12.82,14.47,14362060,20262503600.0,0
2020-05-22,14.79,15.16,12.48,13.02,13762326,19029661984.0,0
2020-05-29,12.83,13.48,12.49,12.73,7390332,9734784320.0,0
2020-06-05,12.89,14.24,12.87,13.99,11076698,15407974416.0,0
2020-06-12,14.1,14.17,12.82,13.18,7611173,10378359568.0,0
2020-06-19,13.01,13.47,12.79,13.27,6466466,8594524672.0,0
2020-06-26,13.36,13.9,13.36,13.49,4770742,6574571520.0,0
2020-07-03,13.33,14.43,13.04,14.06,10393302,14487595024.0,0
2020-07-10,14.13,17.11,14.13,17.11,18650041,29363072000.0,0
2020-07-17,17.63,20.63,15.66,16.06,22352838,40405794192.0,0
2020-07-24,16.37,17.01,14.73,15.02,10253314,16751878368.0,0
