datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,6.69,6.87,6.69,6.86,153909,104881014.0,0
2020-01-03,6.81,7.04,6.81,7.0,177778,123653708.0,0
2020-01-06,7.0,7.12,6.93,7.03,183690,129129440.0,0
2020-01-07,7.05,7.15,6.99,7.15,156758,111024078.0,0
2020-01-08,7.13,7.14,6.94,7.04,147051,103399431.0,0
2020-01-09,7.05,7.15,7.03,7.12,104833,74368548.0,0
2020-01-10,7.13,7.33,7.07,7.22,172203,124191361.0,0
2020-01-13,7.17,7.25,7.05,7.22,113114,81065873.0,0
2020-01-14,7.24,7.58,7.23,7.35,246241,183098006.0,0
2020-01-15,7.3,7.63,7.21,7.42,197591,146870339.0,0
2020-01-16,7.38,7.52,7.26,7.42,151726,112430843.0,0
2020-01-17,7.44,7.47,7.1,7.13,182138,131683896.0,0
2020-01-20,7.08,7.24,7.06,7.12,105328,75136428.0,0
2020-01-21,7.18,7.22,7.02,7.05,115387,81934552.0,0
2020-01-22,7.04,7.12,6.87,7.07,98519,69169805.0,0
2020-01-23,7.05,7.13,6.6,7.07,159272,110865112.0,0
2020-02-03,6.36,6.36,6.36,6.36,11243,7150548.0,0
2020-02-04,5.72,6.29,5.72,6.29,256756,153992149.0,0
2020-02-05,6.07,6.45,6.06,6.39,283043,178328004.0,0
2020-02-06,6.35,6.68,6.33,6.62,201152,131773102.0,0
2020-02-07,6.66,7.28,6.54,7.28,296267,206866403.0,0
2020-02-10,7.3,8.01,7.29,7.74,501529,386968048.0,0
2020-02-11,7.55,7.85,7.31,7.74,340306,254832559.0,0
2020-02-12,7.65,8.46,7.57,8.32,410199,333159184.0,0
2020-02-13,8.19,8.46,8.02,8.3,338070,279550432.0,0
2020-02-14,8.14,8.78,8.14,8.62,331218,277461568.0,0
2020-02-17,8.6,8.85,8.45,8.68,331342,286313552.0,0
2020-02-18,8.67,8.73,8.1,8.41,452216,379200784.0,0
2020-02-19,8.4,8.69,8.3,8.48,347274,295281104.0,0
2020-02-20,8.45,8.56,8.28,8.37,204414,171878187.0,0
2020-02-21,8.44,8.59,8.15,8.39,374212,310402960.0,0
2020-02-24,8.37,9.19,8.27,9.05,484044,422227456.0,0
2020-02-25,8.77,9.2,8.58,9.11,355873,316764112.0,0
2020-02-26,8.8,9.5,8.8,9.25,361362,334513920.0,0
2020-02-27,9.5,9.5,8.51,8.98,353896,314514224.0,0
2020-02-28,8.61,9.05,8.3,8.75,296344,257112964.0,0
2020-03-02,8.68,8.88,8.55,8.65,285921,248424386.0,0
2020-03-03,8.58,8.74,8.08,8.36,442213,370952064.0,0
2020-03-04,8.29,8.32,8.01,8.14,325825,264953759.0,0
2020-03-05,8.15,8.21,7.88,8.05,272066,219073981.0,0
2020-03-06,8.01,8.04,7.76,7.79,287863,226170811.0,0
2020-03-09,7.7,8.5,7.67,8.09,367260,291390016.0,0
2020-03-10,7.87,8.3,7.67,8.15,355067,284041952.0,0
2020-03-11,8.15,8.29,7.87,7.87,266627,215963730.0,0
2020-03-12,7.74,7.74,7.47,7.5,239303,181850873.0,0
2020-03-13,6.86,7.55,6.83,7.54,253005,183531146.0,0
2020-03-16,7.56,7.92,7.44,7.49,253465,194911192.0,0
2020-03-17,7.51,7.67,7.0,7.49,181803,133998254.0,0
2020-03-18,7.6,7.61,7.31,7.39,122471,90942907.0,0
2020-03-19,7.37,7.37,7.1,7.31,144991,104806079.0,0
2020-03-20,7.38,7.41,7.17,7.26,86865,63117216.0,0
2020-03-23,7.06,7.17,6.73,6.77,111045,77254708.0,0
2020-03-24,6.9,7.0,6.72,6.88,108335,74611345.0,0
2020-03-25,7.03,7.06,6.89,6.94,134158,93389849.0,0
2020-03-26,6.92,6.92,6.75,6.8,92249,63158332.0,0
2020-03-27,6.89,7.0,6.75,6.78,109308,75289857.0,0
2020-03-30,6.69,6.72,6.29,6.43,122360,79357793.0,0
2020-03-31,6.51,6.56,6.32,6.41,87537,56258785.0,0
2020-04-01,6.39,6.47,6.32,6.34,65269,41802294.0,0
2020-04-02,6.18,6.52,6.18,6.49,90170,57726895.0,0
2020-04-03,6.5,6.61,6.47,6.51,103504,67588642.0,0
2020-04-07,6.62,7.16,6.6,7.16,256026,178926751.0,0
2020-04-08,7.09,7.4,6.99,7.34,251901,182454210.0,0
2020-04-09,7.4,7.74,7.25,7.62,232893,174709776.0,0
2020-04-10,7.73,7.9,7.5,7.55,200067,152822911.0,0
2020-04-13,7.5,7.76,7.48,7.6,123182,94001291.0,0
2020-04-14,7.58,7.67,7.5,7.59,103752,78524564.0,0
2020-04-15,7.49,7.57,7.41,7.42,126778,94718110.0,0
2020-04-16,7.5,7.5,7.27,7.27,174978,128523845.0,0
2020-04-17,7.37,7.4,7.16,7.2,111960,81354832.0,0
2020-04-20,7.26,7.28,7.11,7.24,80547,57952932.0,0
2020-04-21,7.17,7.24,7.14,7.22,49000,35165402.0,0
2020-04-22,7.15,7.38,7.15,7.26,77861,56560331.0,0
2020-04-23,7.25,7.32,7.11,7.19,90477,65219336.0,0
2020-04-24,7.12,7.2,6.98,7.06,140584,99357303.0,0
2020-04-27,7.06,7.1,6.96,6.96,97169,68129247.0,0
2020-04-28,6.98,7.55,6.7,7.2,240971,171286198.0,0
2020-04-29,7.03,7.2,7.0,7.07,95732,67647291.0,0
2020-04-30,7.07,7.18,7.05,7.08,64809,46101901.0,0
2020-05-06,7.02,7.17,6.95,7.13,79956,56654381.0,0
2020-05-07,7.16,7.35,7.1,7.19,90897,65490534.0,0
2020-05-08,7.28,7.28,7.18,7.21,82661,59665463.0,0
2020-05-11,7.21,7.3,7.15,7.21,64875,46867582.0,0
2020-05-12,7.23,7.28,7.2,7.25,56473,40872320.0,0
2020-05-13,7.22,7.25,7.15,7.15,49869,35824139.0,0
2020-05-14,7.1,7.18,6.98,6.98,63558,44615572.0,0
2020-05-15,6.99,7.05,6.97,6.98,33440,23401345.0,0
2020-05-18,6.98,7.03,6.76,6.89,70724,48472761.0,0
