datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,6.69,7.63,6.6,7.07,2465538,1762902434.0,0
2020-02-29,6.36,9.5,5.72,8.75,6530760,5298291260.0,0
2020-03-31,8.68,8.88,6.29,6.41,4649737,3593449035.0,0
2020-04-30,6.39,7.9,6.18,7.08,2777630,2000574062.0,0
2020-05-31,7.02,7.49,6.76,7.09,1271973,906451060.0,0
2020-06-30,7.3,7.92,7.1,7.29,2165565,1620581249.0,0
2020-07-31,7.28,8.22,6.81,7.02,3503120,2659762679.0,0
2020-08-31,7.05,8.2,6.95,7.66,3245922,2410895943.0,0
2020-09-30,7.6,8.1,6.68,7.03,2384942,1777781720.0,0
2020-10-31,7.04,7.59,6.91,7.31,1071709,771164933.0,0
2020-11-30,7.31,7.75,7.05,7.1,1833254,1371789751.0,0
2020-12-31,7.1,7.4,6.13,6.39,1371123,951400792.0,0
2021-01-31,6.43,6.73,5.47,5.52,981554,613666539.0,0
2021-02-28,5.53,6.18,5.45,5.87,604333,350712725.0,0
2021-03-31,5.87,6.08,5.59,5.85,746305,437299559.0,0
2021-04-30,5.91,7.27,5.85,6.55,1513755,994077083.0,0
2021-05-31,6.56,6.95,6.35,6.6,912807,610777052.0,0
2021-06-30,6.6,6.92,6.09,6.33,1117317,729106552.0,0
2021-07-31,6.3,6.84,6.09,6.6,958280,622070435.0,0
2021-08-31,6.54,7.04,6.29,6.52,1377833,914026015.0,0
2021-09-30,6.5,7.35,6.37,7.16,2190359,1507370761.0,0
2021-10-31,7.15,7.5,5.9,6.19,1155874,767330391.0,0
2021-11-30,6.21,6.21,5.7,5.91,737986,436766368.0,0
2021-12-31,5.91,6.58,5.86,6.43,1140939,703411499.0,0
2022-01-31,6.45,7.14,5.95,6.19,1784354,1171500232.0,0
2022-02-28,6.24,7.1,6.03,6.16,1637828,1081039588.0,0
2022-03-31,6.2,6.34,5.5,5.98,1130196,682245479.0,0
2022-04-30,6.01,6.27,4.57,4.85,1147692,618939833.0,0
2022-05-31,4.84,6.45,4.51,6.14,3290500,1809017763.0,0
2022-06-30,6.75,6.94,5.46,6.66,4164888,2547756045.0,0
2022-07-31,6.71,7.34,6.47,7.2,2109781,1461186915.86,0
2022-08-31,7.24,8.66,6.19,7.02,5095932,3820815737.44,0
2022-09-30,7.06,7.64,6.35,6.41,1616561,1128611295.51,0
2022-10-31,6.42,6.87,6.15,6.47,1646423,1073886755.66,0
2022-11-30,6.49,8.04,6.45,6.77,5742189,4208003668.84,0
2022-12-31,6.8,7.54,6.41,6.65,1993250,1391990526.73,0
2023-01-31,6.65,7.55,6.53,7.4,1782709,1256166948.17,0
2023-02-28,7.41,16.66,7.36,15.24,24596990,34079297644.63,0
2023-03-31,15.0,18.94,11.99,15.66,26189345,39285128750.5,0
2023-04-30,15.16,18.7,12.15,17.66,19219451,29243423026.25,0
2023-05-31,18.4,34.52,18.04,34.52,24390719,54319653647.59,0
2023-06-30,34.5,41.98,32.26,35.08,19880924,72105381859.88,0
2023-07-31,34.09,38.37,27.07,33.33,14678401,47552420258.3,0
2023-08-31,34.0,45.29,31.5,39.16,20526953,79503854537.23,0
2023-09-30,39.0,42.63,32.89,36.73,11396215,42819250430.2,0
2023-10-31,36.55,39.97,30.4,33.3,8510554,30075825303.61,0
2023-11-30,33.4,39.0,31.3,33.41,8659026,30560492022.12,0
2023-12-31,33.6,36.3,25.89,27.8,5967343,18292722509.69,0
2024-01-31,27.8,27.84,18.82,18.89,9728544,22483169196.72,0
2024-02-29,18.72,27.99,15.3,25.57,13472510,29577145541.39,0
2024-03-31,25.31,31.5,24.99,25.58,20428147,57251935092.37,0
2024-04-30,25.59,26.49,16.14,18.64,10009221,19886445878.99,0
2024-05-31,18.84,19.13,14.67,14.95,10587386,18226889372.04,0
2024-06-30,14.93,14.93,10.35,11.04,8419056,10416038773.26,0
2024-07-31,11.02,11.25,9.18,10.38,5406892,5456910160.57,0
2024-08-31,10.48,10.58,7.93,8.47,4639379,4222626736.8,0
2024-09-30,8.47,11.64,8.2,11.64,7459097,7046869511.91,0
2024-10-31,12.8,16.81,10.3,15.16,16854446,22518516360.07,0
2024-11-30,14.8,17.46,13.04,15.62,16283535,25087494520.69,0
2024-12-31,15.55,18.96,11.98,11.99,14497357,23267636518.51,0
2025-01-31,11.95,12.44,10.39,10.77,6267908,7259346759.6,0
2025-02-28,11.15,14.8,10.98,12.61,9801795,13139941768.24,0
2025-03-31,12.6,14.39,11.68,11.87,6221002,8244477304.65,0
2025-04-30,12.02,15.88,8.94,15.88,5046278,6232381986.04,0
2025-05-31,16.87,19.17,14.66,17.61,30152984,50077828316.08,0
2025-06-30,16.87,18.08,14.98,17.02,18161623,30044003740.59,0
2025-07-31,16.88,21.31,16.14,18.91,21126305,39052354415.57,0
2025-08-31,18.8,24.0,17.7,21.47,15780760,32145266366.15,0
2025-09-30,21.0,21.43,16.82,17.05,9991852,18435547197.09,0
2025-10-31,17.06,18.41,16.47,17.85,4299263,7441333803.68,0
2025-11-30,17.7,18.2,14.87,16.06,4279503,7082462863.54,0
2025-12-31,16.06,18.58,15.26,15.45,9130377,15252190945.98,0
2026-01-31,15.42,17.0,15.4,16.79,1949171,3176875051.7,0
