datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,6.69,7.04,6.69,7.0,331687,228534722.0,0
2020-01-10,7.0,7.33,6.93,7.22,764535,542112858.0,0
2020-01-17,7.17,7.63,7.05,7.13,890810,655148957.0,0
2020-01-24,7.08,7.24,6.6,7.07,478506,337105897.0,0
2020-02-07,6.36,7.28,5.72,7.28,1048461,678110206.0,0
2020-02-14,7.3,8.78,7.29,8.62,1921322,1531971791.0,0
2020-02-21,8.6,8.85,8.1,8.39,1709458,1443076587.0,0
2020-02-28,8.37,9.5,8.27,8.75,1851519,1645132676.0,0
2020-03-06,8.68,8.88,7.76,7.79,1613888,1329575001.0,0
2020-03-13,7.7,8.5,6.83,7.54,1481262,1156777717.0,0
2020-03-20,7.56,7.92,7.0,7.26,789595,587775648.0,0
2020-03-27,7.06,7.17,6.72,6.78,555095,383704091.0,0
2020-04-03,6.69,6.72,6.18,6.51,468840,302734409.0,0
2020-04-10,6.62,7.9,6.6,7.55,940887,688913648.0,0
2020-04-17,7.5,7.76,7.16,7.2,640650,477122642.0,0
2020-04-24,7.26,7.38,6.98,7.06,438469,314255304.0,0
2020-05-01,7.06,7.55,6.7,7.08,498681,353164637.0,0
2020-05-08,7.02,7.35,6.95,7.21,253514,181810378.0,0
2020-05-15,7.21,7.3,6.97,6.98,268215,191580958.0,0
2020-05-22,6.98,7.2,6.76,6.97,320746,222666373.0,0
2020-05-29,6.98,7.49,6.96,7.09,429498,310393351.0,0
2020-06-05,7.3,7.8,7.15,7.56,1116306,838058380.0,0
2020-06-12,7.59,7.92,7.35,7.47,507225,385463280.0,0
2020-06-19,7.47,7.51,7.27,7.34,271724,200811003.0,0
2020-06-26,7.37,7.42,7.1,7.19,164316,119062610.0,0
2020-07-03,7.19,7.41,7.14,7.37,299974,219327124.0,0
2020-07-10,7.4,7.85,7.37,7.55,867953,663402698.0,0
2020-07-17,7.55,8.22,7.37,7.46,1130697,886308142.0,0
2020-07-24,7.54,8.0,7.01,7.01,852491,648492111.0,0
2020-07-31,7.05,7.12,6.81,7.02,457999,319418580.0,0
2020-08-07,7.05,8.2,7.03,7.08,1056457,784568168.0,0
2020-08-14,7.08,7.28,6.95,7.26,408263,291811506.0,0
2020-08-21,7.25,7.72,7.16,7.17,637776,471856080.0,0
2020-08-28,7.16,7.8,7.15,7.49,912799,685539230.0,0
2020-09-04,7.56,7.8,7.43,7.69,744762,567790451.0,0
2020-09-11,7.66,8.1,7.08,7.18,989925,761532545.0,0
2020-09-18,7.22,7.39,7.1,7.26,385430,279291656.0,0
2020-09-25,7.24,7.26,6.72,6.74,302421,211614649.0,0
2020-10-02,6.76,7.26,6.68,7.03,193031,134673378.0,0
2020-10-09,7.04,7.14,7.0,7.06,77206,54699356.0,0
2020-10-16,7.07,7.21,6.95,7.09,290159,205450410.0,0
2020-10-23,7.14,7.14,6.97,6.98,194621,137302417.0,0
2020-10-30,6.98,7.59,6.91,7.31,509723,373712750.0,0
2020-11-06,7.31,7.7,7.22,7.26,402126,298653293.0,0
2020-11-13,7.48,7.71,7.35,7.64,480652,361988605.0,0
2020-11-20,7.63,7.75,7.31,7.69,553662,420660040.0,0
2020-11-27,7.68,7.7,7.05,7.13,353489,259475066.0,0
