datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,18.95,19.72,18.91,19.43,618631,1266003616.0,0
2020-01-03,19.74,20.18,19.32,19.49,574762,1196143472.0,0
2020-01-06,19.01,19.86,18.77,19.28,764205,1560065904.0,0
2020-01-07,19.27,19.36,18.39,19.04,949049,1887711712.0,0
2020-01-08,18.71,19.01,18.54,18.8,393258,782614624.0,0
2020-01-09,18.9,19.96,18.88,19.81,945657,1951147792.0,0
2020-01-10,20.09,20.66,19.83,20.19,696529,1485258784.0,0
2020-01-13,20.13,21.09,19.98,20.6,625795,1358956432.0,0
2020-01-14,20.74,21.61,20.29,20.9,758339,1676632816.0,0
2020-01-15,20.77,21.28,20.2,21.14,552890,1206580384.0,0
2020-01-16,21.06,21.68,20.78,21.23,452762,1012934064.0,0
2020-01-17,21.25,21.63,20.59,20.9,476587,1054985216.0,0
2020-01-20,20.81,22.26,20.72,22.02,736005,1682643904.0,0
2020-01-21,22.05,22.21,21.67,21.9,401648,925447520.0,0
2020-01-22,21.82,24.13,21.39,23.24,676034,1601186896.0,0
2020-01-23,22.91,23.56,21.71,22.52,624331,1490970192.0,0
2020-02-03,20.16,20.61,20.16,20.16,478891,1020330480.0,0
2020-02-04,19.91,21.44,19.72,21.23,764230,1677791232.0,0
2020-02-05,21.21,22.11,20.49,20.66,828920,1842863152.0,0
2020-02-06,20.41,21.03,19.7,20.74,904069,1927508352.0,0
2020-02-07,20.43,20.53,19.76,20.17,701383,1487725536.0,0
2020-02-10,19.11,19.9,18.8,19.81,900286,1852160464.0,0
2020-02-11,19.81,21.9,19.81,21.9,1221058,2693853888.0,0
2020-02-12,21.91,22.63,21.61,22.34,1205771,2799488544.0,0
2020-02-13,22.11,22.49,21.51,22.03,895802,2063149680.0,0
2020-02-14,21.91,22.65,21.63,22.18,798913,1853810320.0,0
2020-02-17,22.19,23.09,22.19,22.89,963534,2289795968.0,0
2020-02-18,22.71,22.85,21.71,22.34,1189392,2774812448.0,0
2020-02-19,21.99,23.29,21.71,22.57,1017681,2403335120.0,0
2020-02-20,22.41,23.81,22.13,23.53,1240070,2999000912.0,0
2020-02-21,23.38,24.89,23.24,24.28,1071513,2700353328.0,0
2020-02-24,23.91,25.07,23.44,24.89,892989,2276569888.0,0
2020-02-25,24.01,26.44,23.59,26.31,1221873,3191072688.0,0
2020-02-26,25.4,26.06,23.62,23.83,1073459,2793984480.0,0
2020-02-27,24.61,24.88,22.74,23.04,937334,2305686352.0,0
2020-02-28,21.81,22.47,21.1,21.18,1077780,2453996224.0,0
2020-03-02,21.56,21.97,20.76,21.81,1038486,2333285376.0,0
2020-03-03,22.48,23.05,21.5,21.89,982400,2311374352.0,0
2020-03-04,21.54,21.79,20.41,21.08,1045227,2306415616.0,0
2020-03-05,21.46,21.64,20.57,21.14,733405,1622160944.0,0
2020-03-06,20.65,21.28,20.49,21.05,488077,1076403904.0,0
2020-03-09,20.53,20.53,19.13,19.25,1002704,2094498160.0,0
2020-03-10,19.26,20.26,18.99,20.16,808116,1684443936.0,0
2020-03-11,20.18,20.56,19.54,19.54,597037,1262722832.0,0
2020-03-12,18.98,19.08,18.11,18.54,1008703,1985137152.0,0
2020-03-13,17.32,18.46,16.86,18.05,978703,1831994640.0,0
2020-03-16,18.25,18.25,16.14,16.14,1618868,2875836160.0,0
2020-03-17,16.18,16.41,15.12,16.04,1180872,1985372688.0,0
2020-03-18,16.24,16.63,15.52,15.52,964845,1662827936.0,0
2020-03-19,15.69,16.04,15.23,15.85,859148,1443736432.0,0
2020-03-20,16.12,16.26,15.5,15.93,642616,1087793952.0,0
2020-03-23,15.11,15.11,14.23,14.25,1065969,1663761120.0,0
2020-03-24,14.57,14.73,13.73,14.44,907342,1398590208.0,0
2020-03-25,14.91,15.99,14.81,15.99,1507777,2536342576.0,0
