datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,28.49,29.33,28.34,29.19,420158,1218739672,0
2025-11-26 11:30:00,29.17,29.68,29.07,29.51,270887,796045360,0
2025-11-26 14:00:00,29.52,29.67,29.24,29.28,204611,601581958,0
2025-11-26 15:00:00,29.28,29.48,29.2,29.34,231753,679442133,0
2025-11-27 10:30:00,29.35,29.87,29.29,29.53,368418,1092563166,0
2025-11-27 11:30:00,29.54,29.82,29.38,29.39,146710,433904167,0
2025-11-27 14:00:00,29.38,29.51,29.26,29.38,121214,356036018,0
2025-11-27 15:00:00,29.38,29.39,29.16,29.17,190925,558136501,0
2025-11-28 10:30:00,29.48,30.59,29.47,30.12,747257,2242797108,0
2025-11-28 11:30:00,30.12,30.5,29.97,30.41,279267,845889138,0
2025-11-28 14:00:00,30.43,30.47,29.88,29.92,155208,466986996,0
2025-11-28 15:00:00,29.92,30.04,29.89,30.03,166185,498355349,0
2025-12-01 10:30:00,30.1,30.25,29.56,30.15,432708,1292704512,0
2025-12-01 11:30:00,30.14,30.8,30.08,30.69,340814,1039473346,0
2025-12-01 14:00:00,30.72,31.4,30.45,30.61,347580,1073695480,0
2025-12-01 15:00:00,30.65,30.83,30.63,30.76,193267,594118539,0
2025-12-02 10:30:00,30.63,32.23,30.6,31.58,984803,3107889176,0
2025-12-02 11:30:00,31.58,31.75,31.3,31.36,196189,617599107,0
2025-12-02 14:00:00,31.36,31.36,31.02,31.27,191635,597894659,0
2025-12-02 15:00:00,31.28,31.36,31.18,31.32,173993,544365926,0
2025-12-03 10:30:00,31.2,31.31,30.72,30.87,416275,1290497587,0
2025-12-03 11:30:00,30.86,30.87,30.55,30.68,189615,582116260,0
2025-12-03 14:00:00,30.66,30.66,30.39,30.43,207503,632865870,0
2025-12-03 15:00:00,30.43,30.5,30.28,30.43,208130,632457801,0
2025-12-04 10:30:00,30.4,30.5,29.7,30.1,332568,998277791,0
2025-12-04 11:30:00,30.09,30.43,30.03,30.27,120132,363208228,0
2025-12-04 14:00:00,30.26,30.37,30.14,30.18,64076,193534599,0
2025-12-04 15:00:00,30.18,30.34,30.14,30.26,114529,346562808,0
2025-12-05 10:30:00,29.91,30.11,29.29,29.69,393790,1164096278,0
2025-12-05 11:30:00,29.68,30.57,29.67,30.3,234624,709691973,0
2025-12-05 14:00:00,30.32,30.46,30.1,30.38,95784,289727353,0
2025-12-05 15:00:00,30.39,30.55,30.34,30.37,142185,432497734,0
2025-12-08 10:30:00,29.67,30.15,29.6,29.84,471417,1406375371,0
2025-12-08 11:30:00,29.85,30.1,29.85,30.04,156272,468445014,0
2025-12-08 14:00:00,30.05,30.2,30.01,30.03,162505,488752651,0
2025-12-08 15:00:00,30.03,30.26,30.02,30.14,196226,591320000,0
2025-12-09 10:30:00,30.3,30.86,29.98,30.16,521051,1582697126,0
2025-12-09 11:30:00,30.17,30.7,30.15,30.51,159045,484235892,0
2025-12-09 14:00:00,30.5,30.5,30.03,30.04,131691,397660688,0
2025-12-09 15:00:00,30.04,30.51,30.0,30.42,189049,573718970,0
2025-12-10 10:30:00,30.12,30.19,29.35,29.56,425507,1258370846,0
2025-12-10 11:30:00,29.56,29.77,29.46,29.48,131226,388210726,0
2025-12-10 14:00:00,29.48,29.6,29.38,29.51,129659,382050851,0
2025-12-10 15:00:00,29.52,29.83,29.5,29.79,193727,576562188,0
2025-12-11 10:30:00,29.85,30.06,29.56,29.75,253604,755982691,0
2025-12-11 11:30:00,29.76,29.92,29.53,29.53,92816,276008848,0
2025-12-11 14:00:00,29.52,29.72,29.48,29.64,102630,303433970,0
2025-12-11 15:00:00,29.63,29.69,29.29,29.3,143316,421741214,0
2025-12-12 10:30:00,29.22,29.32,28.69,29.26,247792,718266072,0
2025-12-12 11:30:00,29.28,29.83,29.18,29.64,184803,546777003,0
2025-12-12 14:00:00,29.64,29.72,29.54,29.63,97289,288153594,0
2025-12-12 15:00:00,29.63,29.7,29.44,29.55,149147,440844468,0
2025-12-15 10:30:00,29.18,29.45,28.81,28.9,290343,844183552,0
2025-12-15 11:30:00,28.91,29.1,28.8,28.84,114621,331491459,0
2025-12-15 14:00:00,28.84,28.96,28.7,28.79,78936,227337464,0
2025-12-15 15:00:00,28.8,28.83,28.64,28.68,136486,391704160,0
2025-12-16 10:30:00,28.65,28.94,28.21,28.33,200748,572136053,0
2025-12-16 11:30:00,28.32,28.33,28.0,28.13,126175,354930048,0
2025-12-16 14:00:00,28.12,28.39,28.02,28.28,103709,292466769,0
2025-12-16 15:00:00,28.28,28.54,28.24,28.3,100040,283619404,0
2025-12-17 10:30:00,28.31,28.63,28.06,28.23,205738,583261662,0
2025-12-17 11:30:00,28.23,28.26,27.93,28.03,145119,407422473,0
2025-12-17 14:00:00,28.04,28.3,27.87,28.28,214291,601115029,0
2025-12-17 15:00:00,28.28,28.53,28.26,28.43,268712,762561675,0
2025-12-18 10:30:00,28.03,28.2,27.77,28.02,268830,753067233,0
2025-12-18 11:30:00,28.01,28.03,27.81,27.85,129857,362075515,0
2025-12-18 14:00:00,27.84,27.99,27.69,27.76,176849,492093164,0
2025-12-18 15:00:00,27.77,27.8,27.6,27.66,182984,506648455,0
2025-12-19 10:30:00,27.85,28.48,27.81,28.36,368420,1037774242,0
2025-12-19 11:30:00,28.36,28.4,28.12,28.18,92784,262014258,0
2025-12-19 14:00:00,28.18,28.19,27.92,27.94,138518,388173774,0
2025-12-19 15:00:00,27.93,28.05,27.9,27.98,114887,321362665,0
2025-12-22 10:30:00,28.07,28.35,28.06,28.28,274302,773401166,0
2025-12-22 11:30:00,28.28,28.4,28.21,28.33,113383,320990726,0
2025-12-22 14:00:00,28.33,28.34,28.19,28.22,111448,314907161,0
