datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,18.95,24.13,18.39,22.52,10246482,22139283328.0,0
2020-02-29,20.16,26.44,18.8,21.18,19384948,45407289056.0,0
2020-03-31,21.56,23.05,13.73,15.32,21760345,40396352176.0,0
2020-04-30,15.88,18.86,15.73,18.26,19229056,35119584144.0,0
2020-05-31,18.08,21.43,17.97,20.25,18533451,38701039296.0,0
2020-06-30,20.63,28.38,20.63,28.37,19811056,49487577440.0,0
2020-07-31,28.37,41.72,26.59,41.71,25922570,85712919600.0,0
2020-08-31,42.72,44.18,34.67,40.1,23643654,96364583552.0,0
2020-09-30,39.79,43.26,36.58,39.44,13502359,55175316448.0,0
2020-10-31,40.86,47.69,38.96,44.37,12401809,54000133232.0,0
2020-11-30,43.86,49.24,35.01,36.98,18053335,74450924784.0,0
2020-12-31,36.61,39.67,34.87,36.33,18015116,68414351536.0,0
2021-01-31,36.36,43.51,31.38,32.21,24815876,97893284880.0,0
2021-02-28,32.21,35.45,29.24,31.01,16229701,54231123280.0,0
2021-03-31,31.01,34.27,24.16,26.16,17510613,50934938112.0,0
2021-04-30,26.37,37.23,26.05,36.71,17374654,57919418192.0,0
2021-05-31,36.94,40.28,31.14,38.11,14038615,52546925616.0,0
2021-06-30,37.84,44.04,35.27,41.9,17335784,69649982288.0,0
2021-07-31,42.04,43.39,34.53,37.27,20428592,82053747872.0,0
2021-08-31,36.74,50.36,36.45,45.7,14949304,64363264832.0,0
2021-09-30,46.06,51.41,41.22,42.26,13754008,64821986800.0,0
2021-10-31,43.03,43.96,38.26,42.7,7705513,32086567536.0,0
2021-11-30,43.6,54.26,42.71,51.24,17855509,88379939680.0,0
2021-12-31,52.05,57.59,48.92,53.26,12131258,65550084176.0,0
2022-01-31,53.96,56.27,45.87,46.23,7869495,40175490592.0,0
2022-02-28,45.82,46.66,39.73,42.94,7567431,33082937648.0,0
2022-03-31,43.16,43.35,32.46,33.56,14134882,52476410416.0,0
2022-04-30,32.97,34.82,26.54,34.21,10212105,32749418192.0,0
2022-05-31,34.46,40.09,32.33,40.09,9091919,33008235008.0,0
2022-06-30,39.8,40.93,30.66,32.96,17582848,62973803904.0,0
2022-07-31,33.26,33.58,29.94,31.16,12196263,39380516773.29,0
2022-08-31,31.07,37.86,30.32,31.84,19653406,68066812761.9,0
2022-09-30,31.46,32.81,25.84,25.86,10351560,31746571266.86,0
2022-10-31,25.71,26.34,20.59,21.04,9436323,23128437874.15,0
2022-11-30,21.41,24.43,16.12,17.5,35086691,68445242042.41,0
2022-12-31,17.69,18.1,15.89,16.19,24320178,43102738802.38,0
2023-01-31,16.19,20.23,15.91,20.04,25377446,47108731889.03,0
2023-02-28,20.05,22.95,19.37,20.91,33176479,72248625403.55,0
2023-03-31,20.91,22.22,18.51,20.76,23913726,50502146962.34,0
2023-04-30,20.77,23.86,16.46,17.1,30308548,64827089484.44,0
2023-05-31,17.08,18.42,16.52,17.84,11514973,21017494265.2,0
2023-06-30,17.83,18.93,16.56,17.21,13240069,24299649699.56,0
2023-07-31,17.25,18.96,16.72,17.36,11899278,21822136107.53,0
2023-08-31,17.37,17.76,13.82,14.78,11407765,18583431705.84,0
2023-09-30,14.83,15.54,14.43,15.24,7908870,12355163413.96,0
2023-10-31,15.69,18.24,15.56,17.49,19671298,34601335597.54,0
2023-11-30,17.51,19.31,16.98,17.46,15707322,29423313617.24,0
2023-12-31,17.64,20.47,16.63,20.47,12790846,24031206547.6,0
2024-01-31,20.61,20.83,14.67,14.71,20146424,37810803193.62,0
2024-02-29,14.56,16.51,13.29,16.1,11093288,17615354932.03,0
2024-03-31,16.2,18.39,15.09,15.44,17137382,29791061458.55,0
2024-04-30,15.48,16.2,14.03,15.26,11098140,17217158432.51,0
2024-05-31,15.49,17.31,15.41,16.75,12435949,20844733689.48,0
2024-06-30,16.85,19.36,16.17,19.07,14629440,26522554248.56,0
2024-07-31,19.01,23.56,18.52,21.08,22429189,48428157348.65,0
2024-08-31,21.36,21.4,18.59,20.85,13735142,28056775563.33,0
2024-09-30,20.7,22.53,17.48,22.28,13022929,25678790107.1,0
2024-10-31,24.55,24.55,20.9,23.06,20204715,46966089669.8,0
2024-11-30,22.72,27.1,21.97,25.19,34860599,86460046971.47,0
2024-12-31,25.21,28.81,24.6,25.52,27530094,73935391340.82,0
2025-01-31,25.37,27.99,23.24,27.47,19538634,50560226743.57,0
2025-02-28,28.0,30.34,27.21,28.12,23481151,68357764031.03,0
2025-03-31,28.11,28.72,25.49,25.85,12332737,33979509899.17,0
2025-04-30,26.0,26.28,16.82,20.89,23308919,48640898650.89,0
2025-05-31,21.09,23.7,20.25,20.62,13770721,30397210993.19,0
2025-06-30,20.44,23.8,20.43,23.17,14377412,32705674011.36,0
2025-07-31,23.17,24.3,21.95,22.87,19366366,44837706077.49,0
2025-08-31,22.87,37.02,22.21,36.57,34852583,100878233836.16,0
2025-09-30,36.59,37.5,30.15,37.35,38697304,130327231549.53,0
2025-10-31,37.34,40.53,30.04,32.7,22137998,74942068018.17,0
2025-11-30,32.75,32.92,27.05,30.03,14766788,43964938991.65,0
2025-12-31,30.1,32.23,27.6,28.73,20620514,60418023887.79,0
2026-01-31,28.8,30.32,28.8,29.92,6863209,20333502552.34,0
