datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,3.61,4.12,3.58,4.09,2664707,1012231192.0,0
2020-02-29,3.68,4.38,3.44,3.92,6480607,2649864341.0,0
2020-03-31,3.92,4.18,3.33,3.4,2886195,1099313586.0,0
2020-04-30,3.38,3.54,2.85,3.01,1855960,601548064.0,0
2020-05-31,2.99,3.06,2.65,2.82,1213970,351934659.0,0
2020-06-30,2.83,2.93,2.59,2.62,1466737,409269437.0,0
2020-07-31,2.61,3.07,2.58,2.84,3485704,990703159.0,0
2020-08-31,2.84,3.51,2.76,3.05,5569024,1744275270.0,0
2020-09-30,3.04,3.45,2.77,2.89,3114122,973538740.0,0
2020-10-31,2.91,2.96,2.56,2.58,849980,238499770.0,0
2020-11-30,2.58,4.27,2.52,3.34,8602124,3023193073.0,0
2020-12-31,3.29,3.46,2.81,2.86,6010159,1882770056.0,0
2021-01-31,2.88,2.93,2.54,2.6,1683580,461514216.0,0
2021-02-28,2.56,3.28,2.53,3.11,2617361,785571616.0,0
2021-03-31,3.11,3.58,2.84,3.12,6736905,2187215316.0,0
2021-04-30,3.16,3.2,2.88,3.05,2094891,635264840.0,0
2021-05-31,3.1,4.55,3.08,4.55,4898790,1845867132.0,0
2021-06-30,4.5,4.7,3.11,3.32,7288147,2647496341.0,0
2021-07-31,3.33,3.63,3.07,3.43,3945189,1338146373.0,0
2021-08-31,3.43,4.05,3.27,3.92,4538016,1645020363.0,0
2021-09-30,3.91,4.25,3.36,3.4,4190784,1635979047.0,0
2021-10-31,3.45,3.5,2.97,3.06,1554755,502677050.0,0
2021-11-30,3.09,3.44,3.02,3.35,1752863,557668997.0,0
2021-12-31,3.36,3.4,3.15,3.19,2246489,730208847.0,0
2022-01-31,3.2,3.49,3.05,3.13,1712231,562174564.0,0
2022-02-28,3.16,3.44,3.14,3.28,1484280,487806239.0,0
2022-03-31,3.29,3.88,2.92,3.11,4851984,1638014351.0,0
2022-04-30,3.1,3.44,2.92,3.09,2352195,755519308.0,0
2022-05-31,3.09,3.41,3.04,3.27,1941904,626582114.0,0
2022-06-30,3.31,4.0,3.23,3.75,4763660,1682290618.0,0
2022-07-31,3.71,5.32,3.56,5.32,5476808,2265994617.72,0
2022-08-31,5.51,5.57,3.89,4.22,10136083,4575373930.84,0
2022-09-30,4.21,5.83,4.14,4.73,13273076,6553236502.71,0
2022-10-31,4.68,4.9,3.88,3.93,5663435,2511993771.56,0
2022-11-30,3.96,4.5,3.79,4.12,3828658,1594015235.96,0
2022-12-31,4.15,4.59,4.04,4.2,3860378,1656104658.19,0
2023-01-31,4.2,4.51,4.08,4.39,2073059,883704402.05,0
2023-02-28,4.42,4.88,4.24,4.74,3532790,1595095906.06,0
2023-03-31,4.75,4.94,4.14,4.23,3446189,1580769624.93,0
2023-04-30,4.25,4.36,3.94,4.06,1458269,608559737.71,0
2023-05-31,4.06,4.31,3.98,4.26,1227677,512744256.02,0
2023-06-30,4.27,4.34,4.04,4.23,1011763,424244009.21,0
2023-07-31,4.26,4.58,4.1,4.41,3016854,1323344959.32,0
2023-08-31,4.44,4.73,4.3,4.46,2340881,1065242796.57,0
2023-09-30,4.46,4.82,4.44,4.52,2026456,937486388.75,0
2023-10-31,4.52,4.59,4.13,4.4,1331693,583048050.31,0
2023-11-30,4.4,4.75,4.39,4.58,2004603,918896482.71,0
2023-12-31,4.6,4.67,4.29,4.54,1774184,794716071.0,0
2024-01-31,4.54,4.72,3.99,4.09,2092036,924363275.92,0
2024-02-29,4.05,4.4,3.61,4.17,2074012,858269828.48,0
2024-03-31,4.16,4.45,4.08,4.44,2017984,866959237.28,0
2024-04-30,4.46,5.4,4.45,5.26,4003699,1951915409.32,0
2024-05-31,5.26,6.64,5.19,6.2,5298415,3203053216.39,0
2024-06-30,6.16,6.3,5.52,5.86,2794957,1659900274.61,0
2024-07-31,5.85,5.99,4.68,5.34,3090779,1654613577.34,0
2024-08-31,5.32,5.39,4.7,5.05,1453013,726042158.03,0
2024-09-30,5.05,5.87,4.52,5.87,2311983,1183941817.73,0
2024-10-31,6.46,7.61,5.64,7.2,6958522,4636923943.1,0
2024-11-30,7.18,8.23,6.55,7.32,5641984,4147163211.01,0
2024-12-31,7.31,8.97,7.21,8.97,5182720,4119474266.42,0
2025-01-31,9.87,11.2,9.15,10.41,10364748,10531432101.06,0
2025-02-28,10.49,10.68,9.28,10.13,5204840,5222983051.21,0
2025-03-31,10.22,12.64,10.0,11.15,6990055,8141059428.9,0
2025-04-30,11.16,11.54,8.22,9.81,5117441,4882277911.55,0
2025-05-31,9.92,12.77,9.48,10.19,6330981,6801107799.97,0
2025-06-30,10.1,13.6,10.01,13.28,5615262,6623825618.76,0
2025-07-31,13.15,15.79,12.7,14.85,4539431,6368716362.46,0
2025-08-31,14.85,18.61,14.41,18.43,4508948,7252775021.68,0
2025-09-30,18.58,18.84,16.24,17.36,4317220,7446836365.63,0
2025-10-31,17.5,21.27,16.52,20.5,3765888,7110459850.87,0
2025-11-30,20.52,23.48,19.1,20.16,3840104,8091132853.34,0
2025-12-31,20.3,24.99,20.1,23.92,4291757,9824317451.87,0
2026-01-31,24.66,28.24,24.66,27.7,1500294,4028647630.51,0
