datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,3.61,3.76,3.6,3.73,374691,138389345.0,0
2020-01-10,3.71,3.88,3.7,3.74,665260,252684902.0,0
2020-01-17,3.73,4.02,3.68,3.8,801247,306126131.0,0
2020-01-24,3.79,4.12,3.58,4.09,823509,315030814.0,0
2020-02-07,3.68,4.14,3.44,4.01,1783885,701543708.0,0
2020-02-14,3.95,4.3,3.92,4.01,1553779,641977392.0,0
2020-02-21,4.0,4.38,3.99,4.27,1629902,682596462.0,0
2020-02-28,4.3,4.3,3.91,3.92,1513041,623746779.0,0
2020-03-06,3.92,4.18,3.92,4.1,949714,387161237.0,0
2020-03-13,4.0,4.05,3.5,3.7,756408,291723679.0,0
2020-03-20,3.77,3.82,3.5,3.67,622709,227268515.0,0
2020-03-27,3.57,3.6,3.37,3.45,431224,150553437.0,0
2020-04-03,3.4,3.43,3.31,3.37,298543,100972574.0,0
2020-04-10,3.43,3.5,3.4,3.42,304067,104939129.0,0
2020-04-17,3.4,3.54,3.3,3.31,413295,141444749.0,0
2020-04-24,3.31,3.32,2.97,2.99,552303,172470639.0,0
2020-05-01,2.96,3.11,2.85,3.01,413892,124327691.0,0
2020-05-08,2.99,3.05,2.95,3.02,218961,65925087.0,0
2020-05-15,3.03,3.06,2.95,2.95,272337,81597158.0,0
2020-05-22,2.95,2.99,2.68,2.7,348558,99308999.0,0
2020-05-29,2.7,2.91,2.65,2.82,374114,105103415.0,0
2020-06-05,2.83,2.93,2.81,2.87,321677,92368873.0,0
2020-06-12,2.87,2.92,2.73,2.8,309085,87732048.0,0
2020-06-19,2.79,2.9,2.74,2.78,455895,127424640.0,0
2020-06-26,2.79,2.8,2.65,2.66,210727,57174402.0,0
2020-07-03,2.73,2.76,2.58,2.76,487453,129317193.0,0
2020-07-10,2.77,3.07,2.77,2.9,1042942,306225628.0,0
2020-07-17,2.97,3.04,2.68,2.71,883212,255867406.0,0
2020-07-24,2.73,2.89,2.62,2.67,668415,185338131.0,0
2020-07-31,2.66,2.85,2.61,2.84,573035,158524275.0,0
2020-08-07,2.84,2.93,2.76,2.78,701482,200407479.0,0
2020-08-14,2.79,3.51,2.77,3.34,2745261,873339198.0,0
2020-08-21,3.26,3.4,3.04,3.05,1283602,410869606.0,0
2020-08-28,3.05,3.21,2.99,3.11,742805,230099215.0,0
2020-09-04,3.12,3.12,2.93,2.99,428006,129751287.0,0
2020-09-11,2.99,3.45,2.97,3.08,1425418,455769954.0,0
2020-09-18,3.07,3.38,3.02,3.13,833327,262312945.0,0
2020-09-25,3.13,3.19,2.86,2.86,382211,115269094.0,0
2020-10-02,2.86,2.92,2.77,2.89,141034,39995232.0,0
2020-10-09,2.91,2.94,2.9,2.91,54623,15947195.0,0
2020-10-16,2.92,2.96,2.82,2.85,277178,80037272.0,0
2020-10-23,2.84,2.88,2.73,2.75,280504,78774778.0,0
2020-10-30,2.77,2.78,2.56,2.58,237675,63740525.0,0
2020-11-06,2.58,2.75,2.52,2.69,273384,72205695.0,0
2020-11-13,2.69,3.1,2.68,2.94,969236,279140190.0,0
2020-11-20,2.96,3.88,2.8,3.88,2316512,799731102.0,0
2020-11-27,4.25,4.27,3.22,3.37,4508172,1690711973.0,0
2020-12-04,3.35,3.47,3.1,3.16,2386515,786736597.0,0
2020-12-11,3.16,3.34,3.02,3.09,1531518,488333638.0,0
2020-12-18,3.03,3.2,2.96,3.1,1150669,354569063.0,0
2020-12-25,3.14,3.15,2.81,2.95,949341,281638953.0,0
2021-01-01,2.94,3.0,2.83,2.86,526936,152895918.0,0
2021-01-08,2.88,2.93,2.63,2.75,634825,178181307.0,0
2021-01-15,2.71,2.79,2.59,2.77,388705,103757252.0,0
2021-01-22,2.77,2.85,2.71,2.75,381146,105952206.0,0
2021-01-29,2.74,2.76,2.54,2.6,278904,73623451.0,0
2021-02-05,2.56,2.7,2.53,2.63,270192,70344178.0,0
2021-02-12,2.6,2.86,2.58,2.69,328869,89681609.0,0
2021-02-19,2.77,2.94,2.75,2.91,296973,84335948.0,0
2021-02-26,3.2,3.28,2.91,3.11,1721327,541209881.0,0
2021-03-05,3.11,3.15,2.97,3.04,836200,255161530.0,0
2021-03-12,3.05,3.58,2.84,3.28,1743042,565691711.0,0
2021-03-19,3.24,3.55,3.16,3.4,2418227,807111433.0,0
2021-03-26,3.41,3.52,3.02,3.05,1325628,433538139.0,0
2021-04-02,3.07,3.17,2.94,3.02,702062,212974841.0,0
2021-04-09,3.01,3.2,3.0,3.08,527498,163644649.0,0
2021-04-16,3.08,3.11,2.89,3.06,449854,136064801.0,0
2021-04-23,3.04,3.07,2.88,2.94,389351,116555110.0,0
2021-04-30,2.94,3.12,2.88,3.05,439934,131737942.0,0
2021-05-07,3.1,3.33,3.08,3.27,460800,147818879.0,0
2021-05-14,3.3,3.44,3.21,3.36,746641,246951451.0,0
2021-05-21,3.37,3.51,3.2,3.43,574669,191534287.0,0
2021-05-28,3.42,4.14,3.39,4.14,1706628,653250851.0,0
2021-06-04,4.03,4.7,3.58,3.64,4461830,1840853602.0,0
2021-06-11,3.64,3.66,3.29,3.43,1983493,676657941.0,0
2021-06-18,3.41,3.41,3.11,3.21,790612,255123735.0,0
2021-06-25,3.18,3.32,3.16,3.26,807412,261791899.0,0
2021-07-02,3.25,3.44,3.15,3.2,902553,299268799.0,0
2021-07-09,3.21,3.45,3.17,3.43,765130,255825379.0,0
2021-07-16,3.45,3.6,3.27,3.4,1025397,353027742.0,0
2021-07-23,3.38,3.63,3.26,3.52,865921,299627981.0,0
2021-07-30,3.53,3.56,3.07,3.43,1041040,349777300.0,0
2021-08-06,3.43,3.48,3.27,3.47,763414,258285013.0,0
2021-08-13,3.48,3.74,3.42,3.72,1017585,364296908.0,0
2021-08-20,3.72,3.73,3.41,3.53,806274,286389168.0,0
2021-08-27,3.54,3.94,3.47,3.93,1371259,510371764.0,0
2021-09-03,3.95,4.05,3.73,3.81,1364457,527483446.0,0
2021-09-10,3.76,4.23,3.74,4.06,1288188,515700430.0,0
2021-09-17,4.11,4.25,3.79,3.87,1121425,454624404.0,0
2021-09-24,3.84,4.0,3.71,3.72,463663,179013990.0,0
2021-10-01,3.71,3.72,3.36,3.4,532535,184834287.0,0
2021-10-08,3.45,3.5,3.37,3.41,112571,38377961.0,0
2021-10-15,3.42,3.44,3.18,3.27,496160,163710687.0,0
2021-10-22,3.28,3.38,3.16,3.16,461932,151995761.0,0
2021-10-29,3.17,3.19,2.97,3.06,484092,148592641.0,0
2021-11-05,3.09,3.16,3.02,3.04,375943,115863897.0,0
2021-11-12,3.04,3.18,3.03,3.15,336034,104503635.0,0
2021-11-19,3.14,3.18,3.08,3.17,376169,117883152.0,0
2021-11-26,3.16,3.36,3.14,3.34,436641,142504468.0,0
2021-12-03,3.31,3.44,3.28,3.33,532455,178602195.0,0
2021-12-10,3.34,3.37,3.17,3.23,468563,152529647.0,0
2021-12-17,3.22,3.25,3.15,3.19,415965,132650448.0,0
2021-12-24,3.18,3.38,3.17,3.24,662729,217256944.0,0
2021-12-31,3.24,3.25,3.15,3.19,394853,126083458.0,0
2022-01-07,3.2,3.34,3.19,3.29,449193,147724510.0,0
2022-01-14,3.3,3.49,3.28,3.33,491303,165631074.0,0
2022-01-21,3.34,3.39,3.18,3.24,370455,122015059.0,0
2022-01-28,3.24,3.29,3.05,3.13,401280,126803921.0,0
2022-02-11,3.16,3.44,3.14,3.29,456589,150741869.0,0
2022-02-18,3.3,3.33,3.21,3.33,367941,120637452.0,0
2022-02-25,3.32,3.37,3.19,3.29,565512,185743292.0,0
2022-03-04,3.29,3.88,3.21,3.53,1626305,578994197.0,0
2022-03-11,3.6,3.68,3.17,3.28,1670446,570005770.0,0
2022-03-18,3.24,3.32,2.92,3.12,787230,245978287.0,0
2022-03-25,3.16,3.28,3.08,3.23,563896,180029967.0,0
2022-04-01,3.24,3.24,3.08,3.13,375370,117613275.0,0
2022-04-08,3.12,3.18,3.07,3.11,208457,65319535.0,0
2022-04-15,3.11,3.41,3.05,3.34,867762,282054158.0,0
2022-04-22,3.34,3.44,3.19,3.3,609655,202945203.0,0
2022-04-29,3.24,3.29,2.92,3.09,589296,181276893.0,0
2022-05-06,3.09,3.16,3.04,3.09,151705,46923742.0,0
2022-05-13,3.09,3.16,3.05,3.14,312264,97012624.0,0
2022-05-20,3.15,3.32,3.06,3.31,477145,151866251.0,0
2022-05-27,3.31,3.41,3.21,3.24,769207,255779361.0,0
2022-06-03,3.24,3.32,3.19,3.29,495389,161131592.0,0
2022-06-10,3.32,3.67,3.23,3.57,1078873,369433407.0,0
2022-06-17,3.62,3.63,3.42,3.56,905916,318706499.0,0
2022-06-24,3.56,3.61,3.27,3.31,687227,233749593.0,0
2022-07-01,3.32,4.0,3.28,3.71,2221749,820567835.0,0
2022-07-08,3.68,3.84,3.56,3.74,1043438,387060279.0,0
2022-07-15,3.72,3.92,3.6,3.71,855962,318712787.15,0
2022-07-22,3.69,4.08,3.68,3.94,890617,346979937.97,0
2022-07-29,3.97,5.32,3.85,5.32,2292880,1066943441.6,0
2022-08-05,5.51,5.57,3.89,3.98,4041216,1795509860.43,0
2022-08-12,3.97,4.76,3.92,4.45,2589848,1159772493.38,0
2022-08-19,4.41,4.8,4.41,4.6,1551597,718378941.0,0
2022-08-26,4.6,4.98,4.48,4.53,1287444,605999603.03,0
2022-09-02,4.58,4.67,4.14,4.3,932360,408553287.05,0
2022-09-09,4.31,4.94,4.24,4.94,1060837,482964418.32,0
2022-09-16,5.15,5.83,4.83,4.92,7039271,3743220087.37,0
2022-09-23,4.76,4.79,4.29,4.46,3123059,1415761277.07,0
2022-09-30,4.39,4.73,4.16,4.73,1783527,798450465.9,0
2022-10-14,4.68,4.9,4.31,4.71,2719363,1250824810.74,0
2022-10-21,4.65,4.69,4.15,4.3,1476737,654265609.81,0
2022-10-28,4.29,4.35,4.0,4.13,1163961,486750325.49,0
2022-11-04,4.09,4.18,3.79,4.18,1224298,486620982.22,0
2022-11-11,4.21,4.46,4.16,4.41,1102849,477148704.51,0
2022-11-18,4.39,4.5,4.11,4.11,888062,375911522.4,0
2022-11-25,4.1,4.22,3.99,4.04,523462,213654919.44,0
2022-12-02,4.0,4.2,3.93,4.09,645616,264423991.01,0
2022-12-09,4.09,4.29,4.07,4.2,717159,298315027.48,0
2022-12-16,4.17,4.59,4.15,4.44,1700315,750308223.67,0
2022-12-23,4.43,4.49,4.1,4.16,655392,279275855.94,0
2022-12-30,4.16,4.34,4.1,4.2,535257,224613693.0,0
2023-01-06,4.2,4.31,4.15,4.19,410095,173293493.17,0
2023-01-13,4.19,4.35,4.15,4.17,599925,255277035.92,0
2023-01-20,4.17,4.51,4.08,4.37,731417,310001813.21,0
2023-02-03,4.4,4.63,4.33,4.46,930424,414793565.45,0
2023-02-10,4.48,4.6,4.37,4.42,668577,299301050.33,0
2023-02-17,4.41,4.47,4.24,4.32,737289,322946884.6,0
2023-02-24,4.32,4.62,4.3,4.51,637120,284321375.74,0
2023-03-03,4.52,4.92,4.46,4.82,1481236,701194254.14,0
2023-03-10,4.86,4.94,4.48,4.54,1172778,554816670.26,0
2023-03-17,4.53,4.64,4.43,4.47,614360,277463187.0,0
2023-03-24,4.48,4.59,4.33,4.38,574435,256373286.26,0
2023-03-31,4.37,4.39,4.14,4.23,494382,209787316.96,0
2023-04-07,4.25,4.36,4.19,4.2,387314,164845957.58,0
2023-04-14,4.2,4.29,4.12,4.28,373684,157212548.28,0
2023-04-21,4.27,4.3,4.01,4.02,362417,150914317.0,0
2023-04-28,4.02,4.12,3.94,4.06,334854,135586914.85,0
2023-05-05,4.06,4.16,4.03,4.06,132992,54430933.01000001,0
2023-05-12,4.06,4.12,3.98,4.12,256554,104228704.72,0
2023-05-19,4.11,4.31,4.1,4.26,329736,138724070.7,0
2023-05-26,4.24,4.29,4.16,4.27,351882,149027348.37,0
2023-06-02,4.27,4.28,4.17,4.25,237689,100805505.54,0
2023-06-09,4.25,4.34,4.14,4.16,279491,118936282.23,0
2023-06-16,4.16,4.22,4.06,4.2,204510,84667191.4,0
2023-06-23,4.2,4.23,4.1,4.1,146176,60961175.0,0
2023-06-30,4.11,4.27,4.04,4.23,300410,125207054.26,0
2023-07-07,4.26,4.58,4.26,4.41,1155161,511916478.89,0
2023-07-14,4.38,4.42,4.16,4.2,387241,164559380.74,0
2023-07-21,4.15,4.52,4.1,4.36,955742,419841668.05,0
2023-07-28,4.35,4.48,4.29,4.42,441057,192707282.64,0
2023-08-04,4.42,4.71,4.4,4.64,689960,315204305.13,0
2023-08-11,4.64,4.73,4.52,4.71,524515,242022963.47,0
2023-08-18,4.69,4.71,4.43,4.54,507865,232468890.71,0
2023-08-25,4.54,4.58,4.33,4.36,380139,169489188.0,0
2023-09-01,4.5,4.63,4.3,4.6,470212,210777604.66,0
2023-09-08,4.58,4.82,4.57,4.6,602736,284127818.62,0
2023-09-15,4.6,4.7,4.56,4.6,366255,168820672.44,0
2023-09-22,4.6,4.76,4.5,4.57,584822,270583216.01,0
2023-09-29,4.57,4.59,4.44,4.52,318486,143554675.28,0
2023-10-13,4.52,4.59,4.4,4.42,312069,139557962.97,0
2023-10-20,4.43,4.5,4.27,4.28,452218,198430360.26,0
2023-10-27,4.29,4.45,4.13,4.39,407291,175309464.88,0
2023-11-03,4.37,4.53,4.26,4.51,389521,172540159.32,0
2023-11-10,4.53,4.66,4.42,4.56,557432,252542413.11,0
2023-11-17,4.54,4.69,4.48,4.68,533483,244336949.28,0
2023-11-24,4.7,4.75,4.64,4.66,382234,179497166.92,0
2023-12-01,4.67,4.7,4.54,4.58,356080,164436802.28,0
2023-12-08,4.59,4.67,4.46,4.46,387089,176874667.77,0
2023-12-15,4.46,4.54,4.38,4.41,377207,168877413.8,0
2023-12-22,4.41,4.47,4.3,4.35,391339,171823576.69,0
2023-12-29,4.36,4.62,4.29,4.54,564517,252433666.74,0
2024-01-05,4.54,4.67,4.49,4.54,392945,180303045.11,0
