datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,15.98,16.15,15.8,15.92,118421,188536731.0,0
2020-01-03,15.92,16.2,15.8,16.06,132835,212378466.0,0
2020-01-06,16.0,16.39,15.87,16.1,141866,229059272.0,0
2020-01-07,16.08,16.31,15.98,16.06,93610,150831660.0,0
2020-01-08,16.06,16.3,15.89,16.01,151732,244628148.0,0
2020-01-09,16.09,16.19,15.98,15.99,74249,119094345.0,0
2020-01-10,15.99,16.08,15.73,15.93,85355,135395966.0,0
2020-01-13,15.88,16.01,15.7,15.95,71473,113357296.0,0
2020-01-14,15.93,16.14,15.82,15.95,76455,122086127.0,0
2020-01-15,15.94,15.94,15.71,15.82,46290,73101236.0,0
2020-01-16,15.82,15.92,15.72,15.88,46552,73674818.0,0
2020-01-17,15.88,15.92,15.75,15.8,41601,65713231.0,0
2020-01-20,15.82,15.84,15.66,15.81,43201,67910154.0,0
2020-01-21,15.98,16.08,15.76,15.81,62526,99458738.0,0
2020-01-22,15.79,15.94,15.56,15.83,52427,82668341.0,0
2020-01-23,15.79,15.96,15.18,15.5,82704,128756775.0,0
2020-02-03,13.95,13.95,13.95,13.95,10526,14683770.0,0
2020-02-04,12.56,13.46,12.56,12.89,259691,331128464.0,0
2020-02-05,12.83,13.24,12.7,12.88,142243,184199485.0,0
2020-02-06,12.88,13.31,12.65,13.23,177887,232875734.0,0
2020-02-07,13.27,13.49,13.15,13.41,96406,128628896.0,0
2020-02-10,13.39,13.79,13.2,13.45,131625,177134713.0,0
2020-02-11,13.46,13.65,13.4,13.48,102649,138760717.0,0
2020-02-12,13.48,13.79,13.42,13.69,151801,206799395.0,0
2020-02-13,13.6,13.83,13.42,13.7,109789,149039043.0,0
2020-02-14,13.7,14.45,13.49,14.18,173670,241059784.0,0
2020-02-17,14.2,14.41,13.84,14.39,197438,279465088.0,0
2020-02-18,14.39,15.1,14.2,14.86,206056,306175472.0,0
2020-02-19,14.85,15.15,14.65,14.93,148736,222188889.0,0
2020-02-20,15.0,15.5,14.66,15.33,216427,326949040.0,0
2020-02-21,15.46,15.6,15.05,15.44,229001,350112592.0,0
2020-02-24,15.37,15.95,15.31,15.82,250918,395598512.0,0
2020-02-25,15.48,15.66,14.75,15.5,247756,378318784.0,0
2020-02-26,15.1,15.3,14.51,14.56,171309,255381550.0,0
2020-02-27,14.59,14.91,14.33,14.49,146288,213567885.0,0
2020-02-28,13.88,13.99,13.16,13.3,203709,275524640.0,0
2020-03-02,13.3,13.74,13.3,13.59,128637,174395739.0,0
2020-03-03,13.8,13.95,13.51,13.61,133154,183210567.0,0
2020-03-04,13.6,13.61,13.25,13.51,98733,132449684.0,0
2020-03-05,13.68,13.79,13.45,13.58,92641,125672192.0,0
2020-03-06,13.38,13.75,13.31,13.5,91882,124104572.0,0
2020-03-09,13.24,13.26,12.76,12.77,126725,164865451.0,0
2020-03-10,12.5,13.07,12.22,13.05,191429,243379404.0,0
2020-03-11,13.07,13.28,12.77,12.77,119521,155403145.0,0
2020-03-12,12.55,12.65,12.27,12.39,93122,115980848.0,0
2020-03-13,11.81,12.36,11.6,12.26,151733,180912499.0,0
2020-03-16,12.31,12.42,11.28,11.49,141036,167649803.0,0
2020-03-17,11.5,11.8,11.11,11.5,107520,122780918.0,0
2020-03-18,11.64,11.85,11.28,11.29,104275,120941706.0,0
2020-03-19,11.2,11.56,11.2,11.46,91239,103963615.0,0
2020-03-20,11.47,11.74,11.3,11.54,67956,78204300.0,0
2020-03-23,11.17,11.35,10.83,10.86,92785,102412640.0,0
2020-03-24,11.09,11.13,10.77,11.02,72010,79056426.0,0
2020-03-25,11.3,11.33,11.06,11.16,82187,92002052.0,0
2020-03-26,11.07,11.63,10.96,11.5,118861,134208908.0,0
2020-03-27,11.53,11.96,11.24,11.78,156174,180273083.0,0
2020-03-30,11.6,11.62,11.15,11.45,127772,145242402.0,0
2020-03-31,11.52,11.58,11.11,11.28,101280,114344367.0,0
2020-04-01,11.15,11.33,11.03,11.15,73883,82778600.0,0
2020-04-02,11.01,11.31,10.98,11.3,87681,98045728.0,0
2020-04-03,11.28,11.35,11.14,11.14,98734,110763185.0,0
2020-04-07,11.3,11.55,11.26,11.29,133412,151171108.0,0
2020-04-08,11.3,11.33,11.18,11.24,105176,118312943.0,0
2020-04-09,11.32,11.39,11.22,11.26,67153,75818988.0,0
2020-04-10,11.29,11.31,10.92,10.96,82257,91113465.0,0
2020-04-13,10.96,10.98,10.69,10.77,51585,55900560.0,0
2020-04-14,10.9,11.7,10.77,11.38,125266,139284197.0,0
2020-04-15,11.33,11.35,11.06,11.25,85551,95965828.0,0
2020-04-16,11.52,11.6,11.29,11.36,126299,144448579.0,0
2020-04-17,11.3,11.55,11.2,11.25,110046,125339646.0,0
2020-04-20,11.3,11.43,11.14,11.35,104188,117642236.0,0
2020-04-21,11.35,11.35,11.07,11.15,56292,62982735.0,0
2020-04-22,11.08,11.75,11.0,11.69,138678,158661501.0,0
2020-04-23,11.78,12.84,11.7,12.52,282404,348963312.0,0
2020-04-24,12.59,12.76,12.27,12.33,143339,178816841.0,0
2020-04-27,12.31,12.45,12.12,12.14,95977,117703737.0,0
2020-04-28,12.18,12.24,11.56,11.93,105908,126426327.0,0
2020-04-29,12.07,12.17,11.84,11.97,68822,82501765.0,0
2020-04-30,12.09,12.4,12.02,12.16,99007,121234677.0,0
2020-05-06,11.99,13.13,11.97,12.93,158771,200994057.0,0
2020-05-07,13.02,13.36,12.8,13.19,153118,201178666.0,0
2020-05-08,13.25,13.48,13.18,13.23,102862,136903716.0,0
2020-05-11,13.32,13.46,12.93,12.98,91162,119779617.0,0
2020-05-12,13.01,13.2,12.76,13.07,82267,106755015.0,0
2020-05-13,13.07,13.21,12.98,13.1,49570,64994731.0,0
2020-05-14,12.94,13.71,12.92,13.33,112065,150086715.0,0
2020-05-15,13.34,13.39,12.95,12.97,87143,114174866.0,0
2020-05-18,12.77,12.99,12.49,12.61,115432,146049077.0,0
2020-05-19,12.66,12.99,12.57,12.87,66474,85066050.0,0
2020-05-20,12.95,12.95,12.59,12.64,71721,91393869.0,0
2020-05-21,12.74,12.9,12.56,12.68,49186,62660042.0,0
2020-05-22,12.74,12.95,12.29,12.33,94191,118353637.0,0
2020-05-25,12.36,12.42,12.0,12.07,52069,63377919.0,0
2020-05-26,12.18,12.41,12.12,12.34,56308,69416435.0,0
2020-05-27,12.47,12.54,12.18,12.3,51200,63118394.0,0
2020-05-28,12.21,12.46,12.07,12.41,55890,68634107.0,0
2020-05-29,12.9,13.03,12.47,12.85,85211,107994400.0,0
2020-06-01,12.85,13.22,12.81,13.1,101269,132304176.0,0
2020-06-02,13.15,13.55,13.1,13.34,144711,192665976.0,0
2020-06-03,13.34,13.43,13.1,13.1,96748,127989793.0,0
2020-06-04,13.28,13.4,13.13,13.19,87144,115396239.0,0
2020-06-05,13.29,13.34,12.94,13.17,76127,99623047.0,0
2020-06-08,13.28,14.3,13.19,14.1,246335,340709488.0,0
2020-06-09,14.0,14.17,13.61,13.8,156835,216937261.0,0
