datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,9.01,9.15,8.96,8.97,93209,84195797,0
2025-11-26 11:30:00,8.97,8.98,8.88,8.93,27736,24759591,0
2025-11-26 14:00:00,8.95,8.95,8.84,8.85,28420,25270200,0
2025-11-26 15:00:00,8.85,8.86,8.8,8.82,37605,33176847,0
2025-11-27 10:30:00,8.74,9.09,8.71,9.04,139312,125253218,0
2025-11-27 11:30:00,9.04,9.12,9.0,9.01,62343,56493651,0
2025-11-27 14:00:00,9.01,9.12,9.01,9.06,36836,33400147,0
2025-11-27 15:00:00,9.07,9.07,8.96,8.97,49130,44211671,0
2025-11-28 10:30:00,9.0,9.0,8.9,8.98,74613,66819548,0
2025-11-28 11:30:00,8.98,8.99,8.93,8.97,28187,25240083,0
2025-11-28 14:00:00,8.97,8.98,8.9,8.92,32607,29091620,0
2025-11-28 15:00:00,8.93,8.98,8.91,8.96,31764,28397969,0
2025-12-01 10:30:00,9.0,9.25,8.91,9.17,147283,133974904,0
2025-12-01 11:30:00,9.17,9.41,9.15,9.31,119907,111484516,0
2025-12-01 14:00:00,9.34,9.42,9.27,9.28,54455,50789160,0
2025-12-01 15:00:00,9.29,9.32,9.27,9.31,48480,45068604,0
2025-12-02 10:30:00,9.25,9.41,9.22,9.26,135161,125508815,0
2025-12-02 11:30:00,9.26,9.28,9.21,9.22,27027,24955343,0
2025-12-02 14:00:00,9.22,9.27,9.22,9.26,22397,20705669,0
2025-12-02 15:00:00,9.26,9.27,9.22,9.25,43502,40192526,0
2025-12-03 10:30:00,9.25,9.28,9.1,9.14,74568,68526779,0
2025-12-03 11:30:00,9.13,9.45,9.11,9.26,82694,76762335,0
2025-12-03 14:00:00,9.27,9.34,9.21,9.26,45975,42678021,0
2025-12-03 15:00:00,9.25,9.35,9.23,9.31,69211,64359711,0
2025-12-04 10:30:00,9.22,9.25,8.95,9.01,127160,115107137,0
2025-12-04 11:30:00,9.01,9.09,8.99,9.08,31199,28197769,0
2025-12-04 14:00:00,9.07,9.07,9.02,9.03,30425,27506442,0
2025-12-04 15:00:00,9.03,9.06,8.99,9.01,37939,34194658,0
2025-12-05 10:30:00,8.93,8.98,8.86,8.96,51101,45526073,0
2025-12-05 11:30:00,8.95,9.05,8.95,9.03,14932,13440825,0
2025-12-05 14:00:00,9.03,9.09,9.0,9.08,33489,30294107,0
2025-12-05 15:00:00,9.07,9.09,9.05,9.07,38620,35038595,0
2025-12-08 10:30:00,9.1,9.14,9.06,9.08,52617,47865798,0
2025-12-08 11:30:00,9.09,9.15,9.09,9.14,27520,25097996,0
2025-12-08 14:00:00,9.14,9.14,9.07,9.08,29528,26902167,0
2025-12-08 15:00:00,9.07,9.09,8.93,8.97,113887,102561236,0
2025-12-09 10:30:00,8.95,9.0,8.88,8.89,80777,72114934,0
2025-12-09 11:30:00,8.89,8.97,8.88,8.94,26730,23815201,0
2025-12-09 14:00:00,8.91,8.94,8.87,8.89,22425,19934526,0
2025-12-09 15:00:00,8.89,8.89,8.84,8.88,37092,32857795,0
2025-12-10 10:30:00,8.88,8.9,8.76,8.78,59788,52618000,0
2025-12-10 11:30:00,8.78,8.82,8.77,8.77,18656,16405871,0
2025-12-10 14:00:00,8.78,8.81,8.75,8.79,26435,23190528,0
2025-12-10 15:00:00,8.78,8.85,8.78,8.84,26639,23519840,0
2025-12-11 10:30:00,8.86,8.88,8.73,8.76,47102,41315983,0
2025-12-11 11:30:00,8.76,8.86,8.75,8.77,20324,17845708,0
2025-12-11 14:00:00,8.76,8.76,8.7,8.72,28663,25005597,0
2025-12-11 15:00:00,8.71,8.74,8.68,8.7,34663,30172019,0
2025-12-12 10:30:00,8.66,8.74,8.57,8.7,51847,44868351,0
2025-12-12 11:30:00,8.71,8.75,8.7,8.71,16140,14073900,0
2025-12-12 14:00:00,8.72,8.75,8.69,8.74,17854,15568176,0
2025-12-12 15:00:00,8.74,8.75,8.7,8.7,21343,18603190,0
2025-12-15 10:30:00,8.66,8.68,8.58,8.67,45054,38867025,0
2025-12-15 11:30:00,8.67,8.69,8.66,8.67,12206,10591732,0
2025-12-15 14:00:00,8.66,8.67,8.6,8.62,19932,17202431,0
2025-12-15 15:00:00,8.62,8.66,8.6,8.61,23054,19876180,0
2025-12-16 10:30:00,8.59,8.59,8.47,8.52,59157,50326771,0
2025-12-16 11:30:00,8.53,8.53,8.47,8.48,21649,18374808,0
2025-12-16 14:00:00,8.48,8.52,8.41,8.48,37296,31586670,0
2025-12-16 15:00:00,8.47,8.48,8.44,8.44,22241,18802073,0
2025-12-17 10:30:00,8.48,8.5,8.31,8.34,54777,45915543,0
2025-12-17 11:30:00,8.33,8.35,8.32,8.33,16854,14045553,0
2025-12-17 14:00:00,8.33,8.44,8.31,8.44,27905,23339349,0
2025-12-17 15:00:00,8.44,8.52,8.43,8.51,43238,36669180,0
2025-12-18 10:30:00,8.41,8.53,8.4,8.52,30347,25768669,0
2025-12-18 11:30:00,8.52,8.53,8.48,8.5,14856,12629154,0
2025-12-18 14:00:00,8.5,8.53,8.45,8.45,20451,17383194,0
2025-12-18 15:00:00,8.45,8.48,8.45,8.46,21195,17935284,0
2025-12-19 10:30:00,8.73,8.87,8.68,8.7,160927,140794894,0
2025-12-19 11:30:00,8.69,8.74,8.67,8.73,24157,20999984,0
2025-12-19 14:00:00,8.74,8.74,8.7,8.7,27496,23980231,0
2025-12-19 15:00:00,8.71,8.71,8.66,8.68,33398,28978152,0
2025-12-22 10:30:00,8.68,8.72,8.61,8.65,69019,59834555,0
2025-12-22 11:30:00,8.65,8.66,8.62,8.62,31912,27547565,0
2025-12-22 14:00:00,8.62,8.62,8.59,8.59,23571,20283172,0
2025-12-22 15:00:00,8.59,8.61,8.58,8.59,37376,32112313,0
2025-12-23 10:30:00,8.55,8.61,8.52,8.54,42226,36123813,0
2025-12-23 11:30:00,8.55,8.59,8.53,8.57,18563,15875120,0
2025-12-23 14:00:00,8.56,8.59,8.55,8.55,13275,11376291,0
2025-12-23 15:00:00,8.55,8.56,8.51,8.52,25550,21786344,0
2025-12-24 10:30:00,8.51,8.68,8.5,8.59,33794,28934064,0
2025-12-24 11:30:00,8.58,8.62,8.58,8.61,17395,14965182,0
2025-12-24 14:00:00,8.61,8.63,8.59,8.62,19762,17022760,0
2025-12-24 15:00:00,8.62,8.62,8.58,8.59,21555,18524485,0
2025-12-25 10:30:00,8.6,8.63,8.52,8.54,36392,31123459,0
2025-12-25 11:30:00,8.54,8.58,8.53,8.56,12374,10590868,0
2025-12-25 14:00:00,8.56,8.59,8.56,8.59,16791,14408038,0
2025-12-25 15:00:00,8.58,8.64,8.58,8.61,28936,24930184,0
2025-12-26 10:30:00,8.59,8.6,8.56,8.6,33475,28701622,0
2025-12-26 11:30:00,8.59,8.6,8.54,8.54,29734,25504673,0
2025-12-26 14:00:00,8.54,8.6,8.54,8.59,17136,14688892,0
2025-12-26 15:00:00,8.59,8.59,8.55,8.58,18737,16057463,0
2025-12-29 10:30:00,8.59,8.6,8.5,8.52,49560,42257757,0
2025-12-29 11:30:00,8.52,8.58,8.51,8.57,25537,21763290,0
2025-12-29 14:00:00,8.57,8.62,8.55,8.55,23762,20374169,0
2025-12-29 15:00:00,8.54,8.55,8.47,8.49,48169,40923631,0
2025-12-30 10:30:00,8.47,8.48,8.4,8.48,43742,36930878,0
2025-12-30 11:30:00,8.47,8.5,8.45,8.48,19339,16397116,0
2025-12-30 14:00:00,8.48,8.5,8.45,8.46,19888,16847242,0
2025-12-30 15:00:00,8.46,8.46,8.41,8.42,39896,33642132,0
2025-12-31 10:30:00,8.51,8.59,8.39,8.52,67554,57308867,0
2025-12-31 11:30:00,8.52,8.52,8.49,8.5,12181,10358660,0
2025-12-31 14:00:00,8.5,8.64,8.49,8.63,50460,43232414,0
2025-12-31 15:00:00,8.64,8.68,8.6,8.62,56732,48969575,0
2026-01-05 10:30:00,8.61,8.62,8.55,8.58,49790,42698221,0
2026-01-05 11:30:00,8.58,8.83,8.58,8.79,91597,79877317,0
2026-01-05 14:00:00,8.81,8.81,8.72,8.74,43155,37784953,0
2026-01-05 15:00:00,8.74,8.75,8.73,8.75,34772,30398130,0
2026-01-06 10:30:00,8.7,8.99,8.68,8.91,151881,134949281,0
2026-01-06 11:30:00,8.92,8.92,8.84,8.88,40343,35778126,0
2026-01-06 14:00:00,8.87,9.05,8.86,8.97,85718,76894010,0
2026-01-06 15:00:00,8.96,8.98,8.95,8.98,46065,41292935,0
2026-01-07 10:30:00,8.96,9.05,8.81,8.84,116277,103544687,0
2026-01-07 11:30:00,8.84,8.9,8.82,8.9,28353,25084988,0
2026-01-07 14:00:00,8.89,8.89,8.8,8.83,34463,30466517,0
2026-01-07 15:00:00,8.84,8.86,8.81,8.82,29999,26471834,0
2026-01-08 10:30:00,8.79,8.85,8.73,8.84,64233,56492152,0
2026-01-08 11:30:00,8.84,8.92,8.82,8.88,33503,29724938,0
2026-01-08 14:00:00,8.87,8.9,8.86,8.88,29443,26129848,0
2026-01-08 15:00:00,8.88,8.89,8.82,8.88,45393,40213851,0
2026-01-09 10:30:00,8.89,9.03,8.83,8.99,87279,77975699,0
2026-01-09 11:30:00,9.0,9.08,8.9,8.92,68027,61198262,0
2026-01-09 14:00:00,8.93,8.94,8.89,8.93,33463,29827546,0
2026-01-09 15:00:00,8.93,8.94,8.9,8.91,39125,34883152,0
