datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,15.98,16.39,15.18,15.5,1321297,2106651304.0,0
2020-02-29,13.95,15.95,12.56,13.3,3373925,4807592453.0,0
2020-03-31,13.3,13.95,10.77,11.28,2490672,3041454321.0,0
2020-04-30,11.15,12.84,10.69,12.16,2241658,2603875958.0,0
2020-05-31,11.99,13.71,11.97,12.85,1534640,1970931313.0,0
2020-06-30,12.85,14.9,12.81,14.28,3309823,4610965438.0,0
2020-07-31,14.45,18.2,14.1,16.32,7513329,12202623707.0,0
2020-08-31,16.48,16.65,13.4,16.0,3639275,5581277305.0,0
2020-09-30,16.3,16.3,13.36,15.74,2931086,4345858215.0,0
2020-10-31,15.81,15.9,12.73,13.03,2173111,3098297285.0,0
2020-11-30,13.08,14.25,12.75,12.98,1599782,2143570997.0,0
2020-12-31,12.82,13.92,11.0,11.4,1814598,2258197570.0,0
2021-01-31,11.44,12.03,9.35,9.51,2334135,2545853137.0,0
2021-02-28,9.4,10.52,8.71,9.85,2418137,2325241061.0,0
2021-03-31,10.84,11.86,9.31,9.42,2388691,2452732376.0,0
2021-04-30,9.4,10.18,9.15,9.4,1902273,1839722234.0,0
2021-05-31,9.39,9.48,8.06,8.52,2292732,1984357560.0,0
2021-06-30,8.52,10.88,8.43,10.43,3137392,3107448865.0,0
2021-07-31,10.36,11.58,9.7,10.14,3705887,3906859374.0,0
2021-08-31,10.11,10.35,8.82,8.94,2489923,2372457012.0,0
2021-09-30,8.92,9.56,8.59,8.62,1623985,1477337722.0,0
2021-10-31,8.66,9.09,7.63,8.01,851354,711854064.0,0
2021-11-30,8.01,9.02,7.91,8.8,1415303,1204610481.0,0
2021-12-31,8.87,9.9,8.4,9.28,2924617,2684845256.0,0
2022-01-31,9.26,9.63,7.99,8.08,1426530,1288312416.0,0
2022-02-28,8.09,8.78,8.08,8.29,861599,715165002.0,0
2022-03-31,8.35,8.44,6.8,7.09,1332686,1009102632.0,0
2022-04-30,7.05,7.22,5.02,5.9,1212327,773516939.0,0
2022-05-31,5.93,6.48,5.71,6.41,1072480,651074776.0,0
2022-06-30,6.4,6.96,6.18,6.72,1850888,1211569460.0,0
2022-07-31,6.88,7.11,5.83,6.6,1925194,1239383386.31,0
2022-08-31,6.78,7.52,6.12,6.26,4718038,3236361409.95,0
2022-09-30,6.27,7.48,5.58,5.58,3205692,2086122007.76,0
2022-10-31,5.59,6.23,5.32,5.91,1180493,697378813.84,0
2022-11-30,5.93,6.68,5.84,6.02,1912029,1189152721.04,0
2022-12-31,6.06,6.43,5.95,6.34,1092682,672140789.64,0
2023-01-31,6.6,6.6,5.75,6.19,2012810,1208202681.15,0
2023-02-28,6.18,7.05,6.17,6.68,2056189,1374308666.72,0
2023-03-31,6.72,7.74,6.43,7.45,2596285,1828215331.07,0
2023-04-30,7.5,8.25,6.57,6.66,1990001,1493463803.49,0
2023-05-31,6.73,7.38,6.45,7.32,2099359,1448497983.24,0
2023-06-30,7.32,9.23,7.0,9.17,3858337,3142881502.86,0
2023-07-31,9.16,9.21,7.91,8.01,2429289,2087324182.8,0
2023-08-31,8.02,8.47,7.23,8.28,1888555,1493318069.22,0
2023-09-30,8.25,8.52,7.46,7.73,1849352,1483024283.39,0
2023-10-31,7.78,11.9,7.76,11.09,11407610,11849221492.61,0
2023-11-30,11.08,12.83,10.55,11.05,8608915,9964237279.76,0
2023-12-31,11.05,11.58,10.06,11.21,3453899,3717460584.58,0
2024-01-31,11.21,11.32,8.0,8.15,2371334,2267357625.01,0
2024-02-29,8.06,8.87,5.98,8.87,3338097,2557189199.12,0
2024-03-31,9.1,9.4,7.37,8.01,3518847,2988774632.59,0
2024-04-30,8.02,8.96,6.57,7.4,3663096,2802546144.78,0
2024-05-31,7.49,7.8,6.57,6.9,2587458,1828000158.34,0
2024-06-30,6.98,7.0,5.7,6.08,2186474,1390663350.55,0
2024-07-31,6.09,6.29,5.61,6.24,2405127,1428064179.58,0
2024-08-31,6.32,6.58,5.68,6.58,2915478,1750631738.19,0
2024-09-30,6.9,7.59,5.89,7.55,7707582,5157603542.47,0
2024-10-31,8.31,10.44,7.12,9.55,9020322,7711454067.39,0
2024-11-30,9.55,16.0,8.36,10.38,22522670,27939432446.04,0
2024-12-31,10.37,11.19,9.01,10.28,8785484,9014270970.64,0
2025-01-31,10.35,10.44,8.64,9.1,5734704,5392042138.84,0
2025-02-28,9.18,13.12,8.98,11.92,10562730,11994496882.14,0
2025-03-31,11.86,13.22,9.41,9.54,8046221,9300155947.1,0
2025-04-30,9.56,9.67,7.2,8.6,3890947,3306523034.29,0
2025-05-31,8.69,9.8,8.66,8.98,3292468,3020797669.77,0
2025-06-30,8.83,10.05,8.6,9.69,4622843,4313239138.03,0
2025-07-31,9.74,9.79,9.14,9.43,3109686,2938299318.61,0
2025-08-31,9.36,10.74,9.29,10.38,4956528,4991014252.51,0
2025-09-30,10.38,10.46,9.07,9.19,4533760,4395546390.18,0
2025-10-31,9.15,9.28,8.25,8.47,2574994,2228550122.91,0
2025-11-30,9.32,11.28,8.67,8.96,5508196,5318903625.09,0
2025-12-31,9.0,9.45,8.31,8.62,3716138,3282112341.46,0
2026-01-31,8.61,9.08,8.55,8.91,1152879,1021686483.67,0
