datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,15.98,16.2,15.8,16.06,251256,400915197.0,0
2020-01-10,16.0,16.39,15.73,15.93,546812,879009391.0,0
2020-01-17,15.88,16.14,15.7,15.8,282371,447932708.0,0
2020-01-24,15.82,16.08,15.18,15.5,240858,378794008.0,0
2020-02-07,13.95,13.95,12.56,13.41,686753,891516349.0,0
2020-02-14,13.39,14.45,13.2,14.18,669534,912793652.0,0
2020-02-21,14.2,15.6,13.84,15.44,997658,1484891081.0,0
2020-02-28,15.37,15.95,13.16,13.3,1019980,1518391371.0,0
2020-03-06,13.3,13.95,13.25,13.5,545047,739832754.0,0
2020-03-13,13.24,13.28,11.6,12.26,682530,860541347.0,0
2020-03-20,12.31,12.42,11.11,11.54,512026,593540342.0,0
2020-03-27,11.17,11.96,10.77,11.78,522017,587953109.0,0
2020-04-03,11.6,11.62,10.98,11.14,489350,551174282.0,0
2020-04-10,11.3,11.55,10.92,10.96,387998,436416504.0,0
2020-04-17,10.96,11.7,10.69,11.25,498747,560938810.0,0
2020-04-24,11.3,12.84,11.0,12.33,724901,867066625.0,0
2020-05-01,12.31,12.45,11.56,12.16,369714,447866506.0,0
2020-05-08,11.99,13.48,11.97,13.23,414751,539076439.0,0
2020-05-15,13.32,13.71,12.76,12.97,422207,555790944.0,0
2020-05-22,12.77,12.99,12.29,12.33,397004,503522675.0,0
2020-05-29,12.36,13.03,12.0,12.85,300678,372541255.0,0
2020-06-05,12.85,13.55,12.81,13.17,505999,667979231.0,0
2020-06-12,13.28,14.3,13.19,13.37,921886,1264848374.0,0
2020-06-19,13.37,14.9,13.31,14.32,1122016,1606564118.0,0
2020-06-26,14.32,14.76,13.97,14.03,388976,554520652.0,0
2020-07-03,13.86,15.3,13.56,14.39,1036478,1479772836.0,0
2020-07-10,14.39,18.2,14.3,17.26,3015354,4842712384.0,0
2020-07-17,17.4,17.87,15.39,16.38,1757040,2943898096.0,0
2020-07-24,16.53,17.66,15.97,16.1,1271515,2142680272.0,0
2020-07-31,16.0,16.98,15.61,16.32,803888,1310613182.0,0
2020-08-07,16.48,16.65,15.05,15.25,1013543,1603733247.0,0
2020-08-14,15.01,15.38,13.4,14.66,919573,1338938835.0,0
2020-08-21,14.72,15.5,14.65,15.38,631707,958410500.0,0
2020-08-28,15.49,16.11,14.68,16.03,860144,1335242227.0,0
2020-09-04,16.01,16.34,14.56,14.66,973411,1514446252.0,0
2020-09-11,14.74,14.87,13.36,13.87,548996,773125179.0,0
2020-09-18,13.87,14.08,13.42,13.89,329163,453010229.0,0
2020-09-25,13.92,15.62,13.71,15.47,748813,1099548936.0,0
2020-10-02,15.33,16.03,15.3,15.74,545011,850680115.0,0
2020-10-09,15.81,15.9,15.36,15.68,162017,252223998.0,0
2020-10-16,15.6,15.61,14.35,15.01,887582,1329638781.0,0
