datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,12.44,13.74,11.93,12.14,6181151,8408098048.0,0
2020-02-29,10.87,18.37,9.79,15.49,18732671,29779571464.0,0
2020-03-31,16.14,17.24,11.37,11.5,11790296,17666920896.0,0
2020-04-30,11.57,13.6,11.49,13.41,8292807,11017706665.0,0
2020-05-31,13.23,14.94,12.54,13.11,7084705,10210305952.0,0
2020-06-30,13.22,15.95,13.16,15.66,10145330,15485538480.0,0
2020-07-31,15.66,17.59,14.45,15.58,11580516,19232682656.0,0
2020-08-31,15.63,19.13,15.63,16.54,11212948,20040087168.0,0
2020-09-30,16.56,17.47,14.61,15.48,3701538,6140804289.0,0
2020-10-31,15.83,16.87,15.63,16.26,2749613,4622691811.0,0
2020-11-30,16.3,18.55,15.74,16.27,4624945,8070443104.0,0
2020-12-31,16.24,17.56,15.46,16.72,4160634,7115495483.0,0
2021-01-31,16.75,21.21,16.43,19.21,9973357,19283214928.0,0
2021-02-28,20.4,24.05,19.91,22.89,5705764,12695839824.0,0
2021-03-31,23.15,23.99,19.48,20.09,5544639,12128163488.0,0
2021-04-30,19.94,21.25,18.33,20.54,3768125,7751104603.0,0
2021-05-31,20.55,22.26,18.6,22.03,2945946,6054796043.0,0
2021-06-30,22.03,24.54,21.17,23.52,4382299,10258359372.0,0
2021-07-31,23.5,27.52,22.04,25.89,4854289,12443673184.0,0
2021-08-31,25.88,26.42,21.92,22.55,3920410,9551692960.0,0
2021-09-30,22.55,23.49,19.6,20.35,2819817,6236975183.0,0
2021-10-31,20.55,23.05,19.69,22.77,2725986,6098502152.0,0
2021-11-30,22.98,26.75,22.38,26.47,3536518,8759671651.0,0
2021-12-31,26.38,28.36,24.65,26.98,3785467,10232159217.0,0
2022-01-31,27.32,27.43,21.98,22.15,2781696,7110981618.0,0
2022-02-28,22.58,23.43,20.1,22.64,2994447,6711064517.0,0
2022-03-31,22.68,23.14,16.36,17.15,4176840,8110049506.0,0
2022-04-30,17.03,17.14,11.38,13.24,3606969,5250447556.0,0
2022-05-31,13.18,15.49,12.55,15.24,2991035,4346170531.0,0
2022-06-30,15.23,19.78,15.03,18.71,5189376,9355179370.0,0
2022-07-31,18.65,19.05,15.1,17.61,4781375,8299978342.02,0
2022-08-31,17.78,22.14,16.65,16.72,6893811,13948875436.3,0
2022-09-30,16.92,17.42,14.29,14.33,3264067,5309397659.95,0
2022-10-31,14.34,15.52,13.49,14.41,1874053,2829863727.54,0
2022-11-30,14.55,16.21,14.17,15.11,2617432,4105225853.56,0
2022-12-31,15.3,15.77,13.63,14.23,1995946,3007880762.2,0
2023-01-31,14.23,16.44,14.0,15.92,1617141,2528858912.53,0
2023-02-28,15.92,17.01,15.69,16.08,2391507,4006338894.13,0
2023-03-31,16.08,17.76,15.44,16.67,3645922,6169633001.9,0
2023-04-30,16.67,18.45,14.23,15.4,3234652,5473519383.92,0
2023-05-31,15.37,15.83,14.59,15.73,1716611,2668494611.05,0
2023-06-30,15.71,16.9,15.01,16.73,2306644,3742677613.18,0
2023-07-31,16.68,17.25,15.49,15.8,1951493,3270779292.64,0
2023-08-31,15.83,16.6,13.51,14.23,2034913,3085035077.68,0
2023-09-30,14.2,14.99,13.51,14.01,1599495,2312990772.92,0
2023-10-31,14.0,14.51,12.45,13.62,2310325,3188520529.51,0
2023-11-30,13.61,14.35,13.28,13.39,2123102,2999416370.4,0
2023-12-31,13.38,14.33,12.88,14.04,2358836,3272510805.99,0
2024-01-31,14.05,14.29,9.89,9.95,2564859,3225097768.47,0
2024-02-29,9.93,12.62,8.59,12.26,3559154,3981716210.51,0
2024-03-31,12.32,13.49,11.81,12.43,3668492,4729610870.0,0
2024-04-30,11.97,12.0,10.22,11.82,3907086,4483545760.94,0
2024-05-31,11.92,12.04,10.75,11.14,2986377,3465921263.86,0
2024-06-30,11.13,11.39,10.0,10.61,2572222,2800119631.04,0
2024-07-31,10.57,10.71,9.39,10.16,2696486,2759770013.55,0
2024-08-31,10.22,10.25,8.56,9.51,2451559,2326264868.51,0
2024-09-30,9.58,11.34,8.6,11.31,2470146,2416183780.87,0
2024-10-31,12.45,12.45,10.3,12.05,5674589,6507924594.41,0
2024-11-30,11.94,24.87,11.75,17.85,41135042,80348786320.70999,0
2024-12-31,17.71,22.9,17.71,18.01,37229377,75552955265.59,0
2025-01-31,17.99,18.51,15.94,17.46,11841712,20668572965.09,0
2025-02-28,17.8,25.03,17.66,21.51,18667129,39002394751.14,0
2025-03-31,21.48,23.48,19.41,19.77,12849387,27804225467.09,0
2025-04-30,19.83,20.04,14.98,19.64,10022669,18408327840.86,0
2025-05-31,19.79,21.01,18.38,19.07,6909720,13605710258.25,0
2025-06-30,18.85,23.79,18.08,23.17,9838572,20349010794.43,0
2025-07-31,23.81,25.7,21.48,24.34,14224110,32917808265.2,0
2025-08-31,24.59,42.1,24.46,40.73,26039919,86061581875.63,0
2025-09-30,41.06,60.71,33.18,49.83,23969564,106380271901.7,0
2025-10-31,49.85,59.47,44.69,51.32,15952719,83040295706.1,0
2025-11-30,50.01,57.5,45.21,49.8,13587619,67124513193.77,0
2025-12-31,50.3,53.42,37.81,39.12,15767537,69078195606.56,0
2026-01-31,39.23,41.17,38.4,40.07,3176904,12605510366.86,0
