datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,12.44,12.71,12.25,12.54,639642,837563872.0,0
2020-01-10,12.4,13.74,12.3,13.19,2404109,3339480544.0,0
2020-01-17,13.18,13.51,12.47,12.63,1572267,2134502480.0,0
2020-01-24,12.62,13.35,11.93,12.14,1565133,2096551152.0,0
2020-02-07,10.87,13.71,9.79,13.71,3158510,4058438088.0,0
2020-02-14,14.34,15.13,13.16,14.29,5593557,8296848512.0,0
2020-02-21,14.92,18.07,14.44,17.69,5257942,9164734976.0,0
2020-02-28,17.44,18.37,15.14,15.49,4722662,8259549888.0,0
2020-03-06,16.14,17.24,15.6,15.81,3270945,5526690368.0,0
2020-03-13,15.29,16.09,13.77,14.54,3152329,4882704112.0,0
2020-03-20,14.71,14.77,12.62,13.28,2478487,3480040592.0,0
2020-03-27,12.72,13.38,11.98,12.44,2041842,2734633312.0,0
2020-04-03,12.11,12.63,11.37,12.58,2179044,2735734768.0,0
2020-04-10,12.87,13.26,12.11,12.27,1758080,2362514208.0,0
2020-04-17,12.12,13.19,11.79,12.71,1879316,2464825904.0,0
2020-04-24,12.71,13.41,12.21,12.36,1933531,2626558032.0,0
2020-05-01,12.35,13.6,11.8,13.41,1389529,1870926265.0,0
2020-05-08,13.23,14.36,13.23,14.13,1586086,2307174992.0,0
2020-05-15,14.27,14.86,13.46,14.57,2454991,3613983680.0,0
2020-05-22,14.58,14.94,12.95,13.08,1800870,2603285456.0,0
2020-05-29,12.99,13.38,12.54,13.11,1242758,1685861824.0,0
2020-06-05,13.22,14.02,13.16,13.78,1592779,2268442848.0,0
2020-06-12,13.89,14.35,13.2,13.47,1667829,2406641456.0,0
2020-06-19,13.35,15.95,13.32,15.41,4074430,6331244672.0,0
2020-06-26,15.83,15.94,15.0,15.35,1753913,2792318688.0,0
2020-07-03,15.15,15.95,14.86,15.6,2929094,4695510160.0,0
2020-07-10,15.65,17.26,15.6,16.3,3783366,6469653328.0,0
2020-07-17,16.29,17.59,14.77,15.2,2865559,4858651040.0,0
2020-07-24,15.31,16.28,14.62,14.63,1713648,2766183648.0,0
2020-07-31,14.67,15.95,14.45,15.58,1345228,2129575296.0,0
2020-08-07,15.63,17.39,15.63,16.44,2603610,4478574448.0,0
2020-08-14,16.46,19.13,15.75,18.53,3997272,7285539088.0,0
2020-08-21,18.47,18.87,16.53,16.73,3118899,5738641488.0,0
2020-08-28,16.9,16.9,15.86,16.49,1217379,2059740736.0,0
2020-09-04,16.56,17.03,16.14,16.57,1087694,1864487520.0,0
2020-09-11,16.68,17.47,15.02,15.42,1408277,2376705752.0,0
2020-09-18,15.67,15.88,15.27,15.78,570504,920423783.0,0
2020-09-25,15.86,16.19,14.9,15.03,539978,871265244.0,0
2020-10-02,15.0,15.69,14.61,15.48,370873,585513398.0,0
2020-10-09,15.83,15.98,15.65,15.77,132951,217514732.0,0
2020-10-16,15.92,16.51,15.71,15.85,634316,1058224519.0,0
2020-10-23,15.89,16.87,15.63,15.92,1120772,1897229377.0,0
2020-10-30,15.86,16.77,15.65,16.26,861574,1449723183.0,0
2020-11-06,16.3,17.8,16.12,17.47,1254843,2218943808.0,0
2020-11-13,17.6,18.55,16.61,17.13,1425473,2572311872.0,0
2020-11-20,17.14,17.17,15.74,16.08,915038,1535180272.0,0
2020-11-27,16.06,16.85,15.83,16.53,909921,1541587646.0,0
2020-12-04,16.47,17.43,16.16,17.27,855849,1489002194.0,0
2020-12-11,17.35,17.56,16.27,16.45,813878,1420451759.0,0
2020-12-18,16.45,16.85,15.65,15.74,763482,1278896776.0,0
2020-12-25,15.69,17.0,15.46,16.68,1021628,1722208724.0,0
2021-01-01,16.68,16.95,16.0,16.72,825467,1407355536.0,0
2021-01-08,16.75,18.32,16.43,16.92,2006042,3591616096.0,0
2021-01-15,17.85,19.68,17.3,18.65,3775522,7200099392.0,0
2021-01-22,18.34,21.11,18.14,20.84,2491344,5007053120.0,0
2021-01-29,20.45,21.21,18.77,19.21,1700449,3484446320.0,0
2021-02-05,20.4,22.18,19.91,20.19,2320129,5038348064.0,0
2021-02-12,20.55,22.61,20.5,21.79,875321,1945578592.0,0
2021-02-19,22.27,22.83,20.83,21.79,659127,1468219328.0,0
2021-02-26,21.55,24.05,20.54,22.89,1851187,4243693840.0,0
2021-03-05,23.15,23.99,22.3,22.4,1566346,3728088096.0,0
2021-03-12,22.7,23.76,19.72,20.4,1567778,3390127296.0,0
2021-03-19,20.43,20.81,19.63,20.29,953047,1969858480.0,0
2021-03-26,20.22,21.13,19.48,20.67,923076,1926973664.0,0
2021-04-02,20.75,21.25,19.79,20.84,930965,1955306560.0,0
2021-04-09,21.14,21.2,20.06,20.36,623342,1307525572.0,0
2021-04-16,20.36,20.48,18.33,19.84,1222692,2396744672.0,0
2021-04-23,20.0,21.02,19.83,20.61,806881,1696741984.0,0
2021-04-30,20.86,21.06,19.8,20.54,718637,1507901767.0,0
2021-05-07,20.55,20.9,19.46,19.46,372460,765626048.0,0
2021-05-14,19.55,19.68,18.6,19.34,766720,1493925818.0,0
2021-05-21,19.44,20.47,19.03,20.01,786042,1589663791.0,0
2021-05-28,20.2,21.99,19.75,21.68,838288,1796758850.0,0
2021-06-04,22.06,22.26,21.17,21.51,695724,1540808844.0,0
2021-06-11,21.45,23.03,21.45,22.4,891123,2041539488.0,0
2021-06-18,22.56,24.54,22.35,24.21,1129889,2711192016.0,0
2021-06-25,24.4,24.44,21.85,22.28,1253237,2971581440.0,0
2021-07-02,22.4,23.63,22.04,22.3,907033,2125190736.0,0
2021-07-09,22.75,25.8,22.45,24.77,1525063,3829994288.0,0
2021-07-16,25.1,26.01,24.67,25.01,996389,2574045696.0,0
2021-07-23,24.69,27.52,24.63,26.71,979978,2625945968.0,0
2021-07-30,26.99,27.19,23.25,25.89,1040588,2690555616.0,0
2021-08-06,25.88,26.42,23.62,24.21,941857,2362926512.0,0
2021-08-13,24.05,25.35,23.43,24.3,841171,2091476400.0,0
2021-08-20,24.4,24.85,21.92,23.19,1048325,2473582272.0,0
2021-08-27,23.44,24.9,22.89,23.02,768091,1880240144.0,0
2021-09-03,23.03,23.47,22.13,22.65,715883,1654806884.0,0
2021-09-10,22.55,23.49,21.95,22.65,621652,1444400262.0,0
2021-09-17,22.54,22.83,19.6,20.01,862928,1886236740.0,0
2021-09-24,19.67,21.78,19.63,20.93,496093,1070598743.0,0
2021-10-01,21.1,21.33,19.6,20.35,444227,924400186.0,0
2021-10-08,20.55,21.3,20.43,20.96,205181,440726080.0,0
2021-10-15,20.86,22.68,19.69,22.1,1186293,2610415116.0,0
2021-10-22,22.38,23.05,22.01,22.34,650812,1498770666.0,0
2021-10-29,22.41,22.8,21.55,22.77,683700,1548590290.0,0
2021-11-05,22.98,23.75,22.38,23.48,771739,1819789118.0,0
2021-11-12,23.5,24.01,22.62,23.87,611076,1458029677.0,0
2021-11-19,24.0,25.55,23.48,25.25,819269,2043976240.0,0
2021-11-26,25.2,25.98,24.13,24.4,789793,2005926664.0,0
2021-12-03,24.12,26.75,24.0,26.4,919536,2422374320.0,0
2021-12-10,26.2,28.36,24.65,26.62,1381593,3771547136.0,0
2021-12-17,26.76,27.3,26.04,26.08,685852,1860999664.0,0
2021-12-24,26.08,27.5,24.71,26.91,751715,1996687024.0,0
2021-12-31,26.85,27.81,25.71,26.98,591412,1612501025.0,0
2022-01-07,27.32,27.43,24.25,24.35,672625,1727231712.0,0
2022-01-14,24.4,26.93,24.23,25.77,741990,1944508064.0,0
2022-01-21,25.7,27.35,24.43,24.7,662155,1757560301.0,0
2022-01-28,24.7,25.0,21.98,22.15,704926,1681681541.0,0
2022-02-11,22.58,23.05,20.88,21.35,716638,1604226819.0,0
2022-02-18,21.18,22.43,20.65,22.17,579818,1287225746.0,0
2022-02-25,22.09,23.43,20.1,23.15,1450386,3251496448.0,0
2022-03-04,22.82,23.14,21.38,21.56,809681,1853140289.0,0
2022-03-11,21.3,21.35,17.9,18.79,1306139,2579364712.0,0
2022-03-18,18.55,18.72,16.36,18.35,983965,1801054803.0,0
2022-03-25,18.4,19.17,17.7,17.89,850377,1601429900.0,0
2022-04-01,17.69,17.81,16.75,17.07,560135,992678226.0,0
2022-04-08,17.08,17.13,15.24,15.61,533382,883358181.0,0
2022-04-15,15.61,15.7,13.91,15.27,1006252,1513654256.0,0
2022-04-22,15.03,15.43,13.49,13.58,748591,1122920149.0,0
2022-04-29,13.39,13.4,11.38,13.24,1232892,1581012050.0,0
2022-05-06,13.18,13.71,12.75,12.79,326198,442622244.0,0
2022-05-13,12.92,14.78,12.55,14.14,832068,1189096742.0,0
2022-05-20,14.46,14.93,13.7,14.74,702659,1026218096.0,0
2022-05-27,15.04,15.28,13.67,14.33,767161,1134780877.0,0
2022-06-03,14.33,16.13,14.22,16.02,738510,1150499150.0,0
2022-06-10,16.35,18.37,16.26,16.92,1416630,2494434833.0,0
2022-06-17,16.79,18.35,16.73,18.2,1030735,1842803223.0,0
2022-06-24,18.02,19.15,16.73,18.95,1413215,2574048080.0,0
2022-07-01,18.95,19.78,18.4,18.74,1100243,2127933552.0,0
2022-07-08,18.65,18.9,15.92,16.42,1481726,2560777530.0,0
2022-07-15,16.48,16.85,15.1,16.31,1080607,1757939970.05,0
2022-07-22,16.55,18.15,16.48,17.31,1164902,2066219429.52,0
2022-07-29,17.26,18.45,16.74,17.61,907132,1633954516.45,0
2022-08-05,17.78,21.25,17.24,20.83,2647547,5357739089.8,0
2022-08-12,20.53,21.45,19.83,20.4,1461992,3062541971.87,0
2022-08-19,20.21,22.14,19.94,19.96,1126550,2362902084.5,0
2022-08-26,19.97,20.79,17.91,18.04,1125839,2222837462.84,0
