datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,21.22,23.45,20.97,23.0,172549,418911968.0,0
2020-01-03,22.75,23.44,22.63,23.07,128728,322205616.0,0
2020-01-06,22.9,23.13,22.61,22.93,86589,215498546.0,0
2020-01-07,22.88,24.09,22.87,23.72,124794,320700640.0,0
2020-01-08,22.98,23.65,22.77,22.98,83551,210377334.0,0
2020-01-09,23.25,23.97,23.07,23.94,77361,197431190.0,0
2020-01-10,23.94,24.37,23.39,23.68,62656,161921542.0,0
2020-01-13,23.55,25.11,23.16,25.1,108055,283123040.0,0
2020-01-14,24.91,27.81,24.75,27.02,164106,468891280.0,0
2020-01-15,26.55,27.62,26.35,26.77,116088,335793952.0,0
2020-01-16,26.88,27.87,26.67,26.76,131464,384336480.0,0
2020-01-17,26.94,27.57,26.27,27.49,127192,369578144.0,0
2020-01-20,27.09,29.47,26.85,29.47,119776,364609728.0,0
2020-01-21,29.47,30.77,28.55,29.99,98149,309190592.0,0
2020-01-22,29.45,33.19,29.33,33.19,88551,297929792.0,0
2020-01-23,32.96,35.64,30.05,31.35,222170,768632272.0,0
2020-02-03,28.01,29.34,28.01,28.01,103430,312553536.0,0
2020-02-04,27.98,30.97,27.98,30.35,157683,496300848.0,0
2020-02-05,30.35,32.92,29.85,31.52,137611,460043216.0,0
2020-02-06,30.93,32.97,30.56,32.15,112775,381737584.0,0
2020-02-07,32.15,34.57,31.24,34.15,123398,429297952.0,0
2020-02-10,33.56,34.47,31.97,33.32,112213,396099456.0,0
2020-02-11,33.05,34.14,32.59,33.02,94529,334532064.0,0
2020-02-12,32.97,34.15,31.77,33.7,136257,474631008.0,0
2020-02-13,33.17,34.97,32.77,33.82,125278,449757632.0,0
2020-02-14,33.65,37.41,33.47,36.79,207788,799373504.0,0
2020-02-17,36.79,38.51,36.48,38.2,127165,503583440.0,0
2020-02-18,37.88,42.17,37.52,41.96,147021,623552256.0,0
2020-02-19,41.74,45.59,40.88,42.34,157042,708884672.0,0
2020-02-20,42.66,43.94,40.32,42.35,134225,587174816.0,0
2020-02-21,41.77,43.47,41.77,43.37,107906,479823312.0,0
