datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,68.18,68.8,67.76,68.1,35311,240610183,0
2025-11-26 11:30:00,68.17,69.08,67.92,68.67,16687,114343001,0
2025-11-26 14:00:00,68.69,68.97,68.03,68.15,15966,109327784,0
2025-11-26 15:00:00,68.13,68.37,67.89,68.12,17751,120879162,0
2025-11-27 10:30:00,68.14,69.97,68.14,69.07,47286,327963259,0
2025-11-27 11:30:00,69.07,69.25,68.64,68.75,17600,121213776,0
2025-11-27 14:00:00,68.87,68.94,67.86,67.99,22435,153158206,0
2025-11-27 15:00:00,67.99,68.03,67.37,67.45,25658,173620447,0
2025-11-28 10:30:00,67.99,68.99,67.16,68.55,40034,272821949,0
2025-11-28 11:30:00,68.55,68.67,68.2,68.55,15298,104700959,0
2025-11-28 14:00:00,68.8,70.16,68.8,69.3,49879,346464583,0
2025-11-28 15:00:00,69.31,69.63,69.01,69.42,22034,152883204,0
2025-12-01 10:30:00,70.28,71.34,69.88,70.42,55858,394282314,0
2025-12-01 11:30:00,70.42,70.94,70.2,70.41,15050,106114741,0
2025-12-01 14:00:00,70.44,71.12,70.25,70.94,23137,163463411,0
2025-12-01 15:00:00,70.92,71.43,70.85,71.4,32557,231560108,0
2025-12-02 10:30:00,70.69,71.47,70.01,70.68,40055,283455039,0
2025-12-02 11:30:00,70.63,70.95,70.36,70.47,12221,86289420,0
2025-12-02 14:00:00,70.5,70.55,70.02,70.38,13387,94089856,0
2025-12-02 15:00:00,70.38,70.65,70.25,70.38,14247,100318741,0
2025-12-03 10:30:00,70.08,70.7,69.8,70.1,30086,211328215,0
2025-12-03 11:30:00,70.01,70.3,69.83,70.05,12100,84712423,0
2025-12-03 14:00:00,70.05,70.13,69.51,69.58,11042,77101216,0
2025-12-03 15:00:00,69.59,69.9,69.28,69.88,17054,118689191,0
2025-12-04 10:30:00,69.87,69.88,68.5,69.32,24662,170253012,0
2025-12-04 11:30:00,69.32,70.34,69.17,69.99,13611,95074834,0
2025-12-04 14:00:00,70.03,70.9,69.7,69.97,28522,200634930,0
2025-12-04 15:00:00,69.97,70.49,69.97,70.4,17848,125433099,0
2025-12-05 10:30:00,70.49,70.83,68.9,69.46,24064,167447792,0
2025-12-05 11:30:00,69.44,70.0,69.4,69.7,14488,100997332,0
2025-12-05 14:00:00,69.69,69.99,69.45,69.98,11877,82751106,0
2025-12-05 15:00:00,69.98,70.07,69.79,70.03,18189,127229097,0
2025-12-08 10:30:00,70.15,72.21,70.1,71.74,52484,374187525,0
2025-12-08 11:30:00,71.74,72.0,71.23,71.32,17363,124366736,0
2025-12-08 14:00:00,71.34,73.23,71.34,72.9,48897,354410121,0
2025-12-08 15:00:00,72.84,72.89,72.0,72.37,30856,223200552,0
2025-12-09 10:30:00,71.82,72.47,71.46,71.85,37546,270331351,0
2025-12-09 11:30:00,71.85,72.2,71.71,71.86,11841,85194347,0
2025-12-09 14:00:00,71.9,71.9,70.85,71.11,19009,135456566,0
2025-12-09 15:00:00,71.1,71.35,70.96,71.28,11883,84568796,0
2025-12-10 10:30:00,70.99,70.99,69.33,70.29,39560,276660850,0
2025-12-10 11:30:00,70.27,71.27,70.07,70.77,16001,113330905,0
2025-12-10 14:00:00,70.6,71.07,70.3,70.75,10628,75068162,0
2025-12-10 15:00:00,70.75,71.62,70.73,71.26,17010,121352335,0
2025-12-11 10:30:00,71.9,71.99,70.81,71.58,31843,227259346,0
2025-12-11 11:30:00,71.59,71.6,70.8,70.8,11810,84010184,0
2025-12-11 14:00:00,70.77,70.86,70.45,70.6,14690,103759598,0
2025-12-11 15:00:00,70.6,70.83,69.96,70.02,15810,111129611,0
2025-12-12 10:30:00,70.0,70.47,69.1,69.66,27575,191858898,0
2025-12-12 11:30:00,69.66,71.53,69.5,71.06,27218,192863306,0
2025-12-12 14:00:00,71.12,71.88,71.1,71.51,23027,164859354,0
2025-12-12 15:00:00,71.52,72.34,71.49,71.94,32741,235707035,0
2025-12-15 10:30:00,71.0,73.26,70.51,72.49,72447,523900726,0
2025-12-15 11:30:00,72.48,73.55,72.4,72.76,30939,226126133,0
2025-12-15 14:00:00,72.76,73.32,72.33,72.99,18487,134393093,0
2025-12-15 15:00:00,73.0,73.07,72.52,72.65,19643,142711892,0
2025-12-16 10:30:00,72.0,72.14,70.33,70.88,39226,278063932,0
2025-12-16 11:30:00,70.86,70.9,69.77,69.82,24169,169422909,0
2025-12-16 14:00:00,69.82,71.78,69.72,71.15,21698,153671364,0
2025-12-16 15:00:00,71.15,71.5,70.93,71.1,14708,104664397,0
2025-12-17 10:30:00,71.0,71.7,69.85,70.38,32905,232753692,0
2025-12-17 11:30:00,70.37,71.02,70.2,70.63,13618,96214126,0
2025-12-17 14:00:00,70.61,72.14,70.48,72.05,24815,177023674,0
2025-12-17 15:00:00,72.14,72.68,72.0,72.21,27178,196418298,0
2025-12-18 10:30:00,71.38,74.15,71.28,72.13,66541,486395470,0
2025-12-18 11:30:00,72.15,72.6,71.9,72.07,11570,83520850,0
2025-12-18 14:00:00,72.12,72.68,71.19,71.35,19788,142150575,0
2025-12-18 15:00:00,71.32,71.69,71.22,71.35,14537,103807875,0
2025-12-19 10:30:00,72.78,73.57,70.58,71.55,55187,395367584,0
2025-12-19 11:30:00,71.33,71.55,70.65,70.7,19034,135082014,0
2025-12-19 14:00:00,70.74,71.03,69.82,69.94,36988,259969741,0
2025-12-19 15:00:00,69.91,70.19,69.78,69.95,23992,167858904,0
2025-12-22 10:30:00,70.49,73.37,70.3,73.36,108813,787422650,0
2025-12-22 11:30:00,73.37,74.99,73.37,74.03,48771,361773258,0
2025-12-22 14:00:00,74.01,74.27,73.36,73.96,17437,128826895,0
2025-12-22 15:00:00,73.95,74.15,73.49,73.64,20621,152032831,0
2025-12-23 10:30:00,73.5,74.61,73.15,73.9,49497,366782914,0
2025-12-23 11:30:00,73.9,74.33,73.58,74.08,18038,133344108,0
2025-12-23 14:00:00,74.05,74.08,73.21,73.63,25064,184473658,0
2025-12-23 15:00:00,73.63,73.75,73.24,73.74,15105,111110329,0
2025-12-24 10:30:00,74.03,74.36,73.2,73.75,31842,234821607,0
2025-12-24 11:30:00,73.71,74.55,73.45,74.27,22180,164248737,0
2025-12-24 14:00:00,74.27,74.75,73.94,74.45,21390,159217968,0
2025-12-24 15:00:00,74.45,74.99,73.99,74.99,42480,316710000,0
2025-12-25 10:30:00,75.55,76.7,74.4,74.81,72031,544586349,0
2025-12-25 11:30:00,74.8,75.06,74.5,74.63,13556,101306109,0
2025-12-25 14:00:00,74.63,75.05,74.34,74.98,16762,125237463,0
2025-12-25 15:00:00,74.95,75.05,74.52,74.6,18341,137100038,0
2025-12-26 10:30:00,74.91,75.48,74.38,74.72,36349,272381908,0
2025-12-26 11:30:00,74.72,74.91,73.7,74.0,26589,197765980,0
2025-12-26 14:00:00,73.93,74.38,73.86,74.01,14818,109769802,0
2025-12-26 15:00:00,74.01,74.15,73.5,74.02,19569,144577457,0
2025-12-29 10:30:00,73.7,74.57,73.08,73.28,45376,333837177,0
2025-12-29 11:30:00,73.32,73.87,73.01,73.27,26043,191261548,0
2025-12-29 14:00:00,73.23,73.42,72.85,72.85,20895,152584628,0
2025-12-29 15:00:00,72.86,73.12,72.7,72.91,19961,145507272,0
2025-12-30 10:30:00,72.51,74.17,72.45,73.11,40698,299374213,0
2025-12-30 11:30:00,73.11,73.24,72.3,72.4,21597,157022197,0
2025-12-30 14:00:00,72.4,73.11,72.4,72.68,16616,121006105,0
2025-12-30 15:00:00,72.68,73.31,72.46,72.55,22361,162663181,0
2025-12-31 10:30:00,74.89,77.17,72.46,76.43,146630,1098887246,0
2025-12-31 11:30:00,76.43,76.67,74.33,74.41,30272,228215059,0
2025-12-31 14:00:00,74.42,74.65,74.09,74.33,13948,103649805,0
2025-12-31 15:00:00,74.33,74.73,74.0,74.1,21210,157558927,0
2026-01-05 10:30:00,76.0,79.09,75.25,78.89,119830,931369845,0
2026-01-05 11:30:00,78.89,78.9,78.0,78.24,28153,221107220,0
2026-01-05 14:00:00,78.23,78.3,76.66,77.71,41985,324444669,0
2026-01-05 15:00:00,77.71,77.91,77.36,77.77,27919,216617586,0
2026-01-06 10:30:00,78.0,84.43,77.21,82.4,159706,1306133913,0
