datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,21.22,35.64,20.97,31.35,1911779,5429132116.0,0
2020-02-29,28.01,45.59,27.98,40.67,2935130,11565648816.0,0
2020-03-31,41.95,44.06,26.93,28.98,3933444,14437831456.0,0
2020-04-30,29.02,40.16,26.86,39.44,3024079,10605673004.0,0
2020-05-31,39.17,49.74,38.4,45.78,4056723,18570677168.0,0
2020-06-30,46.69,52.33,42.53,50.2,4162553,20387055344.0,0
2020-07-31,49.83,69.6,48.24,58.56,4685184,28800617632.0,0
2020-08-31,59.53,69.71,51.33,56.01,3346648,21237149728.0,0
2020-09-30,55.52,56.52,47.73,52.6,1784380,9889478995.0,0
2020-10-31,54.03,56.79,44.23,48.66,1238860,6526893057.0,0
2020-11-30,48.68,61.21,47.69,56.41,2049987,11836323200.0,0
2020-12-31,56.03,62.3,50.53,58.12,1746901,10508353496.0,0
2021-01-31,58.03,72.16,57.11,59.43,2075294,13850358864.0,0
2021-02-28,58.23,65.58,52.53,53.05,998616,6076354042.0,0
2021-03-31,53.23,59.22,48.73,53.68,1039658,5813385404.0,0
2021-04-30,54.03,61.13,53.58,57.14,840525,4956966425.0,0
2021-05-31,56.8,67.39,50.83,66.22,996528,6219335358.0,0
2021-06-30,65.87,82.2,62.93,79.21,2096324,15437047488.0,0
2021-07-31,76.91,104.69,71.33,104.69,2155484,19304628272.0,0
2021-08-31,101.0,104.45,80.21,82.66,1953734,18236709344.0,0
2021-09-30,82.66,85.41,71.51,74.57,1323607,10761327264.0,0
2021-10-31,75.36,76.57,69.63,74.16,804455,5986858345.0,0
2021-11-30,73.1,86.09,71.41,78.04,1283084,10402503830.0,0
2021-12-31,77.74,83.68,69.23,79.38,1147665,9015522430.0,0
2022-01-31,79.51,79.51,62.41,64.13,682538,4975101180.0,0
2022-02-28,64.71,66.5,51.72,60.96,1151110,6837661551.0,0
2022-03-31,62.2,62.2,48.52,49.45,1212511,6788843941.0,0
2022-04-30,49.06,50.17,35.62,43.23,922336,4146611206.0,0
2022-05-31,42.51,47.76,40.24,47.32,898255,4169286789.0,0
2022-06-30,47.47,56.3,47.12,53.93,1525679,8335668496.0,0
2022-07-31,53.61,54.59,44.72,49.17,1351577,6823873182.89,0
2022-08-31,48.82,77.47,46.92,60.91,2130188,13989109305.88,0
2022-09-30,61.16,77.39,59.0,59.91,1350629,9324840998.74,0
2022-10-31,58.94,59.82,46.43,57.22,1390680,7546278645.15,0
2022-11-30,57.3,61.59,51.25,52.02,1017713,5953554185.6,0
2022-12-31,52.59,53.58,46.32,48.79,895056,4675687930.98,0
2023-01-31,48.81,52.02,48.15,50.6,629129,3266997829.62,0
2023-02-28,50.83,53.1,47.43,47.94,1089444,5698222533.04,0
2023-03-31,47.96,55.3,47.6,50.52,2169691,11678167898.56,0
2023-04-30,51.22,73.6,51.2,66.08,3635231,23846634747.03,0
2023-05-31,64.29,75.19,60.75,71.97,2453451,16888499233.93,0
2023-06-30,72.19,73.47,63.79,71.62,1875108,13123151323.85,0
2023-07-31,71.85,85.86,64.56,66.78,2730323,20688482061.07,0
2023-08-31,66.34,71.34,57.71,66.67,1571638,10370101371.56,0
2023-09-30,66.04,70.38,60.18,63.34,1225026,8171244524.95,0
2023-10-31,62.75,66.21,51.54,56.35,1269663,7438859659.29,0
2023-11-30,56.51,68.85,52.85,60.31,2223185,13669733953.26,0
2023-12-31,59.46,60.13,51.65,54.47,1041853,5928938348.55,0
2024-01-31,54.47,54.48,37.46,37.59,1580785,7242524588.74,0
2024-02-29,37.75,49.19,31.98,49.19,1714923,7422323027.38,0
2024-03-31,49.94,58.09,48.65,54.56,2468208,13508392662.1,0
2024-04-30,54.22,64.24,49.42,62.93,1611312,9291395736.84,0
2024-05-31,64.34,64.36,54.7,58.25,1734046,10450222541.09,0
2024-06-30,58.72,65.31,57.51,62.01,2032930,12755971462.46,0
2024-07-31,61.89,69.79,54.89,58.3,2309753,14896711528.53,0
2024-08-31,58.6,59.89,49.9,54.87,1385346,7509917515.3,0
2024-09-30,54.47,60.8,45.95,60.8,1456485,7613274961.77,0
2024-10-31,66.94,68.8,56.42,63.21,2989331,18789302366.65,0
2024-11-30,62.53,73.78,60.22,63.62,3134101,20823614315.09,0
2024-12-31,63.62,64.92,57.37,57.37,1687509,10411431846.74,0
2025-01-31,57.2,61.36,53.28,59.22,1317817,7658891750.33,0
2025-02-28,60.02,65.0,57.62,61.96,1963285,12127432705.17,0
2025-03-31,61.68,64.6,58.07,61.39,1571312,9739302681.45,0
2025-04-30,61.32,62.32,48.12,54.58,1691795,9302083136.57,0
2025-05-31,55.31,57.32,51.99,52.09,973791,5363980029.94,0
2025-06-30,51.46,54.68,50.83,54.37,988325,5228199567.79,0
2025-07-31,54.68,58.17,52.46,54.95,1661091,9128365000.16,0
2025-08-31,54.82,62.58,54.38,59.71,2920451,17227902803.9,0
2025-09-30,60.82,75.93,55.28,73.75,4431935,28823808710.52,0
2025-10-31,78.0,88.12,72.53,77.39,4258627,34049482131.01,0
2025-11-30,77.3,83.19,66.7,69.42,3268913,24573060770.77,0
2025-12-31,70.28,77.17,68.5,74.1,2580176,18665376258.3,0
2026-01-31,76.0,92.29,75.25,86.8,1564666,13348708728.15,0
