datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,21.22,23.45,20.97,23.07,301277,741117584.0,0
2020-01-10,22.9,24.37,22.61,23.68,434951,1105929252.0,0
2020-01-17,23.55,27.87,23.16,27.49,646905,1841722896.0,0
2020-01-24,27.09,35.64,26.85,31.35,528646,1740362384.0,0
2020-02-07,28.01,34.57,27.98,34.15,634897,2079933136.0,0
2020-02-14,33.56,37.41,31.77,36.79,676065,2454393664.0,0
2020-02-21,36.79,45.59,36.48,43.37,673359,2903018496.0,0
2020-02-28,42.67,44.93,38.45,40.67,950809,4128303520.0,0
2020-03-06,41.95,44.06,34.32,35.07,1127478,4614482000.0,0
2020-03-13,33.97,35.47,30.77,34.77,835980,2969239584.0,0
2020-03-20,34.97,37.27,31.27,35.64,1030141,3780709056.0,0
2020-03-27,33.77,34.4,28.97,29.79,648737,2185934976.0,0
2020-04-03,28.8,30.94,26.93,29.06,628368,1961195856.0,0
2020-04-10,29.97,31.12,27.45,27.57,403377,1280059531.0,0
2020-04-17,27.45,32.73,26.86,32.73,639353,2040152273.0,0
2020-04-24,33.18,37.55,33.18,34.82,857008,3194946320.0,0
2020-05-01,34.85,40.16,31.97,39.44,787081,3016784864.0,0
2020-05-08,39.17,42.91,38.4,40.37,648520,2763982576.0,0
2020-05-15,39.98,43.84,39.27,41.96,807677,3496044464.0,0
2020-05-22,43.08,49.74,39.83,48.27,1348338,6377620272.0,0
2020-05-29,47.45,49.47,41.39,45.78,1252188,5933029856.0,0
2020-06-05,46.69,52.33,44.78,47.18,1378462,6952243568.0,0
2020-06-12,47.59,50.02,43.09,48.08,977071,4807729424.0,0
2020-06-19,46.61,46.72,42.53,44.19,850888,3943789760.0,0
2020-06-26,44.57,47.18,44.54,46.37,537070,2585983216.0,0
2020-07-03,45.73,54.81,45.47,52.78,1118908,5867993648.0,0
2020-07-10,54.03,69.36,52.76,67.07,1404680,8871449728.0,0
2020-07-17,68.08,69.6,57.15,57.83,1101819,7241656720.0,0
2020-07-24,59.15,62.12,54.73,54.93,832256,5079895552.0,0
2020-07-31,55.0,59.51,55.0,58.56,646583,3836931360.0,0
2020-08-07,59.53,69.71,59.53,63.73,1111950,7388667872.0,0
2020-08-14,62.03,66.23,60.53,64.21,582469,3813146848.0,0
2020-08-21,64.71,69.08,55.32,56.14,993131,6299068576.0,0
2020-08-28,56.03,56.69,51.33,54.95,552539,3112510992.0,0
2020-09-04,55.78,57.79,53.03,55.02,413906,2386032432.0,0
2020-09-11,54.03,56.52,49.78,51.19,469922,2583359344.0,0
2020-09-18,51.83,54.83,47.73,54.71,520028,2804191920.0,0
2020-09-25,55.03,55.98,52.26,53.63,338934,1915772784.0,0
2020-10-02,53.98,54.56,52.33,52.6,148149,823877955.0,0
2020-10-09,54.03,55.83,53.53,54.76,84347,478914192.0,0
2020-10-16,55.28,56.79,51.58,52.78,477252,2667570640.0,0
2020-10-23,52.77,53.23,45.35,45.62,334644,1702272357.0,0
2020-10-30,44.53,49.84,44.23,48.66,342617,1678135868.0,0
2020-11-06,48.68,53.88,47.69,53.25,557149,2989154784.0,0
2020-11-13,53.98,58.0,53.53,56.2,525531,3027071264.0,0
2020-11-20,56.35,61.03,53.73,58.94,538293,3212862096.0,0
2020-11-27,59.04,61.21,57.03,57.93,356435,2177601968.0,0
2020-12-04,58.36,58.81,55.63,57.16,303506,1796071150.0,0
2020-12-11,57.46,61.53,56.93,58.26,411966,2543004992.0,0
2020-12-18,58.36,62.3,57.33,57.54,385978,2380824624.0,0
