datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,7.18,7.36,7.15,7.3,191820,140087843.0,0
2020-01-03,7.38,7.57,7.28,7.4,264197,196569221.0,0
2020-01-06,7.29,7.59,7.25,7.52,295109,220774472.0,0
2020-01-07,7.53,7.75,7.48,7.66,288188,220167684.0,0
2020-01-08,7.61,7.92,7.58,7.61,427154,331195600.0,0
2020-01-09,7.86,8.03,7.7,7.77,390090,306458240.0,0
2020-01-10,7.88,7.92,7.65,7.74,275562,214916179.0,0
2020-01-13,7.7,7.82,7.61,7.78,220180,170721957.0,0
2020-01-14,7.82,7.98,7.69,7.72,220834,172748051.0,0
2020-01-15,7.68,7.88,7.61,7.8,244521,190202139.0,0
2020-01-16,7.76,7.83,7.54,7.62,233929,179936736.0,0
2020-01-17,7.64,7.71,7.48,7.51,146570,111567265.0,0
2020-01-20,7.5,7.64,7.3,7.59,128102,97133593.0,0
2020-01-21,7.64,7.64,7.31,7.34,180237,134433472.0,0
2020-01-22,7.3,7.32,7.08,7.24,164737,119323639.0,0
2020-01-23,7.2,7.32,6.88,6.96,226621,160285500.0,0
2020-02-03,6.26,6.26,6.26,6.26,21683,13616924.0,0
2020-02-04,5.63,6.01,5.63,5.8,353063,206018394.0,0
2020-02-05,5.86,6.17,5.82,6.07,250683,151576937.0,0
2020-02-06,6.05,6.2,5.99,6.14,185356,113573901.0,0
2020-02-07,6.15,6.22,6.03,6.17,147068,90435134.0,0
2020-02-10,6.13,6.31,6.1,6.29,138068,86313339.0,0
2020-02-11,6.32,6.34,6.24,6.28,120250,75851501.0,0
2020-02-12,6.26,6.91,6.24,6.64,341882,225869560.0,0
2020-02-13,6.66,6.97,6.64,6.75,375844,255797697.0,0
2020-02-14,6.57,6.68,6.47,6.56,234699,154766337.0,0
2020-02-17,6.54,6.71,6.5,6.69,217776,144994333.0,0
2020-02-18,6.68,6.8,6.61,6.77,221373,149223145.0,0
2020-02-19,6.73,6.86,6.64,6.64,212476,143621722.0,0
2020-02-20,6.67,6.83,6.57,6.8,257902,173843249.0,0
2020-02-21,6.82,7.01,6.8,7.0,298419,207521217.0,0
2020-02-24,6.88,7.35,6.86,7.2,420465,300955408.0,0
2020-02-25,7.0,7.64,6.94,7.47,553705,403790784.0,0
2020-02-26,7.3,7.52,7.14,7.2,399796,292340176.0,0
2020-02-27,7.2,7.27,6.98,7.03,224268,159209099.0,0
2020-02-28,6.78,6.85,6.46,6.56,271199,180888036.0,0
2020-03-02,6.59,6.79,6.58,6.73,149010,100168017.0,0
2020-03-03,7.08,7.41,6.99,7.19,525439,382560480.0,0
2020-03-04,7.04,7.32,7.01,7.17,375886,268812208.0,0
2020-03-05,7.33,7.44,7.1,7.16,254289,183380750.0,0
2020-03-06,7.1,7.13,7.0,7.06,172615,122285714.0,0
2020-03-09,6.94,6.97,6.65,6.68,223385,152108056.0,0
2020-03-10,6.58,6.89,6.41,6.89,213573,142190587.0,0
2020-03-11,7.48,7.58,7.24,7.58,375110,283326880.0,0
2020-03-12,7.5,7.5,6.99,7.18,562352,409217488.0,0
2020-03-13,6.55,7.1,6.54,6.98,351634,241568662.0,0
2020-03-16,7.26,7.28,6.64,6.69,332103,231446122.0,0
2020-03-17,6.51,6.74,6.18,6.58,253869,164550447.0,0
2020-03-18,6.58,6.92,6.38,6.65,224953,149354546.0,0
2020-03-19,6.56,6.66,6.38,6.6,141603,92771593.0,0
2020-03-20,6.66,6.72,6.48,6.58,119000,78692326.0,0
2020-03-23,6.38,6.43,6.13,6.27,156956,98723062.0,0
2020-03-24,6.36,6.36,6.09,6.33,114516,72053192.0,0
2020-03-25,6.5,6.6,6.41,6.56,141320,92139077.0,0
2020-03-26,6.51,6.65,6.43,6.47,111479,72956665.0,0
2020-03-27,6.51,6.52,6.33,6.33,77097,49740050.0,0
2020-03-30,6.23,6.28,6.03,6.15,93967,57603425.0,0
2020-03-31,6.19,6.21,6.04,6.1,76035,46639098.0,0
2020-04-01,6.1,6.24,6.08,6.1,96384,59622529.0,0
2020-04-02,6.04,6.17,5.88,6.15,107728,65333473.0,0
2020-04-03,6.15,6.16,6.01,6.08,89728,54736583.0,0
2020-04-07,6.19,6.42,6.14,6.37,155425,98448257.0,0
2020-04-08,6.3,6.36,6.26,6.32,110082,69694328.0,0
