datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,7.18,8.03,6.88,6.96,3897851,2966521591.0,0
2020-02-29,6.26,7.64,5.63,6.56,5245975,3530206893.0,0
2020-03-31,6.59,7.58,6.03,6.1,5046191,3492288445.0,0
2020-04-30,6.1,6.64,5.88,6.1,2449537,1536571246.0,0
2020-05-31,6.03,6.24,4.83,5.03,2001159,1104994415.0,0
2020-06-30,5.11,5.63,5.05,5.28,1797431,962977127.0,0
2020-07-31,5.3,6.27,5.18,5.73,3705753,2148835921.0,0
2020-08-31,5.81,7.58,5.62,6.89,7651036,5149520771.0,0
2020-09-30,6.79,10.33,6.68,8.66,11390691,9422188236.0,0
2020-10-31,8.84,9.51,8.03,8.29,5304350,4640848365.0,0
2020-11-30,8.29,10.46,8.26,9.82,6118627,5879661263.0,0
2020-12-31,9.78,10.9,5.84,6.05,7230749,5494278688.0,0
2021-01-31,6.11,8.76,6.08,7.85,5381491,4010105168.0,0
2021-02-28,7.86,8.46,6.99,7.51,2987362,2372215532.0,0
2021-03-31,7.48,8.26,6.78,7.15,2687080,2040251193.0,0
2021-04-30,7.16,7.54,6.55,6.63,1808765,1273026140.0,0
2021-05-31,6.65,6.96,6.11,6.42,1691069,1103454452.0,0
2021-06-30,6.45,6.67,6.03,6.09,2276698,1429267078.0,0
2021-07-31,6.09,6.2,5.29,5.41,1579251,934599092.0,0
2021-08-31,5.41,6.7,5.41,6.12,2823489,1768243391.0,0
2021-09-30,6.18,6.43,5.53,5.63,1790856,1090955547.0,0
2021-10-31,5.68,7.53,5.68,7.05,4972006,3416907811.0,0
2021-11-30,6.97,9.21,6.51,9.1,8504618,6744816825.0,0
2021-12-31,9.0,9.42,7.66,8.76,6511645,5552064291.0,0
2022-01-31,9.18,9.61,7.2,7.32,4786805,4208274758.0,0
2022-02-28,7.53,7.95,6.94,7.46,2169537,1604442394.0,0
2022-03-31,7.53,7.77,6.19,6.84,2684645,1887143461.0,0
2022-04-30,6.97,7.01,4.8,5.14,2870024,1663968024.0,0
2022-05-31,5.18,6.22,5.0,5.87,2544600,1427629570.0,0
2022-06-30,5.89,7.02,5.81,6.71,3577586,2287938833.0,0
2022-07-31,6.96,8.68,6.73,8.44,5370704,4168622244.05,0
2022-08-31,8.33,8.43,7.14,7.16,4446966,3525619677.83,0
2022-09-30,7.16,8.44,6.58,6.59,4109490,3124615539.99,0
2022-10-31,6.59,7.28,6.08,6.25,2924880,1964321848.9,0
2022-11-30,6.23,6.87,6.2,6.64,2822684,1869467970.34,0
2022-12-31,6.74,6.82,5.92,6.02,1667731,1071411579.34,0
2023-01-31,6.03,6.8,5.99,6.68,1790767,1165092507.77,0
2023-02-28,6.69,7.84,6.66,7.43,3729925,2695715184.64,0
2023-03-31,7.44,7.53,6.58,7.38,2639077,1891503822.53,0
2023-04-30,7.4,7.42,6.42,6.68,1704997,1161611726.57,0
2023-05-31,6.67,6.72,6.27,6.45,1117126,729273265.45,0
2023-06-30,6.43,7.12,6.19,6.88,1531377,1027907370.28,0
2023-07-31,6.84,7.95,6.63,7.54,3948965,2883359781.17,0
2023-08-31,7.41,7.76,6.3,6.61,3764068,2688754227.02,0
2023-09-30,6.6,7.54,6.47,7.37,2751810,1947491624.05,0
2023-10-31,7.41,7.97,7.05,7.78,2513196,1893917973.23,0
2023-11-30,7.82,8.47,7.74,8.17,3683496,2976855965.17,0
2023-12-31,8.13,8.2,6.96,7.16,2501147,1878766900.63,0
2024-01-31,7.19,7.5,5.7,5.73,2702785,1830098665.25,0
2024-02-29,5.71,6.08,4.19,5.77,3149407,1659036257.6,0
2024-03-31,5.82,5.92,5.1,5.2,2965154,1654070058.03,0
2024-04-30,5.2,5.61,4.38,5.48,2998482,1515162884.26,0
2024-05-31,5.53,5.64,4.8,5.06,1824660,956301382.76,0
2024-06-30,5.09,5.13,4.27,4.37,1866141,860647833.33,0
2024-07-31,4.37,4.91,4.11,4.83,3286364,1498573218.75,0
2024-08-31,4.82,7.14,4.79,6.97,9477723,5870616385.77,0
2024-09-30,6.98,8.65,6.96,8.65,5417340,4083711748.84,0
2024-10-31,9.52,14.32,8.79,11.76,7636319,9019119835.4,0
2024-11-30,11.76,11.97,9.3,10.67,7590273,7999496327.47,0
2024-12-31,10.91,11.65,9.89,10.43,3754496,4057155050.12,0
2025-01-31,10.43,11.97,10.01,11.39,3106180,3412228335.78,0
2025-02-28,11.44,13.87,10.49,13.18,3562509,4130653189.46,0
2025-03-31,13.04,15.24,12.34,12.47,5573809,7656853594.29,0
2025-04-30,12.46,13.94,10.5,13.79,2475171,3069158027.81,0
2025-05-31,13.83,14.81,13.52,14.61,2777575,3955588639.18,0
2025-06-30,14.49,15.22,13.45,13.79,2004961,2869630336.99,0
2025-07-31,13.79,14.64,13.01,13.15,1706743,2385698630.19,0
2025-08-31,13.21,14.5,12.83,13.3,1829071,2478886532.78,0
2025-09-30,13.25,14.42,11.78,12.37,2471381,3182977028.42,0
2025-10-31,12.3,12.35,9.8,10.35,3609916,3855998889.03,0
2025-11-30,10.37,10.42,8.67,8.9,3234101,3057240725.68,0
2025-12-31,8.91,9.13,7.69,8.79,13331846,11219808689.58,0
2026-01-31,8.79,11.33,8.74,11.1,5258328,5306468185.58,0
