datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,7.18,7.57,7.15,7.4,456017,336657064.0,0
2020-01-10,7.29,8.03,7.25,7.74,1676103,1293512175.0,0
2020-01-17,7.7,7.98,7.48,7.51,1066034,825176148.0,0
2020-01-24,7.5,7.64,6.88,6.96,699697,511176204.0,0
2020-02-07,6.26,6.26,5.63,6.17,957853,575221290.0,0
2020-02-14,6.13,6.97,6.1,6.56,1210743,798598434.0,0
2020-02-21,6.54,7.01,6.5,7.0,1207946,819203666.0,0
2020-02-28,6.88,7.64,6.46,6.56,1869433,1337183503.0,0
2020-03-06,6.59,7.44,6.58,7.06,1477239,1057207169.0,0
2020-03-13,6.94,7.58,6.41,6.98,1726054,1228411673.0,0
2020-03-20,7.26,7.28,6.18,6.58,1071528,716815034.0,0
2020-03-27,6.38,6.65,6.09,6.33,601368,385612046.0,0
2020-04-03,6.23,6.28,5.88,6.08,463842,283935108.0,0
2020-04-10,6.19,6.63,6.14,6.26,644932,413663923.0,0
2020-04-17,6.22,6.64,6.09,6.29,654761,415875050.0,0
2020-04-24,6.19,6.4,5.98,6.1,506660,314098414.0,0
2020-05-01,6.13,6.28,5.89,6.1,349344,213241274.0,0
2020-05-08,6.03,6.24,6.0,6.12,221318,135833177.0,0
2020-05-15,6.14,6.24,5.64,5.66,558564,331277862.0,0
2020-05-22,5.58,5.58,4.83,4.96,757358,398703123.0,0
2020-05-29,5.07,5.46,4.9,5.03,463919,239180253.0,0
2020-06-05,5.11,5.63,5.06,5.4,726523,393879323.0,0
2020-06-12,5.4,5.45,5.05,5.2,358377,190479439.0,0
2020-06-19,5.17,5.42,5.14,5.37,392641,209805412.0,0
2020-06-26,5.37,5.41,5.15,5.2,202785,107289823.0,0
2020-07-03,5.2,5.6,5.12,5.52,505387,272565645.0,0
2020-07-10,5.53,6.16,5.52,5.99,1203899,715657224.0,0
2020-07-17,5.98,6.27,5.48,5.54,839862,502251564.0,0
2020-07-24,5.55,5.91,5.3,5.36,595483,339222501.0,0
2020-07-31,5.43,5.91,5.18,5.73,678227,380662117.0,0
2020-08-07,5.81,6.05,5.73,5.96,678473,401158036.0,0
2020-08-14,5.96,6.17,5.62,5.86,719859,426779141.0,0
2020-08-21,5.91,7.58,5.86,6.74,3859542,2698818291.0,0
2020-08-28,6.66,7.1,6.47,6.53,1868859,1259026343.0,0
2020-09-04,6.55,7.28,6.55,6.79,1731266,1210413759.0,0
2020-09-11,6.83,7.8,6.82,7.42,2677247,1975765568.0,0
2020-09-18,7.38,8.26,7.32,8.15,2150849,1689857485.0,0
2020-09-25,8.21,10.33,8.21,8.74,4095288,3789704192.0,0
2020-10-02,8.79,9.34,8.46,8.66,1260344,1120186192.0,0
2020-10-09,8.84,9.27,8.79,9.15,378440,345097008.0,0
2020-10-16,9.36,9.51,8.04,8.91,2296900,1983402592.0,0
2020-10-23,8.95,9.33,8.31,8.85,1740864,1558339080.0,0
2020-10-30,8.75,8.89,8.03,8.29,888146,754009685.0,0
2020-11-06,8.29,9.55,8.26,9.27,1544546,1416311404.0,0
2020-11-13,9.38,10.22,9.22,9.41,1632990,1592691896.0,0
2020-11-20,9.63,9.66,8.96,9.29,1023489,945775268.0,0
2020-11-27,9.33,10.46,9.24,10.17,1652971,1660102490.0,0
2020-12-04,10.17,10.9,8.68,9.16,2400647,2351125997.0,0
2020-12-11,9.22,9.55,6.67,6.67,929651,794198269.0,0
2020-12-18,6.0,6.98,6.0,6.36,2001770,1279061315.0,0
2020-12-25,6.43,6.71,5.88,6.08,1322128,823670835.0,0
2021-01-01,5.99,6.38,5.84,6.05,841184,511002477.0,0
2021-01-08,6.11,6.69,6.08,6.43,1339979,860920276.0,0
2021-01-15,6.43,8.29,6.33,7.82,1611993,1177816104.0,0
2021-01-22,7.82,8.76,7.76,8.2,1588415,1307671370.0,0
2021-01-29,8.24,8.31,7.43,7.85,841104,663697418.0,0
2021-02-05,7.86,8.46,7.58,7.98,933579,767944736.0,0
2021-02-12,7.98,8.13,6.99,7.96,657172,501224029.0,0
2021-02-19,8.08,8.33,7.82,8.09,356249,289025399.0,0
2021-02-26,8.07,8.23,7.36,7.51,1040362,814021368.0,0
2021-03-05,7.48,7.99,7.44,7.83,595403,461862929.0,0
2021-03-12,7.94,8.26,7.59,7.83,746295,598125545.0,0
2021-03-19,7.81,7.81,7.17,7.19,630071,468523429.0,0
2021-03-26,7.18,7.43,6.78,7.3,526890,376524444.0,0
2021-04-02,7.31,7.35,6.99,7.09,285804,204958348.0,0
2021-04-09,7.1,7.28,6.97,7.07,246291,175391137.0,0
2021-04-16,6.98,7.16,6.77,7.15,345628,241121473.0,0
2021-04-23,7.25,7.54,6.85,6.98,611447,442544237.0,0
2021-04-30,7.03,7.07,6.55,6.63,508016,344225791.0,0
2021-05-07,6.65,6.81,6.59,6.69,148979,99814913.0,0
2021-05-14,6.96,6.96,6.63,6.69,437524,297057592.0,0
2021-05-21,6.69,6.71,6.11,6.21,566015,363017780.0,0
2021-05-28,6.22,6.53,6.22,6.31,439871,280242333.0,0
2021-06-04,6.35,6.52,6.13,6.24,523009,331740050.0,0
2021-06-11,6.24,6.51,6.03,6.38,645618,404720129.0,0
2021-06-18,6.67,6.67,6.07,6.18,461577,292600728.0,0
2021-06-25,6.15,6.47,6.08,6.12,455533,284525478.0,0
2021-07-02,6.14,6.33,5.98,6.0,418739,257093676.0,0
2021-07-09,5.98,6.16,5.9,6.13,364298,219498038.0,0
2021-07-16,6.2,6.2,5.94,5.98,309188,187489584.0,0
2021-07-23,5.98,6.16,5.9,5.93,381565,229471038.0,0
2021-07-30,5.93,5.95,5.29,5.41,395102,220049283.0,0
2021-08-06,5.41,6.41,5.41,6.19,885542,535323384.0,0
2021-08-13,6.31,6.56,6.14,6.48,609109,388543312.0,0
2021-08-20,6.46,6.63,6.08,6.35,515178,326392820.0,0
2021-08-27,6.44,6.7,6.19,6.23,618947,398245795.0,0
2021-09-03,6.23,6.38,6.0,6.37,546773,338436279.0,0
2021-09-10,6.38,6.43,6.2,6.29,538693,339923938.0,0
2021-09-17,6.27,6.28,5.76,5.87,462869,281064054.0,0
2021-09-24,5.81,5.97,5.7,5.7,205255,120464922.0,0
2021-10-01,5.7,5.76,5.53,5.63,231979,130804434.0,0
2021-10-08,5.68,5.82,5.68,5.79,60048,34740243.0,0
2021-10-15,5.86,6.46,5.76,6.46,597367,368953881.0,0
2021-10-22,6.54,6.94,6.44,6.64,1818300,1219193635.0,0
2021-10-29,6.58,7.53,6.46,7.05,2496291,1794020052.0,0
2021-11-05,6.97,7.25,6.51,6.9,1387471,968853830.0,0
