datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,22.56,24.89,22.12,24.54,314706,894738624.0,0
2020-01-03,24.44,25.39,23.33,23.92,360980,1039907952.0,0
2020-01-06,23.47,25.24,22.89,23.95,422234,1219957264.0,0
2020-01-07,24.39,26.54,24.14,26.06,387288,1161016640.0,0
2020-01-08,25.45,26.8,25.24,25.89,293264,896292672.0,0
2020-01-09,26.44,26.64,24.49,26.08,281571,847221120.0,0
2020-01-10,26.14,26.68,25.41,26.34,232359,713584320.0,0
2020-01-13,26.32,26.32,24.74,25.83,393730,1179591264.0,0
2020-01-14,26.02,26.63,25.39,25.48,394621,1199027152.0,0
2020-01-15,25.44,25.64,24.2,24.54,380843,1111291184.0,0
2020-01-16,24.71,24.99,23.85,24.4,345069,997356640.0,0
2020-01-17,24.49,24.91,23.94,24.27,232433,674669600.0,0
2020-01-20,23.98,26.42,23.98,25.84,421131,1264969808.0,0
2020-01-21,25.57,26.25,25.17,25.82,253298,767007840.0,0
2020-01-22,25.25,26.64,24.87,26.27,328810,997220880.0,0
2020-01-23,26.24,28.83,25.86,27.85,461367,1498715104.0,0
2020-02-03,25.7,30.31,25.24,25.62,533407,1698944048.0,0
2020-02-04,25.6,28.64,25.6,28.64,462433,1483638800.0,0
2020-02-05,28.73,30.72,28.08,29.6,526270,1773597472.0,0
2020-02-06,29.12,32.94,28.8,32.37,514850,1835687712.0,0
2020-02-07,31.94,35.14,31.17,34.69,499150,1892246928.0,0
2020-02-10,33.94,34.66,31.73,32.93,469231,1761126496.0,0
2020-02-11,32.94,32.97,29.74,31.23,450736,1609374512.0,0
2020-02-12,31.22,33.32,30.94,32.26,414926,1532670464.0,0
2020-02-13,31.64,33.26,30.44,32.44,487677,1752820864.0,0
2020-02-14,32.01,32.74,31.34,32.2,364134,1328714624.0,0
2020-02-17,32.44,34.22,32.2,33.64,342598,1301229952.0,0
2020-02-18,33.43,34.09,32.61,33.12,299193,1132414256.0,0
2020-02-19,32.79,32.8,30.46,30.61,503891,1802341248.0,0
2020-02-20,30.81,31.41,30.24,31.09,275546,977121632.0,0
2020-02-21,31.44,33.54,31.44,32.73,455663,1703124624.0,0
2020-02-24,32.24,34.32,32.24,33.86,368239,1408095296.0,0
2020-02-25,32.36,33.82,31.24,33.19,407279,1519429808.0,0
2020-02-26,32.84,32.84,29.42,29.69,561790,1983393520.0,0
2020-02-27,30.04,31.94,29.19,30.92,392970,1383671760.0,0
2020-02-28,29.74,31.22,28.84,29.3,412755,1421990608.0,0
2020-03-02,30.44,31.1,28.24,30.17,449014,1534705152.0,0
2020-03-03,30.84,31.39,28.8,29.64,491315,1705895680.0,0
2020-03-04,29.43,29.88,28.47,29.19,359162,1208945248.0,0
2020-03-05,29.91,30.39,28.84,29.5,270224,919570000.0,0
2020-03-06,28.97,31.23,28.84,29.9,368066,1284758176.0,0
2020-03-09,29.21,29.43,26.94,27.28,399300,1301170464.0,0
2020-03-10,26.64,28.9,26.62,28.5,323037,1048272928.0,0
2020-03-11,28.74,29.11,27.64,27.77,184049,604679072.0,0
2020-03-12,27.14,27.61,26.27,26.59,356956,1122820112.0,0
2020-03-13,24.74,27.04,24.34,26.38,319021,974358704.0,0
2020-03-16,26.94,28.61,26.14,26.47,414394,1323168224.0,0
2020-03-17,27.94,28.14,25.95,27.91,366164,1165115008.0,0
2020-03-18,28.49,29.68,27.8,27.94,377330,1258743904.0,0
2020-03-19,28.04,29.58,28.04,29.56,380923,1270538256.0,0
2020-03-20,30.33,30.89,29.79,30.43,356195,1244877248.0,0
2020-03-23,29.65,30.66,29.16,29.91,203388,701591376.0,0
2020-03-24,30.66,30.97,27.1,28.48,391331,1302050832.0,0
2020-03-25,29.32,30.22,28.55,29.92,319287,1089759312.0,0
