datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,21.45,21.71,21.34,21.56,285738,615847525,0
2025-11-26 11:30:00,21.56,21.67,21.53,21.59,100787,217548120,0
2025-11-26 14:00:00,21.59,21.62,21.4,21.4,112956,242816528,0
2025-11-26 15:00:00,21.39,21.42,21.28,21.38,121809,260111693,0
2025-11-27 10:30:00,21.38,21.6,21.19,21.2,228334,487984864,0
2025-11-27 11:30:00,21.19,21.29,21.1,21.26,83090,176039989,0
2025-11-27 14:00:00,21.26,21.28,21.1,21.13,57753,122227068,0
2025-11-27 15:00:00,21.13,21.14,20.88,20.95,159633,334994050,0
2025-11-28 10:30:00,20.88,21.1,20.46,20.62,206293,428240094,0
2025-11-28 11:30:00,20.61,20.76,20.59,20.62,57984,119730195,0
2025-11-28 14:00:00,20.62,20.64,20.48,20.59,95908,197032589,0
2025-11-28 15:00:00,20.58,20.62,20.51,20.58,103239,212233515,0
2025-12-01 10:30:00,20.46,20.65,20.35,20.48,186020,381530261,0
2025-12-01 11:30:00,20.48,20.59,20.43,20.55,89467,183379807,0
2025-12-01 14:00:00,20.56,20.65,20.52,20.65,58324,119931662,0
2025-12-01 15:00:00,20.64,20.79,20.63,20.79,188652,390780402,0
2025-12-02 10:30:00,20.68,20.82,20.38,20.4,159887,328595968,0
2025-12-02 11:30:00,20.4,20.42,20.26,20.29,120194,244456001,0
2025-12-02 14:00:00,20.28,20.38,20.27,20.3,55860,113462121,0
2025-12-02 15:00:00,20.3,20.39,20.26,20.35,96515,196076330,0
2025-12-03 10:30:00,20.33,20.43,19.95,20.0,165084,333280987,0
2025-12-03 11:30:00,20.0,20.18,19.98,20.17,85889,172276826,0
2025-12-03 14:00:00,20.18,20.25,20.11,20.13,57167,115399987,0
2025-12-03 15:00:00,20.14,20.16,20.07,20.14,66574,133901598,0
2025-12-04 10:30:00,20.14,20.29,19.99,20.07,100608,201845731,0
2025-12-04 11:30:00,20.07,20.2,20.05,20.07,69527,140002234,0
2025-12-04 14:00:00,20.07,20.07,19.98,20.0,49348,98789424,0
2025-12-04 15:00:00,20.0,20.02,19.9,19.97,93446,186492491,0
2025-12-05 10:30:00,19.93,20.03,19.82,19.98,105572,210524654,0
2025-12-05 11:30:00,19.98,20.11,19.97,20.03,64885,130014328,0
2025-12-05 14:00:00,20.04,20.08,19.98,20.07,82276,164768619,0
2025-12-05 15:00:00,20.08,20.09,20.0,20.04,101952,204352719,0
2025-12-08 10:30:00,20.28,20.98,20.2,20.67,477713,986525804,0
2025-12-08 11:30:00,20.67,20.77,20.63,20.64,71496,147911529,0
2025-12-08 14:00:00,20.66,20.76,20.58,20.65,84117,173872569,0
2025-12-08 15:00:00,20.64,20.66,20.5,20.56,98925,203575179,0
2025-12-09 10:30:00,20.51,20.66,20.25,20.29,238130,488209806,0
2025-12-09 11:30:00,20.28,20.4,20.25,20.34,61200,124343381,0
2025-12-09 14:00:00,20.35,20.43,20.22,20.24,58411,118438411,0
2025-12-09 15:00:00,20.24,20.35,20.22,20.34,62789,127398647,0
2025-12-10 10:30:00,20.34,20.46,19.96,20.4,176340,355487487,0
2025-12-10 11:30:00,20.41,20.7,20.38,20.45,137047,281501635,0
2025-12-10 14:00:00,20.44,20.5,20.39,20.47,46771,95634256,0
2025-12-10 15:00:00,20.47,20.61,20.42,20.61,101103,207722504,0
2025-12-11 10:30:00,20.7,20.78,20.39,20.64,133803,274519693,0
2025-12-11 11:30:00,20.64,20.68,20.41,20.42,43346,89026516,0
2025-12-11 14:00:00,20.41,20.56,20.39,20.48,58494,119621511,0
2025-12-11 15:00:00,20.48,20.55,20.4,20.4,65294,133534912,0
2025-12-12 10:30:00,20.4,20.84,20.36,20.74,219175,451849099,0
2025-12-12 11:30:00,20.74,20.86,20.7,20.81,128186,266627213,0
2025-12-12 14:00:00,20.81,20.96,20.77,20.94,114746,239292865,0
2025-12-12 15:00:00,20.93,20.97,20.83,20.87,113783,237667089,0
2025-12-15 10:30:00,20.9,21.66,20.9,21.45,382832,821764504,0
2025-12-15 11:30:00,21.46,21.51,21.26,21.32,103185,220565717,0
2025-12-15 14:00:00,21.33,21.35,21.12,21.28,93393,198312168,0
2025-12-15 15:00:00,21.28,21.41,21.16,21.29,122508,260880500,0
2025-12-16 10:30:00,21.22,21.45,20.84,21.03,207512,437123545,0
2025-12-16 11:30:00,21.03,21.03,20.74,20.74,86177,179430136,0
2025-12-16 14:00:00,20.73,20.86,20.57,20.76,90098,186513681,0
2025-12-16 15:00:00,20.75,20.87,20.69,20.7,77345,160510232,0
2025-12-17 10:30:00,20.89,21.72,20.89,21.63,391880,837084878,0
2025-12-17 11:30:00,21.63,22.14,21.49,22.0,329705,719114234,0
2025-12-17 14:00:00,22.0,22.05,21.7,21.88,153650,335708702,0
2025-12-17 15:00:00,21.89,21.95,21.84,21.9,156866,343253568,0
2025-12-18 10:30:00,21.9,22.48,21.81,22.46,441019,976646338,0
