datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,22.56,28.83,22.12,27.85,5503704,16462568064.0,0
2020-02-29,25.7,35.14,25.24,29.3,8742738,31301634624.0,0
2020-03-31,30.44,31.39,24.34,28.1,7316211,24350491488.0,0
2020-04-30,28.24,33.06,24.73,31.6,5159216,17940580288.0,0
2020-05-31,30.94,34.08,28.39,29.74,3506366,12595229344.0,0
2020-06-30,30.08,42.91,28.42,42.54,6061575,23695699536.0,0
2020-07-31,43.02,46.82,38.33,41.34,7531580,34723867392.0,0
2020-08-31,42.39,45.2,35.65,41.33,5856115,25756856944.0,0
2020-09-30,41.5,42.68,34.45,35.73,4027967,16788740416.0,0
2020-10-31,36.57,38.23,25.15,25.64,6806623,22949746912.0,0
2020-11-30,25.19,26.06,20.54,22.17,8525530,23230941984.0,0
2020-12-31,22.12,27.75,21.87,27.27,12730259,36680263008.0,0
2021-01-31,27.49,31.92,25.64,28.36,14089736,46279917024.0,0
2021-02-28,27.92,29.14,22.82,24.19,7811819,23255821232.0,0
2021-03-31,24.38,28.37,17.14,18.0,11711286,30556671088.0,0
2021-04-30,17.97,19.21,17.49,18.1,5231980,11654917344.0,0
2021-05-31,18.03,21.7,16.14,20.28,5508592,12986371936.0,0
2021-06-30,20.54,22.81,19.75,20.06,5007647,12691635680.0,0
2021-07-31,20.04,20.39,14.37,15.4,5849450,12545029248.0,0
2021-08-31,15.76,16.33,12.11,13.29,6772010,12197184412.0,0
2021-09-30,13.47,19.91,13.39,17.23,10666660,22371849296.0,0
2021-10-31,17.79,20.8,16.8,20.04,4807304,10903162016.0,0
2021-11-30,20.64,24.75,19.43,19.98,8747879,22426410912.0,0
2021-12-31,19.78,23.6,19.17,23.41,6387591,15955451664.0,0
2022-01-31,23.87,26.63,21.22,21.23,7032411,19386816944.0,0
2022-02-28,21.53,22.46,16.66,17.22,4857537,11171527590.0,0
2022-03-31,17.19,20.58,14.5,19.84,7313554,15738829552.0,0
2022-04-30,19.59,22.37,16.04,20.54,7143431,16282390496.0,0
2022-05-31,20.25,20.54,16.85,18.42,5840557,12840114144.0,0
2022-06-30,18.33,20.23,17.39,17.99,8312778,18263649776.0,0
2022-07-31,18.1,18.51,16.14,16.29,8912152,18152850252.85,0
2022-08-31,16.21,17.85,15.37,17.13,7367314,14613579300.24,0
2022-09-30,17.13,17.32,14.04,14.53,4204555,7931875155.39,0
2022-10-31,14.53,14.61,11.07,11.6,4835682,7232405671.72,0
2022-11-30,11.6,17.01,11.39,14.79,10282550,17571315984.01,0
2022-12-31,15.09,15.53,13.61,15.21,5703644,9965367750.97,0
2023-01-31,15.13,18.76,15.0,17.51,6136383,12340927279.68,0
2023-02-28,17.51,21.61,17.16,19.08,7030607,15846071795.24,0
2023-03-31,19.04,26.64,18.36,25.56,10777533,27421815507.07,0
2023-04-30,25.01,30.31,23.47,27.8,15648844,45291110166.35,0
2023-05-31,30.87,33.05,24.01,29.75,18950771,57805580335.0,0
2023-06-30,29.21,35.53,27.46,32.44,14495471,48397607487.7,0
2023-07-31,32.34,32.36,22.6,24.44,11020630,32229590066.38,0
2023-08-31,24.2,25.9,21.86,22.24,9925973,25923591103.0,0
2023-09-30,21.89,22.25,17.85,19.71,8956592,19779116182.3,0
2023-10-31,19.61,20.21,16.81,18.71,5602020,11463094582.17,0
2023-11-30,18.61,23.69,18.45,20.16,10682545,24841604660.67,0
2023-12-31,20.19,23.17,15.41,16.82,11162405,23390615906.73,0
2024-01-31,17.21,18.33,14.45,14.63,13558836,24921274656.62,0
2024-02-29,14.38,18.44,13.47,17.49,9226669,16683728399.73,0
2024-03-31,17.62,17.95,15.21,15.42,13305416,24982232990.19,0
2024-04-30,15.41,16.11,14.11,14.71,9131835,15429515342.82,0
2024-05-31,15.01,15.48,12.9,13.11,10083904,16447193638.27,0
2024-06-30,13.0,13.01,11.1,11.64,7358273,10017164104.92,0
2024-07-31,11.6,11.84,10.63,11.8,6604533,8411885668.84,0
2024-08-31,11.79,12.89,10.76,12.54,12460902,16712746030.37,0
2024-09-30,12.52,16.7,11.75,16.7,13569615,19737588844.29,0
2024-10-31,18.49,18.49,14.29,15.13,16107234,27263940695.7,0
2024-11-30,14.95,16.89,14.53,15.87,21441731,35899446129.41,0
2024-12-31,15.78,16.65,14.63,14.65,14331762,23990914847.45,0
2025-01-31,14.65,14.71,13.04,13.88,5560028,8223496430.17,0
2025-02-28,14.21,16.0,14.04,14.1,10935568,17499293792.55,0
2025-03-31,14.26,15.46,13.82,13.91,8492428,13291592276.39,0
2025-04-30,13.97,15.46,12.12,14.2,9190278,13910291569.62,0
2025-05-31,14.36,14.53,13.78,14.25,5523462,8245877854.04,0
2025-06-30,14.09,17.08,14.01,16.87,15708279,25178700268.47,0
2025-07-31,16.87,18.89,16.09,16.19,18119926,31776568431.6,0
2025-08-31,16.18,20.28,15.84,19.27,17019808,30994064461.96,0
2025-09-30,19.38,23.84,18.62,21.5,27564777,60177821323.8,0
2025-10-31,21.59,21.69,19.12,20.56,10089915,20638890017.86,0
2025-11-30,22.64,24.14,19.56,20.58,13445697,29339868982.73,0
2025-12-31,20.46,24.0,19.82,23.6,12689436,27480271303.17,0
2026-01-31,25.0,27.69,24.94,27.29,6465953,17295464655.86,0
