datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,22.56,25.39,22.12,23.92,675686,1934646576.0,0
2020-01-10,23.47,26.8,22.89,26.34,1616716,4838072016.0,0
2020-01-17,26.32,26.63,23.85,24.27,1746696,5161935840.0,0
2020-01-24,23.98,28.83,23.98,27.85,1464606,4527913632.0,0
2020-02-07,25.7,35.14,25.24,34.69,2536110,8684114960.0,0
2020-02-14,33.94,34.66,29.74,32.2,2186704,7984706960.0,0
2020-02-21,32.44,34.22,30.24,32.73,1876891,6916231712.0,0
2020-02-28,32.24,34.32,28.84,29.3,2143033,7716580992.0,0
2020-03-06,30.44,31.39,28.24,29.9,1937781,6653874256.0,0
2020-03-13,29.21,29.43,24.34,26.38,1582363,5051301280.0,0
2020-03-20,26.94,30.89,25.95,30.43,1895006,6262442640.0,0
2020-03-27,29.65,31.14,27.1,28.66,1449440,4934128640.0,0
2020-04-03,27.84,29.15,24.73,27.96,1385651,4443276560.0,0
2020-04-10,28.95,30.86,28.43,28.96,1061528,3648984800.0,0
2020-04-17,28.46,33.06,27.74,31.78,1407220,4988959920.0,0
2020-04-24,31.78,32.89,30.14,30.34,1079492,3891122352.0,0
2020-05-01,30.6,32.31,29.62,31.6,676946,2416981328.0,0
2020-05-08,30.94,34.08,30.64,33.4,823739,3061097760.0,0
2020-05-15,33.71,33.93,32.03,32.73,1000678,3719813408.0,0
2020-05-22,32.61,32.61,29.59,29.66,874715,3096211856.0,0
2020-05-29,29.65,30.47,28.39,29.74,807234,2718106320.0,0
2020-06-05,30.08,31.29,28.42,29.58,1219207,4128393056.0,0
2020-06-12,29.94,36.84,29.82,35.96,1851854,6978150288.0,0
2020-06-19,36.86,38.4,35.44,36.92,1735147,7101070032.0,0
2020-06-26,37.5,40.19,36.92,39.24,796220,3413029008.0,0
2020-07-03,39.23,43.24,38.33,40.43,1396103,6267522304.0,0
2020-07-10,39.59,45.85,38.74,44.73,2088768,9680086320.0,0
2020-07-17,44.72,46.82,39.74,42.07,1784308,8505505280.0,0
2020-07-24,43.22,44.49,38.41,38.88,1491559,6867922384.0,0
2020-07-31,38.95,42.39,38.41,41.34,1229989,5477888256.0,0
2020-08-07,42.39,42.69,37.69,39.01,1564283,6914113040.0,0
2020-08-14,38.74,39.38,35.65,38.65,1303619,5469563024.0,0
2020-08-21,39.26,41.34,36.75,39.79,1303698,5625191648.0,0
2020-08-28,39.79,43.34,39.75,43.34,1213335,5546310384.0,0
2020-09-04,44.64,45.2,38.83,39.55,1281390,5862963568.0,0
2020-09-11,39.34,39.7,35.76,36.66,886472,3679806352.0,0
2020-09-18,37.04,38.21,35.74,36.69,798703,3279646112.0,0
2020-09-25,36.74,38.04,34.45,36.63,1063346,4286656704.0,0
2020-10-02,37.02,37.26,35.37,35.73,469236,1881346528.0,0
2020-10-09,36.57,38.23,36.09,37.79,231005,959331984.0,0
2020-10-16,37.64,37.79,30.34,31.62,2666155,9592535904.0,0
2020-10-23,31.62,31.8,25.91,26.17,2260232,7412338480.0,0
2020-10-30,25.93,27.26,25.15,25.64,1649231,4985540544.0,0
2020-11-06,25.19,26.06,24.29,24.47,1939624,5612818736.0,0
2020-11-13,24.39,25.89,22.72,23.09,2236059,6337288352.0,0
2020-11-20,23.13,23.4,21.71,22.46,1875379,4960671744.0,0
2020-11-27,22.64,22.64,20.54,21.02,1759017,4469967152.0,0
2020-12-04,20.95,25.94,20.78,25.22,3863546,10838646416.0,0
2020-12-11,25.09,26.66,23.48,23.86,2337146,6747142192.0,0
2020-12-18,23.82,25.5,23.44,23.83,1634181,4634822592.0,0
2020-12-25,23.52,26.14,23.04,24.11,2549734,7336286992.0,0
2021-01-01,23.75,27.75,22.23,27.27,3061103,8973560816.0,0
2021-01-08,27.49,30.49,26.93,29.9,3478445,11305583504.0,0
2021-01-15,29.79,31.38,26.24,27.84,3604939,12004462976.0,0
2021-01-22,27.8,29.24,25.64,29.12,2941365,9322455344.0,0
2021-01-29,28.84,31.92,27.65,28.36,4064987,13647415200.0,0
2021-02-05,27.92,29.14,23.67,24.34,3127141,9516236224.0,0
2021-02-12,24.09,25.79,22.82,25.26,1381158,3943840656.0,0
2021-02-19,25.81,27.42,25.55,27.32,939876,2867481328.0,0
2021-02-26,27.53,27.64,23.84,24.19,2363644,6928263024.0,0
2021-03-05,24.38,26.21,23.96,25.87,1870119,5402860832.0,0
2021-03-12,27.36,28.37,24.99,25.27,3174042,9786264016.0,0
2021-03-19,22.35,22.35,18.04,18.43,3790324,9042562768.0,0
2021-03-26,18.23,18.78,17.14,17.86,1892686,4169098736.0,0
2021-04-02,17.64,18.47,17.44,18.3,1564315,3438061360.0,0
2021-04-09,18.33,19.21,18.14,18.15,1251460,2830635776.0,0
2021-04-16,18.09,18.1,17.49,17.84,831799,1804348176.0,0
2021-04-23,17.79,19.18,17.65,18.94,1457899,3292169312.0,0
2021-04-30,18.84,18.84,17.54,18.1,1110622,2445587456.0,0
2021-05-07,18.03,18.09,17.6,17.91,323432,704897984.0,0
2021-05-14,17.9,19.92,16.14,18.9,1857887,4147253744.0,0
2021-05-21,19.03,21.6,18.87,20.83,1770036,4274380192.0,0
2021-05-28,20.81,21.7,20.09,20.27,1372841,3412857056.0,0
2021-06-04,20.14,21.21,19.77,20.64,984319,2397280272.0,0
2021-06-11,20.52,22.72,20.45,21.8,1410713,3642578176.0,0
2021-06-18,21.86,22.81,20.26,20.95,913628,2345386992.0,0
2021-06-25,20.75,22.56,20.5,20.78,1231283,3154719904.0,0
2021-07-02,20.6,21.57,19.75,20.03,930285,2266796784.0,0
2021-07-09,20.04,20.22,17.04,17.42,1490806,3270535872.0,0
2021-07-16,17.26,19.23,16.74,19.18,1125218,2532029520.0,0
2021-07-23,19.12,19.4,16.87,17.95,1088576,2435411152.0,0
2021-07-30,17.64,17.65,14.37,15.4,1866665,3638909216.0,0
2021-08-06,15.76,16.33,13.55,13.9,2197783,4116824704.0,0
2021-08-13,13.6,15.51,13.54,14.13,1292344,2378354608.0,0
2021-08-20,14.04,14.42,13.1,13.38,1135293,2004008768.0,0
2021-08-27,13.3,14.69,13.29,13.35,1102567,1951249628.0,0
2021-09-03,13.32,16.36,12.11,16.1,3621646,6677457264.0,0
2021-09-10,16.1,19.66,15.79,16.79,3477368,7450670032.0,0
2021-09-17,17.01,18.83,16.44,17.57,2066066,4446518432.0,0
2021-09-24,17.24,19.91,17.1,19.2,1029011,2304483168.0,0
2021-10-01,19.2,19.22,16.26,17.23,1516592,3239467104.0,0
2021-10-08,17.79,17.86,16.8,17.71,271513,573539792.0,0
2021-10-15,17.7,20.05,17.39,18.62,1966126,4509210080.0,0
