datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,13.05,13.31,12.99,13.21,159346,765516496.0,0
2020-01-03,13.22,13.49,13.05,13.17,129936,628361968.0,0
2020-01-06,12.95,13.55,12.89,13.25,169871,822172480.0,0
2020-01-07,13.26,13.32,13.08,13.17,93401,449013440.0,0
2020-01-08,13.01,13.27,12.87,12.92,110974,529249408.0,0
2020-01-09,13.07,13.22,12.95,13.04,89217,425352464.0,0
2020-01-10,13.04,13.04,12.69,12.8,109295,512929712.0,0
2020-01-13,14.36,14.36,13.99,14.36,518828,2662873920.0,0
2020-01-14,15.49,15.82,14.82,14.97,614976,3356918720.0,0
2020-01-15,15.16,15.41,14.58,14.93,298705,1594534512.0,0
2020-01-16,14.99,15.34,14.42,15.19,335737,1778235680.0,0
2020-01-17,15.11,16.99,14.89,16.47,530600,3022542416.0,0
2020-01-20,16.26,17.12,15.99,16.74,300776,1742179872.0,0
2020-01-21,16.4,16.4,16.01,16.06,203837,1161444864.0,0
2020-01-22,15.99,17.32,15.86,16.91,327980,1927419440.0,0
2020-01-23,16.49,17.78,16.33,17.1,291585,1735366432.0,0
2020-02-03,15.11,15.32,15.11,15.11,100398,540735184.0,0
2020-02-04,15.16,16.32,15.16,15.94,367775,2057907664.0,0
2020-02-05,16.39,17.82,16.15,17.43,446230,2698234960.0,0
2020-02-06,16.64,17.44,16.62,17.41,301132,1792085760.0,0
2020-02-07,17.4,17.4,16.04,16.46,321282,1868897088.0,0
2020-02-10,16.89,18.28,16.77,17.47,352796,2143782480.0,0
2020-02-11,17.16,17.2,16.58,16.84,196176,1162310512.0,0
2020-02-12,16.84,17.36,16.61,16.89,197456,1171671712.0,0
2020-02-13,16.66,17.2,16.32,16.34,236947,1387055824.0,0
2020-02-14,16.34,16.46,15.97,16.12,211174,1205977328.0,0
2020-02-17,16.13,16.68,16.13,16.65,209889,1215249648.0,0
2020-02-18,16.42,17.16,16.41,16.98,228365,1350970752.0,0
2020-02-19,18.65,18.65,17.71,17.79,437477,2773613072.0,0
2020-02-20,18.21,19.86,18.19,19.86,649391,4366081792.0,0
2020-02-21,19.49,19.91,19.05,19.66,455189,3046190976.0,0
2020-02-24,18.96,19.54,18.81,19.22,357969,2351741648.0,0
2020-02-25,18.62,21.22,18.55,20.77,407434,2786635360.0,0
2020-02-26,20.42,22.42,20.16,21.06,522768,3774510848.0,0
2020-02-27,21.05,21.54,19.85,20.51,272700,1912686992.0,0
2020-02-28,19.38,20.15,18.81,18.95,338254,2251947904.0,0
2020-03-02,19.02,19.57,18.49,19.44,225643,1492112192.0,0
2020-03-03,20.42,20.56,19.64,19.78,274253,1880749808.0,0
2020-03-04,19.47,19.76,18.73,19.35,180933,1198529232.0,0
2020-03-05,19.5,19.7,18.99,19.43,170004,1128290416.0,0
2020-03-06,18.99,19.67,18.93,18.94,147210,972613008.0,0
2020-03-09,18.25,18.25,16.88,16.97,292479,1789143872.0,0
2020-03-10,16.36,17.66,16.27,17.21,266805,1578089168.0,0
2020-03-11,17.41,17.54,16.69,16.74,222212,1327803136.0,0
2020-03-12,16.26,16.38,15.79,16.17,232383,1319050416.0,0
2020-03-13,15.09,15.99,14.61,15.71,213198,1162290576.0,0
2020-03-16,16.02,16.27,15.12,15.12,238773,1326361264.0,0
2020-03-17,15.12,15.48,14.45,14.84,180919,961588992.0,0
2020-03-18,15.02,15.38,14.5,14.52,172684,925695056.0,0
2020-03-19,14.53,14.66,13.78,14.28,194450,993678528.0,0
2020-03-20,14.59,14.75,14.29,14.66,148296,772921088.0,0
2020-03-23,13.91,14.09,13.12,13.21,242740,1190535680.0,0
2020-03-24,13.58,13.78,12.95,13.73,205027,1002130016.0,0
2020-03-25,14.34,14.76,14.17,14.57,289787,1504804544.0,0
2020-03-26,14.66,15.55,14.36,15.25,296621,1588496992.0,0
2020-03-27,15.62,15.84,15.3,15.42,229972,1269534016.0,0
2020-03-30,15.49,16.42,15.45,15.9,328937,1855914320.0,0
2020-03-31,16.08,17.15,15.64,17.15,350174,2037070400.0,0
2020-04-01,17.12,17.38,16.16,16.2,365565,2139092112.0,0
2020-04-02,16.06,16.06,15.42,16.02,233842,1300691376.0,0
2020-04-03,16.02,16.02,15.46,15.49,169190,940495664.0,0
2020-04-07,15.97,16.13,15.69,15.93,189116,1061432560.0,0
2020-04-08,15.76,15.76,15.5,15.6,129543,717031920.0,0
