datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,94.75,95.44,94.45,95.01,147853,1405847642,0
2025-11-26 11:30:00,95.0,95.09,94.77,94.99,39250,372682467,0
2025-11-26 14:00:00,95.01,95.35,94.92,95.01,57392,545928395,0
2025-11-26 15:00:00,95.01,95.14,94.86,95.09,62082,590167877,0
2025-11-27 10:30:00,94.6,95.16,94.41,94.71,85006,805988730,0
2025-11-27 11:30:00,94.71,95.08,94.64,94.68,32536,308415357,0
2025-11-27 14:00:00,94.7,94.96,94.65,94.75,25764,244150405,0
2025-11-27 15:00:00,94.76,94.77,94.22,94.29,58974,556795038,0
2025-11-28 10:30:00,94.6,94.96,94.2,94.57,60906,575948682,0
2025-11-28 11:30:00,94.56,94.94,94.55,94.75,34125,323337167,0
2025-11-28 14:00:00,94.76,95.0,94.74,94.91,42419,402504442,0
2025-11-28 15:00:00,94.92,95.23,94.91,95.17,81901,778825399,0
2025-12-01 10:30:00,95.39,96.3,95.18,95.74,112360,1077550178,0
2025-12-01 11:30:00,95.73,95.9,95.62,95.68,28590,273734682,0
2025-12-01 14:00:00,95.68,95.68,95.14,95.56,48362,461140493,0
2025-12-01 15:00:00,95.58,95.77,95.49,95.77,44401,424591043,0
2025-12-02 10:30:00,96.42,97.8,96.39,96.98,218194,2119687003,0
2025-12-02 11:30:00,96.97,97.39,96.76,96.77,45934,445696418,0
2025-12-02 14:00:00,96.76,96.77,96.25,96.44,49417,476821996,0
2025-12-02 15:00:00,96.43,96.78,96.43,96.62,45672,441366304,0
2025-12-03 10:30:00,96.64,96.65,95.02,95.15,109499,1046565115,0
2025-12-03 11:30:00,95.16,95.44,94.89,95.31,44473,422890145,0
2025-12-03 14:00:00,95.33,95.5,95.01,95.05,29686,282664356,0
2025-12-03 15:00:00,95.06,95.15,94.91,95.05,47914,455309706,0
2025-12-04 10:30:00,94.92,95.22,94.2,94.84,69912,662071971,0
2025-12-04 11:30:00,94.84,95.19,94.6,94.9,29648,281349625,0
2025-12-04 14:00:00,94.91,95.25,94.85,95.05,27410,260626915,0
2025-12-04 15:00:00,95.06,95.29,95.01,95.24,39172,372710874,0
2025-12-05 10:30:00,95.29,95.6,94.81,95.03,56405,537138734,0
2025-12-05 11:30:00,95.02,95.16,94.71,94.89,30711,291536036,0
2025-12-05 14:00:00,94.92,96.19,94.9,96.08,63185,603726370,0
2025-12-05 15:00:00,96.09,96.22,95.93,95.98,61318,588849048,0
2025-12-08 10:30:00,96.21,97.15,96.21,96.96,122662,1187844410,0
