datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,13.05,17.78,12.69,17.1,4285064,23114111824.0,0
2020-02-29,15.11,22.42,15.11,18.95,6610802,41858287504.0,0
2020-03-31,19.02,20.56,12.95,17.15,5103500,29277402720.0,0
2020-04-30,17.12,17.95,15.21,17.14,3595830,20810287856.0,0
2020-05-31,16.96,17.99,15.59,16.29,2258486,13284981968.0,0
2020-06-30,16.41,21.51,16.3,21.09,3952615,25535312352.0,0
2020-07-31,21.56,29.79,20.83,25.62,8301855,71398047504.0,0
2020-08-31,25.63,27.49,23.21,25.51,4339209,36442614560.0,0
2020-09-30,26.17,36.95,25.46,35.92,7939301,81162526576.0,0
2020-10-31,38.21,53.94,36.91,50.45,7087142,98127768480.0,0
2020-11-30,50.81,63.46,50.35,54.56,11994562,209929218560.0,0
2020-12-31,53.41,62.45,51.44,61.94,8877339,158514169056.0,0
2021-01-31,60.18,84.83,59.54,79.51,8764331,202142730496.0,0
2021-02-28,78.84,88.3,61.84,62.93,6384689,154811501312.0,0
2021-03-31,64.18,69.11,49.04,52.01,7313958,132263115840.0,0
2021-04-30,53.18,56.92,49.41,50.03,5664145,95444562304.0,0
2021-05-31,49.51,58.84,44.17,56.74,6210049,102033228224.0,0
2021-06-30,56.75,83.71,56.75,80.84,8407331,186737751808.0,0
2021-07-31,80.84,88.15,68.61,85.41,9276615,228604615680.0,0
2021-08-31,89.18,102.99,86.08,89.56,7467093,217358028800.0,0
2021-09-30,89.56,90.93,75.56,80.4,4415610,115111539584.0,0
2021-10-31,83.22,108.34,79.89,101.0,4062571,118226662656.0,0
2021-11-30,97.7,107.22,93.23,98.79,4301582,131902736752.0,0
2021-12-31,98.96,101.91,84.89,86.6,3591240,103055496720.0,0
2022-01-31,89.23,90.38,70.48,72.83,3722128,93392616864.0,0
2022-02-28,77.49,81.4,72.23,80.43,2735099,66147126240.0,0
2022-03-31,82.23,82.76,67.04,73.83,4610672,107070858384.0,0
2022-04-30,72.82,80.86,70.16,78.23,3055477,72457147872.0,0
2022-05-31,79.29,97.55,71.32,95.86,4373605,118133463840.0,0
2022-06-30,96.56,116.85,94.93,108.39,5704898,191019990784.0,0
2022-07-31,107.95,114.54,96.15,104.05,4370619,143404356692.17,0
2022-08-31,103.26,108.88,91.93,93.26,3712358,117363387920.86,0
2022-09-30,92.26,95.46,80.26,81.27,2845409,77570562364.54001,0
2022-10-31,81.35,90.26,75.87,79.49,2314022,59765591003.76,0
2022-11-30,79.63,91.6,76.34,83.77,2812800,73563389922.79,0
2022-12-31,86.6,90.02,80.76,82.92,2139474,56842818325.27,0
2023-01-31,82.73,93.53,80.6,92.53,2237402,60879993727.2,0
2023-02-28,93.26,99.31,83.12,84.2,2313526,65075825711.61,0
2023-03-31,84.18,86.64,74.94,82.6,3005626,74647173489.08,0
2023-04-30,82.6,84.92,76.52,82.55,2454864,61415781987.11,0
2023-05-31,82.26,87.2,77.93,81.82,2480255,63759917994.61,0
2023-06-30,81.82,89.22,81.15,83.35,2160819,56842024504.39,0
2023-07-31,83.56,89.84,83.09,88.31,2233320,59479852827.86,0
2023-08-31,88.23,88.56,74.32,80.78,2452196,61041745841.96,0
2023-09-30,81.98,82.47,76.33,76.54,1712961,42107122030.79,0
2023-10-31,76.54,81.31,74.2,77.16,1783556,43030998524.02,0
2023-11-30,76.98,79.08,63.79,64.03,2462887,55501219283.76,0
2023-12-31,64.47,64.72,58.59,63.64,2205759,42900302331.54,0
2024-01-31,64.18,64.18,54.41,54.55,2470976,46499783234.29,0
2024-02-29,54.31,63.15,51.9,61.38,2111666,38180676057.71,0
2024-03-31,61.28,71.24,59.48,65.33,3080345,63351181414.86,0
2024-04-30,65.33,72.78,65.33,70.48,2271439,48417347106.68999,0
2024-05-31,72.64,74.97,66.5,73.98,2247661,49932707705.22,0
2024-06-30,73.98,84.27,72.97,81.06,3145581,77780018692.48,0
2024-07-31,81.06,87.68,77.27,81.03,2610498,66036640485.06,0
2024-08-31,81.34,82.61,73.18,81.82,1957093,46121860337.25,0
2024-09-30,81.35,101.37,78.81,101.11,2468874,65484359508.87,0
2024-10-31,111.36,111.36,94.34,96.41,3146447,96807822530.83,0
2024-11-30,96.41,102.01,89.36,90.29,3121965,91450976463.58,0
2024-12-31,90.88,96.68,89.87,92.9,2245484,63445908920.45,0
2025-01-31,93.01,94.49,86.08,90.18,1636636,45015363056.56,0
2025-02-28,92.92,128.23,92.54,119.28,4238550,145839484291.42,0
2025-03-31,121.68,133.14,111.35,123.64,3110333,115208266382.85,0
2025-04-30,124.6,124.68,103.23,116.37,3231687,113034562062.28,0
2025-05-31,118.68,137.67,115.78,116.11,3366295,127135221000.87,0
2025-06-30,115.76,120.67,108.21,109.31,2813120,97892672824.06999,0
2025-07-31,108.78,114.19,104.53,105.24,4355926,110339239553.66,0
2025-08-31,104.95,116.59,102.57,114.06,10592585,114907757687.96,0
2025-09-30,108.5,112.8,103.11,109.21,14913911,161007227992.47,0
2025-10-31,108.67,112.48,100.0,100.79,8437148,89249741860.73,0
2025-11-30,100.79,100.99,91.7,95.17,7393639,71571038175.74,0
2025-12-31,95.39,101.45,93.5,97.72,7046590,68278305936.54,0
2026-01-31,98.4,100.5,96.33,97.01,2116255,20771464389.28,0
