datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,17.64,18.13,17.58,18.03,133587,242342557.0,0
2020-01-03,18.07,18.41,17.94,18.16,135105,249593321.0,0
2020-01-06,18.24,18.36,17.55,17.71,167052,303732944.0,0
2020-01-07,17.73,17.86,17.58,17.8,86585,155693087.0,0
2020-01-08,17.71,17.85,17.46,17.54,62009,111013475.0,0
2020-01-09,17.76,18.36,17.72,18.36,133620,245890245.0,0
2020-01-10,18.65,19.03,18.4,18.86,151682,288262848.0,0
2020-01-13,18.81,18.83,18.22,18.47,123836,231189397.0,0
2020-01-14,18.48,18.56,18.16,18.28,75922,141184462.0,0
2020-01-15,18.29,18.46,18.07,18.31,70080,129726209.0,0
2020-01-16,18.35,18.61,18.19,18.36,84384,157600471.0,0
2020-01-17,18.5,18.55,18.07,18.14,61004,112898880.0,0
2020-01-20,18.16,18.37,17.47,18.24,125653,227849696.0,0
2020-01-21,18.12,18.36,17.55,17.62,95483,172445898.0,0
2020-01-22,17.69,17.89,16.58,17.41,183988,321928144.0,0
2020-01-23,17.55,17.66,15.96,16.52,174576,297035504.0,0
2020-02-03,14.84,14.84,14.84,14.84,74193,111883044.0,0
2020-02-04,14.18,16.35,14.18,16.35,248538,403200000.0,0
2020-02-05,16.86,17.21,16.26,16.51,273911,462962928.0,0
2020-02-06,16.56,18.19,16.55,17.76,353083,627509040.0,0
2020-02-07,18.0,18.16,16.86,17.09,273200,481147488.0,0
2020-02-10,17.15,17.45,16.76,17.17,152630,262660312.0,0
2020-02-11,17.21,17.55,16.76,17.36,183911,319363296.0,0
2020-02-12,17.21,17.41,16.97,17.25,132320,230640706.0,0
2020-02-13,17.25,17.46,17.01,17.18,137861,241027758.0,0
2020-02-14,17.15,17.36,17.01,17.13,82327,143457094.0,0
2020-02-17,17.26,17.61,17.13,17.55,175674,309559328.0,0
2020-02-18,17.66,18.79,17.61,18.67,275311,510825680.0,0
2020-02-19,18.44,20.21,18.3,19.48,244046,480196528.0,0
2020-02-20,19.64,19.81,18.96,19.56,157463,308775904.0,0
2020-02-21,19.6,19.75,19.26,19.52,102902,203669565.0,0
2020-02-24,19.5,20.0,19.28,19.45,123347,244101629.0,0
2020-02-25,19.06,19.57,18.86,19.4,128012,249635334.0,0
2020-02-26,19.87,21.01,19.76,19.97,223929,459945840.0,0
