datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,2.65,2.67,2.63,2.64,462065,122470142,0
2025-11-26 11:30:00,2.65,2.65,2.62,2.63,266724,70278128,0
2025-11-26 14:00:00,2.63,2.66,2.63,2.64,191854,50684557,0
2025-11-26 15:00:00,2.64,2.64,2.62,2.63,167512,44097743,0
2025-11-27 10:30:00,2.63,2.64,2.6,2.62,301280,78851492,0
2025-11-27 11:30:00,2.61,2.62,2.6,2.61,145971,38089412,0
2025-11-27 14:00:00,2.61,2.62,2.6,2.62,73698,19253622,0
2025-11-27 15:00:00,2.61,2.62,2.59,2.59,221238,57600503,0
2025-11-28 10:30:00,2.59,2.63,2.58,2.61,348488,90916629,0
2025-11-28 11:30:00,2.61,2.61,2.6,2.6,54031,14071797,0
2025-11-28 14:00:00,2.6,2.66,2.6,2.65,585931,154807325,0
2025-11-28 15:00:00,2.66,2.66,2.65,2.66,249253,66205163,0
2025-12-01 10:30:00,2.64,2.65,2.62,2.63,392393,103259767,0
2025-12-01 11:30:00,2.62,2.64,2.62,2.63,118222,31107277,0
2025-12-01 14:00:00,2.63,2.64,2.62,2.63,153458,40348185,0
2025-12-01 15:00:00,2.62,2.63,2.62,2.63,177995,46727909,0
2025-12-02 10:30:00,2.61,2.61,2.56,2.57,597396,154328970,0
2025-12-02 11:30:00,2.57,2.58,2.56,2.57,205231,52741668,0
2025-12-02 14:00:00,2.57,2.58,2.56,2.58,113747,29236279,0
2025-12-02 15:00:00,2.57,2.58,2.56,2.57,201771,51844778,0
2025-12-03 10:30:00,2.56,2.57,2.47,2.49,783438,197685371,0
2025-12-03 11:30:00,2.49,2.51,2.48,2.5,214622,53514177,0
2025-12-03 14:00:00,2.5,2.51,2.49,2.49,137766,34400527,0
2025-12-03 15:00:00,2.5,2.5,2.48,2.49,252877,62900269,0
2025-12-04 10:30:00,2.48,2.49,2.38,2.4,1111142,267972199,0
2025-12-04 11:30:00,2.41,2.42,2.4,2.41,224315,53992786,0
2025-12-04 14:00:00,2.41,2.41,2.39,2.39,149402,35872093,0
2025-12-04 15:00:00,2.4,2.41,2.39,2.39,304130,72879523,0
