datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,17.64,19.03,15.96,16.52,1864566,3388387138.0,0
2020-02-29,14.84,21.01,14.18,20.76,3725133,6835271874.0,0
2020-03-31,20.76,24.23,20.46,22.53,3369190,7603808965.0,0
2020-04-30,22.53,25.64,20.28,25.55,2268428,5286594434.0,0
2020-05-31,25.16,30.47,24.48,29.4,1914174,5262736278.0,0
2020-06-30,29.86,30.45,26.75,27.75,2236738,6334544819.0,0
2020-07-31,27.81,34.15,26.97,31.96,3643762,11016884514.0,0
2020-08-31,32.0,38.98,31.58,35.71,2123182,7482892531.0,0
2020-09-30,35.15,37.98,29.8,32.63,2082904,6906265739.0,0
2020-10-31,34.0,40.66,31.66,39.52,1734896,6401871199.0,0
2020-11-30,39.52,43.58,34.91,36.08,2106149,8391101918.0,0
2020-12-31,35.58,40.8,32.89,35.13,2620999,9679763231.0,0
2021-01-31,35.5,41.1,31.88,39.65,4196534,14905324128.0,0
2021-02-28,38.81,43.0,32.12,32.58,2779520,10555561824.0,0
2021-03-31,32.65,33.88,26.81,28.17,3215274,9654988376.0,0
2021-04-30,28.52,29.47,24.66,25.5,3541101,9467124255.0,0
2021-05-31,25.2,27.1,22.95,24.88,3866092,9593592592.0,0
2021-06-30,24.88,27.86,20.21,20.89,5077277,11981684960.0,0
2021-07-31,20.69,20.85,11.77,13.04,7652697,11702473037.0,0
2021-08-31,12.9,13.03,10.15,10.51,12986357,15159477840.0,0
2021-09-30,10.52,13.49,10.25,10.84,12926813,15227717889.0,0
2021-10-31,11.0,13.38,10.16,10.44,11302908,13154971831.0,0
2021-11-30,10.31,10.66,8.9,9.53,8465052,8108975161.0,0
2021-12-31,9.41,10.78,7.53,7.86,12758405,11551987429.0,0
2022-01-31,7.84,8.18,6.36,6.6,6591473,4914984111.0,0
2022-02-28,6.54,7.42,6.41,7.01,8663532,5960861595.0,0
2022-03-31,6.95,7.37,5.34,5.61,11405347,7057478668.0,0
2022-04-30,5.56,6.3,4.09,4.58,9231201,4913298038.0,0
2022-05-31,4.58,5.85,4.4,5.17,14882702,7555076708.0,0
2022-06-30,5.15,6.7,5.0,5.79,23924214,14286417488.0,0
2022-07-31,5.75,5.99,5.02,5.07,7397602,4014762375.35,0
2022-08-31,5.05,5.05,4.29,4.58,8601110,3985033435.65,0
2022-09-30,4.57,4.86,4.04,4.05,7385043,3304453920.26,0
2022-10-31,4.06,4.9,3.79,4.35,11562929,5171085971.190001,0
2022-11-30,4.39,5.68,4.24,4.95,29630186,14866452244.45,0
2022-12-31,5.01,6.26,4.62,4.63,34873743,18548610158.57,0
2023-01-31,4.62,6.29,4.53,6.14,43989577,23256727862.63,0
2023-02-28,6.11,6.38,5.5,5.71,28814985,17117569130.67,0
2023-03-31,5.67,5.83,4.72,4.9,25940247,13286287065.06,0
2023-04-30,4.88,5.2,4.27,4.92,28048227,13304965431.94,0
2023-05-31,4.86,5.88,4.54,5.02,57497379,29845004062.55,0
2023-06-30,4.98,5.31,4.62,4.7,39341146,19606833627.85,0
2023-07-31,4.69,5.14,4.37,4.58,30872509,14582278054.81,0
2023-08-31,4.56,4.6,4.15,4.27,16133876,7089413830.18,0
2023-09-30,4.28,4.56,3.64,3.75,17611603,7176125730.92,0
2023-10-31,3.74,4.23,3.65,3.95,25791978,10232401825.58,0
2023-11-30,3.94,5.02,3.89,4.88,34415660,15188581334.53,0
2023-12-31,4.85,5.1,3.86,4.08,29463946,13127025181.85,0
2024-01-31,4.08,4.34,3.48,3.53,27604668,10920792002.21,0
2024-02-29,3.47,3.71,2.59,3.49,35427215,11354640892.52,0
2024-03-31,3.5,3.52,2.88,2.95,52273094,16531895633.04,0
2024-04-30,2.94,3.06,2.44,2.66,32587682,8733457104.53,0
2024-05-31,2.7,2.84,2.35,2.35,29480995,7577279099.9,0
2024-06-30,2.35,2.38,1.49,1.53,65999661,11715085061.7,0
2024-07-31,1.53,1.74,1.34,1.66,69006332,10545504304.26,0
2024-08-31,1.65,2.67,1.61,1.88,145149351,30066277407.5,0
2024-09-30,1.87,2.75,1.78,2.75,108019707,23061618948.97,0
2024-10-31,3.03,3.33,2.58,3.28,126845264,38210383617.56,0
2024-11-30,3.5,3.88,2.98,3.17,117238452,39410321294.96,0
2024-12-31,3.16,4.54,3.14,3.4,167815079,65538491218.35,0
2025-01-31,3.4,3.55,2.96,3.25,56472941,18316108130.9,0
2025-02-28,3.27,4.09,3.26,3.42,82521300,30261067855.89,0
2025-03-31,3.41,3.59,3.12,3.17,40079952,13708176929.92,0
2025-04-30,3.17,3.24,2.65,3.01,33784642,10218318476.8,0
2025-05-31,3.03,3.17,2.87,2.88,25829193,7879682346.110001,0
2025-06-30,2.87,3.08,2.78,3.06,30811968,9084189258.94,0
2025-07-31,3.06,3.15,2.92,2.96,39258779,11959936403.04,0
2025-08-31,2.96,3.19,2.86,3.02,46117038,13911075716.8,0
2025-09-30,3.03,3.1,2.72,2.76,50186813,14826252693.12,0
2025-10-31,2.77,3.02,2.66,2.72,23496839,6538480977.52,0
2025-11-30,2.72,2.77,2.54,2.66,22474270,6039005395.71,0
2025-12-31,2.64,2.95,2.32,2.74,48323001,12862064078.4,0
2026-01-31,2.71,2.96,2.66,2.87,15939276,4445391028.71,0
