datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,17.64,18.41,17.58,18.16,268692,491935878.0,0
2020-01-10,18.24,19.03,17.46,18.86,600948,1104592599.0,0
2020-01-17,18.81,18.83,18.07,18.14,415226,772599419.0,0
2020-01-24,18.16,18.37,15.96,16.52,579700,1019259242.0,0
2020-02-07,14.84,18.19,14.18,17.09,1222925,2086702500.0,0
2020-02-14,17.15,17.55,16.76,17.13,689049,1197149166.0,0
2020-02-21,17.26,20.21,17.13,19.52,955396,1813027005.0,0
2020-02-28,19.5,21.01,18.86,20.76,857763,1738393203.0,0
2020-03-06,20.76,22.91,20.46,22.34,731985,1620752470.0,0
2020-03-13,22.07,22.93,20.76,22.3,879045,1958203854.0,0
2020-03-20,22.46,24.23,20.96,23.78,856812,1954311776.0,0
2020-03-27,23.42,24.23,21.66,22.84,662172,1536054080.0,0
2020-04-03,21.91,22.74,20.28,21.65,723832,1585676715.0,0
2020-04-10,21.81,23.78,21.67,22.98,449033,1018435673.0,0
2020-04-17,23.04,24.01,22.76,23.46,535292,1270262159.0,0
2020-04-24,23.32,24.56,23.06,23.79,398039,957711545.0,0
2020-05-01,24.07,25.64,23.31,25.55,401408,988995127.0,0
2020-05-08,25.16,26.48,24.48,25.88,334151,856147581.0,0
2020-05-15,26.24,29.01,25.95,28.01,565145,1565282094.0,0
2020-05-22,28.01,28.64,26.0,26.84,466662,1297473407.0,0
2020-05-29,26.8,30.47,26.05,29.4,548216,1543833196.0,0
2020-06-05,29.86,30.45,27.75,28.37,515248,1474915919.0,0
2020-06-12,28.7,29.3,26.75,28.87,545200,1515560788.0,0
2020-06-19,28.9,29.65,27.94,29.01,544337,1569787462.0,0
2020-06-26,29.12,29.34,27.68,27.87,407771,1153692432.0,0
2020-07-03,27.75,28.49,26.97,27.65,679811,1880568826.0,0
2020-07-10,27.65,30.28,27.1,29.71,1288569,3699297344.0,0
2020-07-17,30.0,33.0,29.65,31.95,915102,2865848976.0,0
2020-07-24,32.24,34.15,31.3,31.45,551381,1806574960.0,0
2020-07-31,31.55,33.44,30.86,31.96,433081,1385182626.0,0
2020-08-07,32.0,34.96,31.58,34.82,575472,1904145431.0,0
2020-08-14,34.5,38.98,34.23,36.6,657147,2404875104.0,0
