datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,27.13,29.82,26.57,29.82,197866,930274352.0,0
2020-01-03,30.28,31.71,29.47,30.57,231846,1142058176.0,0
2020-01-06,28.45,30.96,28.19,30.05,287825,1398850016.0,0
2020-01-07,29.95,32.01,29.64,31.39,213501,1063976928.0,0
2020-01-08,30.79,31.12,29.59,29.64,164374,810309632.0,0
2020-01-09,30.02,30.72,27.28,28.68,278593,1303408352.0,0
2020-01-10,28.35,28.76,27.47,28.22,214205,987806896.0,0
2020-01-13,28.25,28.89,27.83,28.65,215537,1002059232.0,0
2020-01-14,28.65,29.81,28.47,28.77,240103,1139525936.0,0
2020-01-15,28.43,29.12,27.75,28.05,167957,773790832.0,0
2020-01-16,28.12,28.43,27.05,27.71,193083,877358784.0,0
2020-01-17,27.95,28.33,27.19,27.43,164771,744460176.0,0
2020-01-20,27.39,28.77,26.86,28.21,228304,1047270816.0,0
2020-01-21,27.99,28.9,27.75,27.99,179429,828756176.0,0
2020-01-22,27.63,28.24,26.27,27.93,182162,820199408.0,0
2020-01-23,27.69,30.79,27.12,29.11,344489,1658516320.0,0
2020-02-03,27.45,31.51,27.45,28.1,336503,1611509712.0,0
2020-02-04,27.94,30.92,27.94,30.73,393366,1908046144.0,0
2020-02-05,30.05,32.23,29.83,30.79,351272,1766907664.0,0
2020-02-06,30.72,33.83,30.32,33.45,305339,1606323040.0,0
2020-02-07,32.57,36.05,32.57,34.71,268651,1498668256.0,0
2020-02-10,34.59,34.79,32.13,33.4,219362,1185413472.0,0
2020-02-11,33.19,33.38,31.08,32.08,220837,1142515008.0,0
2020-02-12,32.03,33.04,31.84,32.1,261091,1364462528.0,0
2020-02-13,32.06,32.19,30.19,30.82,326042,1636487136.0,0
2020-02-14,30.74,31.22,30.29,30.61,206367,1028846592.0,0
2020-02-17,30.93,31.78,30.45,31.28,222657,1127491664.0,0
2020-02-18,31.22,31.71,30.45,31.0,209090,1053280832.0,0
2020-02-19,30.79,31.24,29.13,29.13,319799,1556184608.0,0
2020-02-20,29.4,29.98,28.59,29.37,297641,1421866016.0,0
2020-02-21,29.45,31.45,29.42,30.79,321877,1610376208.0,0
2020-02-24,31.17,33.01,30.79,32.52,381700,1977743840.0,0
2020-02-25,31.72,32.45,29.86,31.45,331597,1678651360.0,0
2020-02-26,30.8,30.97,28.92,30.13,265932,1295879168.0,0
2020-02-27,30.12,33.27,30.12,32.41,335756,1734039280.0,0
2020-02-28,30.79,33.22,30.79,31.49,283378,1464336400.0,0
2020-03-02,32.45,32.9,29.45,31.76,294002,1493839504.0,0
2020-03-03,31.92,32.36,29.53,30.72,296619,1490926464.0,0
2020-03-04,29.99,30.12,28.6,29.26,250354,1194999696.0,0
2020-03-05,29.45,30.13,28.97,29.35,140955,677017664.0,0
2020-03-06,29.01,30.18,28.48,29.45,147676,708767360.0,0
2020-03-09,28.83,29.05,27.02,27.23,195098,887034528.0,0
2020-03-10,26.79,28.21,26.65,27.72,165538,744386336.0,0
2020-03-11,27.83,28.45,26.8,26.91,117593,528328736.0,0
2020-03-12,26.46,27.08,25.57,26.34,161905,699170464.0,0
2020-03-13,24.54,26.11,24.39,25.67,141707,591734448.0,0
2020-03-16,25.85,27.28,25.29,25.68,249554,1083101888.0,0
2020-03-17,26.59,26.91,23.92,26.32,219573,930802688.0,0
2020-03-18,26.35,28.45,26.35,26.87,187369,838784080.0,0
2020-03-19,26.79,28.49,26.53,28.2,220699,1006677264.0,0
2020-03-20,28.39,29.84,28.39,29.45,215627,1031373712.0,0
2020-03-23,28.59,30.11,28.45,29.09,145470,693236448.0,0
2020-03-24,29.66,29.67,27.34,28.6,175949,818073040.0,0
2020-03-25,29.39,31.59,29.39,31.32,219611,1089406816.0,0
2020-03-26,30.94,32.72,30.79,31.15,200260,1033798064.0,0
2020-03-27,31.49,31.61,30.12,30.59,123222,614867776.0,0
2020-03-30,29.49,29.98,27.89,28.95,153091,718667216.0,0
2020-03-31,29.36,30.02,28.72,29.15,103581,495503104.0,0
2020-04-01,29.21,30.55,28.39,29.24,108273,522717504.0,0
2020-04-02,29.13,29.97,28.47,29.79,96285,459219840.0,0
2020-04-03,29.79,30.44,29.23,29.69,74343,360737136.0,0
2020-04-07,30.31,30.81,29.79,30.24,136407,668966816.0,0
2020-04-08,29.84,30.66,29.54,29.72,80570,393368912.0,0
2020-04-09,29.99,30.37,29.13,30.05,79535,384690272.0,0
2020-04-10,30.05,30.31,29.23,29.49,66591,321143200.0,0
2020-04-13,29.29,29.75,27.92,28.33,83781,388825280.0,0
2020-04-14,28.59,30.39,28.49,30.26,130244,629561120.0,0
2020-04-15,30.46,31.42,30.25,30.66,116846,586970320.0,0
2020-04-16,30.4,31.99,30.4,31.47,109641,556501216.0,0
2020-04-17,31.33,32.12,30.62,30.92,84568,427318960.0,0
2020-04-20,30.72,30.99,30.24,30.45,68546,340181824.0,0
2020-04-21,30.52,31.09,30.01,30.73,67898,337777792.0,0
2020-04-22,30.43,31.32,29.93,31.19,83692,416229152.0,0
2020-04-23,31.41,31.41,29.17,29.45,154899,751431616.0,0
2020-04-24,29.59,29.77,28.13,28.53,154490,727268416.0,0
2020-04-27,28.62,28.83,27.89,27.97,82770,381859616.0,0
2020-04-28,27.99,28.65,27.25,28.45,94257,434435008.0,0
2020-04-29,28.21,29.41,28.21,28.73,67451,317685696.0,0
2020-04-30,28.81,29.3,27.79,28.98,128645,601870416.0,0
2020-05-06,28.59,28.59,27.6,27.89,244572,1117938320.0,0
2020-05-07,27.81,28.77,27.68,28.25,197224,913486208.0,0
2020-05-08,28.33,28.71,27.59,27.83,185633,849764656.0,0
2020-05-11,28.11,28.32,27.38,27.45,157896,716003072.0,0
2020-05-12,27.58,27.77,27.24,27.52,124268,560634752.0,0
2020-05-13,27.45,27.65,26.79,27.25,196204,874489616.0,0
2020-05-14,27.4,28.87,27.39,27.92,328411,1513464016.0,0
2020-05-15,27.93,28.02,27.17,27.45,207564,937165328.0,0
2020-05-18,27.19,27.37,26.39,27.09,143191,634451312.0,0
2020-05-19,27.23,27.74,27.12,27.45,152227,685217696.0,0
2020-05-20,27.5,27.58,26.85,26.96,104994,469135840.0,0
2020-05-21,26.92,27.1,26.44,26.64,118129,518152912.0,0
2020-05-22,26.53,26.9,25.83,25.98,98215,426515072.0,0
2020-05-25,25.92,26.01,24.89,25.39,134906,565218048.0,0
2020-05-26,25.75,26.05,25.39,25.89,130657,556743120.0,0
2020-05-27,26.05,26.73,25.71,25.89,122281,528578816.0,0
2020-05-28,25.73,26.24,25.21,26.03,108020,457957472.0,0
2020-05-29,25.92,27.07,25.81,26.75,115860,508101952.0,0
2020-06-01,27.05,27.75,26.59,27.51,157314,707029936.0,0
2020-06-02,28.01,28.01,27.27,27.39,138735,627057360.0,0
2020-06-03,27.49,27.65,27.2,27.52,117276,527844624.0,0
2020-06-04,27.45,28.19,27.22,27.45,106898,484743936.0,0
2020-06-05,27.45,28.71,27.32,28.66,166135,764123936.0,0
2020-06-08,28.65,28.65,28.03,28.09,113335,523703584.0,0
2020-06-09,28.17,29.09,27.97,28.83,127052,596076096.0,0
2020-06-10,28.89,29.28,28.55,29.23,129809,614228768.0,0
2020-06-11,29.31,31.19,28.99,30.34,233743,1156036496.0,0
2020-06-12,29.67,31.76,29.52,31.05,229326,1147726576.0,0
2020-06-15,31.61,33.35,31.2,31.43,286604,1495127104.0,0
2020-06-16,32.19,32.45,30.99,31.63,207513,1063630288.0,0
2020-06-17,31.71,32.39,30.53,30.94,225697,1142720928.0,0
2020-06-18,31.12,31.91,30.32,30.53,219076,1094969648.0,0
2020-06-19,30.81,32.53,30.59,31.72,207105,1067919168.0,0
2020-06-22,31.79,32.32,31.45,31.7,184560,949362112.0,0
2020-06-23,32.1,35.11,31.79,34.05,292240,1583167248.0,0
2020-06-24,34.32,35.35,33.91,34.85,199905,1115514032.0,0
2020-06-29,34.59,35.24,33.98,34.43,143872,800815392.0,0
2020-06-30,34.79,36.56,34.13,35.88,193421,1104028768.0,0
2020-07-01,36.19,36.37,33.89,35.24,190136,1074802928.0,0
2020-07-02,35.24,35.87,33.93,34.28,256360,1430705792.0,0
2020-07-03,34.29,34.65,32.79,34.05,188695,1030883264.0,0
2020-07-06,33.79,34.78,33.33,34.47,312231,1716056128.0,0
2020-07-07,34.14,36.88,33.67,35.26,297836,1693007504.0,0
2020-07-08,35.38,36.12,34.59,35.97,210825,1199912368.0,0
2020-07-09,35.66,38.65,35.45,37.51,258123,1549314496.0,0
2020-07-10,37.25,37.99,36.96,37.44,153578,921473008.0,0
2020-07-13,38.04,38.33,37.04,38.03,144621,874517184.0,0
2020-07-14,37.45,40.0,37.25,38.52,211411,1299517024.0,0
2020-07-15,38.55,39.39,36.79,37.69,234971,1434198400.0,0
2020-07-16,37.84,39.53,35.45,35.71,208928,1258443536.0,0
2020-07-17,36.25,38.61,35.71,37.95,208332,1249436128.0,0
2020-07-20,38.57,39.57,37.19,38.97,190003,1161832896.0,0
2020-07-21,38.98,40.59,38.12,39.75,264644,1100248368.0,0
2020-07-22,39.71,40.77,38.71,40.51,236899,1007288992.0,0
2020-07-23,39.87,40.71,38.64,39.57,260259,1091552208.0,0
2020-07-24,38.91,39.45,35.37,35.38,449505,1765178544.0,0
2020-07-27,35.38,36.1,33.61,34.6,242021,902389376.0,0
2020-07-28,35.29,35.76,34.59,34.99,219989,824548768.0,0
2020-07-29,35.27,36.93,34.99,36.93,263725,1019480448.0,0
2020-07-30,37.49,37.49,35.61,35.85,215183,827493424.0,0
2020-07-31,35.92,36.72,35.41,35.99,211138,811720336.0,0
2020-08-03,36.58,36.76,34.63,35.8,305859,1155949216.0,0
2020-08-04,35.74,36.11,34.94,35.01,240947,909945136.0,0
2020-08-05,34.97,35.46,34.63,35.17,233904,876894448.0,0
2020-08-06,34.97,34.97,33.88,34.29,276085,1013054704.0,0
2020-08-07,34.44,34.86,32.64,33.47,233593,840330000.0,0
2020-08-10,33.8,34.11,32.71,33.89,244707,876631232.0,0
2020-08-11,33.89,34.06,33.01,33.07,163670,588462320.0,0
2020-08-12,33.26,33.31,31.69,32.56,188091,654419472.0,0
2020-08-13,32.93,33.29,32.41,32.92,139108,490714496.0,0
2020-08-14,32.92,33.98,32.61,33.54,166885,596817888.0,0
2020-08-17,33.71,33.85,33.21,33.77,173386,623823104.0,0
2020-08-18,33.69,34.3,33.34,34.15,166004,601975168.0,0
2020-08-19,34.14,34.15,32.84,32.86,171581,611592896.0,0
2020-08-20,32.76,33.26,32.19,32.92,116522,410096128.0,0
2020-08-21,33.29,35.29,33.29,34.41,281110,1037590080.0,0
2020-08-24,34.54,35.3,33.99,35.05,227851,850097056.0,0
2020-08-25,35.07,35.36,34.57,34.94,154552,577444912.0,0
2020-08-26,35.01,35.29,34.71,35.01,147944,553191248.0,0
2020-08-27,34.88,35.12,33.91,34.53,174540,644471408.0,0
2020-08-28,34.42,35.61,34.12,35.43,253465,950146048.0,0
2020-08-31,35.46,36.43,34.2,34.22,292231,1091755392.0,0
2020-09-01,33.97,34.14,33.01,33.92,194779,701978432.0,0
2020-09-02,34.11,35.05,33.97,34.58,187755,695043664.0,0
2020-09-03,34.91,35.16,34.4,34.61,159243,591896336.0,0
2020-09-04,33.91,34.61,33.13,33.59,221215,796042864.0,0
2020-09-07,33.61,33.65,31.71,31.89,224747,786294272.0,0
2020-09-08,32.16,32.41,31.43,32.01,170976,587284528.0,0
2020-09-09,31.5,31.76,30.61,30.99,168139,565055168.0,0
2020-09-10,31.49,31.85,30.21,30.58,169057,564125120.0,0
2020-09-11,30.58,31.42,30.36,31.23,136608,453993776.0,0
2020-09-14,31.41,31.53,30.71,30.94,136551,457255312.0,0
2020-09-15,30.94,31.78,30.94,31.21,146072,491287408.0,0
2020-09-16,31.16,31.53,30.46,30.64,147142,486418128.0,0
2020-09-17,30.96,30.96,29.54,30.39,209535,679918896.0,0
2020-09-18,30.08,30.61,29.71,30.61,183512,599059952.0,0
2020-09-21,30.52,30.6,29.74,29.79,203249,656788512.0,0
2020-09-22,30.11,30.76,29.69,30.1,233004,760474352.0,0
2020-09-23,29.83,31.44,29.83,31.21,204188,680409312.0,0
2020-09-24,31.03,33.01,30.94,31.61,317672,1093430352.0,0
2020-09-25,31.56,32.08,31.18,31.25,159152,541587840.0,0
2020-09-28,31.35,31.52,30.62,30.82,105193,351234128.0,0
2020-09-29,30.82,31.08,30.41,30.87,126910,421688512.0,0
2020-09-30,31.26,31.91,30.79,30.91,130861,440725008.0,0
2020-10-09,31.49,32.47,31.19,32.31,163493,563126048.0,0
2020-10-12,32.35,32.42,29.01,30.4,577090,1876568960.0,0
2020-10-13,30.04,30.2,29.04,30.16,356084,1140795952.0,0
2020-10-14,29.74,30.35,29.07,29.07,315669,1006048416.0,0
2020-10-15,29.11,29.37,28.63,29.24,227069,715155536.0,0
2020-10-16,29.08,29.41,28.62,28.76,181962,569507472.0,0
2020-10-19,28.64,28.66,27.58,27.61,243268,735126848.0,0
2020-10-20,27.49,27.95,27.01,27.92,126922,381111872.0,0
2020-10-21,27.75,28.01,27.16,27.25,168738,503790208.0,0
2020-10-22,27.25,27.36,26.11,26.86,170394,497708656.0,0
2020-10-23,27.12,27.21,25.31,25.36,214952,609685040.0,0
2020-10-26,25.16,26.27,24.91,25.78,165194,463417968.0,0
2020-10-27,25.56,26.49,25.53,26.2,176181,503081152.0,0
2020-10-28,26.27,27.09,26.01,26.71,202849,589642352.0,0
2020-10-29,26.39,26.64,25.93,26.35,146639,420492784.0,0
2020-10-30,26.9,27.0,25.41,25.68,183349,521840544.0,0
