datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,27.13,32.01,26.27,29.11,3504045,16528622032.0,0
2020-02-29,27.45,36.05,27.45,31.49,5858257,29669028928.0,0
2020-03-31,32.45,32.9,23.92,29.15,4125453,19370497296.0,0
2020-04-30,29.21,32.12,27.25,28.98,2069732,10008760112.0,0
2020-05-31,28.59,28.87,24.89,26.75,2870252,12833018208.0,0
2020-06-30,27.05,36.56,26.59,35.88,3679616,18565826000.0,0
2020-07-31,36.19,40.77,32.79,35.99,5429413,27244001120.0,0
2020-08-31,36.58,36.76,31.69,34.22,4352035,15955402352.0,0
2020-09-30,33.97,35.16,29.54,30.91,3935560,13401991872.0,0
2020-10-31,31.49,32.47,24.91,25.68,3619853,11097099808.0,0
2020-11-30,25.66,28.02,22.25,24.56,5473048,14868710272.0,0
2020-12-31,24.66,27.6,23.26,27.11,6988934,19486882800.0,0
2021-01-31,27.1,29.15,22.79,24.89,12135829,33715940496.0,0
2021-02-28,23.81,25.5,19.9,21.21,6387459,15775325824.0,0
2021-03-31,21.22,23.77,16.66,17.39,7608915,16488669344.0,0
2021-04-30,17.43,20.41,17.12,18.92,5386892,11419668944.0,0
2021-05-31,18.87,20.68,17.53,19.07,4358223,9405941152.0,0
2021-06-30,18.94,23.25,17.59,21.68,8529324,19356384208.0,0
2021-07-31,21.65,22.05,12.84,13.68,9861070,19038580112.0,0
2021-08-31,13.62,14.19,10.78,11.19,8301928,12304617600.0,0
2021-09-30,11.49,15.69,11.42,12.85,8801041,14060697687.0,0
2021-10-31,13.05,15.54,12.17,15.15,5130954,8050759291.0,0
2021-11-30,15.23,19.46,14.52,16.61,13379817,25761184480.0,0
2021-12-31,16.34,21.44,16.22,18.08,12174371,25072017888.0,0
2022-01-31,18.07,18.97,10.97,11.38,10464630,17847341712.0,0
2022-02-28,11.65,12.04,10.71,10.97,5690022,7808246912.0,0
2022-03-31,10.98,11.5,8.82,10.63,8470913,10771987725.0,0
2022-04-30,10.47,13.57,9.39,12.54,12965745,17101662608.0,0
2022-05-31,12.25,13.02,11.38,12.56,12354058,17484462352.0,0
2022-06-30,12.41,13.91,11.97,13.34,16440489,23040799056.0,0
2022-07-31,13.37,14.35,12.1,13.86,11493094,16378192576.04,0
2022-08-31,13.68,15.25,12.93,13.77,14228700,21514614864.42,0
2022-09-30,13.73,13.89,11.35,11.39,5453487,7489241174.58,0
2022-10-31,11.43,11.81,9.97,10.36,4282514,5184059864.15,0
2022-11-30,10.45,13.9,10.27,12.56,11883108,15729478550.33,0
2022-12-31,12.83,13.58,11.27,11.69,7349848,9736867497.55,0
2023-01-31,11.7,13.47,11.58,13.0,6012102,8255170153.26,0
2023-02-28,13.0,14.26,12.82,13.21,9623571,14080639916.33,0
2023-03-31,13.13,16.43,12.71,15.99,13000467,20260720763.69,0
2023-04-30,15.87,21.83,15.76,20.89,24319127,48798714844.67,0
2023-05-31,20.97,22.47,16.01,17.69,15912793,30542893198.01,0
2023-06-30,17.49,20.22,15.29,16.21,16781252,31045167456.29,0
2023-07-31,16.13,16.17,13.57,14.33,9273771,14213903868.02,0
2023-08-31,14.29,14.85,12.24,13.15,7747664,11052589595.54,0
2023-09-30,13.15,13.52,11.84,12.52,5757584,7695108402.66,0
2023-10-31,12.53,12.79,10.87,11.32,3862158,4787290990.03,0
2023-11-30,11.27,13.41,11.23,11.93,9353447,12299319313.77,0
2023-12-31,11.95,13.6,10.17,11.16,10554450,13445091809.04,0
2024-01-31,11.37,11.68,8.84,8.88,8005439,8730440633.93,0
2024-02-29,8.85,11.53,7.83,11.04,9108424,9622459019.27,0
2024-03-31,11.04,12.04,9.52,9.85,14172444,16494076650.89,0
2024-04-30,10.12,10.9,8.87,9.32,8838825,9177707276.08,0
2024-05-31,9.47,9.57,8.52,8.56,5401996,5296165468.47,0
2024-06-30,8.56,8.67,7.01,7.37,4898705,4021695080.63,0
2024-07-31,7.4,7.66,6.56,7.61,5894710,4390623093.45,0
2024-08-31,7.68,8.06,6.73,7.37,6405866,4944459390.96,0
2024-09-30,7.33,9.4,6.89,9.37,6785865,5542808829.85,0
2024-10-31,10.33,10.4,8.18,9.79,13374727,12861465284.1,0
2024-11-30,9.75,13.77,9.45,12.69,18735307,22673791467.64,0
2024-12-31,12.63,13.4,10.1,10.1,12535783,15184629289.52,0
2025-01-31,10.1,10.46,8.96,10.22,6332663,6288486727.190001,0
2025-02-28,10.38,12.05,10.23,10.72,7607849,8687331865.15,0
2025-03-31,10.8,11.96,10.62,11.24,6236229,7188094141.59,0
2025-04-30,11.25,13.47,9.97,13.36,6670927,8037717619.98,0
2025-05-31,13.38,13.7,12.27,13.21,5785195,7634709979.38,0
2025-06-30,13.18,16.23,13.18,15.17,11470459,17137634926.94,0
2025-07-31,15.18,15.69,13.86,14.55,11615646,17121091067.35,0
2025-08-31,14.55,16.84,14.06,16.66,13953608,21837743350.56,0
2025-09-30,16.7,20.35,14.74,19.16,14409495,25707457300.9,0
2025-10-31,19.07,19.17,16.5,17.13,5557501,9659293215.380001,0
2025-11-30,17.4,17.96,14.04,14.17,7526631,11903817849.69,0
2025-12-31,14.23,16.99,13.89,16.39,8375838,12845287404.04,0
2026-01-31,16.55,17.65,16.49,17.55,2185542,3701456673.1,0
