datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,27.13,31.71,26.57,30.57,429712,2072332528.0,0
2020-01-10,28.45,32.01,27.28,28.22,1158498,5564351824.0,0
2020-01-17,28.25,29.81,27.05,27.43,981451,4537194960.0,0
2020-01-24,27.39,30.79,26.27,29.11,934384,4354742720.0,0
2020-02-07,27.45,36.05,27.45,34.71,1655131,8391454816.0,0
2020-02-14,34.59,34.79,30.19,30.61,1233699,6357724736.0,0
2020-02-21,30.93,31.78,28.59,30.79,1371064,6769199328.0,0
2020-02-28,31.17,33.27,28.92,31.49,1598363,8150650048.0,0
2020-03-06,32.45,32.9,28.48,29.45,1129606,5565550688.0,0
2020-03-13,28.83,29.05,24.39,25.67,781841,3450654512.0,0
2020-03-20,25.85,29.84,23.92,29.45,1092822,4890739632.0,0
2020-03-27,28.59,32.72,27.34,30.59,864512,4249382144.0,0
2020-04-03,29.49,30.55,27.89,29.69,535573,2556844800.0,0
2020-04-10,30.31,30.81,29.13,29.49,363103,1768169200.0,0
2020-04-17,29.29,32.12,27.92,30.92,525080,2589176896.0,0
2020-04-24,30.72,31.41,28.13,28.53,529525,2572888800.0,0
2020-05-01,28.62,29.41,27.25,28.98,373123,1735850736.0,0
2020-05-08,28.59,28.77,27.59,27.83,627429,2881189184.0,0
2020-05-15,28.11,28.87,26.79,27.45,1014343,4601756784.0,0
2020-05-22,27.19,27.74,25.83,25.98,616756,2733472832.0,0
2020-05-29,25.92,27.07,24.89,26.75,611724,2616599408.0,0
2020-06-05,27.05,28.71,26.59,28.66,686358,3110799792.0,0
2020-06-12,28.65,31.76,27.97,31.05,833265,4037771520.0,0
2020-06-19,31.61,33.35,30.32,31.72,1145995,5864367136.0,0
2020-06-26,31.79,35.35,31.45,34.85,676705,3648043392.0,0
2020-07-03,34.59,36.56,32.79,34.05,972484,5441236144.0,0
2020-07-10,33.79,38.65,33.33,37.44,1232593,7079763504.0,0
2020-07-17,38.04,40.0,35.45,37.95,1008263,6116112272.0,0
2020-07-24,38.57,40.77,35.37,35.38,1401310,6126101008.0,0
2020-07-31,35.38,37.49,33.61,35.99,1152056,4385632352.0,0
2020-08-07,36.58,36.76,32.64,33.47,1290388,4796173504.0,0
2020-08-14,33.8,34.11,31.69,33.54,902461,3207045408.0,0
2020-08-21,33.71,35.29,32.19,34.41,908603,3285077376.0,0
2020-08-28,34.54,35.61,33.91,35.43,958352,3575350672.0,0
