datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,6.28,6.4,6.2,6.35,82567,52145592.0,0
2020-01-03,6.4,6.81,6.32,6.48,189760,124676037.0,0
2020-01-06,6.41,6.5,6.33,6.46,57995,37204762.0,0
2020-01-07,6.41,6.55,6.41,6.54,41486,26985809.0,0
2020-01-08,6.52,6.69,6.5,6.55,55162,36284531.0,0
2020-01-09,6.51,6.63,6.51,6.57,38702,25480878.0,0
2020-01-10,6.62,6.62,6.39,6.51,55509,35873695.0,0
2020-01-13,6.5,6.77,6.44,6.62,59482,39312008.0,0
2020-01-14,6.66,6.66,6.55,6.59,33690,22195077.0,0
2020-01-15,6.55,6.63,6.53,6.59,28385,18687270.0,0
2020-01-16,6.58,6.77,6.57,6.66,40021,26785886.0,0
2020-01-17,6.64,6.69,6.57,6.6,35227,23280770.0,0
2020-01-20,6.6,6.67,6.51,6.6,31618,20758694.0,0
2020-01-21,6.63,6.63,6.47,6.52,34545,22543961.0,0
2020-01-22,6.49,6.51,6.4,6.44,34548,22257589.0,0
2020-01-23,6.44,6.74,6.28,6.31,51673,33625174.0,0
2020-02-03,5.68,5.68,5.68,5.68,26436,15015648.0,0
2020-02-04,5.4,6.05,5.4,5.93,99506,56813321.0,0
2020-02-05,5.85,6.16,5.79,6.07,84510,50783123.0,0
2020-02-06,6.09,6.65,6.01,6.53,153923,98960267.0,0
2020-02-07,6.66,6.75,6.38,6.46,114784,75290745.0,0
2020-02-10,6.52,6.55,6.2,6.33,77292,48899806.0,0
2020-02-11,6.36,6.46,6.28,6.33,42560,27015602.0,0
2020-02-12,6.36,6.67,6.32,6.67,152671,100007454.0,0
2020-02-13,6.63,6.73,6.38,6.45,89622,58353149.0,0
2020-02-14,6.44,6.56,6.3,6.34,62450,39912032.0,0
2020-02-17,6.38,6.6,6.08,6.4,147919,95198899.0,0
2020-02-18,6.37,6.86,6.24,6.66,165071,107738065.0,0
2020-02-19,6.71,6.95,6.64,6.78,242450,164316359.0,0
2020-02-20,6.8,6.81,6.63,6.75,134561,90597456.0,0
2020-02-21,6.75,6.79,6.66,6.72,109842,73792691.0,0
2020-02-24,6.75,6.78,6.63,6.66,91704,61159788.0,0
2020-02-25,6.63,6.63,6.26,6.34,140339,89851936.0,0
2020-02-26,6.38,6.69,6.25,6.54,292625,191280119.0,0
2020-02-27,6.6,7.19,6.55,7.11,533498,373757312.0,0
2020-02-28,6.8,6.89,6.5,6.7,325432,219649751.0,0
2020-03-02,6.7,7.04,6.57,6.82,252065,171235494.0,0
2020-03-03,6.9,6.93,6.7,6.77,224932,153277639.0,0
2020-03-04,6.68,6.84,6.58,6.75,170008,113976220.0,0
2020-03-05,6.75,6.8,6.65,6.72,139579,93681220.0,0
2020-03-06,6.64,6.75,6.61,6.68,119526,79783294.0,0
2020-03-09,6.56,6.65,6.3,6.3,132815,85688703.0,0
2020-03-10,6.15,6.34,6.11,6.26,121416,75456004.0,0
2020-03-11,6.27,6.36,6.23,6.23,106120,66685569.0,0
2020-03-12,6.14,6.24,6.09,6.13,68627,42331840.0,0
2020-03-13,5.83,6.0,5.76,5.95,86693,50959916.0,0
2020-03-16,5.98,6.02,5.56,5.62,68627,40148645.0,0
2020-03-17,5.62,5.71,5.43,5.68,54233,30251706.0,0
2020-03-18,5.69,5.73,5.5,5.5,48100,27154104.0,0
2020-03-19,5.51,5.58,5.4,5.47,69407,37982018.0,0
2020-03-20,5.55,5.66,5.49,5.59,76005,42308400.0,0
2020-03-23,5.46,5.53,5.32,5.45,60685,32956458.0,0
2020-03-24,5.49,5.62,5.38,5.5,53038,29111524.0,0
2020-03-25,5.57,5.63,5.51,5.59,55537,30994759.0,0
2020-03-26,5.55,5.63,5.5,5.54,58681,32567882.0,0
2020-03-27,5.6,5.6,5.47,5.49,55686,30798222.0,0
2020-03-30,5.45,5.48,5.25,5.34,46101,24547894.0,0
2020-03-31,5.38,5.38,5.29,5.32,27529,14657158.0,0
2020-04-01,5.32,5.32,5.21,5.22,39410,20716730.0,0
2020-04-02,5.16,5.27,5.13,5.26,36470,18937621.0,0
2020-04-03,5.26,5.27,5.15,5.19,38323,19955411.0,0
2020-04-07,5.28,5.37,5.25,5.37,49994,26584820.0,0
2020-04-08,5.36,5.43,5.32,5.39,41118,22145532.0,0
2020-04-09,5.43,5.51,5.4,5.47,41624,22759090.0,0
2020-04-10,5.46,5.48,5.24,5.27,49144,26318960.0,0
2020-04-13,5.27,5.27,5.18,5.24,34685,18113132.0,0
2020-04-14,5.25,5.31,5.19,5.28,50078,26286212.0,0
2020-04-15,5.28,5.29,5.17,5.18,42238,22020711.0,0
2020-04-16,5.19,5.28,5.13,5.18,48774,25432118.0,0
2020-04-17,5.22,5.25,5.17,5.18,29875,15571053.0,0
2020-04-20,5.19,5.23,5.18,5.2,27237,14158871.0,0
2020-04-21,5.2,5.2,5.11,5.13,36415,18693593.0,0
2020-04-22,5.13,5.28,5.08,5.27,51198,26529021.0,0
2020-04-23,5.29,5.32,5.21,5.25,49631,26138673.0,0
2020-04-24,5.21,5.27,5.15,5.16,32485,16867818.0,0
2020-04-27,5.18,5.47,5.18,5.45,136918,73488389.0,0
2020-04-28,5.44,5.48,5.27,5.33,83695,44708093.0,0
2020-04-29,5.32,5.48,5.22,5.48,71515,38213724.0,0
2020-04-30,5.42,5.46,5.37,5.43,59930,32469920.0,0
2020-05-06,5.43,5.44,5.36,5.38,54497,29378514.0,0
2020-05-07,5.37,5.42,5.29,5.35,44095,23576448.0,0
2020-05-08,5.34,5.62,5.34,5.49,103429,56799357.0,0
2020-05-11,5.51,5.53,5.43,5.45,35493,19426770.0,0
2020-05-12,5.45,5.45,5.36,5.4,30099,16261149.0,0
2020-05-13,5.4,5.52,5.37,5.48,41803,22870581.0,0
2020-05-14,5.47,5.68,5.43,5.59,62387,34632730.0,0
2020-05-15,5.59,5.94,5.57,5.86,101888,59146193.0,0
2020-05-18,5.78,5.86,5.73,5.78,47751,27682870.0,0
2020-05-19,5.78,5.85,5.76,5.83,28936,16810482.0,0
2020-05-20,5.83,6.07,5.78,5.85,63717,37776322.0,0
2020-05-21,5.84,6.05,5.75,5.84,57974,34184436.0,0
2020-05-22,5.84,5.86,5.69,5.78,58220,33565999.0,0
2020-05-25,5.8,5.96,5.73,5.93,38224,22513222.0,0
2020-05-26,5.98,6.04,5.9,5.94,33495,19914706.0,0
2020-05-27,5.92,6.02,5.88,5.91,28469,16969998.0,0
2020-05-28,5.93,5.98,5.83,5.85,27530,16208820.0,0
2020-05-29,5.81,5.85,5.69,5.69,52428,30129297.0,0
2020-06-01,5.7,5.8,5.69,5.8,41972,24173273.0,0
2020-06-02,5.82,5.85,5.77,5.84,36066,20958726.0,0
