datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,6.28,6.81,6.2,6.31,870370,568097733.0,0
2020-02-29,5.68,7.19,5.4,6.7,3087195,2038393523.0,0
2020-03-31,6.7,7.04,5.25,5.32,2095410,1306554669.0,0
2020-04-30,5.32,5.51,5.08,5.43,1050757,556109492.0,0
2020-05-31,5.43,6.07,5.29,5.69,910435,517847894.0,0
2020-06-30,5.7,6.06,5.43,5.54,752824,434663919.0,0
2020-07-31,5.56,6.99,5.38,5.88,3014255,1871552151.0,0
2020-08-31,5.95,8.0,5.89,7.78,4080940,2867048544.0,0
2020-09-30,7.85,8.08,5.76,5.86,3337087,2222851528.0,0
2020-10-31,5.91,6.37,5.55,5.97,1286073,763757566.0,0
2020-11-30,6.0,6.8,5.72,6.51,2009946,1278633817.0,0
2020-12-31,6.57,7.2,4.81,4.88,3399649,2049702284.0,0
2021-01-31,4.88,4.93,3.76,3.83,2178628,931112327.0,0
2021-02-28,3.79,4.43,3.66,4.22,1360804,554712640.0,0
2021-03-31,4.19,4.35,3.85,3.87,2127281,876811661.0,0
2021-04-30,3.88,4.58,3.84,4.06,3315153,1415027365.0,0
2021-05-31,4.07,4.19,3.87,3.94,1489403,596605353.0,0
2021-06-30,3.98,4.02,3.65,3.68,1526213,589093664.0,0
2021-07-31,3.68,3.8,3.03,3.18,1633720,570065679.0,0
2021-08-31,3.16,3.74,3.14,3.66,1956151,672539417.0,0
2021-09-30,3.67,3.87,3.35,3.45,2060062,755378900.0,0
2021-10-31,3.44,4.19,3.3,3.47,3085382,1138070713.0,0
2021-11-30,3.46,3.52,3.33,3.42,1326472,452837608.0,0
2021-12-31,3.41,4.25,3.38,4.02,3732846,1432072047.0,0
2022-01-31,4.02,4.29,3.65,3.82,2540283,1015834714.0,0
2022-02-28,3.79,5.21,3.56,4.55,8720027,3951870824.0,0
2022-03-31,4.53,4.94,3.95,4.06,5152126,2263579112.0,0
2022-04-30,4.04,4.95,3.26,3.7,5952432,2550747517.0,0
2022-05-31,3.7,5.06,3.48,4.62,4187411,1703349965.0,0
2022-06-30,4.27,4.91,4.06,4.41,7485523,3276575155.0,0
2022-07-31,4.36,4.39,4.08,4.21,1727781,731861916.97,0
2022-08-31,4.24,4.26,3.87,4.04,1875824,760639390.18,0
2022-09-30,4.05,4.16,3.66,3.68,1735381,684763350.1,0
2022-10-31,3.7,5.54,3.5,3.95,10382110,4662237983.36,0
2022-11-30,3.97,5.28,3.9,4.98,7982144,3629208224.37,0
2022-12-31,4.91,5.28,4.28,4.55,8671941,4198985022.12,0
2023-01-31,4.5,5.4,4.5,5.14,5523323,2751434053.66,0
2023-02-28,5.17,5.55,4.71,4.96,7504759,3860217606.94,0
2023-03-31,4.95,5.1,4.58,4.82,3040256,1468220406.97,0
2023-04-30,4.8,4.81,4.16,4.46,2427203,1096885884.06,0
2023-05-31,4.49,5.53,4.4,5.02,6708882,3311339833.57,0
2023-06-30,5.02,5.69,4.65,4.78,4986377,2590394261.0,0
2023-07-31,4.78,4.87,4.54,4.85,2994513,1401011882.95,0
2023-08-31,4.99,5.1,4.27,4.43,2659775,1232884116.87,0
2023-09-30,4.4,4.52,4.17,4.34,1586570,687315339.1800001,0
2023-10-31,4.3,4.43,4.01,4.33,1624328,692185151.39,0
2023-11-30,4.32,4.67,4.3,4.49,2945854,1325163910.14,0
2023-12-31,4.49,5.2,4.12,4.33,6687283,3187744065.63,0
2024-01-31,4.36,4.85,3.66,3.69,4696640,2090052611.73,0
2024-02-29,3.66,4.27,2.73,4.01,4867629,1752592509.57,0
2024-03-31,3.97,4.71,3.77,4.19,5724649,2458427514.2,0
2024-04-30,4.19,4.26,3.23,3.91,2877767,1070731786.86,0
2024-05-31,3.94,4.12,3.65,3.73,1584469,621379703.98,0
2024-06-30,3.73,3.74,3.12,3.27,1918523,653942364.49,0
2024-07-31,3.25,3.49,3.08,3.38,2531658,824691785.67,0
2024-08-31,3.36,4.5,3.35,3.76,6741828,2488923567.93,0
2024-09-30,3.77,5.18,3.68,5.14,7759062,3353470857.22,0
2024-10-31,5.63,5.63,4.45,5.06,6890462,3438220135.65,0
2024-11-30,5.06,5.88,4.54,5.27,8746687,4499459786.25,0
2024-12-31,5.28,6.18,4.35,4.52,7718745,4127873153.05,0
2025-01-31,4.53,4.76,4.0,4.49,2491675,1105740673.88,0
2025-02-28,4.52,5.42,4.52,4.82,3700243,1857106210.13,0
2025-03-31,4.89,5.28,4.35,4.42,2982886,1449835482.48,0
2025-04-30,4.42,4.89,3.7,4.73,2802097,1249128323.81,0
2025-05-31,4.79,4.98,4.62,4.68,1925861,919411257.31,0
2025-06-30,4.72,5.22,4.69,5.04,3426309,1703574112.86,0
2025-07-31,5.05,5.76,4.97,5.23,5022013,2675374108.67,0
2025-08-31,5.23,5.58,4.99,5.01,4005961,2124601821.37,0
2025-09-30,4.99,7.17,4.91,5.97,8501507,5062589761.06,0
2025-10-31,5.85,6.06,5.25,5.98,4225332,2408879275.73,0
2025-11-30,5.96,6.88,5.5,6.36,6201130,3770870433.31,0
2025-12-31,6.29,6.48,5.24,5.86,4871768,2849537493.24,0
2026-01-31,5.83,6.33,5.7,6.23,2726326,1651500698.49,0
