datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,6.28,6.81,6.2,6.48,272327,176821629.0,0
2020-01-10,6.41,6.69,6.33,6.51,248854,161829675.0,0
2020-01-17,6.5,6.77,6.44,6.6,196805,130261011.0,0
2020-01-24,6.6,6.74,6.28,6.31,152384,99185418.0,0
2020-02-07,5.68,6.75,5.4,6.46,479159,296863104.0,0
2020-02-14,6.52,6.73,6.2,6.34,424595,274188043.0,0
2020-02-21,6.38,6.95,6.08,6.72,799843,531643470.0,0
2020-02-28,6.75,7.19,6.25,6.7,1383598,935698906.0,0
2020-03-06,6.7,7.04,6.57,6.68,906110,611953867.0,0
2020-03-13,6.56,6.65,5.76,5.95,515671,321122032.0,0
2020-03-20,5.98,6.02,5.4,5.59,316372,177844873.0,0
2020-03-27,5.46,5.63,5.32,5.49,283627,156428845.0,0
2020-04-03,5.45,5.48,5.13,5.19,187833,98814814.0,0
2020-04-10,5.28,5.51,5.24,5.27,181880,97808402.0,0
2020-04-17,5.27,5.31,5.13,5.18,205650,107423226.0,0
2020-04-24,5.19,5.32,5.08,5.16,196966,102387976.0,0
2020-05-01,5.18,5.48,5.18,5.43,352058,188880126.0,0
2020-05-08,5.43,5.62,5.29,5.49,202021,109754319.0,0
2020-05-15,5.51,5.94,5.36,5.86,271670,152337423.0,0
2020-05-22,5.78,6.07,5.69,5.78,256598,150020109.0,0
2020-05-29,5.8,6.04,5.69,5.69,180146,105736043.0,0
2020-06-05,5.7,5.99,5.69,5.95,187274,109594301.0,0
2020-06-12,5.98,6.0,5.65,5.85,160933,93808335.0,0
2020-06-19,5.81,6.06,5.62,5.7,274737,158709842.0,0
2020-06-26,5.69,5.71,5.61,5.61,67494,38159456.0,0
2020-07-03,5.61,6.49,5.38,6.27,600760,356278694.0,0
2020-07-10,6.28,6.99,6.13,6.71,844312,548877045.0,0
2020-07-17,6.71,6.92,5.88,6.18,643096,414987203.0,0
2020-07-24,6.15,6.39,5.62,5.64,659109,396815304.0,0
2020-07-31,5.68,6.0,5.52,5.88,329364,188985890.0,0
2020-08-07,5.95,6.72,5.89,6.49,675138,418952372.0,0
2020-08-14,6.44,7.25,6.02,6.99,966716,647361433.0,0
2020-08-21,7.13,8.0,7.0,7.2,1522019,1135095507.0,0
2020-08-28,7.27,7.44,6.81,7.07,633059,449380878.0,0
2020-09-04,7.03,8.08,6.72,6.91,1199339,896128611.0,0
2020-09-11,6.88,6.96,6.14,6.25,672539,443396547.0,0
2020-09-18,6.29,7.17,6.18,6.38,787219,517878436.0,0
2020-09-25,6.37,6.46,5.78,5.94,766505,466585793.0,0
2020-10-02,5.94,6.05,5.76,5.86,195493,115120495.0,0
2020-10-09,5.91,5.97,5.86,5.95,78480,46417436.0,0
2020-10-16,5.96,6.37,5.67,5.81,443289,266159720.0,0
2020-10-23,5.85,6.18,5.55,5.99,380142,223397141.0,0
2020-10-30,5.99,6.08,5.75,5.97,384162,227783269.0,0
2020-11-06,6.0,6.0,5.72,5.93,254267,148720675.0,0
2020-11-13,5.93,6.7,5.92,6.59,604514,385725532.0,0
2020-11-20,6.63,6.64,6.15,6.24,542028,347165829.0,0
2020-11-27,6.21,6.8,6.12,6.54,545071,355186686.0,0
2020-12-04,6.51,7.08,6.41,6.9,778865,527176313.0,0
2020-12-11,6.91,7.14,6.61,6.92,603182,413432640.0,0
2020-12-18,6.88,7.2,5.29,5.35,1094521,645553774.0,0
2020-12-25,5.34,5.53,4.9,5.0,589542,308932848.0,0
2021-01-01,5.0,5.16,4.81,4.88,397605,196441804.0,0
2021-01-08,4.88,4.93,4.23,4.54,651827,296928539.0,0
2021-01-15,4.6,4.6,3.95,4.3,564891,239153715.0,0
2021-01-22,4.29,4.39,4.1,4.11,499225,212804483.0,0
2021-01-29,4.09,4.09,3.76,3.83,462685,182225590.0,0
2021-02-05,3.79,3.95,3.71,3.79,332772,127191888.0,0
2021-02-12,3.78,3.94,3.66,3.81,200522,75711951.0,0
2021-02-19,3.92,4.3,3.84,4.3,227900,94289241.0,0
2021-02-26,4.3,4.43,4.13,4.22,599610,257519560.0,0
2021-03-05,4.19,4.32,4.07,4.28,508271,213418547.0,0
2021-03-12,4.28,4.35,3.98,4.05,468587,193529611.0,0
2021-03-19,4.02,4.32,3.98,4.15,405861,168193500.0,0
2021-03-26,4.16,4.27,3.98,4.06,471129,193469067.0,0
2021-04-02,4.08,4.11,3.84,3.89,398857,157062887.0,0
2021-04-09,3.9,4.2,3.89,4.08,387193,157945034.0,0
