datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,13.02,13.08,12.53,12.54,475934,606695328.0,0
2020-01-03,12.6,13.32,12.55,12.8,552535,719533408.0,0
2020-01-06,12.4,12.98,12.26,12.59,461273,581154240.0,0
2020-01-07,12.86,12.95,12.4,12.66,327777,413192816.0,0
2020-01-08,12.41,12.53,12.13,12.18,288059,355721792.0,0
2020-01-09,12.39,12.49,12.17,12.3,254749,313751664.0,0
2020-01-10,12.6,12.62,12.08,12.2,272082,335314752.0,0
2020-01-13,12.07,12.34,11.94,12.32,245678,298054912.0,0
2020-01-14,12.35,12.38,12.13,12.15,210943,258807980.0,0
2020-01-15,12.1,12.27,12.05,12.19,161343,196091854.0,0
2020-01-16,12.23,12.3,12.0,12.05,163705,197931195.0,0
2020-01-17,12.09,12.26,12.04,12.07,163612,198559558.0,0
2020-01-20,12.07,12.24,11.95,12.23,174727,212175204.0,0
2020-01-21,12.15,12.28,11.95,12.01,185350,224562867.0,0
2020-01-22,11.96,12.27,11.86,12.13,194682,235403436.0,0
2020-01-23,12.03,12.18,11.3,11.5,232642,273464944.0,0
2020-02-03,10.35,10.35,10.35,10.35,24007,24847245.0,0
2020-02-04,9.32,10.18,9.32,9.97,346761,343226752.0,0
2020-02-05,9.97,10.35,9.94,10.08,235114,238546686.0,0
2020-02-06,10.07,10.35,10.01,10.3,250501,255510338.0,0
2020-02-07,10.23,10.47,10.13,10.27,204912,210350504.0,0
2020-02-10,10.2,10.45,10.17,10.4,175045,181008320.0,0
2020-02-11,10.52,10.62,10.3,10.34,167168,174341973.0,0
2020-02-12,10.3,10.55,10.22,10.49,173256,180602868.0,0
2020-02-13,10.57,10.75,10.4,10.42,230717,244094800.0,0
2020-02-14,10.38,10.78,10.35,10.58,223473,236287517.0,0
2020-02-17,10.8,11.08,10.63,11.0,326957,353617312.0,0
2020-02-18,10.92,11.07,10.8,10.92,240655,262455447.0,0
2020-02-19,10.87,11.17,10.83,10.89,248434,273643680.0,0
2020-02-20,10.95,11.98,10.88,11.86,631764,723158512.0,0
2020-02-21,11.66,12.28,11.52,11.71,543554,640813616.0,0
2020-02-24,11.6,11.9,11.53,11.72,360392,421156640.0,0
2020-02-25,11.39,11.97,11.27,11.9,431753,503679136.0,0
2020-02-26,11.68,12.35,11.61,11.89,451992,544121088.0,0
2020-02-27,11.98,12.15,11.66,11.72,297382,352797552.0,0
2020-02-28,11.22,11.47,10.58,10.69,356115,393197264.0,0
2020-03-02,10.85,11.36,10.85,11.23,283442,314871504.0,0
2020-03-03,11.6,11.71,11.27,11.35,263802,303018816.0,0
2020-03-04,11.41,11.79,11.3,11.77,345618,400415984.0,0
2020-03-05,11.9,12.26,11.59,12.02,526297,627349680.0,0
2020-03-06,11.8,11.93,11.56,11.58,273567,320110240.0,0
2020-03-09,11.27,11.57,10.95,11.1,284762,319970624.0,0
2020-03-10,11.16,11.5,10.96,11.49,277086,312697472.0,0
2020-03-11,11.49,11.54,11.16,11.22,191758,218201457.0,0
2020-03-12,11.06,11.26,10.89,11.03,181995,201234146.0,0
2020-03-13,10.4,11.03,10.23,10.82,277037,293590336.0,0
2020-03-16,10.83,10.83,10.0,10.03,231525,241688099.0,0
2020-03-17,10.15,10.35,9.88,10.1,169968,171828489.0,0
2020-03-18,10.11,10.24,9.77,9.81,162512,163244201.0,0
2020-03-19,9.81,10.08,9.62,9.96,179319,176847056.0,0
2020-03-20,10.06,10.08,9.82,10.03,113107,112587327.0,0
2020-03-23,9.76,9.88,9.5,9.56,114585,111234096.0,0
2020-03-24,9.8,9.85,9.54,9.78,110314,107212218.0,0
2020-03-25,10.01,10.06,9.91,10.0,127928,127823334.0,0
2020-03-26,9.91,10.24,9.9,10.01,145649,146825483.0,0
2020-03-27,10.11,10.26,9.97,10.01,115914,117050240.0,0
2020-03-30,9.9,9.97,9.68,9.85,89794,88260228.0,0
2020-03-31,9.95,9.99,9.71,9.73,73581,72442286.0,0
2020-04-01,9.77,10.28,9.76,10.0,212044,213617420.0,0
